SA3_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
20402,21,16,58,76,116,205,483,670,430,2073,0,4,11,17,22,29,25,24,18,150,170,138,323,350,423,476,527,509,290,3211,1107,2051,4827,5081,6125,7113,6839,4093,1628,38867
20403,22,27,85,115,128,285,587,756,498,2499,7,10,36,33,60,52,52,33,24,302,257,280,527,546,558,622,665,555,323,4332,1870,3814,8715,9101,9695,10515,9360,4856,1745,59675
20501,37,23,85,93,124,225,462,686,422,2160,0,9,32,19,26,27,20,20,18,173,155,134,410,418,419,453,473,415,196,3071,1261,2904,7153,6588,6930,7597,7074,3948,1354,44803
20502,29,32,77,78,108,242,543,709,336,2153,5,8,10,9,9,18,25,30,13,127,165,155,359,420,480,667,726,570,309,3851,1044,1820,4386,4504,5629,7772,8696,4877,1518,40234
20503,31,22,80,94,135,314,691,857,534,2751,3,8,8,15,30,35,25,72,41,245,206,153,441,580,593,828,964,735,351,4845,1380,2549,6226,7392,8746,11545,12029,6105,2068,58031
20504,64,40,184,188,262,485,909,1045,604,3789,3,16,46,51,62,56,71,62,42,409,314,364,772,739,728,810,822,673,497,5722,1980,4276,9776,8842,9297,10622,9316,5053,1946,61105
20505,34,13,51,87,129,253,469,566,277,1874,0,4,5,17,21,31,19,20,12,133,176,179,449,480,451,474,578,380,217,3381,1071,2167,5160,5196,5551,6652,6397,3101,1036,36334
20601,14,5,35,67,101,278,737,1456,904,3596,3,10,51,37,78,131,263,386,235,1197,83,234,843,507,342,307,321,275,163,3081,1255,7045,21839,15553,11153,8261,5576,3552,1854,76098
20602,3,8,20,28,55,133,422,840,497,2006,0,7,15,26,28,59,120,230,185,670,54,111,345,295,241,208,189,216,190,1864,763,2913,10566,8777,7812,5592,3621,2309,1181,43529
20603,13,20,62,73,89,214,388,713,487,2062,4,12,81,50,80,88,104,164,127,702,109,229,659,469,408,365,290,241,128,2892,1276,4900,12388,10311,9430,7988,5597,2817,1461,56158
20604,9,42,168,117,132,191,244,238,193,1344,5,75,340,158,122,125,95,80,41,1035,434,1765,4020,1877,981,778,605,372,225,11056,4697,25146,52913,23149,11718,9223,6581,3135,1188,137759
20605,17,5,51,69,93,137,301,535,267,1479,6,10,65,36,36,44,67,107,73,442,138,380,1583,1215,953,816,643,527,372,6622,1222,5541,23115,18281,14678,11594,8046,4261,1468,88222
20606,3,3,26,21,41,70,131,320,225,846,0,6,22,18,25,34,30,81,50,272,126,297,943,564,438,362,353,335,243,3658,840,5036,17537,9664,6795,5883,5131,3512,1438,55832
20607,3,7,88,96,170,247,392,575,399,1982,3,11,44,74,98,152,156,166,161,862,123,382,1334,808,595,547,433,295,135,4642,1004,6646,27087,15314,10365,8521,6262,3249,1287,79729
20701,27,19,38,59,109,168,448,872,743,2485,9,26,62,60,106,114,137,152,145,809,259,335,785,627,706,590,646,653,552,5153,3746,12291,21028,20402,23802,20731,15904,9820,4959,132688
20702,8,15,49,63,121,287,912,1678,1127,4260,5,16,77,68,77,167,219,304,215,1155,117,143,404,445,407,382,475,556,381,3310,1759,5598,11432,13240,12489,12095,10171,8413,3807,79005
20703,17,40,82,123,198,245,580,908,619,2817,9,39,146,132,122,129,178,162,145,1057,157,527,977,542,465,402,457,468,540,4536,2255,9132,16256,14201,14150,11815,9114,6290,3498,86699
20801,14,7,21,39,54,105,249,471,433,1398,0,11,18,33,43,39,54,63,42,305,164,109,303,429,529,410,508,533,506,3480,2196,5203,7904,11810,16257,14033,11073,6924,3418,78819
20802,20,20,56,72,115,222,647,1194,903,3243,5,25,95,78,61,97,132,224,148,859,212,385,1053,775,625,512,687,642,591,5485,2766,10033,23685,22972,21469,16943,13540,7580,4184,123160
20803,23,17,59,96,137,286,656,1099,802,3174,5,7,45,69,81,102,135,143,95,687,165,168,626,603,535,507,605,631,470,4308,2277,6006,14535,17967,18441,15063,11567,7111,3399,96371
20804,7,6,10,17,15,21,139,299,179,699,0,4,22,16,21,32,20,59,46,207,45,82,284,187,146,152,176,173,144,1389,868,3144,6201,5375,5825,4792,3849,2557,1302,33914
20901,27,26,77,106,162,287,740,1364,1017,3809,12,26,78,93,109,160,155,139,139,918,170,245,637,589,496,490,574,501,301,4006,2323,7002,16245,18161,16900,14853,12682,7666,3398,99230
20902,18,28,105,161,243,506,1314,2039,1208,5621,10,34,80,85,133,207,342,503,285,1676,201,362,987,722,581,522,524,494,471,4856,1740,6494,18004,15099,12562,9704,6939,5042,2764,78349
20903,17,11,28,27,37,94,254,349,202,1022,3,9,6,18,21,24,16,11,24,131,113,93,162,266,363,343,326,218,114,2005,1686,4016,6015,8200,10589,9955,7067,3048,906,51487
20904,55,76,359,621,820,1499,3333,3175,1347,11287,15,63,261,344,420,614,793,788,452,3748,627,789,2021,1745,1293,1142,1072,939,630,10258,5512,15669,39580,40671,30594,24921,18607,9510,3441,188506
21001,10,0,35,55,79,218,842,1499,822,3561,0,3,24,21,50,66,154,270,172,754,73,89,290,254,291,255,310,402,275,2239,1195,3256,6936,8203,8603,7182,6331,4846,2097,48650
21002,5,8,16,17,44,61,199,208,101,659,3,3,4,9,3,4,10,11,7,38,112,70,124,189,234,232,207,157,99,1424,761,1466,3023,4380,4939,4442,3491,1700,418,24631
21003,7,21,86,158,219,404,866,1409,1116,4289,4,27,66,86,113,186,218,332,256,1288,198,334,989,706,520,412,404,431,516,4511,1480,5357,15122,12928,9431,7431,4931,3972,2802,63465
21004,23,9,61,45,70,114,319,314,212,1156,4,8,22,16,26,22,32,35,16,171,104,105,313,280,257,237,189,172,80,1732,1075,2690,6851,6222,5960,5506,3980,1834,689,34808
21005,101,194,823,1409,1588,1916,2422,1916,622,10979,23,116,439,669,828,1206,1002,781,308,5380,690,845,2282,1967,1347,1132,859,580,229,9925,5180,14089,34477,31769,23243,19682,12575,6148,1793,148953
21101,34,33,120,171,288,525,985,1295,761,4206,11,15,85,112,124,210,220,180,117,1060,237,310,750,714,604,595,705,745,581,5257,3424,9646,20210,22267,21541,20506,15985,8900,3533,126028
21102,4,0,10,9,13,57,127,212,154,597,5,0,9,8,13,20,9,31,33,129,35,47,63,83,109,95,109,139,121,794,661,1742,1898,2786,4272,3813,2877,1735,749,20541
21103,24,54,225,258,237,297,531,807,610,3043,5,24,155,139,125,152,137,75,46,869,142,170,519,545,462,433,453,521,475,3727,2154,6412,14981,16778,15303,13548,10721,6540,2872,89318
21104,7,17,34,63,105,205,345,603,375,1745,5,11,45,55,85,149,121,90,63,626,67,115,270,269,235,220,286,369,393,2226,1196,3622,7445,9216,8584,6962,6177,4388,1982,49569
21105,44,46,197,256,323,420,827,1193,616,3926,11,36,103,126,133,73,82,82,47,692,336,315,741,731,857,834,771,731,407,5727,3514,8623,19064,20305,21335,20158,16269,8496,2669,120441
21201,52,47,196,236,249,386,696,793,373,3014,7,17,123,108,82,92,76,67,25,593,369,347,992,851,758,630,559,490,279,5271,2861,7064,18601,17514,14484,11671,8720,4646,1493,87050
21202,58,63,303,438,440,705,1101,1121,632,4858,14,85,411,481,443,379,280,232,122,2449,388,482,1114,933,842,719,687,595,354,6121,3361,9070,18285,19411,18294,16465,11341,6027,2428,104672
21203,97,116,639,895,854,1012,1329,1162,493,6603,20,124,690,938,945,686,455,210,96,4172,573,742,2021,1705,1184,965,744,500,243,8677,5310,15142,37298,38511,26894,19684,12279,5680,1779,162583
21204,82,144,695,1131,1328,1939,2530,2808,1351,12000,37,202,967,1166,1303,1595,1267,901,518,7959,472,806,2271,1631,1181,1193,1124,990,592,10257,4054,13637,33004,27754,22804,20731,17138,10512,4396,154022
21205,22,35,120,146,282,503,1428,2227,1446,6217,12,49,161,154,161,272,417,458,289,1970,304,834,1678,1018,796,704,700,926,925,7889,4249,15593,27971,24784,22619,19048,15703,11889,5988,147840
21301,54,119,479,901,1303,1993,3557,3241,1269,12912,21,71,568,638,926,1261,1152,850,527,6014,611,876,2399,1870,1456,1283,1256,997,569,11315,4213,12911,29642,25368,23329,21972,17208,8944,3372,146959
21302,16,16,70,99,171,386,963,1206,724,3645,0,22,35,70,90,113,234,308,202,1070,162,187,656,623,522,392,466,388,305,3700,1573,4116,11181,13496,12411,10600,7769,4431,2058,67636
21303,27,20,103,134,229,463,726,801,468,2969,4,24,84,124,175,322,302,237,165,1435,157,344,1228,777,526,474,422,317,297,4540,1341,5566,19246,15245,10919,8209,5241,2668,1345,69790
21304,77,112,421,519,613,980,1784,1283,448,6225,8,36,203,295,353,371,372,254,73,1976,651,717,1973,1735,1282,936,816,565,224,8898,4999,12179,30577,33057,25057,17231,12800,5408,1568,142863
21305,107,165,519,659,741,1093,1562,1333,557,6749,21,113,451,552,629,591,426,273,130,3185,927,1300,3678,3244,1667,1192,958,643,337,13946,6208,18411,52173,57771,31824,22446,14665,6171,1902,211570
21401,49,74,180,228,350,500,844,1059,646,3935,17,27,63,56,67,87,75,83,61,537,396,401,1080,1057,1036,860,778,822,625,7051,3112,7745,19075,19689,18971,16924,12903,7236,3013,108674
21402,67,45,152,169,269,418,1102,1677,1029,4922,10,10,31,55,61,83,90,97,71,512,434,380,813,1010,1241,1253,1579,1550,1081,9334,3766,7632,14552,17829,22601,23196,24109,15826,6019,135532
21501,36,44,107,135,170,322,688,926,664,3084,5,15,37,36,76,64,41,33,9,320,236,210,517,445,529,659,750,667,446,4467,1329,2854,6888,6195,7274,9088,8074,4805,2117,48626
21502,44,41,156,168,230,409,738,848,520,3163,4,37,108,97,95,106,77,84,42,651,263,245,670,624,615,651,634,497,296,4502,1448,3171,7615,6710,7073,7370,6132,3506,1525,44540
21503,20,28,97,115,141,270,488,628,400,2186,9,19,67,60,69,51,46,36,22,380,160,157,414,422,399,510,513,388,272,3233,805,1853,4490,4158,4420,5568,4945,2937,1297,30470
21601,30,20,85,70,110,243,500,626,341,2021,0,4,10,20,13,29,14,21,16,124,138,118,292,272,357,409,455,426,307,2778,888,1880,3910,3901,4945,5732,5162,3204,1276,30894
21602,21,17,45,68,96,181,425,522,332,1703,0,4,17,16,14,28,24,26,9,124,118,99,273,251,283,314,421,352,179,2292,689,1300,3050,3036,3659,4405,4579,2735,1052,24503
21603,32,38,213,269,266,406,772,860,451,3313,8,25,117,165,190,136,104,112,52,911,285,304,739,662,633,694,653,636,425,5031,1627,3809,8869,8143,8485,8465,7187,4243,1648,52479
21701,20,15,53,61,111,221,400,542,385,1813,3,10,14,14,14,19,11,15,8,104,112,114,212,263,310,379,463,392,224,2459,852,1619,3527,3752,4679,5737,5409,2896,1184,29655
21703,12,12,63,73,90,183,426,641,428,1938,0,5,32,24,30,37,27,19,12,187,151,114,303,291,360,401,424,332,191,2570,863,1764,4139,4060,4870,5750,5229,2963,1172,30800
21704,26,25,73,84,94,170,495,676,400,2045,0,4,32,34,15,26,23,10,8,153,192,154,388,391,395,403,470,406,273,3074,1266,2552,6235,6104,6716,7193,6448,3428,1445,41380
29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,15,0,0,0,29,0,0,6,16,3,14,4,0,0,38
29999,13,18,33,35,36,25,38,26,9,227,5,4,9,11,12,10,3,0,0,51,173,211,691,870,646,408,202,34,13,3248,370,669,1819,1736,1393,1074,613,150,29,7852
