SA3_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
21201,2234,1155,1351,1269,1150,877,630,381,191,9240,26793,14377,18610,17520,14493,11675,8722,4646,1493,118342
21202,2054,1410,1480,1345,1343,1048,739,403,224,10043,26836,18085,18322,19428,18323,16492,11354,6024,2428,137287
21203,4121,2198,2619,2434,1847,1332,748,389,148,15839,56214,29386,37361,38576,26931,19713,12305,5685,1779,227950
21204,2576,1745,2625,2090,1679,1528,1147,748,328,14465,32885,24111,33086,27822,22866,20781,17176,10518,4396,193644
21205,1491,1668,1987,1353,1259,1026,826,745,585,10936,28404,26299,27994,24798,22637,19073,15737,11896,5990,182833
21301,3152,2068,2864,2307,1986,1714,1191,749,420,16447,32342,23593,29712,25432,23403,22022,17238,8959,3377,186067
21302,1180,613,895,931,829,668,487,305,188,6094,16186,8408,11195,13504,12418,10604,7780,4441,2064,86589
21303,909,706,1475,1060,783,618,397,224,130,6295,13259,9001,19257,15258,10931,8225,5253,2669,1348,85209
21304,3944,2340,3154,2930,2135,1355,885,408,157,17302,47629,24967,30609,33096,25099,17257,12804,5409,1565,198439
21305,5946,3087,4447,4155,2476,1577,960,465,257,23372,74874,34675,52248,57834,31868,22475,14687,6174,1904,296748
21401,2169,1326,1517,1526,1568,1191,816,529,290,10932,25833,15585,19076,19695,18983,16928,12919,7236,3017,139281
21402,2331,1441,1182,1434,1873,1763,1789,1277,684,13776,27514,17256,14555,17834,22616,23203,24115,15833,6029,168948
21501,924,624,772,727,770,834,750,528,316,6240,9869,5988,6896,6198,7280,9097,8082,4811,2123,60340
21502,1231,719,775,753,736,733,584,355,227,6117,10544,6455,7619,6720,7076,7383,6137,3505,1526,56972
21503,861,456,476,506,484,568,475,300,200,4318,6612,3796,4503,4175,4431,5575,4945,2936,1297,38264
21601,673,390,359,360,466,529,475,316,185,3749,6642,4110,3910,3906,4947,5730,5159,3205,1276,38889
21602,586,307,308,328,356,376,388,260,116,3023,5053,2947,3055,3039,3661,4402,4581,2735,1050,30522
21603,1410,893,952,892,839,820,613,448,181,7045,13184,7939,8876,8147,8499,8472,7190,4253,1648,68206
21701,591,341,297,365,398,437,459,280,134,3298,5919,3678,3532,3756,4688,5738,5411,2898,1184,36792
21703,608,405,376,359,473,499,448,264,136,3569,6398,3905,4143,4060,4872,5753,5227,2972,1171,38497
21704,880,569,488,561,580,538,484,323,183,4601,9488,5718,6237,6106,6714,7198,6448,3430,1445,52777
29797,0,0,0,11,3,9,0,0,0,29,0,0,6,16,3,14,4,0,0,38
29999,501,403,707,880,652,410,198,23,9,3785,1143,1131,1819,1736,1393,1074,613,152,29,9089
