SA3_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
20603,293,384,179,187,269,98,32,63,23,1521,442,425,269,425,432,192,58,106,39,2390,562,264,1249,501,461,227,165,292,59,3780,42,23,24,37,53,31,13,27,4,248,76,65,41,82,126,67,21,37,15,531,38,59,17,16,28,10,8,11,0,185,51,102,46,61,54,40,22,33,89,494,5486,12657,2450,2436,3596,1430,508,984,482,30041
20604,466,626,488,357,325,198,66,162,48,2738,688,741,942,1105,657,441,165,445,84,5265,584,469,1346,885,655,390,216,416,89,5054,49,33,46,84,67,34,22,64,4,410,116,126,97,136,112,68,24,66,23,762,104,246,82,80,72,39,29,66,22,725,97,180,96,140,79,65,42,150,218,1071,10330,33715,5653,6968,7852,4065,1432,3772,1307,75107
20605,571,745,220,256,339,181,42,91,53,2498,820,822,475,660,602,358,83,152,61,4036,821,471,1793,634,602,357,174,318,95,5259,66,53,25,51,70,51,15,30,5,353,141,152,72,96,169,101,23,34,18,802,71,149,43,29,43,29,8,31,17,419,124,201,41,69,90,50,32,45,131,777,10627,21861,3797,3685,5150,2591,698,1316,857,50588
20606,330,376,106,141,192,140,22,34,19,1364,399,462,191,331,310,243,20,83,30,2070,381,218,705,317,292,227,52,141,41,2371,31,22,13,29,36,33,11,7,0,188,77,64,18,49,82,62,9,15,11,385,53,100,14,20,28,28,0,11,5,262,80,128,32,27,64,32,3,27,90,480,6600,15443,1763,1950,3302,1941,285,629,555,32467
20607,357,556,156,192,228,143,28,60,16,1733,578,662,306,469,412,214,51,111,40,2841,530,377,1315,508,426,241,126,255,55,3834,53,34,30,56,55,26,6,33,0,299,98,84,58,76,84,53,13,32,9,511,57,148,20,20,23,20,5,8,5,313,71,125,48,60,40,41,9,35,124,554,9101,25266,3030,3166,4462,2018,458,921,673,49102
20701,775,909,265,326,572,284,57,101,49,3335,848,738,400,632,725,408,81,167,56,4062,842,425,1566,608,567,451,128,296,90,4965,59,47,34,56,87,61,20,39,3,400,185,122,65,115,194,129,20,49,13,890,93,221,26,58,69,44,11,23,24,567,128,243,43,64,121,72,9,32,163,871,15064,33214,3832,4089,7627,3696,686,1387,1123,70726
20702,404,427,244,247,318,189,57,127,34,2054,485,431,349,520,474,281,93,136,47,2819,500,244,1541,608,432,324,170,335,80,4231,31,23,32,49,60,45,10,27,3,281,107,63,75,106,145,87,30,37,10,670,55,98,28,30,34,41,13,16,10,323,100,129,70,57,84,58,20,37,130,684,6041,13127,3367,2969,4482,2354,697,1160,709,34911
20703,364,490,247,277,328,176,73,140,38,2127,503,500,439,603,556,321,144,268,52,3390,552,263,1527,645,497,317,210,341,55,4408,26,24,48,62,73,30,19,41,0,325,73,69,58,99,143,73,31,53,14,623,33,103,31,38,35,29,14,29,8,317,65,107,59,68,66,61,34,49,122,629,6621,17019,3643,3525,4958,2459,987,1674,685,41564
20801,668,729,175,245,402,187,32,56,33,2522,650,581,251,397,521,291,41,70,43,2848,869,283,1450,433,438,359,120,227,68,4254,38,26,17,31,61,35,12,19,3,245,154,111,43,107,139,127,14,31,15,744,75,112,23,24,45,24,0,0,12,322,123,145,45,48,89,61,9,27,120,657,10388,15849,2641,2381,4209,2204,354,686,660,39378
20802,689,918,389,408,584,277,78,145,48,3532,874,928,595,925,852,451,127,206,59,5023,944,516,2617,966,859,499,259,482,117,7250,55,48,47,76,110,74,22,45,5,484,172,163,96,178,244,136,26,71,14,1097,102,200,53,42,63,41,13,44,16,573,153,276,95,116,136,78,44,53,222,1182,12533,28517,5546,5319,7687,3606,1136,1898,1177,67428
20803,646,762,339,459,578,224,54,102,35,3203,922,863,563,929,981,421,131,180,75,5057,1381,611,4165,1201,1122,599,473,665,166,10394,59,44,65,100,143,77,30,50,4,568,178,143,96,169,269,124,42,78,18,1105,67,108,38,40,49,26,13,22,10,366,123,148,85,107,122,72,34,51,142,883,8597,16567,6249,4722,5995,2560,1057,1528,713,47984
20804,190,245,66,74,152,79,22,34,12,870,233,247,119,196,226,101,25,56,21,1209,206,106,443,200,160,119,37,66,18,1361,16,7,10,20,23,23,0,8,0,113,56,47,19,34,71,30,3,10,8,282,28,57,17,17,20,14,0,3,4,160,38,51,15,16,27,20,9,11,45,233,3906,8352,1089,1146,2034,987,226,434,290,18459
20901,493,732,312,405,521,186,55,101,27,2827,700,741,519,851,727,308,100,176,52,4174,1053,509,3517,1138,956,456,403,605,129,8773,45,37,56,75,126,58,26,44,4,470,122,103,80,146,229,113,26,73,12,898,54,128,30,41,45,31,9,19,9,360,97,154,71,79,109,69,38,50,105,781,8148,19924,5710,4561,5722,2187,1029,1558,676,49510
20902,318,472,266,250,297,135,73,131,22,1964,482,592,500,744,581,264,139,250,34,3588,575,364,2182,900,670,337,360,576,114,6076,35,26,50,62,91,42,33,45,5,395,81,56,72,122,137,82,44,66,13,674,32,73,41,24,31,22,23,22,10,274,66,97,86,89,115,61,39,86,144,786,4868,13173,4281,3928,4225,1889,1298,1984,654,36301
20903,402,492,157,290,298,109,28,60,24,1860,500,432,298,500,448,154,62,91,25,2514,1058,347,3019,728,698,310,352,450,94,7069,38,20,45,40,85,41,20,26,0,318,97,67,52,98,161,62,21,40,4,607,30,64,23,24,32,11,5,6,4,197,53,75,58,59,78,31,20,41,61,481,4968,8776,4101,2606,3045,1097,595,873,356,26416
20904,756,814,726,814,889,326,359,297,74,5061,1222,1109,1353,2606,1728,745,688,620,132,10204,1949,848,8425,3314,2371,1351,1928,2071,433,22681,93,62,115,192,310,163,123,159,15,1227,217,131,194,433,416,246,180,229,40,2086,78,141,126,105,104,52,75,71,21,776,124,231,252,279,278,168,171,237,299,2033,8779,20213,13213,11576,10450,4821,4972,5180,1567,80773
21001,248,283,150,182,295,76,34,49,15,1327,392,367,220,382,471,140,64,81,22,2144,598,236,1897,472,516,272,317,365,92,4770,21,18,25,31,77,31,18,23,3,247,72,55,46,89,136,60,27,29,12,532,24,47,14,10,28,10,5,9,9,151,67,81,40,44,73,37,22,26,77,466,3627,7135,2769,1848,2963,1051,634,782,380,21200
21002,138,212,82,124,135,40,19,30,14,791,196,197,150,277,240,76,37,61,21,1247,486,183,1695,375,379,171,283,308,73,3947,22,9,15,25,31,19,8,11,3,148,37,31,22,41,68,28,24,24,0,275,15,14,4,12,21,6,0,5,0,73,37,29,27,26,31,28,16,18,36,252,1967,3461,2167,1245,1327,500,413,537,197,11809
21003,226,285,218,192,250,111,77,89,26,1472,428,447,455,700,508,204,141,213,44,3146,486,276,2016,717,561,256,348,472,93,5217,19,14,27,49,60,42,12,26,8,262,68,51,58,119,133,57,39,51,16,600,33,50,42,33,42,10,19,25,4,274,54,78,59,85,80,45,54,58,116,625,3750,9967,3812,3215,3432,1407,1234,1667,562,29052
21004,172,224,116,188,203,69,33,53,18,1073,277,257,247,495,356,126,85,94,20,1956,575,260,2221,741,701,306,492,463,120,5888,28,13,24,53,67,38,22,23,0,274,39,26,43,76,92,42,47,43,11,427,14,25,18,11,20,11,7,5,3,119,34,43,24,48,58,25,25,35,39,330,1971,3885,2953,2161,2085,836,819,829,272,15806
21005,442,458,508,522,543,231,424,237,45,3410,758,695,1028,1815,1108,511,712,531,119,7286,1091,480,4905,2148,1485,802,1479,1398,273,14056,56,33,93,158,161,125,137,120,14,890,155,84,142,298,273,136,167,173,25,1463,63,90,75,83,77,32,77,54,17,561,98,201,183,195,169,134,179,174,280,1613,5552,12721,8472,8022,6929,3189,4632,3910,1170,54590
21101,591,837,462,503,670,245,125,190,48,3669,926,930,806,1434,1141,523,244,339,109,6452,1573,719,5856,1876,1603,871,950,1164,270,14891,72,48,94,108,164,108,60,104,10,779,163,122,117,207,267,148,90,110,16,1244,67,117,57,44,68,37,13,30,19,439,111,149,112,132,199,95,72,86,138,1096,8274,17865,8968,6357,7677,3412,2054,2720,943,58261
21102,165,170,50,79,113,55,16,25,7,686,176,144,89,134,154,64,10,29,18,818,352,115,746,177,189,98,66,117,29,1894,10,7,9,10,24,11,4,0,0,83,33,27,21,22,60,20,5,15,0,193,16,25,7,8,11,3,0,0,5,78,28,36,13,13,19,8,3,8,21,159,2137,3540,1109,731,1180,505,148,268,135,9761
21103,467,645,320,449,475,171,80,129,33,2778,715,796,516,965,803,351,131,200,68,4547,1183,536,4247,1383,1167,572,519,792,159,10563,60,39,62,77,117,66,31,76,4,538,141,103,91,171,212,107,43,96,10,965,38,84,33,27,34,19,20,23,9,286,59,110,86,112,105,65,37,60,102,743,6416,14567,6208,4795,5314,2181,1130,1799,648,43053
21104,213,314,149,164,230,108,36,59,21,1289,290,337,305,434,352,171,69,136,28,2129,387,199,1183,462,385,215,159,249,55,3302,27,12,25,30,25,22,13,32,3,182,44,55,48,76,95,45,22,41,5,422,29,49,6,17,30,15,6,8,5,162,43,54,38,37,44,25,12,26,49,336,3685,9492,2456,2212,3043,1277,525,864,371,23920
21105,695,783,418,634,641,199,72,146,43,3625,1087,1004,756,1580,1107,420,164,314,68,6491,2429,857,8681,2371,2006,934,1270,1669,308,20534,107,52,113,129,190,122,60,141,16,926,204,107,163,241,251,130,85,114,15,1306,60,81,34,46,54,15,9,24,14,339,149,136,134,172,158,94,83,127,188,1239,8231,14452,11127,6943,6371,2600,1964,2968,861,55513
21201,418,405,328,371,424,151,152,135,24,2405,757,714,623,1356,855,362,309,303,62,5351,1562,616,5768,1758,1631,810,1242,1371,277,15031,59,39,83,126,162,113,65,97,9,748,117,55,111,211,185,103,82,106,14,979,45,46,39,40,37,11,36,38,13,316,126,87,107,116,125,96,79,102,146,979,4969,9071,7789,5454,4870,2184,2360,2680,734,40111
21202,480,504,446,397,527,181,175,194,46,2946,734,691,709,1239,977,386,297,362,95,5493,1204,518,4570,1535,1320,725,1029,1104,220,12219,61,42,82,84,160,112,61,89,14,707,120,78,122,205,223,125,100,104,17,1096,52,98,53,44,66,25,34,36,10,415,102,149,109,114,139,86,92,119,178,1088,5631,11685,7105,5270,5814,2492,2371,2699,870,43938
21203,643,643,737,672,741,279,492,368,75,4645,1221,1060,1393,2780,1620,718,987,766,182,10727,1819,715,7726,3235,2275,1246,2264,2227,419,21929,96,46,161,144,258,148,175,199,21,1247,163,99,222,418,307,169,201,236,31,1849,65,120,101,82,85,51,79,81,12,690,179,165,207,248,200,104,216,213,312,1840,7656,16138,12459,11021,9288,4199,6051,5627,1478,73920
21204,349,462,557,413,547,227,307,362,55,3278,607,609,1084,1446,922,470,581,790,95,6616,738,362,4014,1789,917,595,1182,1320,228,11141,56,33,99,99,134,74,111,147,20,771,107,74,192,254,213,108,155,241,18,1377,55,116,104,65,63,44,91,100,16,650,101,162,182,189,150,105,179,272,342,1689,5089,13664,8125,6791,6673,3200,4164,5253,1259,54229
21205,614,737,466,423,585,250,162,228,51,3519,759,762,850,987,944,519,263,450,105,5639,860,423,2704,1166,799,507,454,700,148,7767,35,38,58,94,133,77,30,79,4,544,150,104,115,180,245,98,74,115,27,1113,96,179,74,62,76,68,38,40,15,641,133,212,129,110,147,94,57,104,264,1249,10359,26548,6668,5809,8447,4095,2173,3339,1328,68759
21301,349,415,425,431,490,208,270,218,44,2848,585,575,903,1317,969,449,468,518,113,5894,839,418,3988,1815,1268,614,1359,1307,250,11861,59,43,95,136,162,99,102,150,15,862,115,75,165,250,263,114,171,182,29,1371,44,104,46,51,69,35,62,53,14,479,109,151,163,203,165,106,165,194,328,1575,4751,12082,7258,6360,6708,2911,3921,3886,1182,49062
21302,357,410,213,229,305,107,64,65,22,1756,604,558,362,585,590,207,119,130,51,3200,727,347,2421,672,727,356,475,499,128,6359,42,35,37,45,74,41,21,33,8,324,100,58,55,99,162,69,51,50,11,654,37,63,19,18,34,18,13,7,4,215,64,92,56,60,76,46,31,52,112,596,5826,11282,3787,2834,3902,1439,1008,1155,580,31820
21303,292,424,271,246,248,116,85,90,22,1786,481,582,373,603,465,252,140,185,46,3127,518,366,1461,699,583,312,302,421,80,4745,45,20,37,54,63,42,34,52,3,344,83,87,57,99,113,62,41,40,7,588,25,68,35,20,28,15,18,33,11,262,64,94,54,65,79,55,40,65,132,654,5919,14404,3340,3356,4308,1913,1252,1674,609,36782
21304,543,513,471,539,716,232,339,205,63,3625,966,850,849,1873,1313,485,769,437,113,7663,1498,702,6447,2640,2139,1022,2055,1747,374,18626,77,30,111,146,210,145,136,147,15,1012,148,106,179,300,348,170,203,167,37,1658,75,106,73,62,77,27,55,37,15,525,112,163,164,209,193,125,158,177,246,1545,6773,14427,9571,8426,8346,3388,4870,3691,1249,60746
21305,713,783,786,705,786,340,610,369,79,5165,1342,1206,1550,2876,1743,767,1457,756,208,11900,1590,862,6517,2965,2260,1181,2550,2080,417,20403,85,64,90,162,209,135,189,182,14,1120,171,126,187,411,347,186,292,204,46,1984,143,265,128,148,128,95,137,120,36,1186,166,301,204,259,237,153,303,226,489,2335,11774,28619,12729,12702,13154,5790,8809,6122,2303,102009
21401,519,668,357,537,531,199,107,151,33,3099,920,935,665,1542,1044,460,204,315,105,6188,1650,707,6788,2206,1749,1016,1118,1548,279,17066,82,48,99,125,189,147,58,116,7,869,152,98,138,246,230,121,98,118,18,1217,42,85,39,36,49,21,23,30,14,334,97,147,130,162,151,98,72,125,130,1112,6019,11823,8863,6391,5597,2778,1943,2791,757,46965
21402,838,873,437,579,606,300,67,133,64,3904,1024,936,670,1373,918,484,115,291,63,5883,2372,726,7208,2194,1596,1004,832,1512,291,17737,110,52,102,142,146,122,28,106,15,832,225,120,147,243,263,155,66,108,17,1342,71,81,38,34,49,28,12,24,6,345,193,169,159,191,174,137,63,155,151,1399,9105,14360,9505,6317,5437,2956,1317,2709,851,52553
21501,381,253,71,206,152,59,27,65,14,1216,333,255,118,573,261,60,53,102,19,1783,1392,279,1873,1122,593,354,571,799,125,7104,71,12,34,62,85,55,19,84,10,433,92,24,30,84,75,34,20,64,10,438,17,26,5,7,19,4,3,13,0,97,126,68,37,69,49,47,60,111,57,629,3295,3718,2316,2549,1560,710,795,1448,293,16690
21502,146,181,61,167,109,33,19,56,12,791,287,319,160,498,243,91,54,130,37,1824,863,312,1980,951,680,423,504,643,113,6476,43,23,28,64,76,65,32,78,3,412,54,23,35,87,64,44,32,53,6,386,20,12,7,15,20,5,5,22,5,107,89,58,49,69,46,46,46,109,97,596,2210,3823,2470,2259,1536,804,749,1296,310,15453
21503,165,116,37,79,61,20,12,34,3,529,199,176,75,276,129,46,30,98,16,1045,924,181,1242,514,403,225,326,487,72,4379,31,16,17,43,40,30,16,46,0,238,55,10,12,50,41,38,12,54,4,269,14,12,3,6,7,0,0,18,3,70,90,42,39,46,30,27,34,128,58,497,1950,2065,1516,1210,885,436,458,995,180,9697
21601,160,140,56,100,73,22,10,37,8,598,213,155,105,328,174,70,25,81,10,1166,802,159,1583,670,380,266,417,602,62,4950,34,14,26,33,36,32,18,57,5,243,35,22,27,51,50,30,21,23,4,263,17,15,6,10,6,4,3,5,5,63,74,42,33,61,33,37,28,83,50,435,1855,2316,1940,1493,932,531,552,1013,157,10792
21602,137,74,26,69,48,16,18,39,7,439,164,117,76,280,122,46,18,67,10,908,619,110,1107,444,297,186,303,469,68,3608,46,9,17,28,36,33,19,36,0,208,38,13,11,37,41,19,11,33,3,214,5,11,6,9,4,0,4,11,6,62,40,25,28,43,28,30,32,80,22,337,1372,1518,1335,1082,719,371,417,850,145,7816
21603,223,206,80,175,147,35,33,58,10,962,387,386,197,702,349,121,82,190,28,2443,898,308,2397,1062,745,431,480,795,123,7237,35,19,35,51,78,73,33,87,8,406,64,34,41,91,82,55,36,80,8,490,17,34,10,19,11,4,16,27,5,142,74,72,60,61,34,54,54,116,79,598,2635,4976,3031,2686,1878,930,809,1643,324,18901
21701,203,144,33,79,76,22,18,26,4,622,227,157,71,318,141,51,33,63,14,1078,762,162,1426,631,374,249,418,529,91,4646,51,17,14,37,50,40,22,61,0,303,53,22,19,45,43,30,28,32,6,284,15,14,7,12,5,7,4,11,0,64,73,48,32,46,20,20,38,54,36,370,1977,2324,1680,1451,918,474,571,858,166,10423
