SA3_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
20402,210,175,197,147,36,8,1058,6,117,170,238,249,227,56,10,1083,164,886,908,750,688,656,249,64,4361,119,488,651,779,794,680,293,78,3895,644,1436,1441,1577,1655,1075,442,121,8382,97,75,84,91,100,58,17,9,528,43,48,73,119,126,129,72,21,630,791,1560,1597,1785,1880,1258,531,150,9540,9,17,17,25,34,46,37,16,194,416,380,391,478,612,684,670,353,3988,1521,3709,3943,4244,4454,3703,1872,668,24110
20403,458,434,354,287,64,4,1939,26,260,390,381,405,288,101,5,1860,197,1548,1795,1479,1138,955,298,67,7484,253,860,1183,1245,1287,1017,391,78,6310,1242,2783,2573,2531,2404,1485,571,130,13718,147,163,141,118,132,112,22,0,838,77,103,107,205,231,210,111,25,1061,1466,3050,2820,2857,2761,1804,703,151,15612,16,25,27,42,44,62,36,22,271,676,608,643,661,755,873,753,340,5311,2655,6688,7311,7098,6742,5283,2341,671,38795
20501,306,279,247,175,64,12,1381,22,165,225,210,249,232,66,9,1180,256,1298,1109,850,773,683,269,46,5299,161,772,900,836,805,710,277,68,4533,825,2332,1910,1878,1798,1148,505,128,10518,125,100,99,84,87,96,20,0,600,52,105,95,145,155,157,79,20,800,998,2528,2106,2102,2041,1398,596,148,11917,14,29,43,33,44,56,45,11,270,405,494,484,504,553,621,516,223,3798,1872,5581,5169,4809,4716,3880,1845,505,28378
20502,149,139,180,189,71,12,926,3,101,146,159,214,236,62,3,917,89,634,635,625,735,745,320,53,3837,83,437,505,688,846,888,401,88,3921,495,1312,1303,1443,1683,1512,691,144,8581,71,69,88,79,115,91,19,4,539,16,49,94,94,158,172,88,24,701,582,1431,1482,1618,1965,1776,796,165,9828,9,22,21,21,34,55,53,16,226,416,402,444,540,796,961,744,341,4641,1190,3205,3376,3785,4757,4850,2449,678,24301
20503,305,340,427,364,124,12,1812,23,181,266,320,349,370,92,14,1613,175,1125,1340,1179,1286,1294,481,90,6972,151,621,938,1024,1246,1233,493,115,5816,705,1915,2022,2249,2506,1912,784,189,12271,95,130,130,125,153,101,36,10,786,52,77,127,150,228,251,108,31,1018,848,2123,2276,2523,2893,2258,926,235,14071,8,21,28,37,45,85,58,17,310,526,488,638,709,991,1209,908,420,5894,1755,4768,5798,6135,7238,6822,3074,907,36487
20504,337,239,226,156,53,11,1375,39,187,220,212,226,170,50,3,1096,332,1465,1135,885,790,606,239,39,5487,185,902,940,988,983,703,308,54,5066,1201,3142,2610,2495,2643,1673,706,182,14651,151,184,185,122,97,76,23,3,844,42,105,115,150,164,188,54,21,836,1398,3424,2908,2765,2902,1932,787,206,16325,13,30,32,38,54,57,42,10,274,821,876,830,831,988,1013,794,524,6674,2808,7215,6401,5957,6163,4639,2267,847,36295
20505,185,164,135,106,24,7,827,13,128,151,162,156,124,27,5,768,217,846,793,596,507,476,159,26,3624,85,443,541,633,652,547,215,42,3163,563,1523,1459,1461,1605,1144,401,74,8225,77,92,93,73,83,62,17,0,495,27,62,77,89,123,116,29,15,541,671,1677,1629,1624,1813,1316,444,86,9262,8,14,30,20,31,32,27,9,174,429,485,520,498,589,761,459,255,3988,1450,3783,3843,3707,3883,3365,1356,428,21812
20601,3513,1806,1053,521,130,9,11450,66,940,1021,835,628,316,53,7,3866,2135,9043,5671,3200,1643,860,190,40,22783,554,1744,1563,1221,848,415,122,31,6499,699,1854,1191,1139,881,440,204,94,6508,93,126,81,63,40,32,5,0,446,55,159,146,187,182,105,41,10,882,854,2141,1417,1387,1101,580,246,114,7831,27,91,97,59,58,41,19,10,400,385,983,621,439,398,368,286,176,3658,4200,19194,13907,8937,5716,3098,1055,385,56491
20602,1892,1477,885,401,98,20,6753,23,501,638,699,521,296,48,6,2722,783,4670,3477,2561,1344,640,155,44,13675,233,810,774,763,567,286,102,26,3559,310,859,654,598,508,274,119,49,3369,56,54,34,44,27,18,0,0,237,27,66,65,113,102,65,22,15,467,391,970,758,752,631,355,146,57,4073,6,43,51,46,21,26,10,8,206,195,420,361,310,247,232,244,207,2223,1691,9340,7947,6613,4208,2234,797,364,33208
20603,1882,1084,766,461,93,19,6681,48,499,607,574,534,315,78,14,2666,1301,4664,3776,2827,1806,1001,260,75,15710,432,1080,1009,1145,887,588,219,72,5436,434,1200,921,999,930,529,245,102,5363,63,95,65,68,55,38,10,0,397,60,113,124,183,177,113,58,34,852,560,1413,1109,1250,1160,673,302,135,6615,15,69,55,32,41,32,27,6,281,409,771,559,494,443,373,281,173,3496,2881,10745,9003,7408,5647,3442,1263,499,40886
20604,5575,2214,1575,944,440,85,25904,210,1500,949,600,457,333,106,13,4170,8330,20975,8179,3309,2278,1548,700,162,45483,2230,3850,2229,1231,936,729,284,108,11596,1302,2379,1219,821,713,335,133,45,6947,214,206,88,58,67,39,12,0,684,151,298,209,178,174,108,64,15,1193,1677,2873,1513,1058,942,486,209,61,8822,233,424,191,102,74,67,44,18,1153,2471,4418,2094,1067,839,647,421,251,12204,16468,47802,20732,9573,7096,4756,2204,698,109325
20605,3522,2274,1601,941,373,44,12646,41,759,850,885,682,434,128,11,3791,1423,9459,6654,4565,2962,1852,668,163,27751,523,2078,1904,1673,1384,918,411,87,8981,520,2065,1429,1173,1022,545,261,84,7105,82,117,92,100,62,45,18,4,528,59,174,219,249,257,184,98,24,1267,667,2360,1740,1526,1339,773,380,115,8896,42,171,126,86,70,71,42,10,624,581,1810,1406,1123,938,719,610,382,7577,3458,20355,16205,12135,8979,5708,2615,817,70268
20606,2082,1115,857,616,301,64,8395,47,673,441,394,325,243,90,14,2229,1755,8147,3865,2337,1808,1455,761,201,20330,379,1279,900,751,654,625,367,122,5078,322,1090,549,418,375,215,133,46,3149,43,75,52,34,33,23,8,7,277,31,105,88,115,113,131,75,19,676,395,1269,694,565,522,372,219,72,4105,26,106,63,50,54,58,49,9,410,479,1075,657,503,435,424,429,283,4290,3236,15748,8701,5711,4653,3791,2223,778,44842
20607,3218,1886,1410,998,361,48,13189,61,1157,820,724,632,447,117,7,3966,2424,12607,5994,3166,2139,1433,572,132,28463,452,1845,1346,963,744,560,264,57,6218,488,1733,1020,749,644,291,155,59,5135,82,131,82,82,49,35,8,0,470,44,163,125,159,134,91,46,17,773,607,2028,1228,991,825,421,209,77,6377,23,150,90,54,40,39,28,12,445,555,1486,931,667,634,475,322,160,5219,4309,24347,13625,8451,6423,4371,1868,486,63873
20701,4977,4745,3482,2163,1011,246,21309,71,759,1126,1655,1549,1037,351,81,6638,3532,9468,8779,9353,7045,4552,2200,798,45721,848,1528,1586,2399,2295,2036,1197,501,12383,818,1403,979,1242,1355,837,565,240,7447,137,106,85,94,120,81,41,19,679,79,126,188,329,367,352,224,118,1779,1031,1645,1251,1668,1846,1270,830,372,9903,60,134,146,152,152,180,146,76,1047,706,923,851,870,759,835,845,684,6476,6571,18812,18719,20838,17125,12066,6579,2763,103483
20702,2820,1491,1064,698,293,56,8915,29,300,511,506,496,384,159,28,2401,1543,4417,5104,3881,2843,1797,948,269,20797,416,1050,1445,1634,1526,1177,813,249,8308,528,923,921,1345,1273,806,803,285,6876,70,60,73,98,92,62,47,12,509,63,78,127,255,310,288,193,65,1386,661,1065,1122,1700,1674,1158,1042,364,8774,33,85,88,93,113,91,93,32,640,339,522,610,563,503,596,709,499,4347,3183,9771,11699,9879,8223,5901,4045,1491,54187
20703,3174,2043,1306,672,276,67,11655,54,467,683,846,725,465,183,44,3468,2143,5839,5373,4515,2897,1934,879,315,23889,861,1457,1424,1694,1524,1151,689,257,9054,788,1101,884,1342,1269,681,560,230,6860,122,92,79,86,88,46,32,7,559,78,97,131,244,241,205,145,56,1203,990,1285,1098,1669,1605,933,738,300,8618,51,71,93,91,105,96,90,35,642,785,1112,664,598,522,567,576,618,5443,5178,14048,12508,11454,8690,5810,3434,1642,62763
20801,2109,2513,1807,1010,422,99,9110,36,293,576,938,855,615,202,52,3572,1252,3348,4889,6031,4226,2729,1234,383,24102,334,733,1278,1919,1817,1518,909,328,8823,421,810,821,1268,1404,813,533,208,6287,68,43,64,69,96,66,37,10,457,47,64,147,288,314,307,229,82,1474,543,917,1037,1627,1809,1188,792,303,8210,13,36,80,118,108,120,77,61,617,338,389,554,688,565,691,722,654,4610,2562,6805,10519,13836,11196,7873,4373,1881,59043
20802,4834,3177,1778,1085,330,88,16461,54,762,1113,1336,1087,699,166,31,5257,2667,9601,9218,7375,4699,2975,1103,361,37990,798,2019,2269,2642,2093,1674,715,257,12458,846,1960,1671,1982,1857,1251,626,299,10494,156,109,115,130,120,77,34,8,742,93,185,249,383,401,323,186,83,1903,1094,2250,2035,2496,2377,1646,848,393,13143,40,147,182,155,141,157,99,53,979,715,1272,1027,891,745,928,803,723,7101,5658,20945,20674,18061,12923,9170,4066,1904,93395
20803,2349,1578,870,510,192,30,7170,54,451,838,920,641,388,110,24,3423,1083,5132,5929,4513,2585,1496,588,165,21485,523,1681,2423,2819,1900,1312,560,211,11426,981,2375,2609,3023,2664,1570,818,312,14342,138,123,151,159,156,113,31,3,883,64,142,295,397,426,313,127,68,1835,1185,2636,3056,3579,3241,1997,975,386,17059,30,67,102,113,103,122,82,51,673,406,786,772,735,696,790,808,583,5574,3344,12334,15470,14259,10037,6619,3314,1448,66817
20804,1211,961,684,440,206,46,4972,21,224,294,411,330,244,77,13,1613,893,2763,2264,2349,1624,1081,504,175,11655,221,461,469,625,582,480,305,131,3282,195,397,292,326,309,204,148,72,1936,42,38,22,20,30,19,11,5,183,22,29,61,101,123,91,64,32,530,256,457,387,447,460,314,219,107,2651,13,40,37,47,45,49,33,30,284,162,325,236,192,185,206,216,184,1693,1669,5588,4893,5043,3916,2812,1560,676,26151
20901,3157,1966,1312,916,376,61,10389,48,680,1003,1051,850,594,187,27,4451,1522,5790,6382,4545,3011,2120,807,237,24414,484,1558,1974,2202,1793,1421,668,205,10290,1029,2257,2179,2414,2213,1451,882,289,12716,146,135,121,124,104,95,28,9,760,83,136,187,324,377,329,181,70,1689,1260,2528,2488,2867,2701,1873,1095,369,15173,39,82,111,87,89,104,78,33,617,516,757,755,668,659,741,693,425,5207,3991,13870,15881,13382,10403,7767,3899,1352,70544
20902,2349,1067,553,210,50,8,7312,47,570,771,631,379,165,34,5,2594,1271,6154,4739,2687,1290,614,188,50,16985,645,1853,1831,1592,993,447,138,51,7542,797,1996,1707,1707,1313,733,367,140,8775,119,142,122,107,99,44,13,5,647,57,141,200,262,240,119,52,23,1090,979,2278,2027,2083,1658,895,429,163,10514,36,96,101,76,56,56,29,15,452,675,1162,875,749,624,645,566,493,5790,3845,14987,12699,8873,5549,3023,1436,779,51183
20903,964,972,684,455,173,25,3855,23,180,408,648,515,375,85,12,2240,637,1802,2562,2536,1790,1185,325,63,10903,314,687,990,1526,1286,925,348,58,6145,842,1401,1531,2016,2010,1033,402,90,9310,116,62,67,78,91,43,10,3,468,49,66,121,210,246,201,77,20,982,1007,1526,1720,2302,2336,1271,492,111,10768,16,26,50,58,72,63,42,6,339,277,228,340,443,473,444,308,132,2655,2320,5007,7035,8485,7161,4715,1769,409,36905
20904,4524,1460,664,328,89,10,11770,113,1067,1261,769,468,225,64,6,3969,2316,9535,9278,4141,2186,1374,353,65,29245,1414,5043,6049,3968,2410,1232,382,66,20560,2891,7398,6871,5895,4286,2357,908,197,30806,385,401,404,321,260,125,30,0,1929,255,472,676,747,594,365,98,27,3224,3524,8263,7952,6963,5143,2847,1029,225,35953,94,261,315,182,163,118,54,11,1189,1802,2494,2265,1703,1521,1378,1105,658,12923,9620,31009,31641,19182,12555,7499,3076,1035,115618
21001,883,533,323,194,53,0,2782,19,212,355,386,243,173,39,4,1424,754,2311,2641,2009,1119,697,208,49,9784,234,752,993,1121,872,548,263,54,4841,441,1142,1213,1519,1145,819,575,185,7046,61,75,64,67,74,37,22,3,403,41,71,134,221,195,129,84,18,901,541,1292,1412,1812,1412,990,683,207,8351,3,34,48,51,42,49,34,11,278,216,381,370,378,344,420,465,280,2849,1826,5726,6704,6288,4355,3061,1753,609,30317
21002,305,309,252,149,54,0,1267,6,92,225,260,218,142,27,6,981,165,682,1105,937,675,418,176,22,4185,113,342,574,655,579,457,177,21,2913,349,897,1087,1111,911,530,222,35,5141,41,39,49,38,43,29,8,0,246,21,42,65,94,100,93,31,7,460,407,985,1201,1237,1063,655,266,41,5851,3,14,13,27,22,30,30,10,142,226,155,213,303,299,279,203,121,1785,928,2456,3633,3734,3108,2124,922,215,17126
21003,2005,747,334,152,36,10,5888,30,474,603,421,245,104,28,4,1911,1014,4866,3924,1835,928,410,152,39,13160,561,1551,1587,1246,728,333,134,52,6198,683,1721,1413,1394,1162,587,323,187,7467,73,107,99,81,58,41,8,5,463,74,136,172,215,199,73,52,23,939,828,1961,1681,1682,1417,697,385,210,8870,38,101,102,55,48,32,25,10,416,619,1139,822,629,476,448,519,527,5186,3224,12570,10730,6613,4178,2179,1282,858,41626
21004,421,213,158,84,23,3,1282,27,244,224,174,149,104,26,6,952,322,1458,1225,798,512,338,104,23,4778,248,864,884,795,652,425,140,21,4030,589,1838,1558,1483,1294,703,259,73,7808,82,81,88,69,66,40,0,0,434,62,87,110,143,122,83,41,12,654,735,2005,1749,1698,1489,830,305,85,8896,7,31,21,36,38,30,13,11,193,264,363,356,324,304,264,238,100,2224,1620,5333,4892,4038,3292,2076,845,261,22347
21005,3281,978,473,223,40,0,8290,140,789,722,461,253,129,30,4,2532,1967,7858,6259,2706,1614,780,188,43,21408,1153,4410,4452,2640,1684,756,204,40,15356,2223,5266,4366,3520,2912,1358,555,107,20308,341,398,336,240,175,82,15,4,1604,228,481,541,488,403,189,75,16,2412,2790,6145,5247,4244,3488,1633,648,130,24322,88,210,273,164,122,85,43,10,993,1904,2819,2454,1666,1411,985,656,264,12157,8273,25304,22689,12852,9035,4594,1815,485,85048
21101,3057,1569,1095,531,156,31,8787,93,569,850,738,617,385,124,21,3393,1682,6236,6604,4440,2991,1921,676,178,24735,814,2280,2985,3110,2546,1717,739,214,14408,1660,3711,3567,4166,3826,2432,1225,337,20923,257,212,225,195,169,139,44,12,1246,99,202,321,406,507,380,190,61,2161,2017,4132,4113,4759,4499,2956,1450,409,24332,32,100,131,106,137,152,84,41,793,672,951,939,850,864,910,1008,709,6898,5449,16477,18680,15580,12754,8568,4236,1607,83340
21102,392,453,316,191,66,11,1725,14,65,128,226,197,135,56,5,828,346,706,1079,1328,912,585,208,61,5216,121,180,335,556,505,391,192,46,2323,270,291,317,645,592,313,209,71,2707,33,8,14,28,29,24,13,0,144,28,9,37,83,82,71,38,23,358,329,305,371,752,707,406,256,89,3216,9,6,18,32,24,27,24,15,154,98,82,108,147,145,136,156,127,1004,937,1614,2432,3488,2805,1870,960,356,14451
21103,2168,1196,708,454,142,32,6561,49,538,813,733,575,428,136,17,3293,978,4638,5168,3288,2007,1404,632,150,18262,584,1611,2124,2210,1751,1271,653,218,10430,1209,2620,2635,2841,2663,1453,817,266,14514,138,147,156,158,114,84,28,7,829,103,125,222,309,385,284,183,65,1684,1453,2891,3014,3308,3166,1818,1026,341,17022,23,62,104,60,81,108,82,39,557,399,669,672,634,599,639,722,624,4966,3559,12195,14065,11434,8884,6129,3396,1427,61091
21104,2071,1102,537,313,153,26,5764,30,241,428,458,353,280,107,18,1909,818,2824,3597,2557,1451,1090,459,133,12927,335,719,949,1142,957,732,435,134,5402,466,737,678,1032,921,566,400,144,4939,60,58,64,39,47,49,21,0,330,44,58,84,161,155,140,102,53,791,575,852,825,1234,1125,748,519,203,6067,9,43,59,50,56,51,55,21,347,217,330,341,324,291,375,472,464,2811,2026,6499,8272,6867,4768,3595,2196,993,35228
21105,1461,1088,768,569,209,27,5217,63,535,813,811,727,572,157,14,3699,881,4281,4344,3433,2448,1920,727,137,18176,667,2325,2914,2979,2488,1797,751,161,14079,2184,5526,5130,5279,4690,2808,1201,274,27100,305,226,257,218,213,141,54,9,1421,132,223,332,428,487,398,185,45,2231,2626,5971,5719,5920,5389,3356,1445,323,30744,29,83,66,93,105,124,100,29,629,794,918,965,1117,1138,1097,910,488,7427,5109,15157,16284,15450,13063,9439,4299,1179,79977
21201,1379,566,326,200,62,7,3857,59,452,518,404,272,180,61,7,1956,742,3524,3312,1942,1078,779,266,50,11689,605,2492,2694,1869,1287,791,330,61,10126,1623,5064,4191,3615,2691,1418,617,140,19357,273,226,210,144,131,71,15,0,1081,118,230,279,323,262,184,81,22,1496,2010,5527,4676,4079,3086,1670,715,161,21929,26,109,135,67,55,54,35,6,485,887,1203,1037,948,807,738,665,363,6644,4374,14575,13754,9878,6911,4417,2133,651,56692
21202,2237,1127,618,307,102,12,5989,71,406,531,505,351,206,64,9,2135,1319,4513,4580,2935,1832,1058,358,84,16682,750,2145,2762,2584,1946,1012,380,131,11707,1525,3226,3107,3484,3163,1754,708,216,17181,248,208,197,184,159,95,25,10,1134,118,213,296,409,412,235,116,36,1836,1890,3643,3599,4079,3740,2087,848,263,20150,53,110,144,106,113,106,52,20,706,1038,1355,1200,1076,932,881,744,400,7620,5196,13692,15054,12402,9533,5658,2542,917,65001
