SA3_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
20504,76,196,144,85,268,271,59,118,21,1245,79,138,96,66,217,236,63,144,271,1312,1846,4879,3921,2797,6764,5985,1924,3284,668,32055
20505,54,113,96,44,125,161,36,72,7,711,46,83,52,37,95,145,25,96,175,758,1136,2865,2261,1602,3186,3756,1123,2931,411,19272
20601,137,248,217,152,384,293,74,115,12,1635,75,202,163,120,377,415,96,190,285,1928,2819,7334,6004,4517,11159,12112,3295,6008,593,53847
20602,88,164,133,97,198,148,40,64,10,929,41,104,98,72,179,241,55,115,136,1035,1613,4204,3531,2748,5936,6792,2122,3854,279,31082
20603,86,165,158,93,201,170,48,109,4,1025,43,147,139,87,325,262,59,159,222,1440,1933,5028,4302,2811,7679,8692,2466,4977,455,38353
20604,184,440,465,170,419,332,80,148,24,2272,166,460,482,185,644,692,121,280,690,3710,4857,13784,11939,5410,18608,21237,4510,8670,1327,90335
20605,177,327,296,164,339,308,93,161,23,1891,107,227,205,134,444,656,156,346,328,2601,2902,6847,6031,4118,11737,15079,4333,9288,684,61027
20606,101,152,176,69,203,167,43,88,6,993,59,167,137,80,298,383,96,234,203,1649,1665,4313,3517,2341,7533,9821,2745,6170,469,38572
20607,138,239,234,135,304,279,88,153,11,1580,73,207,147,125,362,518,111,293,288,2123,2607,6318,5104,4037,11392,14374,4411,8877,577,57692
20701,169,454,320,176,367,337,103,191,11,2138,140,456,295,178,504,723,137,459,459,3346,3916,14481,9766,6224,13818,19136,5439,13300,916,86987
20702,116,313,253,128,277,300,61,115,14,1574,97,262,193,124,398,407,68,181,353,2080,2105,7308,5529,3461,9155,10202,2211,4588,667,45230
20703,108,334,296,142,320,303,70,141,3,1714,82,285,298,130,446,449,72,139,417,2317,2469,8920,6965,4109,10498,11430,2759,5202,695,53036
20801,122,293,184,136,181,217,87,154,12,1376,81,336,214,112,266,476,133,344,267,2240,2476,8533,5584,3697,6841,10806,3337,8671,562,50508
20802,177,449,372,216,407,418,140,212,18,2416,130,393,311,200,660,758,166,395,516,3528,3823,12285,9601,6374,15774,19629,5152,10152,1031,83816
20803,173,371,329,173,411,371,115,200,23,2167,93,286,221,146,546,687,125,272,328,2701,3168,8921,7122,5010,12698,14969,4114,7525,738,64270
20804,34,110,71,35,100,66,36,52,0,508,31,117,79,58,133,194,58,147,115,926,1069,3515,2500,1587,3752,4806,1508,3829,236,22804
20901,161,340,279,185,397,378,84,217,11,2049,94,276,234,149,413,489,99,229,307,2285,3405,9384,7322,5183,12195,14492,3886,7397,665,63920
20902,140,251,235,114,344,311,67,107,25,1602,88,247,221,134,444,432,83,159,439,2252,2512,6635,6070,3955,10740,10381,2619,4211,877,48002
20903,106,232,208,87,203,274,54,147,18,1337,55,183,112,77,230,293,66,166,163,1342,2026,5834,4167,2822,5775,7869,2224,4702,424,35841
20904,330,708,642,300,1027,856,241,342,50,4490,222,570,496,333,1520,1217,210,386,1099,6036,5547,15810,14071,9364,29296,25741,6022,9926,2363,118148
21001,88,180,143,74,182,191,56,138,20,1065,69,124,115,61,276,273,48,132,227,1318,1616,4186,3317,2165,6032,6701,1749,3677,466,29908
21002,49,107,84,48,90,129,35,103,13,659,27,85,49,39,98,140,33,81,89,639,947,2528,1812,1274,2753,3552,1086,2291,296,16546
21003,104,180,197,115,314,247,49,87,12,1309,59,169,176,89,381,324,61,123,353,1727,1958,4922,4856,3072,8950,8662,2074,3484,716,38693
21004,77,137,102,57,167,177,60,93,14,884,37,98,53,45,192,182,31,97,145,887,1335,2986,2501,1754,5164,5256,1478,2471,324,23278
21005,235,457,468,201,698,598,121,198,52,3021,171,531,479,265,1136,916,160,257,1129,5041,3803,11405,10329,6388,20631,17438,3803,6442,2281,82519
21101,233,508,424,234,686,652,179,297,21,3233,127,392,344,250,979,848,177,311,503,3941,3775,11743,9434,6321,18702,18401,4585,7503,1081,81545
21102,38,84,70,40,75,98,25,49,3,479,18,98,59,36,105,105,20,76,55,570,662,2469,1650,978,2086,2724,754,1937,123,13376
21103,159,350,304,174,473,454,121,222,10,2272,88,253,199,126,621,520,132,224,354,2521,2886,8496,6791,4706,12362,13113,3572,6115,715,58759
21104,69,171,149,93,223,196,62,87,3,1054,35,158,126,88,275,272,53,95,179,1276,1369,4662,3686,2451,6622,6875,1715,2920,371,30675
21105,303,621,473,267,635,762,199,408,43,3706,160,397,278,193,759,799,182,351,518,3633,4707,12179,9364,6474,15263,16918,4722,8674,1183,79488
21201,213,359,303,156,513,503,129,251,29,2462,117,268,221,148,715,680,128,296,468,3041,3014,7946,6505,4529,13066,12716,3508,6442,1061,58784
21202,173,411,332,153,534,504,110,207,26,2455,103,350,275,184,935,798,156,270,587,3668,2795,9066,7421,5031,15551,14257,3494,5841,1209,64667
21203,317,539,536,262,1029,806,205,318,35,4052,186,549,511,349,1765,1335,252,435,1159,6548,4768,13267,12732,8808,28896,23643,5633,8872,2277,108888
21204,250,619,605,273,894,590,155,212,52,3644,181,717,623,387,1999,1199,184,334,1141,6766,3226,11870,10795,6646,23306,17264,3697,5806,2116,84715
21205,221,487,407,235,565,463,109,207,32,2726,129,513,459,253,937,868,144,255,789,4347,3847,13742,11034,6416,19423,19955,4322,7705,1437,87886
21301,266,556,607,246,704,555,132,180,49,3307,178,584,544,334,1317,893,186,269,1146,5449,3802,11196,10085,6094,20123,16132,3605,5753,2132,78928
21302,104,222,200,120,260,274,88,142,15,1412,63,151,148,83,311,386,86,179,301,1705,2261,5350,4409,3174,8513,10125,2764,5617,577,42791
21303,133,218,213,143,314,237,70,120,16,1462,74,194,206,91,416,420,75,175,404,2059,2437,5704,5305,3649,10478,10751,2847,5176,709,47058
21304,220,501,432,225,775,648,149,304,31,3295,154,387,353,250,1016,920,159,330,937,4517,4496,11721,9901,6850,21553,20536,4804,8741,2029,90639
21305,298,623,577,310,1002,772,196,299,57,4126,229,642,730,417,1637,1467,228,443,1635,7421,6094,16668,15990,10279,34768,33321,6577,11102,3245,138048
21401,284,393,339,180,525,569,137,237,22,2683,137,331,242,157,717,757,175,300,492,3300,3823,9367,7818,5704,14588,15260,4054,6920,1018,68545
21402,307,517,421,228,445,459,125,243,28,2773,180,470,285,185,505,576,143,334,551,3235,5023,12820,9558,6538,12259,15002,4289,8956,1324,75773
21501,45,127,106,70,174,200,46,84,6,862,51,108,64,51,133,139,29,77,214,862,1432,3901,2990,2454,4725,5399,1423,4031,541,26892
21502,57,130,107,74,219,195,41,88,16,932,71,133,109,67,202,172,46,92,334,1223,1208,3334,2809,2134,5564,4906,1347,3091,705,25101
21503,31,69,67,46,112,121,44,96,11,598,44,115,61,46,178,148,37,70,215,912,753,2381,1884,1386,3022,3351,1012,2693,439,16906
21601,47,126,99,54,131,165,39,84,18,772,46,85,45,33,109,128,31,78,180,732,992,2555,2097,1464,3070,3234,1028,2572,462,17465
21602,29,73,46,41,79,110,34,57,8,476,29,63,45,29,72,86,17,43,134,514,712,1910,1443,1138,2177,2501,766,1885,341,12870
21603,69,204,150,90,301,255,77,138,14,1296,57,157,113,59,224,259,67,127,294,1353,1472,4233,3307,2588,6190,6193,1849,3554,619,30019
21701,31,86,62,49,100,128,28,58,5,552,41,107,47,27,84,107,28,70,150,661,943,2559,2015,1382,2617,3279,894,2539,361,16589
21703,34,89,51,36,107,123,27,75,6,553,49,109,60,31,100,116,31,67,180,749,1027,2957,2097,1476,2847,3187,1047,3109,471,18216
21704,56,167,131,66,169,170,37,94,13,911,43,111,69,50,130,162,36,86,195,884,1465,4192,3117,2193,4553,4945,1500,3355,510,25830
29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,15
29999,7,4,5,3,11,15,0,0,4,56,20,10,10,8,17,19,0,7,36,126,164,300,218,132,329,340,91,164,69,1797
