SA3_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
20606,9,148,4,148,..,203,53,252,4,261,..,163,55,213,0,218,..,321,54,369,4,377,..,1137,113,1250,24,1274,..,11931,1688,13616,116,13736,..,147,23,173,3439,3610,45194,12081,1708,13788,3552,62539
20607,0,94,0,94,..,191,41,232,0,227,..,217,60,273,0,277,..,1799,1183,2978,24,3004,..,2177,348,2524,59,2586,..,14401,3659,18063,192,18256,..,313,47,361,4402,4761,68044,14716,3708,18427,4590,91060
20701,16,683,3,684,..,329,41,369,0,369,..,191,17,211,4,210,..,1792,272,2067,16,2080,..,2115,195,2310,60,2373,..,41121,6756,47878,346,48227,..,507,49,556,4555,5117,114556,41632,6809,48437,4906,167900
20702,16,387,0,388,..,132,21,152,0,153,..,220,40,258,0,258,..,627,120,748,10,757,..,1528,232,1762,68,1836,..,42614,8846,51455,449,51905,..,379,75,455,2572,3025,43453,42994,8918,51911,3020,98386
20703,24,638,12,648,..,251,52,306,0,306,..,73,7,80,0,80,..,1182,274,1461,6,1469,..,1694,199,1897,55,1952,..,34817,9565,44380,386,44760,..,310,58,367,3654,4026,58400,35133,9623,44751,4045,107187
20801,8,89,0,91,..,124,10,133,3,138,..,224,16,240,0,245,..,226,28,258,0,258,..,1665,135,1801,39,1842,..,13763,1725,15487,158,15645,..,306,33,342,3191,3534,82132,14071,1758,15830,3349,101306
20802,27,844,14,856,..,316,55,369,4,374,..,181,20,201,7,204,..,1075,149,1220,8,1234,..,6993,503,7496,137,7630,..,42718,5935,48656,452,49114,..,601,86,687,4679,5364,101992,43325,6026,49349,5134,156469
20803,23,383,4,387,..,237,41,276,0,279,..,508,104,610,8,616,..,549,98,645,8,652,..,2237,243,2483,52,2535,..,20521,2940,23465,243,23705,..,389,53,445,3679,4117,94872,20911,2997,23908,3916,122693
20804,5,119,0,119,..,67,3,71,0,73,..,44,0,45,0,45,..,244,40,286,7,287,..,661,54,717,18,732,..,8302,1085,9388,89,9474,..,90,8,99,1249,1344,31348,8395,1088,9487,1333,42162
20901,30,547,9,550,..,258,30,284,5,292,..,159,13,169,0,171,..,776,148,923,4,933,..,2642,356,3000,90,3089,..,23714,3542,27255,290,27548,..,430,56,479,3576,4061,94634,24146,3592,27742,3865,126236
20902,27,407,8,419,..,192,37,226,0,226,..,269,59,332,0,335,..,1861,668,2521,14,2538,..,2626,377,3006,63,3068,..,29526,6735,36261,307,36574,..,371,86,457,4280,4738,53993,29896,6826,36717,4587,95299
20903,0,60,0,59,..,50,8,56,0,56,..,107,24,127,0,127,..,82,9,86,0,86,..,665,73,743,23,763,..,5627,528,6151,66,6219,..,150,6,158,1956,2115,58767,5775,527,6308,2022,67105
20904,229,2573,30,2604,..,361,80,441,12,447,..,1587,391,1977,8,1984,..,3676,1606,5283,46,5330,..,8542,1356,9895,238,10133,..,90766,15626,106387,1120,107509,..,1490,334,1818,10171,11994,132518,92258,15955,108211,11294,252026
21001,12,146,0,153,..,109,20,137,0,134,..,423,56,483,7,489,..,1250,376,1628,9,1633,..,1475,155,1629,24,1646,..,16086,2646,18731,144,18874,..,265,38,310,1706,2013,40803,16354,2687,19039,1847,61687
21002,0,7,0,7,..,35,0,34,0,34,..,36,0,41,0,41,..,19,6,22,0,22,..,262,26,287,5,290,..,1323,96,1419,18,1433,..,68,0,62,1500,1564,29966,1386,99,1486,1515,32969
21003,24,293,0,295,..,152,21,175,0,175,..,1681,422,2104,19,2124,..,637,194,824,8,832,..,2548,443,2993,84,3074,..,29395,4706,34098,387,34484,..,486,92,578,4104,4686,41371,29881,4796,34675,4496,80537
21004,0,34,0,34,..,88,16,105,4,111,..,72,10,75,0,81,..,95,19,116,4,119,..,645,94,735,18,756,..,4590,466,5056,69,5126,..,110,7,120,1734,1855,38084,4703,472,5181,1803,45064
21005,66,933,18,953,..,333,96,431,4,433,..,11493,3150,14647,103,14751,..,1335,645,1975,12,1989,..,17286,5911,23193,295,23486,..,94665,19293,113955,1165,115121,..,1950,654,2609,10470,13074,75872,96616,19944,116567,11634,204071
21101,67,1452,6,1457,..,321,34,355,4,362,..,151,24,175,3,176,..,967,315,1282,10,1294,..,2951,518,3472,112,3583,..,38445,6804,45248,493,45739,..,586,107,690,4530,5218,108188,39028,6904,45933,5024,159148
21102,0,30,0,30,..,18,4,18,0,18,..,25,4,31,0,31,..,62,8,71,0,71,..,295,23,312,15,331,..,4840,825,5668,46,5716,..,70,12,86,711,795,19875,4917,835,5751,755,26386
21103,15,265,3,269,..,245,31,277,0,279,..,61,16,71,0,71,..,426,115,541,4,540,..,3039,1398,4431,108,4543,..,18083,4188,22270,275,22547,..,439,122,560,3301,3863,88179,18519,4311,22830,3574,114579
