SA3_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
20402,418,415,834,1044,882,1925,567,602,1168,180,213,391,1794,1703,3495,594,608,1201,595,622,1220,282,256,536,1471,1491,2964,42,82,120,49,109,154,175,135,300,163,288,452,4,3,7,431,610,1038,83,164,242,48,103,150,10,44,55,110,252,362,0,5,5,251,568,824,688,1174,1863,59,55,112,71,121,189,3,5,6,129,177,309,1618,1653,3265,6113,6612,12729
20403,816,809,1627,2098,2066,4163,791,739,1532,334,314,651,3232,3119,6350,1447,1452,2903,708,713,1416,368,376,748,2531,2542,5068,231,204,433,143,236,377,377,229,611,316,557,876,7,7,11,1077,1224,2300,141,351,494,97,234,329,40,91,135,237,539,773,3,3,4,519,1218,1738,1595,2448,4044,122,82,201,114,212,330,3,3,8,237,297,537,2427,2219,4648,10830,11443,22273
20501,656,593,1247,1719,1543,3257,421,425,847,306,293,605,2446,2266,4713,1112,1088,2195,379,428,806,356,393,747,1838,1906,3745,80,99,179,40,128,167,233,144,382,195,361,554,3,4,3,550,738,1287,199,389,585,74,198,272,31,82,109,131,379,505,3,5,3,434,1050,1480,982,1790,2770,89,73,164,95,159,253,0,3,8,182,237,425,1705,1715,3422,7818,8506,16319
20502,434,391,827,1161,1138,2300,333,344,675,114,124,238,1605,1604,3210,736,746,1481,362,361,722,112,112,220,1208,1217,2431,49,63,115,22,72,92,141,114,251,128,297,429,5,0,8,344,547,890,39,91,129,39,96,141,4,43,52,73,250,325,0,0,7,155,492,648,503,1041,1544,51,39,88,57,122,185,6,7,16,122,172,294,1944,1941,3883,5815,6374,12190
20503,660,607,1267,2048,1894,3948,366,294,656,271,246,521,2688,2432,5123,1365,1307,2671,247,320,564,364,379,735,1979,2002,3976,67,85,149,51,102,156,235,123,352,179,331,520,5,8,18,541,643,1192,147,287,427,56,171,234,28,56,80,118,379,504,7,7,7,350,898,1249,889,1547,2439,71,50,124,99,173,270,4,0,5,171,227,398,2478,2616,5092,8865,9432,18294
20504,756,682,1438,2086,1903,3992,779,811,1588,189,147,333,3060,2857,5921,1536,1401,2934,533,590,1122,220,221,444,2288,2205,4501,80,136,211,71,190,265,275,214,488,257,447,707,6,3,10,694,996,1685,258,433,683,136,254,396,52,97,150,192,413,601,6,6,7,644,1201,1839,1332,2190,3526,93,80,173,143,229,368,6,6,13,241,314,556,2930,2980,5914,10617,11236,21847
20505,431,391,825,1181,1104,2292,423,429,851,174,148,322,1785,1677,3464,726,690,1411,424,422,850,177,221,395,1327,1336,2657,48,53,105,29,70,95,157,109,265,106,291,391,3,3,9,336,521,859,73,170,239,40,117,158,21,45,66,98,282,387,0,0,3,234,616,846,577,1136,1711,59,40,99,56,115,171,8,6,9,123,157,280,2462,1624,4086,6703,6317,13022
20601,838,735,1574,1890,1854,3742,525,539,1063,147,159,306,2569,2554,5117,1436,1259,2696,283,432,713,244,270,510,1971,1958,3926,222,189,411,288,346,636,185,109,292,458,533,992,0,0,3,1147,1184,2333,1367,1860,3228,1009,1344,2352,214,291,505,787,1490,2283,6,3,15,3382,4987,8375,4536,6179,10713,136,125,266,237,304,540,4,6,10,375,437,817,1452,1480,2933,11739,13344,25085
20602,533,547,1077,1442,1462,2904,294,266,564,90,88,186,1833,1824,3659,1029,927,1951,250,299,556,286,297,580,1569,1527,3094,92,94,184,129,163,292,94,37,136,217,312,525,0,0,0,532,604,1138,682,828,1502,466,657,1117,103,123,224,446,892,1340,4,3,6,1694,2490,4188,2227,3104,5324,52,46,96,103,199,300,0,0,0,153,247,399,840,929,1765,7149,8170,15324
20603,668,677,1342,1231,1060,2289,887,785,1666,281,364,644,2406,2210,4615,796,644,1445,729,676,1410,465,623,1095,1993,1947,3941,158,134,290,156,234,389,181,66,247,245,318,566,3,0,3,742,748,1490,1083,1321,2407,449,553,1004,162,166,327,494,706,1197,4,0,8,2195,2751,4942,2939,3503,6446,127,132,255,182,272,455,5,4,11,315,413,724,1422,1517,2940,9738,10264,20000
20604,659,592,1250,1416,1236,2650,234,235,465,242,274,509,1886,1741,3626,967,872,1833,114,178,292,401,439,837,1483,1482,2974,639,722,1364,1118,1558,2680,303,269,573,1158,1518,2679,3,8,18,3223,4083,7308,7288,8908,16196,3411,3474,6883,460,587,1044,1447,1712,3161,21,28,44,12622,14709,27328,15866,18805,34672,752,967,1714,879,1166,2050,3,5,13,1643,2141,3775,5720,5405,11120,27257,30166,57417
20605,784,788,1568,1823,1726,3550,277,263,542,391,383,776,2495,2378,4873,1038,917,1957,197,224,426,728,771,1498,1959,1914,3873,176,136,318,315,358,670,122,101,222,576,790,1368,0,0,0,1198,1389,2581,1082,1331,2416,677,937,1612,189,234,427,760,1324,2082,6,12,14,2711,3843,6553,3907,5234,9140,156,168,327,353,481,835,7,4,16,517,657,1176,3350,3268,6624,13018,14240,27261
20606,411,352,767,491,512,1006,183,176,356,393,417,810,1068,1104,2175,204,236,440,155,147,304,605,662,1264,968,1041,2012,88,105,195,178,176,352,51,74,119,297,368,666,4,0,5,614,722,1337,1025,1407,2430,513,682,1195,132,209,338,595,865,1452,8,3,12,2265,3163,5429,2881,3885,6768,71,116,189,150,268,421,0,5,4,223,390,615,1721,1938,3662,7284,8716,15999
20607,646,631,1279,1510,1539,3045,242,220,460,208,233,439,1962,1995,3954,787,964,1756,252,185,443,373,421,790,1420,1571,2989,111,130,241,223,281,501,96,68,158,459,459,920,0,3,3,882,941,1828,1164,1709,2872,901,1186,2083,248,320,565,1021,1524,2546,6,4,18,3341,4751,8089,4225,5691,9921,97,171,272,287,345,633,9,0,11,395,520,915,2483,2273,4753,11123,12678,23801
20701,1624,1535,3155,4255,3873,8131,1121,985,2112,1222,1434,2654,6612,6302,12912,2373,2337,4708,1538,1170,2703,3285,3493,6779,7199,7000,14205,277,214,487,248,326,580,254,107,360,495,679,1175,7,9,10,1279,1339,2615,4354,4477,8830,1088,1151,2241,505,497,999,1044,1484,2530,14,8,23,7006,7617,14623,8291,8959,17247,221,196,423,359,542,909,11,3,13,591,743,1338,2425,2598,5024,26746,27142,53885
20702,1012,909,1926,2912,2710,5620,655,621,1279,314,355,671,3888,3686,7579,2095,1803,3893,640,621,1258,577,608,1186,3307,3037,6345,158,100,261,186,235,420,211,86,295,333,513,845,7,0,5,890,932,1828,1674,1720,3396,470,530,1002,210,185,398,397,530,925,3,8,17,2757,2977,5741,3654,3919,7573,147,147,297,294,459,755,7,3,7,446,617,1062,1500,1616,3112,13810,13788,27594
20703,1052,932,1988,2948,2750,5696,580,585,1163,305,449,753,3837,3787,7619,2068,1752,3822,707,773,1487,909,1136,2042,3692,3669,7359,289,189,484,378,442,817,302,128,437,474,668,1140,4,3,7,1447,1434,2883,2648,2873,5525,929,981,1910,280,296,572,554,794,1354,8,12,19,4418,4955,9371,5877,6397,12268,289,224,515,368,520,890,10,6,10,659,748,1409,2103,2122,4228,17219,17650,34873
20801,1074,1058,2131,2529,2433,4960,829,832,1659,987,861,1850,4342,4130,8472,1286,1129,2414,638,821,1455,2351,2165,4520,4285,4117,8401,137,99,233,59,144,204,225,76,298,209,379,590,0,7,11,627,709,1336,1830,1928,3759,271,333,600,223,207,432,395,714,1111,4,3,8,2721,3189,5912,3357,3902,7255,74,65,138,187,334,520,0,0,3,259,406,664,1703,1943,3649,15017,15551,30571
20802,1874,1706,3578,4052,3729,7784,942,990,1939,1453,1452,2899,6459,6186,12645,2504,2114,4619,997,1133,2131,2088,2044,4135,5602,5302,10906,308,225,535,290,417,703,295,143,439,551,773,1328,5,3,8,1449,1563,3011,2812,3186,5998,1011,1125,2135,338,369,706,826,1263,2090,9,11,13,5003,5945,10945,6456,7514,13966,276,231,504,442,597,1043,9,8,18,727,840,1564,2537,2839,5380,23659,24388,48051
20803,1488,1454,2943,3536,3446,6983,1159,1009,2167,359,371,723,5056,4825,9882,2230,2317,4550,1190,983,2171,739,805,1542,4166,4110,8274,239,222,458,137,250,385,410,183,593,450,653,1097,3,0,8,1249,1301,2548,1227,1532,2758,306,485,794,168,242,412,524,931,1450,3,8,12,2225,3201,5426,3478,4502,7978,126,121,247,253,411,663,0,3,3,380,535,918,2032,2156,4190,16597,17589,34181
20804,461,391,852,825,754,1587,313,286,597,405,412,820,1550,1451,3004,195,206,397,482,428,912,839,880,1722,1514,1512,3025,88,54,143,91,85,174,62,22,83,152,165,323,0,0,0,390,338,726,1025,1153,2177,279,335,612,118,116,229,253,370,620,0,3,0,1670,1973,3643,2063,2310,4371,61,55,118,95,141,237,0,0,5,158,200,358,688,685,1369,6429,6551,12988
20901,1554,1412,2969,3833,3656,7489,1146,1149,2297,290,333,620,5274,5142,10425,2480,2191,4673,1032,1007,2038,709,793,1510,4228,3999,8228,224,191,416,190,273,465,371,143,511,448,580,1028,6,6,7,1235,1190,2425,1549,1905,3457,553,718,1268,202,256,460,626,1063,1687,4,0,7,2936,3945,6877,4170,5134,9306,185,133,317,337,432,770,6,4,12,528,577,1102,2071,1973,4045,17832,18236,36067
20902,1006,882,1885,2110,1977,4085,705,689,1400,220,247,470,3048,2912,5963,1464,1279,2745,713,752,1470,249,242,490,2426,2273,4700,282,210,492,376,392,768,260,135,399,438,522,959,10,0,7,1361,1267,2629,1303,1673,2970,853,910,1758,138,201,342,520,914,1436,12,8,20,2827,3703,6531,4197,4975,9169,241,232,476,291,343,637,6,5,8,543,582,1122,2450,2333,4780,13662,13966,27631
20903,782,769,1554,2446,2226,4674,375,382,753,223,178,403,3044,2795,5843,1703,1573,3277,604,721,1325,478,482,963,2793,2778,5570,130,131,263,48,99,146,439,116,553,236,294,526,3,4,3,850,642,1492,759,1021,1774,128,245,372,117,132,247,234,503,735,5,5,5,1239,1903,3135,2092,2543,4638,37,46,87,119,226,342,5,3,7,165,269,432,1068,1036,2100,9945,10189,20129
20904,3616,3129,6747,8391,7719,16111,3107,3038,6141,896,887,1789,12415,11670,24086,5498,5265,10759,2282,2232,4509,781,827,1606,8561,8337,16897,691,547,1237,580,906,1487,900,388,1282,1025,1415,2434,18,13,29,3213,3266,6478,2456,3301,5759,1035,1406,2446,259,364,622,775,1344,2116,15,17,31,4539,6434,10974,7771,9724,17493,673,657,1326,780,1097,1873,16,10,24,1469,1761,3226,5794,5741,11538,39628,40360,79985
21001,701,631,1331,1110,1004,2113,1138,1129,2269,243,267,513,2495,2404,4902,1017,843,1859,806,831,1633,417,376,792,2241,2051,4295,113,71,182,82,103,184,211,56,264,163,238,398,3,4,6,567,471,1034,723,914,1631,161,226,390,97,113,211,201,343,546,5,5,8,1187,1596,2782,1754,2072,3830,75,57,135,120,163,282,4,8,9,201,230,424,988,1010,2001,8384,8402,16785
21002,441,388,831,1164,1106,2268,339,341,675,134,137,271,1631,1587,3213,557,554,1105,459,417,873,333,301,632,1343,1269,2619,47,40,85,19,35,53,150,52,198,93,154,252,3,0,3,310,279,592,229,306,533,38,86,126,41,39,78,108,244,354,0,0,0,414,679,1091,722,963,1687,14,32,52,61,79,137,0,0,0,79,113,189,790,790,1578,5007,5115,10120
21003,1012,936,1947,1792,1632,3424,856,757,1612,484,560,1047,3139,2954,6089,1136,1061,2201,611,656,1272,410,401,813,2164,2126,4291,379,209,590,328,338,668,289,118,409,363,452,818,11,5,19,1378,1119,2498,869,1102,1969,513,544,1055,113,132,248,394,637,1037,12,17,19,1905,2428,4332,3289,3555,6844,269,209,485,261,361,625,5,6,14,541,580,1117,2299,2231,4530,12440,12379,24820
21004,520,529,1046,1327,1250,2576,556,517,1073,114,86,197,1993,1856,3852,901,839,1744,409,406,813,149,178,327,1459,1428,2887,74,91,168,40,99,143,206,89,297,207,303,511,7,4,9,532,589,1120,312,451,767,101,159,252,46,75,115,115,299,410,0,0,0,574,978,1551,1109,1562,2671,62,59,119,120,152,267,4,0,3,181,208,386,956,936,1885,6222,6519,12740
21005,2664,2382,5048,6496,5984,12482,2117,2094,4208,1629,1679,3302,10273,9766,20043,4405,4106,8509,1430,1445,2877,1523,1695,3222,7372,7267,14644,792,601,1391,688,912,1600,621,275,896,830,1237,2073,14,7,25,2945,3036,5984,2185,2973,5155,756,1009,1769,263,314,574,476,847,1328,8,18,27,3691,5160,8852,6656,8211,14869,859,919,1779,728,1215,1947,18,21,34,1600,2152,3760,6193,5684,11875,34761,35471,70235
21101,1756,1566,3324,4954,4514,9469,935,900,1830,575,532,1104,6465,5953,12417,3289,3192,6474,1270,1065,2335,871,814,1686,5432,5079,10513,305,332,639,206,370,575,631,261,893,616,944,1563,7,4,10,1765,1914,3683,1878,2215,4089,484,666,1156,258,317,570,589,923,1520,5,10,9,3208,4127,7333,4985,6053,11035,233,249,481,421,582,1001,13,3,13,669,836,1501,2525,2625,5149,21833,22110,43942
21102,242,231,474,734,692,1431,168,162,328,204,215,417,1104,1074,2180,453,433,887,304,237,540,500,478,977,1254,1155,2408,49,35,87,30,34,59,118,38,150,64,91,159,0,0,0,259,199,461,461,537,1000,67,83,151,58,88,146,89,152,238,0,0,0,673,866,1536,932,1060,1998,16,19,39,52,90,142,0,4,0,73,117,185,349,404,751,3958,4034,7993
21103,1526,1336,2863,3624,3414,7043,727,704,1435,531,515,1047,4890,4640,9530,2275,2085,4361,762,736,1493,909,853,1767,3953,3672,7626,197,237,433,173,253,426,518,200,718,454,666,1119,7,8,13,1347,1368,2713,1027,1258,2284,337,493,830,175,211,386,487,851,1338,4,4,7,2032,2813,4846,3382,4188,7572,157,136,298,292,512,799,0,6,8,451,654,1106,1779,1964,3746,15985,16452,32435
21104,781,693,1481,2153,1997,4156,305,342,651,179,205,389,2640,2552,5195,1423,1273,2693,407,459,858,379,354,738,2206,2088,4287,139,95,234,110,173,286,180,83,261,229,373,601,0,0,3,664,721,1383,943,1002,1946,272,292,566,130,115,248,262,419,678,7,8,11,1611,1833,3440,2270,2563,4836,115,115,229,173,250,416,0,0,0,287,368,653,970,1169,2139,9154,9432,18591
21105,1909,1788,3696,5113,4631,9751,937,916,1854,720,726,1446,6781,6285,13070,3261,3074,6329,1017,1072,2088,1082,1041,2122,5365,5184,10549,246,329,581,154,266,417,860,381,1249,633,886,1518,13,8,18,1908,1866,3775,901,1354,2259,254,525,774,176,258,433,487,1097,1581,3,9,20,1829,3240,5066,3741,5111,8854,142,140,284,307,546,852,5,3,12,456,691,1146,2984,2758,5747,21236,21822,43056
21201,1726,1611,3335,4280,3851,8135,959,1000,1958,828,868,1697,6073,5725,11807,2383,2374,4759,777,792,1577,975,938,1913,4135,4121,8256,249,279,523,207,374,586,583,280,863,470,791,1260,8,0,11,1515,1728,3246,750,1069,1820,263,521,787,110,194,303,324,799,1119,4,4,9,1453,2590,4038,2967,4326,7291,203,182,388,294,475,771,4,5,9,504,665,1170,2961,3028,5991,18368,19484,37848
21202,1544,1396,2940,4297,3962,8261,961,952,1907,884,915,1793,6156,5840,11998,3202,2928,6130,981,979,1956,1055,1115,2166,5247,5029,10278,319,367,690,273,435,708,556,214,778,515,844,1357,13,9,20,1679,1870,3550,1566,1870,3435,409,617,1027,200,243,446,438,640,1076,4,7,11,2623,3373,5995,4308,5258,9570,286,266,552,410,584,989,3,8,16,700,858,1557,3351,3344,6692,21306,21723,43029
21203,3296,2970,6269,9326,8744,18068,1837,1777,3615,1346,1365,2707,12529,11916,24444,5679,5517,11197,1620,1659,3278,1256,1239,2497,8573,8423,16996,612,748,1362,585,858,1448,778,436,1217,1031,1627,2660,14,6,16,3027,3668,6698,2069,2722,4798,706,1116,1819,246,365,614,656,1276,1926,18,13,32,3690,5497,9189,6742,9183,15924,629,647,1278,801,1164,1964,18,18,32,1447,1832,3280,5310,5102,10413,37891,39426,77318
21204,1819,1686,3503,4806,4601,9402,1481,1393,2874,757,762,1523,7058,6767,13826,4136,3703,7834,1090,1286,2378,768,723,1493,6005,5718,11726,775,627,1400,723,871,1593,478,259,734,820,1075,1894,7,12,20,2804,2840,5645,2674,3054,5726,1093,1191,2283,275,310,585,548,740,1290,18,11,30,4599,5305,9912,7415,8171,15587,803,749,1548,738,1067,1810,22,28,48,1558,1846,3402,5603,4966,10566,29457,29145,58610
21205,1830,1578,3409,5224,4697,9919,1066,1004,2065,619,710,1328,6906,6413,13320,3500,3057,6558,1289,1354,2644,1241,1306,2550,6046,5729,11771,531,370,895,574,579,1151,442,169,611,765,971,1738,7,3,13,2321,2085,4408,5238,5160,10400,1894,1665,3564,389,392,782,839,1052,1888,21,14,33,8375,8291,16670,10708,10384,21090,570,454,1025,567,701,1268,11,11,21,1153,1162,2310,4010,3643,7654,30652,28909,59557
21301,1692,1517,3212,4505,4084,8592,2151,2195,4347,468,447,922,7136,6744,13881,4113,3686,7802,1305,1599,2905,520,535,1051,5948,5833,11775,660,513,1175,668,749,1416,510,220,728,650,806,1456,14,14,32,2505,2302,4805,2281,2919,5201,889,982,1874,278,300,581,444,663,1106,10,16,29,3905,4882,8785,6432,7200,13632,755,654,1408,663,941,1601,30,27,55,1438,1624,3063,6292,5716,12003,28933,28637,57571
21302,1088,982,2066,2523,2491,5008,850,856,1704,253,253,502,3625,3595,7220,1445,1247,2698,776,925,1701,378,399,779,2605,2577,5184,124,132,253,118,188,305,240,89,321,291,448,740,5,0,4,780,852,1636,847,1027,1873,266,403,668,122,134,257,376,731,1106,3,5,10,1611,2299,3905,2387,3154,5540,131,137,267,230,315,550,0,6,5,367,456,822,1921,1855,3778,11999,12622,24622
21303,910,832,1744,2190,1950,4141,624,563,1186,127,149,271,2942,2662,5611,1324,1224,2545,442,485,931,238,258,502,2013,1973,3985,202,183,382,385,384,764,147,88,231,458,540,1003,4,10,13,1196,1198,2394,1195,1309,2504,824,859,1683,164,155,320,613,928,1541,3,12,12,2795,3256,6050,3988,4459,8449,279,231,508,314,423,730,10,3,15,601,658,1258,2416,2095,4504,12871,12677,25546
