SA3_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
20505,203,584,183,246,24,1410,227,182,674,522,786,74,2465,8,6,32,27,49,3,123,11,14,40,63,383,19,533,5,8,44,59,228,70,418,671,580,2729,2096,6099,524,12700
20601,821,2261,385,249,45,6310,1913,713,2932,677,524,95,6863,256,88,717,172,137,19,1381,209,62,456,201,384,22,1341,215,56,636,191,216,156,1471,10033,3236,19326,5020,5627,784,44024
20602,488,1337,202,116,27,3576,1347,482,1821,398,312,67,4425,152,62,414,92,67,10,794,127,47,253,123,198,12,760,116,29,361,98,105,85,788,5920,2196,11709,2744,2852,431,25857
20603,435,1411,258,172,38,3454,1159,493,2075,500,408,76,4710,80,44,330,110,125,11,704,107,43,212,135,283,19,792,172,31,398,141,170,129,1042,5741,2119,13007,3942,4557,678,30041
20604,533,2303,335,199,73,6875,2686,626,3911,704,516,143,8573,330,93,895,280,210,27,1850,343,60,654,354,379,54,1841,739,79,1194,333,252,325,2913,20816,3343,34835,8083,6232,1794,75107
20605,523,1838,382,244,55,4809,1782,586,2953,743,462,140,6661,219,83,701,249,185,24,1461,199,55,476,305,493,29,1563,370,83,866,290,270,190,2069,10510,3001,22883,6582,6418,1201,50588
20606,280,1031,165,93,31,2676,1297,350,2281,339,254,109,4625,112,38,453,116,83,17,819,103,29,264,146,243,17,803,235,35,671,129,121,125,1314,6986,1787,16562,3458,2940,742,32467
20607,557,1941,221,175,48,5075,2268,652,3492,521,414,97,7444,289,83,846,189,119,18,1544,213,68,414,202,368,41,1309,283,63,842,184,167,174,1711,11344,3247,24395,4610,4649,861,49102
20701,935,3142,475,296,75,7799,3660,1031,5896,1060,603,278,12531,185,75,613,173,117,27,1188,248,80,601,284,413,36,1659,489,110,1199,274,250,249,2577,16740,4817,34033,7439,6255,1442,70726
20702,357,1364,346,238,46,3399,1292,416,2562,725,636,138,5764,51,19,180,69,72,7,395,146,41,333,230,450,33,1230,248,33,586,195,222,190,1481,7013,1713,15097,4900,5184,1003,34911
20703,553,1875,384,270,52,4806,1519,572,3247,907,699,151,7088,102,39,282,81,90,3,597,190,80,433,257,391,29,1384,328,45,623,228,233,188,1642,9450,2514,17766,5542,5357,947,41564
20801,528,1727,403,238,60,4170,1275,452,2435,721,468,144,5487,111,46,382,119,119,18,794,116,49,327,199,341,34,1057,273,65,712,224,216,168,1657,7158,2549,18050,5397,5248,979,39378
20802,942,3194,672,510,113,7928,2338,843,4709,1305,1009,244,10454,158,58,568,185,166,33,1171,219,70,569,360,697,49,1964,487,82,1099,368,329,331,2690,13824,4082,30328,8601,8836,1748,67428
20803,780,2500,667,515,78,5853,1171,672,2984,1266,1238,179,7512,79,37,332,156,178,20,798,110,54,325,328,817,45,1678,181,56,609,303,504,213,1867,6007,2733,17619,8298,12077,1248,47984
20804,244,783,123,75,24,1905,851,247,1488,326,202,58,3171,42,22,154,63,47,10,334,62,11,129,73,117,7,404,149,29,352,73,65,71,740,4042,1193,8970,2094,1761,396,18459
20901,935,2655,586,478,75,6576,1946,871,3735,1261,1208,191,9218,108,52,382,134,155,14,852,165,60,371,288,712,25,1621,210,36,538,218,378,182,1574,8589,3371,19241,7034,10145,1142,49510
20902,650,1699,403,326,42,4445,1211,527,2370,892,876,138,6006,89,40,364,118,109,14,735,133,38,312,249,471,23,1225,205,46,472,196,332,220,1471,6260,2192,14051,5588,7149,1062,36301
20903,506,1530,395,342,53,3567,669,426,1567,727,716,112,4216,50,32,186,90,126,11,490,79,22,174,182,553,26,1038,83,27,244,132,282,85,857,3083,1675,8600,4389,7992,681,26416
20904,961,2978,1182,1192,130,8031,1985,979,5422,3021,3187,458,15051,79,45,286,214,282,21,924,213,43,433,680,1850,122,3347,353,61,786,574,1224,503,3505,9779,3284,23496,15398,26000,2813,80773
21001,352,1185,280,233,43,2613,518,253,1215,446,395,71,2889,25,13,154,67,78,3,340,48,15,155,141,425,12,803,77,15,276,108,235,113,828,2378,1148,8006,3496,5545,620,21200
21002,250,610,173,191,18,1509,192,180,578,292,299,49,1594,15,15,71,42,50,4,202,15,9,63,85,311,6,500,28,13,77,53,185,58,415,1006,751,3294,2056,4370,323,11809
21003,414,1302,340,281,32,3273,922,377,1693,774,656,139,4550,47,24,200,81,93,13,453,103,22,235,199,428,27,1008,170,35,389,180,244,165,1186,5005,1587,10815,4666,6076,900,29052
21004,236,776,260,322,27,1928,217,214,775,471,610,65,2354,15,8,73,48,73,6,226,15,11,70,122,411,19,643,17,11,78,71,267,70,514,1080,769,3881,3046,6587,445,15806
21005,569,1968,727,734,104,5145,1114,522,3244,1842,1863,268,8852,36,22,177,112,144,17,512,114,25,310,441,1182,73,2142,285,43,609,507,860,476,2782,6668,1958,16575,10802,16409,2177,54590
21101,716,2588,767,697,82,6278,1283,711,3605,1866,1969,256,9695,65,25,272,154,201,13,722,182,50,428,467,1326,52,2509,285,68,714,385,809,244,2508,7393,2661,19608,10163,16907,1531,58261
21102,148,461,117,101,14,1080,319,146,703,238,174,43,1617,17,0,63,28,29,3,142,30,20,77,68,160,9,367,40,9,158,63,85,35,397,1351,586,3908,1507,2174,234,9761
21103,763,2277,604,488,65,5422,1009,705,2736,1388,1476,172,7477,65,26,226,123,137,9,581,146,62,370,337,844,28,1783,158,37,453,264,473,177,1558,5518,2549,14530,7364,12063,1030,43053
21104,341,1127,270,227,30,2858,732,311,1623,599,491,70,3810,34,14,119,63,56,7,297,124,37,245,140,286,21,849,165,20,344,141,143,76,887,4772,1393,9922,3430,3908,502,23920
21105,918,2800,925,878,71,6833,863,727,2767,2000,2350,251,8958,58,48,271,190,296,18,873,137,51,325,470,1764,52,2796,114,34,395,344,1013,284,2183,4194,2731,14078,10170,22760,1574,55513
21201,538,1721,603,676,53,4298,672,459,2162,1535,1814,182,6821,28,19,137,140,244,19,578,71,27,194,347,1225,45,1905,104,30,299,301,845,242,1817,3219,1569,9447,7823,16759,1293,40111
21202,463,1712,626,607,76,4419,982,495,2582,1608,1688,219,7571,39,25,144,108,132,12,456,87,32,275,373,992,52,1820,212,28,571,384,713,284,2200,4986,1706,13239,8490,14018,1504,43938
21203,618,2115,1006,851,92,5761,1555,817,5238,3318,3557,379,14872,45,27,205,186,297,26,779,150,44,420,617,1671,88,2985,328,41,799,680,1381,520,3751,7857,2455,20542,15509,25025,2527,73920
21204,432,1563,564,419,73,4119,1260,487,3604,1795,1889,300,9335,49,19,168,101,151,13,503,148,39,464,536,1123,76,2393,417,42,872,542,900,595,3371,7801,1831,18992,9987,13281,2341,54229
21205,728,2828,625,452,99,7648,2237,700,4765,1376,1190,250,10509,126,32,312,139,147,11,763,280,64,580,420,756,61,2156,708,73,1146,394,440,403,3160,16256,3279,28700,9212,9423,1893,68759
21301,481,1771,561,573,88,4263,900,463,2935,1376,1703,210,7601,40,13,289,130,167,33,677,96,38,410,464,994,85,2077,233,28,672,396,791,496,2610,5253,1812,17008,8832,14092,2053,49062
21302,525,1596,370,309,45,3744,753,429,1648,629,569,97,4128,69,26,270,121,145,14,653,97,48,233,203,501,24,1101,141,24,358,168,284,153,1130,4563,2024,12103,4985,7339,808,31820
21303,579,1575,300,201,44,4063,1252,494,2241,640,569,98,5302,128,59,409,144,164,9,916,133,45,352,207,353,30,1125,222,41,527,193,244,189,1423,7110,2365,15770,4947,5680,910,36782
21304,798,2521,888,947,102,6258,1044,610,3474,1975,2164,285,9566,41,24,236,175,262,30,764,108,31,311,429,1430,64,2371,207,27,566,407,975,398,2577,5897,2378,17743,11366,21287,2067,60746
21305,877,3032,1178,899,159,8295,2240,963,5450,2887,2806,397,14744,167,55,496,281,326,31,1354,315,54,561,664,1471,87,3153,879,85,1298,750,1183,722,4916,19817,3945,33991,17224,23511,3523,102009
21401,682,2232,741,720,81,5354,791,631,2750,1945,2384,247,8746,45,18,192,150,236,17,663,63,39,239,394,1243,33,2015,93,49,353,359,867,232,1946,3183,2119,11711,9355,19154,1445,46965
21402,794,2796,747,732,108,6191,1007,654,2985,1784,2158,244,8832,69,62,316,224,343,40,1057,76,40,273,377,1281,54,2098,96,49,492,341,777,242,1998,3977,2572,14494,9852,19918,1742,52553
21501,214,768,220,271,36,1679,234,247,999,882,1256,123,3737,5,9,59,41,94,5,216,17,13,54,79,441,11,616,14,8,43,59,225,90,429,802,727,3439,3027,7974,723,16690
21502,250,816,262,349,28,1872,286,214,975,632,930,82,3123,4,6,33,31,66,6,148,11,3,48,101,485,21,675,13,6,70,71,279,135,579,751,675,3408,2635,7280,709,15453
21503,137,505,109,226,19,1079,129,112,450,359,507,64,1631,3,8,13,23,51,4,101,10,12,13,44,356,8,438,0,3,36,46,197,98,377,337,360,1961,1588,4885,561,9697
21601,142,472,130,169,19,1027,134,151,616,462,766,100,2227,4,3,31,36,64,3,145,21,10,39,71,386,17,539,7,6,31,37,195,89,359,424,424,2204,1786,5454,499,10792
21602,113,322,111,171,14,794,76,89,402,338,451,48,1398,0,0,13,8,38,3,65,9,4,22,52,237,17,335,0,3,26,34,160,46,278,252,287,1488,1356,4029,394,7816
21603,356,875,280,386,38,2220,495,310,1340,964,1144,131,4385,8,4,31,26,74,3,145,23,18,77,133,610,17,882,20,13,81,99,334,125,678,1307,961,4324,3440,8137,739,18901
21701,128,463,122,203,20,1067,136,166,623,455,683,65,2136,5,0,28,24,50,3,113,8,8,29,53,291,7,397,8,6,23,36,183,58,318,469,447,2127,1721,5223,432,10423
21703,124,464,126,183,7,1036,141,127,502,370,669,82,1887,9,3,39,24,51,0,136,17,5,21,53,293,10,395,13,4,48,37,181,88,371,560,415,2333,1776,5438,527,11048
21704,231,857,215,313,29,1955,416,334,1274,723,982,99,3831,10,10,51,41,85,11,202,19,5,56,101,445,19,647,13,11,66,59,252,80,479,1132,836,4273,2803,7242,598,16880
29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,6
29999,10,25,9,9,0,76,35,13,52,24,41,8,167,3,0,16,4,12,0,32,0,0,8,5,14,0,35,4,4,21,8,23,16,68,149,53,385,164,432,59,1239
