SA3_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
20402,124,187,306,54,88,140,51,243,290,74,476,554,285,1321,1612,273,817,1091,1066,529,1601,907,641,1555,1080,575,1654,1162,361,1523,784,317,1106,839,164,1002,1716,254,1965,1184,27,1215,828,62,888,474,13,481,937,99,1036,902,55,956,198,356,554,12937,6591,19530
20403,127,247,377,78,102,184,77,257,336,109,604,712,359,1625,1976,414,1007,1423,1374,692,2065,1213,896,2101,1449,867,2317,1794,614,2405,1245,458,1702,1383,330,1708,3017,412,3429,2021,60,2079,1438,93,1524,898,21,919,1686,120,1806,1280,75,1360,288,344,632,20239,8831,29065
20501,165,192,355,77,77,159,73,214,290,83,380,457,301,1038,1338,315,747,1064,1088,464,1554,984,547,1531,1128,513,1640,1246,367,1617,949,314,1265,1085,243,1324,2140,300,2443,1496,38,1534,1123,68,1188,614,6,613,1491,110,1599,954,44,1003,267,248,511,15572,5906,21479
20502,180,219,401,81,106,184,80,249,326,86,524,605,303,1504,1813,369,897,1269,1433,570,2003,1141,610,1747,1206,509,1715,1315,341,1650,788,243,1028,869,165,1035,1485,204,1689,944,24,971,613,44,660,339,6,347,676,89,763,897,73,966,288,354,637,13095,6719,19815
20503,261,335,601,136,148,290,123,327,455,142,709,845,490,2012,2504,463,1298,1765,1678,761,2435,1503,877,2375,1706,765,2470,1757,513,2270,1101,389,1489,1281,271,1555,2264,353,2621,1454,30,1484,1120,77,1194,629,19,651,1384,158,1536,1266,75,1341,384,473,851,19140,9597,28734
20504,229,366,600,89,122,210,117,412,530,137,938,1084,490,2220,2713,551,1211,1767,1629,714,2342,1524,919,2441,1502,856,2353,1687,597,2280,1149,470,1616,1215,354,1568,2416,456,2874,1740,56,1797,1290,126,1418,680,24,705,1768,187,1951,1314,96,1408,352,550,903,19870,10690,30560
20505,157,216,372,78,69,143,80,185,269,81,452,532,285,1208,1493,285,660,947,1005,408,1414,813,564,1378,933,451,1381,1057,319,1378,672,266,934,775,185,961,1447,253,1702,947,19,970,688,51,743,394,3,398,1012,87,1098,852,65,920,207,259,472,11767,5727,17492
20601,230,419,649,59,138,200,78,396,471,90,748,840,248,1463,1710,246,874,1119,866,769,1637,719,1015,1736,915,1304,2212,1118,1334,2455,947,1372,2321,976,1212,2187,2577,2137,4716,2230,426,2654,2243,611,2856,1712,241,1947,5436,856,6293,911,675,1584,175,217,396,21770,16207,37979
20602,88,238,330,41,100,138,35,204,239,48,487,539,159,922,1075,160,550,713,476,468,942,406,574,983,483,719,1205,568,682,1245,513,670,1181,591,562,1160,1281,1029,2310,1156,189,1349,1224,311,1540,964,125,1088,4269,499,4768,612,294,899,81,137,223,13150,8773,21919
20603,176,328,507,71,116,187,102,332,438,79,602,683,245,1024,1268,217,652,873,557,565,1122,549,829,1376,765,1009,1770,863,941,1806,696,887,1588,732,764,1492,1770,1314,3086,1591,179,1775,1493,325,1824,1142,76,1220,5296,480,5773,808,212,1024,182,213,391,17337,10871,28208
20604,795,3269,4060,212,585,804,275,1108,1384,223,1651,1872,425,1807,2227,532,2045,2575,843,2092,2939,1026,2739,3767,1531,3827,5359,1988,3516,5505,1549,3165,4710,1722,2645,4364,3911,5239,9148,2870,798,3662,2528,1429,3956,1839,352,2193,6797,2375,9171,1277,1141,2413,174,461,635,30508,40243,70753
20605,247,645,890,82,207,288,90,545,628,103,1061,1170,240,1661,1900,271,1319,1593,612,1115,1724,618,1562,2179,844,2144,2987,1070,2050,3117,869,2124,2991,1044,1835,2873,2614,3744,6354,2214,372,2590,2188,1099,3284,1584,201,1790,8051,2034,10086,1203,478,1678,177,440,616,24123,24616,48743
20606,181,454,632,57,147,205,60,321,383,60,583,644,147,885,1037,158,749,910,306,693,1001,344,877,1220,510,1325,1834,587,1389,1975,474,1417,1891,553,1178,1728,1405,2545,3951,1270,326,1602,1178,802,1982,945,174,1114,5395,1651,7047,786,374,1161,133,282,412,14548,16174,30727
20607,159,445,604,66,162,225,113,444,556,136,880,1016,302,1333,1635,244,852,1098,596,758,1355,630,969,1607,630,1410,2042,829,1429,2258,649,1454,2100,784,1392,2178,2044,3025,5070,1920,544,2467,1945,1037,2981,1546,336,1887,7452,2302,9756,903,876,1781,135,254,389,21095,19914,41005
20701,746,702,1452,247,248,498,252,480,737,212,732,942,456,1463,1914,465,1346,1808,1092,1155,2250,1078,1370,2442,1612,1616,3225,2001,1557,3554,1540,1448,2992,1728,1232,2958,4006,2302,6307,3259,284,3538,3239,651,3883,2446,170,2618,16589,1345,17932,2576,375,2945,346,370,716,43878,18840,62715
20702,628,451,1082,220,167,392,193,272,461,175,501,673,533,1250,1778,531,771,1296,1502,584,2081,1342,703,2047,1656,731,2385,1845,563,2406,1379,489,1862,1482,403,1889,3085,642,3729,2395,74,2472,2132,182,2313,1433,29,1463,5249,256,5508,1437,104,1549,313,242,558,27527,8413,35944
20703,576,773,1343,205,234,434,231,430,668,168,716,886,479,1558,2036,512,1215,1722,1195,908,2103,1235,1012,2250,1527,1089,2623,1745,890,2634,1336,731,2068,1358,597,1956,3073,1084,4157,2404,217,2623,2175,314,2491,1587,87,1677,6079,401,6485,1392,282,1673,210,305,516,27494,12856,40344
20801,304,394,699,113,190,304,133,290,428,96,544,636,289,1193,1479,275,893,1173,687,707,1391,758,796,1552,1044,853,1899,1240,685,1920,922,619,1544,1021,539,1555,2280,1040,3319,1966,60,2022,2078,330,2411,1540,37,1575,11015,725,11738,1641,74,1718,262,311,574,27673,10264,37936
20802,552,852,1401,191,260,449,182,523,706,154,949,1105,476,2048,2528,493,1542,2033,1333,1218,2554,1345,1535,2878,1788,1796,3582,2154,1583,3744,1706,1480,3191,1810,1170,2982,4410,2143,6559,3689,305,3991,3569,608,4169,2655,127,2774,12172,858,13028,2024,318,2345,417,475,886,41115,19794,60906
20803,322,520,845,129,198,325,131,406,537,133,808,939,395,2271,2667,454,1464,1913,1333,1037,2371,1308,1210,2520,1729,1345,3075,1916,1126,3039,1555,998,2552,1632,838,2469,3964,1285,5250,3563,122,3683,3297,321,3621,2387,37,2423,7224,384,7605,1592,118,1715,348,434,782,33416,14915,48335
20804,107,262,369,39,87,125,37,119,154,44,217,265,107,472,575,100,390,493,247,311,562,269,413,683,321,515,829,428,475,904,344,439,782,408,394,806,980,677,1654,819,102,926,841,203,1047,580,55,629,4385,395,4781,588,100,684,102,128,227,10745,5758,16501
20901,365,475,838,144,140,290,154,398,551,151,736,887,445,1863,2305,479,1231,1711,1347,991,2341,1362,1043,2406,1754,1172,2920,2023,953,2977,1606,940,2545,1748,737,2483,3914,1276,5193,3489,160,3648,3219,277,3490,2369,70,2436,7666,378,8048,1681,189,1869,356,360,718,34279,13389,47666
20902,326,539,866,133,169,298,145,451,600,160,903,1057,427,1978,2399,423,1045,1471,1392,772,2161,1214,922,2136,1345,1055,2401,1644,1092,2742,1346,988,2339,1372,774,2145,2988,1284,4273,2465,238,2702,2112,328,2437,1495,98,1594,3490,298,3789,1150,345,1496,285,368,655,23916,13652,37564
20903,167,144,318,68,73,137,60,126,188,53,185,237,176,486,666,173,339,513,528,300,823,598,298,890,827,319,1145,1021,234,1262,820,233,1060,896,195,1091,2138,304,2438,1839,29,1866,1916,77,1998,1345,8,1350,4735,114,4845,1169,36,1207,179,112,294,18712,3621,22333
20904,942,756,1692,268,203,471,318,509,826,363,1060,1426,1087,2626,3719,1235,1284,2519,3734,1044,4783,3319,1572,4889,4233,1722,5958,5063,1456,6517,4286,1188,5471,4366,832,5194,9959,1188,11148,7468,203,7673,5568,275,5843,3444,61,3504,6298,289,6585,3372,238,3612,852,503,1359,66185,17013,83197
21001,240,264,505,82,97,178,88,221,311,77,386,463,267,1020,1282,236,502,737,1006,369,1370,802,384,1186,975,441,1411,1020,358,1383,775,333,1106,804,281,1085,1857,487,2345,1635,62,1693,1489,102,1594,1162,32,1195,3476,147,3627,787,55,843,252,179,432,17036,5715,22754
21002,75,100,172,54,18,78,35,79,114,28,114,140,114,329,449,119,202,316,328,148,475,331,170,498,461,180,641,556,151,709,455,126,584,492,90,580,1080,179,1263,916,16,936,897,40,933,611,5,618,1852,82,1936,594,18,608,100,69,174,9091,2132,11227
21003,253,362,616,84,133,213,95,289,390,113,558,674,347,1442,1790,392,738,1133,1150,503,1652,949,634,1585,1222,668,1894,1313,613,1929,1122,624,1751,1175,487,1662,2572,914,3488,2107,151,2262,1927,227,2156,1307,73,1379,3006,263,3265,952,188,1141,258,311,572,20358,9177,29537
21004,122,149,266,32,27,60,32,97,126,56,207,266,145,595,744,185,372,556,498,268,763,563,322,886,680,392,1069,846,343,1190,730,288,1018,777,210,988,1914,321,2234,1560,38,1598,1189,52,1238,758,6,769,1571,57,1623,649,43,689,113,118,231,12413,3915,16329
21005,797,586,1389,207,124,330,325,390,717,352,799,1158,980,1756,2738,1252,804,2052,3011,681,3700,3034,1051,4086,3604,1110,4712,4326,835,5162,3419,762,4184,3390,498,3889,6989,733,7723,4987,142,5134,3602,156,3752,2216,57,2274,4158,216,4378,2661,174,2834,744,402,1149,50064,11281,61344
21101,476,511,983,202,179,376,186,380,571,208,790,1003,630,2209,2840,674,1309,1975,2137,997,3131,2007,1193,3200,2666,1286,3949,3101,965,4060,2425,846,3277,2559,687,3243,5867,1019,6885,4928,141,5072,4167,193,4365,2670,56,2735,6320,244,6565,2207,140,2353,419,435,855,43844,13583,57431
21102,89,87,180,34,46,81,19,42,61,23,73,100,92,226,312,72,140,215,233,137,369,204,126,327,301,110,409,371,82,454,293,92,383,352,51,406,696,110,806,573,6,579,535,22,564,443,3,444,2311,49,2364,452,17,468,77,48,122,7175,1465,8641
21103,355,394,752,130,134,265,111,322,430,143,671,816,404,1718,2123,464,1263,1724,1342,893,2239,1454,1021,2476,1814,1106,2923,2131,913,3040,1632,802,2433,1657,591,2253,3970,895,4863,3409,114,3529,2907,187,3094,2058,48,2107,5229,208,5435,1552,145,1696,307,364,670,31061,11799,42858
21104,256,244,505,73,93,167,101,198,298,87,346,430,244,921,1166,243,626,872,730,441,1165,794,504,1300,942,517,1455,1150,402,1554,790,340,1130,891,291,1174,1945,510,2455,1689,74,1764,1601,110,1707,1094,26,1122,3370,162,3533,819,76,895,124,197,321,16937,6082,23020
21105,362,476,831,166,170,337,157,378,531,163,726,884,554,2372,2924,636,1385,2019,2025,948,2968,2003,1209,3215,2471,1211,3685,3022,879,3897,2363,721,3081,2503,533,3036,6035,836,6874,4979,101,5081,3965,201,4164,2532,29,2559,5664,213,5875,2512,151,2660,496,431,920,42593,12962,55559
21201,288,278,561,107,92,196,112,198,302,131,449,578,367,1268,1637,470,849,1320,1450,556,2006,1411,817,2231,1875,965,2840,2313,711,3025,1894,602,2499,2269,436,2697,4894,553,5442,3902,87,3986,2664,126,2793,1564,27,1594,3218,146,3366,1766,102,1865,412,308,722,31104,8565,39673
21202,415,419,835,135,117,251,170,266,438,194,551,746,538,1492,2026,613,797,1409,1819,574,2393,1745,781,2525,2187,887,3071,2777,730,3504,2083,561,2636,2255,396,2653,4953,640,5593,3791,132,3923,2973,132,3108,1934,58,1995,4490,224,4706,2031,106,2133,424,319,750,35525,9175,44695
21203,521,446,969,139,104,237,200,233,441,203,576,778,641,1450,2087,850,919,1764,2342,684,3020,2602,1153,3758,3417,1279,4697,4509,1063,5570,3989,856,4850,4233,595,4833,9621,733,10352,7172,147,7322,5032,172,5210,2931,68,3003,5229,180,5413,3161,213,3375,617,375,991,57428,11238,68665
21204,884,866,1749,252,222,477,302,617,913,369,1255,1624,1052,3061,4108,988,1627,2613,3236,1077,4310,2960,1576,4538,3433,1408,4838,4010,1016,5025,3107,829,3932,3068,600,3666,6335,922,7255,4461,297,4752,3239,270,3510,2088,165,2257,4099,472,4563,2594,383,2979,605,559,1159,47066,17204,64274
21205,931,1028,1959,349,312,661,344,590,933,290,979,1270,805,2386,3191,782,1371,2153,2210,1029,3238,2143,1174,3318,2684,1370,4057,3041,1094,4141,2292,982,3272,2478,792,3271,5393,1381,6774,4286,357,4645,4030,455,4491,2740,179,2920,9212,671,9884,2482,482,2963,459,428,885,46956,17082,64036
21301,968,782,1756,245,167,412,387,558,942,458,1234,1685,1139,2680,3822,1075,1164,2240,3368,869,4232,2951,1149,4102,3222,1224,4447,3847,961,4804,2923,765,3691,2810,610,3420,5682,910,6595,4277,215,4489,3210,234,3449,2008,101,2108,4215,314,4529,2630,281,2910,685,493,1174,46092,14716,60809
21302,280,383,659,107,129,238,117,303,423,108,601,711,365,1432,1800,354,792,1153,1100,551,1652,949,688,1641,1123,754,1873,1404,682,2078,1033,671,1707,1104,490,1588,2566,942,3510,2223,81,2301,2139,255,2391,1543,38,1580,5514,300,5816,1168,98,1261,247,289,529,23441,9484,32922
21303,225,395,623,90,124,215,108,325,437,113,752,866,295,1195,1486,325,741,1061,810,666,1480,822,869,1698,965,1051,2011,1232,1045,2272,989,968,1957,1042,853,1897,2444,1488,3938,2161,297,2456,2048,450,2497,1521,132,1650,4903,537,5438,940,335,1282,184,266,446,21213,12482,33695
21304,572,505,1079,183,126,304,208,327,537,247,702,947,743,1754,2500,946,1035,1980,2494,742,3235,2374,1131,3507,2905,1228,4136,3778,1019,4799,3162,844,4003,3393,615,4007,7509,834,8342,5561,104,5663,4199,168,4370,2720,28,2741,5663,188,5842,2679,130,2811,657,414,1068,49975,11884,61861
21305,810,700,1509,227,165,394,298,395,688,364,862,1225,873,1802,2675,1275,1298,2581,2891,1061,3955,3149,1508,4662,4283,1822,6100,5391,1521,6909,4775,1339,6115,4841,917,5751,11564,1528,13092,8290,307,8599,6744,390,7136,4202,169,4375,9560,572,10131,3903,399,4303,829,534,1361,74276,17281,91560
21401,341,537,878,110,183,294,161,432,590,153,990,1137,562,2669,3237,668,1771,2438,1891,1158,3050,1898,1533,3428,2321,1580,3900,2689,1251,3938,2195,1038,3227,2350,729,3078,5322,1036,6357,4265,120,4386,3183,206,3388,2017,42,2057,4122,233,4358,2022,209,2230,471,568,1047,36737,16282,53019
21402,485,698,1176,245,263,504,194,575,770,194,1118,1312,809,3402,4213,745,2521,3265,2838,1525,4362,2566,1594,4158,3290,1615,4907,3561,1129,4688,2323,915,3239,2584,674,3258,5475,1004,6482,4281,97,4376,3495,246,3747,2234,32,2269,6902,518,7423,2806,134,2942,700,858,1561,45733,18918,64650
21501,142,248,390,81,129,213,88,328,413,97,634,734,385,1901,2285,396,968,1357,1255,657,1912,1107,825,1930,1298,761,2055,1449,510,1955,960,404,1363,1053,241,1290,2076,351,2430,1364,48,1409,890,83,973,518,15,533,1074,146,1223,1033,70,1098,296,464,761,15549,8786,24334
21502,151,221,367,53,90,142,77,230,305,97,520,618,312,1262,1573,340,779,1116,1146,487,1636,908,677,1583,1171,607,1776,1259,395,1651,909,345,1254,984,218,1197,1931,308,2240,1322,64,1385,898,59,962,504,22,528,1013,95,1112,1019,71,1085,327,414,745,14414,6868,21283
21503,129,161,294,45,49,99,44,169,218,61,382,444,236,1099,1340,223,545,767,830,364,1192,763,480,1245,789,415,1205,904,278,1179,609,190,800,665,154,815,1268,181,1450,827,37,863,508,30,542,286,18,299,593,76,668,628,61,686,225,304,525,9639,4992,14635
21601,124,140,261,66,73,140,46,168,214,82,386,466,259,1020,1281,269,576,842,904,354,1259,698,431,1127,821,428,1251,930,248,1174,644,207,842,667,130,799,1347,179,1527,901,22,925,616,39,649,329,9,335,697,58,757,721,40,765,207,310,516,10316,4818,15130
21602,113,132,242,38,39,73,51,129,186,50,293,346,217,870,1090,181,473,646,826,328,1146,671,332,999,623,311,936,744,212,957,506,142,638,487,90,586,983,151,1136,686,21,705,416,32,449,234,3,241,460,68,533,538,27,564,192,241,436,8013,3903,11917
21603,218,215,435,75,98,169,72,273,343,110,567,676,356,1323,1678,420,859,1277,1272,574,1845,1132,725,1850,1259,712,1971,1502,521,2017,1039,407,1452,1183,266,1449,2268,364,2632,1609,65,1676,1103,90,1194,668,16,688,1390,152,1546,1048,86,1142,323,353,677,17051,7670,24727
21701,95,152,249,64,76,136,54,202,254,74,409,487,198,1082,1283,246,645,893,850,394,1245,729,502,1225,778,436,1215,906,295,1201,614,225,837,670,158,828,1226,225,1448,844,19,865,571,45,618,310,4,310,684,77,759,688,38,737,176,286,456,9782,5273,15056
21703,127,169,292,53,85,141,48,189,235,53,396,446,225,1042,1265,216,563,783,763,410,1171,727,530,1255,787,507,1299,894,297,1193,645,195,837,696,163,859,1313,213,1526,857,32,887,610,57,661,318,3,325,727,81,806,680,55,734,208,242,452,9940,5244,15185
21704,123,182,306,48,88,135,49,213,265,74,414,488,260,1122,1377,277,782,1054,909,515,1420,879,627,1504,1000,591,1590,1262,422,1680,869,303,1165,938,240,1176,1947,302,2249,1431,61,1495,951,74,1033,587,15,598,1334,121,1454,853,72,920,226,290,512,14008,6419,20425
29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
