SA3_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
21005,262,487,340,225,314,176,95,1901,49,58,33,34,47,16,6,241,20,29,19,12,18,12,6,114,533,974,678,531,763,433,244,4159,25,49,35,26,32,18,10,191,33,82,51,38,36,18,17,272,57,137,81,62,71,38,26,465,588,1114,761,594,836,470,271,4630,961,1087,652,460,574,288,163,4179,17,51,18,16,6,4,0,116,1569,2251,1432,1067,1408,766,435,8925
21101,204,390,278,231,303,171,86,1666,34,34,27,18,34,20,9,178,9,19,6,3,7,7,3,53,367,777,659,534,823,455,269,3876,10,22,24,8,20,3,5,94,30,44,20,11,19,10,0,134,33,65,43,14,41,15,6,228,398,838,703,544,869,467,277,4106,342,397,215,153,218,71,60,1458,10,10,3,6,3,0,0,28,749,1244,918,707,1087,543,340,5586
21102,15,42,39,23,39,16,13,184,6,0,5,0,5,5,0,22,0,0,5,0,0,0,0,8,27,84,95,71,114,70,31,490,0,0,0,0,4,4,0,12,0,4,0,0,0,4,0,13,0,5,5,6,0,6,0,23,26,88,94,74,120,82,36,511,17,17,25,12,24,18,9,126,0,0,0,0,0,0,0,4,47,107,123,89,142,96,50,644
21103,138,357,248,170,233,144,59,1345,17,19,18,14,27,10,3,117,8,7,3,6,10,0,0,42,262,673,530,392,592,373,177,2997,4,13,4,7,17,0,6,48,15,10,9,13,18,4,0,80,20,24,14,23,33,10,6,128,277,697,549,413,625,379,179,3122,204,254,142,111,131,64,35,947,6,7,3,0,3,6,0,17,484,950,693,530,762,449,217,4084
21104,46,112,94,63,108,65,42,533,6,8,0,5,3,3,4,30,0,3,0,0,0,3,6,11,98,235,219,160,277,191,114,1299,0,0,3,0,8,10,3,23,0,11,9,6,6,3,0,34,0,14,12,6,15,14,4,55,99,245,232,169,291,204,118,1355,75,113,62,47,87,67,25,477,0,0,3,3,0,0,0,8,169,357,295,212,383,268,153,1835
21105,212,482,360,269,357,126,66,1874,36,39,32,34,36,16,15,214,10,19,16,5,17,3,3,79,356,819,708,568,839,329,188,3802,7,22,14,15,13,8,3,74,16,22,20,20,15,5,0,93,18,44,38,30,30,13,3,172,375,867,744,598,860,339,186,3975,347,423,249,159,181,76,25,1463,7,4,6,9,3,0,0,28,727,1291,1004,763,1050,414,212,5465
21201,256,423,273,200,270,92,42,1552,39,55,37,18,22,13,15,202,17,32,18,17,12,3,0,99,446,865,590,459,613,266,152,3389,14,38,13,7,25,4,5,108,27,53,20,19,11,0,0,135,44,87,38,25,35,7,4,241,488,956,619,482,649,273,160,3631,496,524,271,156,174,59,21,1698,17,22,9,9,5,0,0,66,1003,1503,903,649,828,329,182,5393
21202,168,354,237,172,217,110,57,1307,39,36,15,21,18,6,10,146,8,20,20,6,12,9,3,79,358,710,525,431,582,312,154,3082,14,29,20,13,31,10,7,122,20,49,25,20,26,16,6,157,38,79,44,36,49,21,15,285,395,793,566,467,634,339,173,3363,439,515,263,177,213,123,81,1803,18,14,13,12,5,4,0,60,852,1317,836,654,850,465,255,5227
21203,395,674,432,336,361,155,87,2445,70,71,47,36,46,16,10,304,36,40,15,11,18,4,7,129,845,1428,987,773,988,431,240,5683,26,58,41,33,46,19,7,224,58,78,34,25,40,12,8,256,87,133,74,58,83,29,19,480,933,1561,1057,828,1066,460,251,6162,965,851,462,314,360,154,119,3223,32,35,17,18,12,6,5,122,1927,2445,1537,1161,1434,620,379,9509
21204,194,472,327,228,327,192,113,1850,43,29,20,8,33,17,14,165,21,28,18,22,27,12,5,135,460,909,660,504,788,491,301,4111,27,55,21,30,39,19,25,220,34,76,39,28,47,23,17,265,55,132,63,63,84,48,40,487,518,1043,721,562,872,532,345,4601,683,753,419,309,425,264,195,3051,33,50,23,9,14,4,4,143,1237,1840,1165,880,1316,800,552,7789
21205,140,321,272,201,286,228,109,1556,27,21,24,21,18,13,10,138,9,9,13,14,16,13,4,74,304,717,608,492,702,555,286,3659,4,21,10,10,22,12,5,82,16,27,21,8,31,22,13,134,20,49,30,20,49,37,12,218,329,761,633,508,757,586,296,3876,199,272,224,190,319,203,179,1585,15,11,10,12,5,3,5,60,539,1043,871,710,1082,800,480,5522
21301,262,485,348,263,366,215,110,2041,47,52,34,21,57,28,20,255,19,37,18,17,29,13,12,148,552,1063,770,553,869,546,312,4673,35,68,51,45,55,61,24,345,45,118,70,45,70,37,22,411,88,186,124,96,124,95,44,756,634,1251,902,652,991,639,358,5430,756,1008,554,422,487,293,188,3704,34,48,29,23,19,14,8,168,1428,2305,1482,1093,1500,942,553,9304
21302,87,210,150,111,138,81,52,819,23,27,16,16,9,5,0,93,4,9,5,8,5,0,0,35,191,467,394,302,388,223,136,2103,11,26,26,6,18,12,7,99,14,18,16,10,7,4,3,67,21,43,42,14,22,12,8,159,212,512,425,320,414,238,149,2270,192,201,122,96,82,50,27,762,7,9,0,6,0,0,0,25,415,719,555,414,496,286,176,3051
21303,98,147,111,69,81,69,36,617,18,23,12,8,12,9,5,86,5,6,3,3,6,0,0,25,195,402,297,206,293,195,111,1688,5,14,20,7,12,13,0,74,13,27,11,11,8,6,7,91,18,37,31,19,20,18,12,158,208,438,326,223,315,213,118,1843,168,212,132,95,123,71,49,838,0,0,5,7,5,0,0,26,380,647,458,327,445,282,165,2708
21304,321,646,448,303,432,135,76,2361,85,94,61,33,40,12,9,338,39,45,29,15,22,9,6,163,739,1362,1038,742,1027,434,246,5589,47,69,63,47,49,15,15,309,81,127,52,49,49,15,8,397,130,205,116,101,97,36,17,700,873,1569,1155,839,1120,468,259,6287,1061,1108,618,379,397,151,95,3808,21,27,10,13,11,4,3,80,1958,2699,1784,1224,1525,626,362,10179
21305,469,789,528,377,483,194,110,2943,89,120,72,53,69,32,14,450,31,57,39,17,31,14,3,195,977,1851,1316,927,1286,595,318,7267,74,129,70,45,62,23,26,416,96,151,74,64,52,16,13,462,164,281,143,108,110,34,35,880,1144,2133,1456,1034,1402,627,349,8139,1255,1311,678,497,571,244,141,4704,51,55,28,23,17,3,5,177,2455,3498,2155,1555,1990,872,503,13025
21401,294,624,415,271,353,122,56,2141,61,53,34,24,33,10,11,220,10,21,13,13,13,5,3,85,534,1117,801,602,860,344,166,4422,14,34,15,25,28,6,0,125,24,56,28,20,16,5,0,146,34,88,49,48,45,15,0,276,565,1203,849,648,905,355,172,4690,589,596,362,263,265,89,39,2199,10,15,19,9,9,0,0,66,1164,1820,1229,914,1169,450,212,6957
21402,235,556,445,311,466,144,59,2211,50,90,42,32,40,25,6,283,9,12,12,7,21,3,0,63,428,996,815,633,940,347,164,4319,10,26,8,14,14,5,5,77,14,42,21,16,18,0,0,113,29,66,33,29,28,5,0,191,451,1063,850,660,975,350,163,4508,385,479,255,214,195,74,26,1623,5,11,14,9,4,0,0,52,848,1555,1121,877,1177,424,191,6187
