SA3_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
20702,39357,43313,82669,16082,10080,26160,6001,10301,16298,1269,1507,2773,1399,1237,2633,24746,23123,47866,13307,18719,32024,5.7,5.3,5.5,62.9,53.4,57.9,59.3,50.5,54.7,4619,4294,8915,913,1492,2401,9805,10991,20797,3716,4596,8308,4573,2303,6876,196,313,509,488,898,1386,5259,3518,8774,39751,42733,82482,5903,6292,12196,26710,28985,55697,16990,18100,35090
20703,43629,47385,91012,17930,11955,29880,7651,12336,19991,1355,1813,3167,1731,1470,3197,28668,27575,56242,13042,17863,30903,6,5.3,5.7,65.7,58.2,61.8,61.7,55.1,58.3,5878,5776,11655,1281,2186,3468,11184,12705,23889,4089,4965,9054,4516,2341,6860,234,323,559,465,738,1203,5217,3401,8618,40777,44244,85026,8696,8717,17415,26320,29292,55607,21084,21652,42740
20801,39406,44233,83632,18237,11420,29660,6171,11643,17810,1187,1845,3038,1108,955,2064,26702,25864,52571,11334,16697,28032,4.1,3.7,3.9,67.8,58.5,62.9,65,56.3,60.4,4645,4462,9110,1290,2283,3572,11378,12720,24102,3715,5111,8823,4218,2066,6287,153,303,457,535,942,1474,4905,3308,8210,39831,43579,83408,6489,6944,13439,27047,29800,56851,17394,18803,36197
20802,61892,67323,129212,30161,20543,50705,10037,18220,28254,2026,2824,4854,2022,1683,3704,44247,43273,87520,15418,21497,36915,4.6,3.9,4.2,71.5,64.3,67.7,68.2,61.8,64.9,8052,8411,16461,1872,3381,5257,17676,20318,37990,5457,7002,12458,6872,3623,10494,279,461,742,735,1168,1903,7879,5257,13143,60216,64042,124267,12464,13037,25496,38127,41520,79647,31072,32236,63308
20803,47749,53209,100957,24016,15293,39305,6453,14607,21058,1616,2285,3907,1427,1241,2666,33505,33431,66939,12491,17883,30369,4.3,3.7,4,70.2,62.8,66.3,67.2,60.5,63.7,3192,3977,7170,1106,2316,3423,9343,12139,21485,4938,6486,11426,9740,4603,14342,316,566,883,708,1131,1835,10762,6296,17059,49219,53426,102642,7013,7681,14696,33361,36370,69739,20002,21975,41975
20804,16881,18805,35686,8189,5704,13896,2744,4851,7600,523,784,1304,581,523,1104,12035,11861,23898,4213,6341,10559,4.8,4.4,4.6,71.3,63.1,67,67.9,60.3,63.9,2532,2440,4972,554,1066,1613,5523,6131,11655,1420,1859,3282,1238,706,1936,71,106,183,206,323,530,1516,1131,2651,15892,17371,33261,3469,3677,7147,10435,11539,21974,8113,8786,16899
20901,49949,53856,103806,23531,14435,37965,7185,14703,21882,1636,2430,4070,1593,1286,2877,33948,32852,66800,14225,19269,33495,4.7,3.9,4.3,68,61,64.3,64.8,58.6,61.6,5028,5368,10389,1485,2967,4451,10948,13470,24414,4713,5580,10290,8775,3942,12716,302,456,760,641,1051,1689,9722,5452,15173,51625,54616,106240,7070,7526,14600,35828,38306,74130,19836,21008,40843
20902,39461,41500,80966,16575,11380,27953,6434,10222,16664,1542,1846,3386,1695,1357,3056,26251,24810,51060,10941,14499,25436,6.5,5.5,6,66.5,59.8,63.1,62.2,56.5,59.3,3455,3850,7312,831,1765,2594,7806,9174,16985,3521,4025,7542,5704,3066,8775,277,374,647,453,639,1090,6437,4076,10514,36891,38344,75236,7064,7213,14269,23929,25589,49517,17751,17861,35612
20903,26953,27720,54668,13539,7036,20577,3908,8913,12821,1056,1397,2451,662,629,1290,19162,17973,37133,6887,8854,15742,3.5,3.5,3.5,71.1,64.8,67.9,68.6,62.6,65.6,1823,2036,3855,740,1503,2240,4618,6288,10903,2724,3418,6145,6776,2541,9310,176,293,468,398,583,982,7352,3416,10768,29397,29892,59280,2503,2553,5055,22253,22506,44764,8155,8428,16578
20904,97198,100524,197728,45725,25259,70988,13717,25533,39250,3440,4476,7914,3856,3414,7272,66738,58685,125422,25669,37141,62807,5.8,5.8,5.8,68.7,58.4,63.4,64.7,55,59.8,5861,5913,11770,1205,2764,3969,12527,16719,29245,9066,11495,20560,19962,10838,30806,765,1160,1929,1253,1972,3224,21980,13974,35953,102299,104062,206368,15874,15721,31589,64380,66133,130519,45759,46300,92057
21001,24603,26469,51071,11365,6801,18166,3156,6510,9665,870,1206,2076,807,602,1408,16190,15126,31317,7532,10416,17956,5,4,4.5,65.8,57.2,61.3,62.5,54.9,58.6,1361,1421,2782,466,962,1424,4293,5488,9784,2208,2639,4841,5049,1996,7046,157,247,403,327,573,901,5537,2814,8351,25770,27151,52926,3043,3125,6171,18413,19710,38118,8984,9301,18282
21002,12854,13235,26094,6327,3353,9683,1670,3948,5617,554,691,1245,278,243,522,8829,8237,17067,3389,4335,7716,3.2,3,3.1,68.7,62.2,65.4,66.5,60.4,63.4,553,714,1267,305,676,981,1637,2543,4185,1269,1648,2913,3714,1434,5141,88,161,246,181,277,460,3981,1867,5851,13742,13892,27634,1629,1734,3368,9476,9553,19032,5092,5258,10357
21003,32326,33472,65794,14316,8851,23163,5192,7667,12852,1152,1520,2676,1271,1038,2306,21922,19080,40999,8428,12493,20922,5.8,5.4,5.6,67.8,57,62.3,63.9,53.9,58.8,2997,2892,5888,625,1289,1911,6082,7081,13160,2887,3311,6198,5095,2372,7467,164,296,463,383,559,939,5640,3230,8870,31135,32248,63384,5953,5688,11641,19351,20789,40138,15447,14965,30414
21004,17644,18747,36390,9115,5259,14372,2194,5051,7246,658,1003,1657,556,539,1092,12518,11851,24367,4328,6142,10468,4.4,4.5,4.5,70.9,63.2,67,67.8,60.3,64,554,726,1282,281,675,952,1831,2949,4778,1701,2324,4030,5199,2610,7808,147,286,434,262,395,654,5609,3290,8896,18377,19095,37469,2476,2687,5169,11806,12242,24049,7871,8381,16254
21005,78148,78725,156874,31566,16751,48313,11526,16599,28124,2986,3094,6082,3943,3464,7408,50019,39911,89928,23377,34377,57762,7.9,8.7,8.2,64,50.7,57.3,59,46.3,52.6,4132,4155,8290,722,1805,2532,9539,11869,21408,7121,8236,15356,12772,7534,20308,711,893,1604,1002,1408,2412,14483,9833,24322,81761,81548,163310,13672,13451,27126,48350,48909,97256,40030,39627,79657
21101,63897,68131,132024,30978,18211,49195,9076,18417,27495,2031,2822,4853,2005,1779,3781,44086,41238,85321,17661,24600,42260,4.5,4.3,4.4,69,60.5,64.6,65.9,57.9,61.8,4362,4428,8787,1130,2267,3393,11117,13616,24735,6189,8217,14408,14059,6865,20923,503,746,1246,831,1332,2161,15391,8943,24332,66964,69826,136792,7646,8024,15671,47481,49681,97160,23611,24659,48271
21102,10700,11266,21966,4871,2624,7495,1736,3357,5099,323,459,785,329,261,590,7262,6701,13966,3123,4218,7344,4.5,3.9,4.2,67.9,59.5,63.6,64.8,57.2,60.9,886,834,1725,304,521,828,2459,2763,5216,1014,1309,2323,1945,759,2707,47,97,144,127,236,358,2117,1096,3216,11366,11842,23202,1118,1147,2261,8633,9004,17640,3409,3507,6918
21103,44710,48953,93662,22179,12988,35165,6207,13783,19990,1411,2195,3604,1299,1164,2466,31093,30128,61220,12008,17009,29019,4.2,3.9,4,69.6,61.5,65.4,66.6,59.2,62.7,3107,3453,6561,1115,2178,3293,7872,10389,18262,4497,5934,10430,9719,4796,14514,322,508,829,667,1019,1684,10701,6322,17022,47037,50102,97141,6026,6427,12450,32090,34164,66256,18079,19605,37681
21104,24865,27136,52005,11259,6870,18135,3819,6980,10801,758,985,1740,801,736,1536,16645,15567,32210,7316,10490,17802,4.8,4.7,4.8,66.9,57.4,61.9,63.7,54.7,59,2893,2872,5764,726,1184,1909,5992,6942,12927,2462,2943,5402,3328,1615,4939,130,199,330,320,471,791,3783,2282,6067,25809,27644,53453,3390,3444,6836,17979,19653,37627,9765,10094,19856
21105,61731,64620,126350,30141,15434,45571,8457,19565,28018,2424,3466,5890,1506,1411,2920,42525,39882,82410,16671,22375,39049,3.5,3.5,3.5,68.9,61.7,65.2,66.5,59.5,62.9,2276,2944,5217,1102,2592,3699,7249,10926,18176,5508,8572,14079,18527,8569,27100,497,922,1421,856,1372,2231,19886,10863,30744,65997,67655,133649,6781,7141,13925,47103,47871,94970,21693,23275,44974
21201,44623,46920,91543,23485,12250,35734,5740,13247,18981,1663,2410,4071,1273,1361,2634,32152,29265,61416,10106,15191,25298,4,4.7,4.3,72.1,62.4,67.1,69.2,59.5,64.2,1767,2092,3857,513,1444,1956,4579,7108,11689,4104,6025,10126,12554,6800,19357,372,710,1081,565,929,1496,13487,8438,21929,46627,47926,94558,7916,8243,16159,26494,27026,53516,24263,25482,49747
21202,54509,55951,110454,25349,13794,39144,7639,13878,21516,1888,2115,4004,2166,1859,4015,37046,31645,68685,14643,21482,36126,5.8,5.9,5.8,68,56.6,62.2,64,53.2,58.5,2967,3021,5989,665,1474,2135,7323,9362,16682,5240,6471,11707,11362,5819,17181,441,692,1134,741,1103,1836,12546,7612,20150,56960,57795,114757,7358,7301,14658,38418,39417,77835,22335,22374,44710
21203,84852,86890,171741,43605,23441,67044,12274,22526,34803,3103,3936,7039,3220,3189,6409,62206,53093,115297,18544,29804,48349,5.2,6,5.6,73.3,61.1,67.1,69.5,57.4,63.4,4439,4784,9221,900,2056,2953,10735,14241,24983,9042,10827,19866,17951,10620,28572,788,1139,1932,1094,1648,2741,19835,13409,33245,91720,92302,184023,15191,15303,30497,49711,49924,99633,49010,50022,99032
21204,81205,79555,160760,32025,18040,50063,12476,16836,29312,2631,2705,5340,3522,2796,6321,50659,40374,91036,25629,34846,60474,7,6.9,6.9,62.4,50.8,56.6,58,47.2,52.7,4857,4650,9506,853,1528,2383,11623,12747,24369,6851,7372,14227,11289,5913,17202,612,776,1386,1018,1325,2341,12917,8017,20929,79724,78953,158685,12105,11057,23158,52064,53221,105286,34745,31992,66738
21205,76463,77977,154433,31466,19942,51411,12714,18479,31192,2392,2898,5285,2971,2518,5487,49535,43837,93372,23256,30716,53977,6,5.7,5.9,64.8,56.2,60.5,60.9,53,56.9,10974,9418,20393,1691,2739,4428,18712,19904,38615,6926,7734,14665,8179,4063,12248,342,554,894,829,1353,2184,9355,5976,15326,70916,72806,143719,15847,14665,30513,45784,48824,94604,37256,35248,72506
21301,76569,77154,153723,29030,16589,45616,11191,16184,27374,2866,3077,5940,3700,3229,6927,46777,39070,85848,24370,33182,57553,7.9,8.3,8.1,61.1,50.6,55.8,56.3,46.5,51.3,3348,3082,6431,706,1514,2222,9957,11685,21641,5744,6796,12540,11813,6443,18261,625,896,1519,1020,1334,2353,13459,8676,22133,77116,77871,154986,9328,8705,18029,55047,56854,111906,26867,25478,52350
21302,33906,36501,70407,16305,10711,27015,4359,8582,12940,1175,1661,2835,1232,1038,2270,23071,21995,45065,9214,12871,22080,5.3,4.7,5,68,60.3,64,64.4,57.4,60.8,2500,2914,5412,795,1722,2524,6474,8237,14706,3006,3711,6715,6418,2759,9174,211,327,543,434,614,1053,7069,3707,10770,34349,36255,70604,5403,5713,11118,23524,24958,48480,13862,14874,28740
21303,35770,36173,71946,16907,12341,29250,5943,8721,14662,1374,1775,3146,1550,1301,2854,25779,24131,49911,7835,10133,17968,6,5.4,5.7,72.1,66.7,69.4,67.7,63.1,65.4,3958,4179,8144,943,1793,2734,8806,9661,18468,3097,3288,6389,4194,2396,6588,271,278,548,419,509,925,4884,3178,8064,32101,32184,64282,7778,7827,15611,19314,20111,39423,18459,17962,36420
21304,74520,76287,150806,35644,20002,55645,9856,18612,28471,2872,3656,6523,3005,3019,6027,51381,45288,96663,19252,27076,46329,5.8,6.7,6.2,68.9,59.4,64.1,64.9,55.4,60.1,3325,3793,7118,810,2089,2902,9130,12643,21774,6667,8410,15076,16003,9133,25135,649,991,1641,1053,1519,2571,17706,11640,29349,77492,79295,156783,13143,13799,26947,46777,47680,94455,37260,39126,76395
21305,111404,110460,221868,54734,31039,85773,16824,26115,42935,4447,4894,9340,4866,5224,10090,80870,67270,148140,23858,36947,60808,6,7.8,6.8,72.6,60.9,66.8,68.2,56.2,62.2,12598,11405,23999,1732,3110,4840,19694,23101,42801,10997,12065,23069,17544,10494,28038,809,1064,1877,1319,1767,3082,19673,13326,32998,113726,113097,226825,24970,24180,49153,59909,60351,120260,67577,66380,133958
21401,54823,58620,113444,26070,14750,40819,7012,15871,22886,1899,2942,4839,1805,1512,3319,36787,35082,71872,14870,20322,35188,4.9,4.3,4.6,67.1,59.8,63.4,63.8,57.3,60.4,1581,2223,3805,782,1936,2718,5713,8954,14672,5028,7658,12691,15153,8058,23207,470,859,1335,778,1236,2018,16399,10161,26558,55720,58270,113987,7835,8540,16377,36856,38306,75161,23098,24957,48055
