SA3_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
20402,6299,12555,67,373,492,2247,109,485,2437,9636,3103,12752,226,943,350,1134,942,2937,1519,5019,4620,17764,38,162,154,537,93,324,781,2071,1059,3094,47,154,182,390,780,1663,1009,2210,2075,5305,167,327,13151,35953
20403,9202,18317,135,752,801,3763,198,893,4544,17823,5685,23230,340,1403,573,1877,1333,4207,2253,7489,7931,30721,45,216,242,839,110,410,1363,3607,1762,5071,111,364,296,641,1054,2206,1458,3209,3220,8279,239,496,20592,57808
20501,6909,13844,141,796,619,2959,172,801,3484,13807,4418,18372,299,1298,473,1572,1235,3939,2008,6813,6425,25188,52,221,181,646,77,276,934,2593,1243,3732,89,269,233,506,794,1738,1120,2514,2358,6244,184,383,15877,45662
20502,7117,14168,85,468,360,1646,144,661,2178,8601,2771,11383,161,660,273,885,922,2939,1354,4474,4118,15856,21,88,124,428,83,292,758,2090,979,2891,53,171,161,329,727,1554,942,2055,1924,4945,151,307,13314,35274
20503,9933,19754,113,635,697,3223,175,794,3513,14010,4502,18667,260,1078,522,1702,1325,4134,2105,6919,6605,25581,38,172,182,631,84,305,1056,2784,1365,3899,95,286,219,477,1042,2215,1352,2986,2722,6883,193,402,19452,52624
20504,8442,16839,151,844,683,3187,220,989,3956,15433,5009,20449,357,1504,493,1659,1594,5052,2448,8214,7458,28667,59,289,235,841,161,613,1682,4570,2144,6310,130,428,308,663,1459,3150,1900,4238,4044,10551,284,598,20220,56652
20505,5673,11294,85,456,409,1949,149,678,2345,9341,2993,12412,202,827,348,1129,815,2561,1362,4518,4357,16934,20,86,126,448,76,278,692,1859,911,2675,66,215,137,288,644,1366,842,1867,1755,4545,163,337,11945,33109
20601,9911,19830,86,480,713,3175,60,268,5230,19319,6083,23244,415,1745,861,3023,1364,4507,2633,9270,8719,32520,15,72,139,425,27,84,891,2050,1068,2629,116,398,379,865,1249,2783,1742,4038,2815,6667,608,1253,22045,60267
20602,5422,10842,43,224,565,2521,45,181,3441,12819,4088,15753,278,1160,727,2567,799,2625,1802,6353,5893,22109,10,35,130,397,17,70,560,1277,719,1778,63,208,253,554,707,1522,1024,2282,1745,4064,236,494,13288,37514
20603,6928,13862,72,401,715,3258,55,263,4241,16039,5090,19959,510,2267,951,3393,1271,4151,2728,9819,7819,29773,24,89,175,568,33,102,763,1838,992,2597,108,343,326,715,923,2010,1355,3059,2350,5659,422,886,17516,50177
20604,19259,38361,39,249,381,1747,34,156,4781,16452,5242,18603,158,668,593,1943,610,1883,1365,4493,6605,23098,12,86,169,551,40,121,1145,2605,1365,3365,103,318,645,1396,950,1993,1702,3704,3071,7070,1749,3619,30685,72138
20605,12949,25665,43,251,631,2814,54,236,5036,18292,5765,21585,237,963,949,3205,796,2486,1983,6657,7751,28247,14,58,165,508,44,142,1178,2612,1401,3318,97,282,544,1151,966,2001,1607,3441,3005,6754,544,1119,24252,61790
20606,8499,16887,19,124,343,1514,25,102,2366,8519,2755,10258,202,829,549,1860,545,1721,1299,4409,4058,14663,4,30,110,354,15,55,526,1197,659,1634,65,196,308,687,606,1254,979,2136,1636,3773,451,909,14644,36235
20607,11638,23169,19,89,478,2108,48,227,4111,14976,4656,17399,232,956,725,2474,749,2369,1707,5799,6358,23196,15,81,164,543,40,158,957,2310,1187,3094,84,258,370,821,975,2086,1435,3171,2618,6265,625,1291,21241,53913
20701,16248,32454,136,754,2912,13117,159,641,10362,39950,13565,54465,1477,6277,3750,13481,3285,10539,8514,30295,22080,84767,27,113,558,1771,51,167,1685,4014,2325,6066,291,896,1189,2735,1740,3702,3210,7333,5540,13401,748,1560,44611,132174
20702,10508,21177,98,529,1219,5493,134,582,6599,25121,8058,31727,836,3614,1622,5783,2973,9757,5437,19148,13497,50872,22,104,274,899,58,189,1091,2766,1447,3956,239,777,625,1449,1669,3719,2530,5942,3978,9900,433,905,28416,82855
20703,10312,20777,113,601,1370,6062,124,539,6783,25600,8391,32804,793,3329,1884,6747,2031,6541,4705,16618,13096,49424,23,117,295,924,57,191,1121,2763,1501,3995,215,686,797,1801,1571,3371,2583,5858,4088,9853,620,1304,28112,81366
20801,10418,20770,119,626,1698,7572,103,448,6808,26382,8730,35025,867,3660,2221,7940,1989,6384,5078,17983,13810,53007,22,79,306,908,36,98,1039,2450,1400,3540,172,516,717,1633,1201,2588,2091,4731,3486,8273,250,524,27964,82564
20802,15490,31040,155,867,2255,10282,171,768,11169,42579,13755,54489,1055,4465,2527,9055,2703,8712,6286,22232,20043,76722,32,145,404,1245,66,228,1718,4050,2228,5668,259,828,957,2151,1966,4227,3188,7211,5414,12881,715,1512,41657,122146
20803,12236,24594,161,843,1536,6864,188,840,8944,33882,10827,42425,888,3742,1691,5961,2579,8379,5158,18084,15983,60512,36,150,334,1034,92,300,1651,3965,2112,5448,265,814,750,1668,2107,4556,3127,7036,5239,12490,436,916,33904,98510
20804,4203,8420,30,162,605,2736,17,87,2604,9967,3259,12947,313,1335,879,3206,676,2186,1867,6727,5125,19673,5,30,89,272,9,34,400,914,501,1254,66,204,248,587,479,1027,799,1817,1297,3075,220,458,10847,31620
20901,12696,25465,163,926,1505,6859,205,908,9075,34780,10944,43469,959,4111,1646,5920,2919,9465,5516,19498,16457,62966,48,223,333,1076,69,224,1592,3892,2041,5419,251,827,664,1497,2159,4707,3078,7028,5120,12455,503,1061,34785,101952
20902,9355,18868,108,627,856,3889,132,623,5946,22175,7047,27319,566,2476,876,3140,1864,6234,3310,11855,10352,39167,28,149,206,694,69,252,1213,3034,1518,4127,164,561,424,957,1903,4303,2496,5821,4017,9949,709,1509,24430,69498
20903,6575,13192,161,877,1042,4748,161,712,4717,18552,6077,24893,800,3419,1091,3918,2273,7455,4165,14799,10243,39688,26,101,154,488,55,175,636,1592,869,2352,174,534,296,684,881,1960,1345,3173,2218,5529,141,291,19170,58695
20904,20046,40654,567,3285,3378,15990,773,3616,20616,80225,25331,103122,1980,8677,2384,8532,6499,21770,10867,38985,36196,142107,160,772,802,2858,370,1398,3692,10094,5021,15118,619,2089,1072,2515,4571,10480,6266,15079,11285,30196,1026,2203,68557,215161
21001,6006,12092,76,438,863,3912,98,430,4168,16078,5205,20861,564,2443,836,3071,1838,6088,3236,11601,8441,32468,24,93,161,532,55,195,678,1708,926,2522,158,534,290,686,1273,2836,1727,4047,2652,6574,282,592,17375,51723
21002,3600,7197,57,329,493,2295,92,446,2450,9756,3095,12825,270,1127,445,1570,764,2448,1473,5150,4574,17976,14,67,96,323,35,107,377,1032,520,1530,56,176,116,265,367,791,539,1233,1056,2764,62,127,9292,28062
21003,7336,14832,165,1000,861,4174,148,702,5807,22211,6976,28083,502,2220,638,2256,1500,5076,2653,9552,9629,37634,32,159,204,682,74,242,1008,2537,1311,3616,184,618,319,761,1534,3427,2033,4805,3344,8414,476,1024,20785,61904
21004,4420,8899,100,528,532,2422,154,705,3206,12318,3987,15976,363,1536,449,1563,1203,3963,2015,7057,6002,23032,36,149,126,444,60,189,742,1985,973,2770,114,360,201,450,826,1832,1137,2637,2104,5408,167,355,12699,37697
21005,12913,26357,827,5153,3013,15238,724,3631,16309,65216,20871,89236,1864,8558,1740,6339,5362,18619,8964,33511,29835,122750,206,1062,632,2460,300,1181,2733,7903,3871,12613,548,1940,731,1758,3725,8910,4994,12614,8866,25224,826,1813,52443,176140
21101,15738,31751,253,1395,1966,8878,353,1629,10816,41376,13389,53280,1497,6460,2236,7993,4898,16053,8632,30506,22019,83789,73,323,455,1535,162,577,1937,5018,2630,7454,370,1179,843,1931,2954,6584,4164,9696,6796,17145,605,1275,45157,133962
21102,2580,5165,57,328,487,2254,56,250,1593,6374,2202,9207,345,1487,592,2159,871,2901,1813,6545,4016,15752,4,19,82,256,22,57,185,470,293,806,53,172,107,256,299,657,456,1078,742,1890,38,79,7377,22888
21103,11318,22747,183,1048,1394,6433,225,1033,8369,32035,10180,40549,916,3952,1277,4508,2713,8854,4904,17315,15087,57866,44,213,335,1088,117,398,1509,3741,2000,5449,292,917,622,1384,1988,4312,2899,6618,4902,12060,407,860,31712,93533
21104,6192,12501,73,406,831,3702,82,357,4743,18043,5735,22503,518,2216,1000,3609,1393,4541,2908,10365,8645,32874,15,61,167,549,41,139,599,1460,822,2210,137,439,359,850,1012,2233,1512,3526,2331,5735,277,594,17442,51701
21105,16405,32930,339,1889,1882,8740,500,2315,10615,41424,13334,54367,1295,5587,1505,5217,4338,14136,7134,24944,20469,79312,72,286,451,1504,200,687,2061,5245,2779,7721,380,1239,632,1424,2647,5852,3660,8507,6442,16230,447,934,43759,129401
21201,10631,21502,316,1862,1579,7452,407,1882,9519,37447,11818,48644,825,3534,1048,3675,2402,7933,4277,15142,16091,63786,90,456,365,1365,157,570,1988,5439,2609,7834,283,939,444,992,1664,3732,2394,5667,5001,13503,386,810,32116,99600
21202,11407,23089,422,2633,2144,10256,460,2221,9311,36483,12330,51592,1324,5850,1798,6404,3981,13319,7105,25576,19437,77164,93,447,373,1318,167,650,1803,4932,2435,7344,307,1060,552,1293,2312,5272,3180,7616,5613,14957,480,1028,36943,116241
21203,15621,31902,855,5381,3674,17790,822,4024,20897,81962,26257,109167,1718,7672,2304,8159,4831,16222,8853,32048,35110,141213,218,1137,624,2280,334,1292,3379,9346,4555,14052,477,1660,760,1779,3045,7046,4283,10488,8841,24539,826,1790,60392,199449
21204,15571,31973,454,2763,2260,10883,495,2359,12052,46951,15248,62952,1382,6161,2110,7501,5051,16982,8546,30644,23791,93595,135,699,570,2139,234,933,2517,6887,3461,10660,514,1809,1000,2382,4118,9534,5625,13726,9090,24381,1229,2732,49677,152683
21205,17130,34632,170,931,2416,10695,226,1009,11995,45367,14804,58004,1370,5846,3045,10765,4382,14286,8793,30902,23599,88903,42,201,487,1606,96,312,1765,4506,2387,6626,357,1158,1157,2676,2793,6195,4303,10025,6693,16649,1031,2196,48458,142387
21301,14546,29877,440,2721,2107,10216,550,2730,10603,41822,13703,57492,1480,6564,1944,7036,5630,19046,9053,32649,22758,90139,187,974,704,2624,310,1215,2968,8290,4171,13099,585,2037,995,2429,4334,10171,5916,14635,10091,27734,1147,2534,48534,150285
21302,8514,17073,137,757,962,4382,160,755,6496,24662,7754,30551,532,2256,1006,3569,1898,6185,3439,12005,11191,42558,34,142,247,824,82,280,1221,3012,1583,4263,165,536,421,946,1557,3441,2144,4915,3721,9173,415,874,23840,69679
21303,8587,17289,58,341,713,3240,80,407,5747,21328,6608,25315,384,1651,810,2821,1244,4089,2438,8562,9039,33875,28,124,210,714,89,328,1091,2661,1416,3838,148,499,388,891,1378,3083,1911,4467,3329,8302,661,1408,21616,60879
21304,13865,28181,574,3504,3017,14413,683,3310,16594,65458,20869,86684,1498,6593,1956,7051,4307,14507,7762,28153,28629,114834,210,1093,753,2809,328,1232,3427,9738,4720,14872,458,1556,753,1753,2855,6535,4061,9841,8782,24711,662,1450,51937,169178
21305,20151,41088,742,4633,3977,19089,747,3668,30040,115429,35500,142821,1653,7279,2802,9763,4753,15821,9211,32866,44713,175686,233,1320,880,3409,366,1458,4483,12593,5959,18779,574,2017,1077,2520,3536,8051,5183,12586,11145,31364,1277,2825,77283,250962
21401,13185,26569,238,1327,1464,6695,377,1746,9024,34551,11100,44320,804,3415,1216,4202,3121,10160,5145,17776,16241,62097,94,441,532,1771,251,879,2736,7085,3614,10179,351,1125,709,1593,2911,6428,3974,9146,7587,19326,570,1196,37590,109189
21402,21049,42114,268,1426,1841,8417,420,1859,9401,36821,11928,48520,1022,4304,1672,5739,3546,11298,6240,21335,18170,69854,84,345,524,1698,209,731,2348,6025,3166,8801,288,907,749,1681,2726,5874,3766,8459,6932,17260,473,974,46625,130203
21501,7582,15079,88,494,576,2661,145,651,3030,12118,3838,15921,226,922,394,1258,1134,3517,1753,5696,5591,21617,24,104,161,556,94,335,927,2587,1208,3582,74,221,173,371,868,1854,1120,2449,2324,6036,240,503,15745,43237
21502,6124,12242,117,653,585,2769,190,877,3046,12076,3934,16370,246,1032,350,1129,1133,3589,1728,5747,5667,22119,33,168,201,724,126,478,1115,3077,1480,4441,88,297,196,441,929,2043,1222,2783,2703,7219,239,509,14729,42097
21503,4648,9289,73,420,362,1735,87,422,1941,7840,2461,10414,142,576,281,897,703,2232,1120,3704,3583,14114,21,115,102,377,47,183,578,1623,753,2296,19,65,85,191,514,1096,619,1352,1367,3641,178,381,9783,27430
21601,4902,9768,75,382,402,1959,117,550,1914,7648,2512,10549,191,810,264,873,836,2642,1291,4326,3800,14870,18,89,127,444,69,251,652,1825,872,2611,57,183,121,265,618,1331,797,1777,1666,4390,131,267,10501,29296
21602,4049,8066,70,393,284,1356,99,469,1425,5743,1883,7960,147,637,182,609,574,1806,902,3051,2783,11014,18,65,76,271,46,157,516,1400,657,1890,41,130,86,185,474,1020,603,1336,1255,3224,76,163,8172,22463
21603,6939,13886,164,1003,748,3616,221,1074,3860,15502,4998,21202,361,1545,483,1609,1380,4439,2227,7599,7224,28805,59,273,256,901,141,503,1250,3491,1698,5171,117,364,208,464,1032,2245,1356,3068,3052,8240,247,527,17470,51458
21701,4859,9669,56,320,330,1525,89,401,1840,7304,2310,9556,133,550,281,887,764,2370,1173,3803,3491,13359,22,94,116,380,58,220,549,1480,747,2174,40,118,125,257,533,1133,695,1508,1446,3684,128,260,9914,26969
21703,4765,9474,98,532,413,1959,94,481,1902,7678,2509,10652,196,813,275,861,738,2335,1204,4018,3716,14669,26,117,84,309,42,143,527,1456,677,2024,55,172,103,223,592,1299,752,1688,1428,3714,159,336,10072,28189
21704,6132,12246,125,673,555,2581,157,716,2992,11844,3826,15806,270,1121,443,1463,1070,3412,1779,5996,5600,21807,29,130,152,523,83,287,885,2299,1150,3236,87,258,172,356,828,1821,1085,2435,2234,5662,220,463,14192,40177
29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
