SA3_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
20402,0,0,0,0,1390,1388,13,0,0,0,1013,1029,686,40,31,4,1599,2360,1319,108,145,4,845,2424,1602,159,376,19,729,2886,2011,173,593,80,539,3397,2242,127,560,153,300,3388,1342,56,219,241,100,1948,370,7,38,195,25,636,9585,669,1961,698,6528,19449,0,0,0,0,1347,1348,49,0,0,0,978,1028,869,60,41,4,1493,2469,1468,154,223,17,803,2661,1746,213,566,58,666,3241,2133,220,724,208,435,3720,2089,136,561,473,193,3452,1041,46,220,757,79,2142,204,3,48,709,30,992,9595,831,2387,2222,6023,21055,3,0,0,0,2726,2734,62,0,0,4,1989,2059,1556,106,75,9,3085,4828,2785,264,369,18,1649,5081,3345,369,939,79,1389,6129,4140,390,1316,289,972,7116,4329,265,1122,629,493,6839,2379,101,436,996,177,4093,568,14,85,904,63,1632,19174,1503,4347,2924,12559,40503
20403,0,0,0,0,2420,2417,42,0,0,0,1957,1995,1175,75,69,6,3023,4348,2408,171,286,10,1450,4328,2707,216,601,26,1119,4675,3168,232,880,99,731,5109,3145,203,749,210,360,4658,1607,66,248,272,101,2289,388,7,39,213,25,673,14637,971,2872,832,11175,30494,3,0,0,0,2125,2129,70,11,0,0,1747,1831,1522,113,96,13,2629,4375,2697,288,375,33,1397,4782,2843,279,836,109,960,5022,3245,286,1030,270,590,5412,2882,175,806,623,219,4702,1203,57,328,901,93,2574,199,8,52,787,28,1077,14663,1196,3521,2722,9784,31891,3,0,0,0,4539,4546,112,13,3,0,3704,3828,2698,190,161,10,5651,8716,5104,453,662,41,2848,9113,5550,496,1444,136,2080,9705,6412,511,1909,367,1320,10517,6023,376,1558,829,575,9363,2809,116,575,1171,191,4856,593,20,87,995,51,1745,29305,2166,6392,3558,20959,62386
20501,0,0,0,0,1596,1600,36,5,0,4,1421,1464,1118,65,53,3,2149,3391,1896,122,189,6,983,3196,1948,189,407,29,732,3310,2331,165,541,59,501,3596,2457,134,481,147,244,3454,1433,61,167,206,66,1944,295,10,26,191,15,537,11518,745,1868,645,7715,22491,0,0,0,0,1619,1620,57,4,0,0,1375,1441,1437,102,76,8,2141,3768,1956,174,297,22,938,3395,2143,231,563,70,623,3623,2474,180,767,203,374,4005,2286,130,582,432,190,3622,1056,23,223,668,39,2007,138,8,44,606,18,817,11559,857,2549,2019,7327,24301,0,0,0,0,3217,3217,95,5,0,4,2802,2901,2557,170,129,11,4296,7161,3854,294,485,35,1919,6589,4094,424,961,100,1357,6936,4800,347,1304,266,879,7599,4738,258,1069,576,438,7080,2496,83,394,877,105,3953,434,19,74,794,33,1359,23077,1598,4412,2656,15037,46790
20502,0,0,0,0,1213,1213,10,0,0,0,935,942,569,40,36,0,1462,2104,1052,98,129,0,842,2126,1395,161,296,13,769,2625,2145,210,660,78,654,3733,2808,229,789,225,377,4427,1717,64,301,271,111,2470,352,19,47,211,20,644,10055,822,2250,798,6370,20296,0,0,0,0,1094,1095,28,9,0,0,840,874,724,69,54,3,1444,2286,1220,152,175,20,806,2380,1554,189,486,57,710,3001,2388,218,713,221,499,4033,2657,146,714,553,197,4273,1266,30,274,790,52,2406,184,4,40,635,13,875,10015,822,2458,2283,5650,21233,0,0,0,0,2309,2315,38,9,0,0,1776,1819,1289,106,84,6,2906,4389,2273,253,300,23,1651,4510,2945,348,787,70,1473,5626,4535,426,1370,296,1148,7770,5468,385,1504,782,569,8702,2985,99,579,1057,162,4878,540,20,87,838,31,1518,20067,1648,4707,3073,12025,41521
20503,0,0,0,0,1785,1786,10,0,3,0,1344,1357,746,49,43,5,2115,2950,1898,127,240,6,1274,3548,2345,233,531,27,1102,4237,3266,270,921,106,912,5468,4003,298,950,248,441,5941,2120,104,346,337,106,3020,449,20,61,301,26,858,14840,1093,3093,1038,9108,29166,0,0,0,0,1747,1747,32,0,0,0,1160,1197,1039,84,90,9,2049,3270,2112,225,290,19,1194,3846,2479,245,682,67,1040,4517,3562,288,1201,271,751,6076,3745,217,1096,692,338,6092,1565,53,395,987,84,3091,212,13,65,905,15,1215,14746,1134,3827,2953,8384,31044,3,0,0,0,3531,3536,47,0,4,0,2502,2557,1783,133,135,11,4170,6226,4012,354,531,28,2467,7392,4828,479,1214,97,2140,8750,6824,562,2118,378,1666,11542,7746,516,2044,948,784,12038,3684,157,740,1326,199,6106,666,31,126,1210,41,2074,29586,2225,6918,3993,17488,60212
20504,0,0,0,4,2227,2235,31,0,0,4,2098,2133,1159,92,63,4,3435,4751,2115,217,261,11,1657,4267,2219,317,594,40,1328,4496,2857,288,958,105,885,5094,2882,241,804,236,405,4573,1591,87,271,312,114,2383,389,13,55,269,30,754,13244,1260,3001,990,12192,30688,0,0,0,0,2102,2107,67,14,0,0,2063,2147,1519,156,121,19,3223,5038,2267,293,391,46,1581,4574,2419,377,868,100,1040,4808,3043,317,1190,355,621,5531,2652,227,869,804,192,4744,1178,49,313,1083,46,2674,186,12,41,923,32,1192,13348,1447,3789,3328,10905,32821,3,0,0,0,4331,4342,101,18,6,4,4158,4286,2681,244,177,18,6668,9789,4384,507,650,61,3243,8845,4636,697,1461,143,2368,9304,5905,606,2150,462,1506,10630,5533,471,1670,1044,604,9318,2776,138,586,1395,161,5057,578,23,91,1194,61,1948,26593,2706,6795,4322,23097,63505
20505,0,6,0,0,1291,1291,29,6,0,0,1136,1172,739,37,27,3,1935,2736,1426,110,162,5,931,2641,1454,154,298,20,728,2654,2004,168,511,75,515,3279,2099,160,588,177,255,3268,1013,51,169,177,78,1486,217,10,30,142,16,417,8978,695,1788,607,6874,18941,0,0,0,0,1218,1219,32,3,0,0,972,1006,844,69,62,7,1444,2425,1421,159,201,15,757,2557,1588,200,461,50,600,2901,2059,176,607,178,353,3372,1933,108,531,434,124,3127,720,28,167,665,40,1616,123,5,32,449,9,620,8725,737,2053,1801,5533,18850,0,4,0,0,2510,2515,56,6,0,0,2104,2175,1585,106,84,8,3380,5161,2851,264,363,28,1686,5195,3044,352,762,72,1324,5555,4064,349,1114,252,874,6652,4031,273,1118,609,381,6397,1734,73,334,835,124,3101,338,13,64,595,28,1036,17704,1435,3841,2405,12403,37785
20601,0,0,0,0,1670,1672,42,3,0,0,3243,3288,1427,61,86,8,8839,10427,3247,172,347,15,3856,7632,2855,205,502,23,1883,5474,2091,155,583,55,1069,3953,1497,104,409,88,445,2547,1016,39,141,179,165,1542,420,9,28,221,37,726,12613,753,2103,586,21208,37258,0,0,0,0,1688,1689,98,0,3,0,3661,3770,1860,119,164,7,9273,11419,3376,207,455,27,3871,7930,2843,257,679,60,1851,5689,2097,191,762,181,1091,4316,1398,102,575,426,533,3043,786,33,233,847,119,2011,164,8,50,862,47,1130,12614,913,2917,2405,22141,40992,6,0,4,0,3355,3362,140,11,3,0,6901,7059,3288,185,248,14,18112,21846,6620,375,797,38,7729,15561,5704,460,1179,87,3737,11163,4184,350,1346,228,2161,8269,2898,207,985,510,978,5590,1802,66,374,1022,287,3551,588,23,78,1085,84,1854,25225,1676,5020,2990,43344,78253
20602,0,0,0,0,1227,1227,5,3,0,0,1399,1409,617,27,30,5,4170,4848,1852,109,212,3,2030,4206,2111,124,297,19,1197,3743,1421,108,358,28,756,2663,939,57,249,66,350,1658,622,30,138,129,91,1009,258,13,17,148,29,470,7829,476,1295,397,11235,21222,3,0,0,0,1239,1248,15,0,0,0,1491,1506,869,44,72,4,4729,5722,2003,135,261,17,2159,4571,2121,176,414,34,1331,4069,1409,131,470,75,846,2936,898,64,392,234,384,1965,474,17,147,571,94,1293,120,9,43,520,21,720,7901,575,1804,1451,12291,24027,3,0,0,0,2469,2467,18,6,0,0,2891,2918,1482,73,104,9,8895,10564,3858,239,473,23,4187,8777,4230,304,710,53,2522,7816,2824,239,827,108,1596,5591,1838,119,639,291,732,3623,1095,52,283,701,181,2306,377,23,67,668,55,1182,15729,1055,3092,1845,23528,45248
20603,0,0,0,0,1730,1730,55,7,6,0,2338,2397,1224,51,64,8,4610,5958,2752,156,263,9,1812,4988,2839,225,427,22,1030,4543,2421,178,532,58,680,3862,1688,112,381,115,403,2699,805,46,139,117,142,1248,289,7,22,158,31,512,12062,778,1832,476,12773,27931,0,0,0,0,1683,1683,106,13,0,0,2396,2509,1589,97,164,5,4583,6439,2944,204,368,21,1784,5323,2859,248,649,70,1072,4889,2323,196,752,168,695,4134,1556,119,492,379,364,2909,613,36,200,598,120,1573,140,4,52,713,46,949,12129,919,2679,1947,12735,30411,0,0,3,0,3407,3410,158,15,5,0,4731,4910,2814,148,226,11,9193,12396,5695,361,629,26,3596,10311,5699,472,1075,90,2097,9435,4743,373,1288,225,1375,7991,3243,236,873,494,765,5602,1416,84,338,714,263,2820,427,12,78,870,77,1461,24192,1699,4516,2425,25505,58337
20604,9,0,0,0,2803,2815,150,9,10,6,11618,11789,4568,239,294,9,21459,26569,5035,373,778,9,6154,12347,2579,361,812,32,2158,5949,2251,302,861,72,1072,4558,1919,160,573,122,433,3203,972,56,239,106,173,1553,212,6,52,119,67,464,17693,1506,3628,479,45940,69249,21,0,0,0,3470,3493,286,30,15,4,13056,13392,5412,319,497,10,20148,26392,4402,383,975,50,5012,10819,2600,331,1036,73,1745,5794,2297,237,1073,225,847,4679,1672,143,764,436,370,3384,639,40,241,520,155,1590,102,0,57,496,73,726,17431,1477,4658,1813,44879,70258,29,0,0,4,6274,6311,436,35,29,11,24668,25180,9981,557,794,24,41606,52964,9430,752,1755,57,11170,23165,5178,691,1852,109,3909,11739,4552,533,1935,299,1921,9233,3585,304,1334,554,804,6588,1613,94,480,625,330,3141,312,6,114,615,141,1188,35120,2982,8287,2292,90824,139506
