SA3_CODE_2021,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
20402,69,1189,130,1388,52,889,79,1029,191,1984,184,2360,296,1952,171,2424,432,2259,194,2886,583,2592,218,3397,437,2705,249,3388,241,1535,167,1948,58,492,88,636,2367,15598,1485,19449,77,1140,123,1348,78,877,75,1028,319,1982,165,2469,511,1969,181,2661,773,2266,206,3241,994,2493,227,3720,633,2623,195,3452,279,1623,239,2142,44,802,151,992,3716,15773,1563,21055,153,2331,253,2734,130,1768,156,2059,512,3967,350,4828,812,3921,354,5081,1210,4522,398,6129,1578,5089,448,7116,1074,5326,443,6839,526,3160,407,4093,101,1289,238,1632,6086,31378,3044,40503
20403,116,2101,200,2417,120,1719,159,1995,306,3699,345,4348,475,3510,336,4328,646,3720,314,4675,769,4011,325,5109,582,3779,299,4658,277,1830,185,2289,72,522,79,673,3366,24884,2243,30494,125,1848,161,2129,149,1533,147,1831,510,3575,286,4375,886,3614,281,4782,1191,3562,270,5022,1279,3867,265,5412,839,3601,265,4702,335,2001,240,2574,54,868,153,1077,5372,24468,2059,31891,246,3939,362,4546,270,3252,306,3828,820,7271,634,8716,1365,7128,616,9113,1838,7279,580,9705,2043,7878,589,10517,1420,7383,562,9363,610,3824,426,4856,123,1387,229,1745,8736,49348,4300,62386
20501,62,1417,111,1600,105,1259,92,1464,240,2958,196,3391,374,2582,236,3196,451,2642,221,3310,615,2771,215,3596,427,2836,199,3454,235,1555,150,1944,51,419,66,537,2558,18444,1485,22491,99,1401,118,1620,129,1241,72,1441,425,3089,247,3768,650,2530,214,3395,857,2568,198,3623,1051,2751,201,4005,637,2791,194,3622,237,1593,178,2007,26,684,102,817,4119,18657,1530,24301,166,2815,232,3217,233,2502,167,2901,663,6047,441,7161,1021,5113,454,6589,1310,5215,416,6936,1660,5522,415,7599,1060,5629,390,7080,478,3153,323,3953,80,1105,173,1359,6672,37095,3018,46790
20502,70,990,146,1213,56,805,83,942,180,1733,188,2104,252,1673,206,2126,412,1990,229,2625,591,2849,299,3733,520,3575,337,4427,275,1956,239,2470,70,469,104,644,2428,16042,1821,20296,96,873,127,1095,81,718,80,874,288,1807,196,2286,447,1721,206,2380,723,2047,232,3001,954,2798,283,4033,701,3250,321,4273,292,1882,236,2406,44,654,177,875,3627,15748,1856,21233,174,1868,276,2315,140,1521,160,1819,468,3537,384,4389,701,3397,411,4510,1139,4033,457,5626,1541,5651,581,7770,1222,6823,651,8702,563,3838,476,4878,115,1120,283,1518,6055,31791,3677,41521
20503,87,1517,179,1786,96,1167,95,1357,250,2495,212,2950,405,2860,279,3548,604,3329,303,4237,895,4205,366,5468,791,4725,432,5941,363,2343,315,3020,69,631,158,858,3562,23275,2330,29166,125,1442,174,1747,118,1003,82,1197,403,2624,245,3270,656,2887,302,3846,1049,3191,281,4517,1526,4182,368,6076,1021,4644,433,6092,396,2359,333,3091,61,974,183,1215,5336,23312,2397,31044,211,2965,357,3536,216,2174,173,2557,651,5120,455,6226,1057,5747,586,7392,1649,6523,579,8750,2421,8385,738,11542,1808,9367,859,12038,757,4703,643,6106,132,1602,344,2074,8903,46584,4723,60212
20504,86,1922,226,2235,141,1810,181,2133,340,4011,404,4751,489,3420,357,4267,656,3466,373,4496,791,3928,371,5094,605,3633,333,4573,320,1827,237,2383,76,560,120,754,3505,24575,2609,30688,132,1787,191,2107,174,1781,190,2147,632,4006,407,5038,878,3319,382,4574,1140,3341,327,4808,1338,3834,364,5531,792,3610,343,4744,350,2037,285,2674,39,963,190,1192,5467,24672,2680,32821,222,3706,418,4342,320,3593,376,4286,966,8011,810,9789,1363,6740,741,8845,1798,6807,701,9304,2127,7764,737,10630,1394,7242,679,9318,671,3866,520,5057,112,1525,313,1948,8978,49249,5290,63505
20505,87,1083,126,1291,61,953,152,1172,178,2016,546,2736,278,1870,495,2641,393,1961,304,2654,486,2524,268,3279,395,2612,261,3268,162,1201,120,1486,29,326,56,417,2072,14544,2324,18941,87,1026,116,1219,79,840,83,1006,265,1958,201,2425,451,1895,208,2557,658,2028,216,2901,863,2325,184,3372,549,2352,231,3127,191,1267,157,1616,31,503,83,620,3174,14194,1482,18850,169,2104,241,2515,140,1797,235,2175,443,3973,747,5161,726,3768,706,5195,1048,3990,519,5555,1354,4848,453,6652,940,4965,490,6397,350,2469,279,3101,68,828,139,1036,5238,28736,3808,37785
20601,95,1523,51,1672,184,2972,128,3288,614,9335,480,10427,667,6659,304,7632,963,4301,203,5474,829,2972,156,3953,382,2029,131,2547,198,1236,109,1542,88,578,61,726,4031,31604,1629,37258,107,1526,64,1689,226,3385,152,3770,844,10104,464,11419,988,6678,261,7930,1532,3979,178,5689,1295,2880,142,4316,616,2307,124,3043,281,1605,123,2011,66,996,75,1130,5960,33455,1583,40992,202,3049,109,3362,415,6363,279,7059,1460,19445,945,21846,1658,13336,569,15561,2497,8277,387,11163,2120,5850,298,8269,998,4332,251,5590,480,2847,231,3551,146,1573,133,1854,9991,65055,3209,78253
20602,53,1143,31,1227,83,1245,81,1409,279,4376,191,4848,379,3664,165,4206,638,2976,132,3743,574,1986,96,2663,237,1339,80,1658,130,814,70,1009,57,350,55,470,2425,17885,908,21222,55,1147,49,1248,125,1325,55,1506,450,5069,200,5722,608,3800,163,4571,1009,2945,117,4069,859,1983,98,2936,392,1483,89,1965,163,1027,106,1293,46,557,113,720,3703,19331,988,24027,107,2287,76,2467,209,2576,131,2918,728,9448,390,10564,980,7464,331,8777,1647,5916,248,7816,1433,3961,194,5591,623,2829,169,3623,295,1840,180,2306,103,905,173,1182,6131,37222,1898,45248
20603,75,1585,71,1730,131,2146,121,2397,331,5302,323,5958,460,4280,248,4988,724,3595,228,4543,805,2865,191,3862,430,2157,115,2699,154,1021,70,1248,53,408,48,512,3156,23351,1417,27931,85,1535,70,1683,193,2194,126,2509,470,5579,387,6439,646,4421,253,5323,1171,3518,199,4889,1226,2737,165,4134,579,2209,117,2909,213,1261,102,1573,37,842,78,949,4628,24290,1491,30411,154,3117,142,3410,325,4330,250,4910,801,10886,706,12396,1103,8706,502,10311,1898,7111,424,9435,2035,5601,359,7991,1008,4360,233,5602,368,2278,178,2820,96,1242,124,1461,7788,47641,2913,58337
20604,102,2489,230,2815,291,10579,923,11789,871,23442,2259,26569,733,10485,1129,12347,630,4762,558,5949,602,3557,398,4558,363,2581,259,3203,163,1239,149,1553,32,357,70,464,3782,59499,5971,69249,114,3125,256,3493,408,11965,1018,13392,989,23301,2101,26392,875,9082,861,10819,884,4446,462,5794,908,3428,342,4679,580,2528,277,3384,198,1243,140,1590,27,600,99,726,4985,59718,5552,70258,217,5611,483,6311,694,22541,1946,25180,1864,46748,4354,52964,1604,19568,1991,23165,1510,9211,1012,11739,1508,6983,740,9233,941,5111,533,6588,362,2487,295,3141,55,965,164,1188,8767,119216,11525,139506
20605,75,1494,87,1659,147,2305,205,2654,508,9607,884,10994,706,7592,643,8947,976,5649,562,7185,1095,4271,431,5799,465,3167,302,3932,206,1645,209,2052,51,440,105,597,4223,36166,3431,43821,89,1461,78,1631,174,2511,213,2898,682,10577,865,12126,947,7753,644,9343,1487,5582,426,7501,1467,3982,349,5808,725,3163,235,4123,266,1719,226,2212,60,612,207,876,5903,37363,3240,46509,165,2953,169,3288,319,4819,416,5551,1191,20183,1744,23122,1650,15343,1288,18287,2467,11230,988,14680,2560,8261,784,11602,1189,6336,533,8052,469,3360,436,4268,109,1048,313,1468,10120,73530,6675,90328
20606,43,801,74,915,111,1895,120,2128,392,7530,487,8402,346,4252,305,4902,476,2601,211,3294,541,2134,179,2854,312,1840,140,2292,170,1268,131,1565,48,430,77,562,2440,22749,1724,26907,58,942,75,1071,166,2549,199,2914,466,8138,528,9135,480,4009,282,4766,730,2545,235,3513,806,2070,163,3036,526,2149,168,2840,264,1542,137,1952,55,673,147,875,3541,24613,1939,30098,93,1740,151,1982,279,4445,316,5044,864,15668,1013,17543,825,8261,583,9668,1204,5143,448,6802,1344,4202,337,5886,836,3981,306,5128,435,2808,274,3515,108,1104,229,1438,5982,47359,3663,57008
20607,54,1063,78,1190,184,2579,210,2966,624,11751,748,13122,615,6860,484,7952,747,4129,326,5200,746,3276,300,4323,344,2392,187,2925,154,1198,91,1441,50,384,44,487,3519,33630,2464,39611,65,1271,76,1417,225,3262,198,3685,895,12376,699,13972,786,6177,405,7372,1121,3787,266,5173,1092,2880,226,4195,624,2529,186,3341,214,1472,120,1805,40,710,52,801,5069,34459,2237,41763,118,2331,157,2608,416,5834,405,6654,1515,24123,1447,27093,1401,13037,883,15326,1866,7916,592,10373,1843,6151,531,8523,970,4924,374,6265,373,2671,215,3247,90,1096,102,1288,8586,68092,4705,81376
20701,279,5637,181,6100,361,5665,202,6229,607,9342,474,10424,927,8203,345,9469,1832,8794,384,11016,2119,7496,301,9915,1213,5966,241,7420,551,3587,205,4347,204,1483,134,1820,8091,56176,2466,66732,275,5391,184,5853,414,5452,202,6075,805,9399,416,10620,1471,9104,362,10937,3105,9316,377,12800,3257,7286,293,10831,1840,6349,309,8499,765,4422,293,5479,163,2676,304,3143,12102,59396,2735,74237,555,11026,364,11950,773,11123,409,12306,1410,18742,889,21044,2395,17308,705,20408,4936,18111,764,23812,5373,14784,593,20747,3059,12309,550,15917,1314,8013,502,9829,366,4160,431,4961,20199,115566,5201,140967
20702,139,2561,99,2794,196,2699,102,3000,380,5049,258,5686,669,5367,255,6292,1034,4706,215,5953,1101,4369,164,5640,621,3787,145,4552,496,3137,180,3815,201,1295,119,1615,4846,32970,1539,39357,112,2338,69,2520,184,2347,78,2616,466,5042,250,5758,1028,5667,257,6953,1570,4774,213,6555,1660,4630,193,6478,998,4461,190,5647,602,3780,218,4606,136,1857,195,2192,6746,34903,1665,43313,251,4899,165,5320,382,5051,183,5613,848,10095,503,11449,1693,11044,515,13247,2598,9480,434,12510,2759,8997,358,12114,1619,8245,336,10197,1100,6918,400,8421,339,3153,309,3807,11590,67868,3203,82669
20703,136,2973,107,3217,219,4259,313,4782,420,7229,612,8267,612,5993,305,6903,1076,5322,258,6661,1040,4425,173,5637,592,3378,174,4138,415,2146,133,2690,166,1029,127,1325,4670,36745,2212,43629,150,2971,107,3230,247,3842,273,4362,516,7004,499,8014,943,6083,286,7312,1714,5558,230,7502,1581,4405,209,6192,981,3816,199,4994,458,2955,186,3604,119,1820,237,2181,6703,38461,2223,47385,281,5943,222,6446,462,8101,582,9154,939,14230,1112,16286,1554,12073,587,14215,2794,10885,485,14161,2622,8821,384,11831,1570,7194,370,9132,866,5099,322,6292,285,2851,368,3502,11373,75205,4435,91012
20801,112,3368,113,3596,183,2511,78,2766,282,3348,175,3806,492,4718,229,5443,1105,6236,299,7639,1341,5176,185,6700,790,4165,179,5125,375,2538,186,3097,135,972,119,1225,4811,33030,1560,39406,140,3113,114,3369,171,2216,59,2442,367,3555,176,4101,800,5315,255,6372,1896,6424,300,8621,2185,4934,219,7337,1170,4528,253,5952,476,3089,271,3838,108,1808,279,2201,7323,34980,1923,44233,255,6482,227,6965,355,4720,133,5212,654,6905,349,7912,1291,10035,485,11814,2999,12663,593,16260,3526,10110,404,14041,1961,8684,435,11081,849,5625,452,6937,246,2786,396,3422,12136,68013,3482,83632
20802,187,4129,138,4455,328,4480,244,5054,655,10378,643,11679,1073,9561,470,11102,1702,8237,342,10285,1639,6276,266,8184,932,5186,253,6366,398,2715,181,3293,180,1188,113,1481,7101,52152,2643,61892,217,3894,158,4266,371,4409,208,4988,818,10626,579,12020,1511,9930,440,11880,2708,8148,340,11197,2529,5991,252,8767,1414,5436,339,7194,562,3461,284,4300,120,2283,304,2706,10249,54168,2909,67323,400,8018,297,8722,704,8885,454,10041,1474,21003,1219,23697,2587,19489,909,22987,4412,16384,684,21477,4165,12265,517,16955,2354,10625,588,13559,951,6173,460,7592,302,3470,416,4193,17348,106317,5551,129212
20803,160,3150,123,3430,172,2761,108,3047,435,6209,360,7010,838,7387,336,8568,1394,7104,300,8794,1298,5664,266,7227,738,4346,223,5304,367,2543,225,3138,125,1011,106,1235,5523,40168,2049,47749,160,3119,93,3369,225,2640,97,2968,637,6553,342,7538,1322,7753,337,9408,2260,7100,295,9653,2062,5541,241,7848,1170,4809,297,6274,478,3241,257,3979,95,1890,186,2172,8412,42640,2155,53209,314,6268,221,6799,403,5399,210,6011,1079,12771,706,14549,2155,15140,676,17974,3649,14206,596,18452,3363,11208,503,15074,1908,9151,519,11578,851,5785,484,7119,221,2897,290,3404,13936,82810,4209,100957
20804,44,1209,37,1294,109,1400,54,1562,160,2747,180,3089,243,2254,118,2613,492,2175,82,2745,452,1723,72,2245,226,1415,63,1701,149,946,56,1157,52,375,43,467,1927,14239,711,16881,62,1240,36,1333,100,1433,54,1586,212,2774,134,3116,332,2327,105,2762,811,2203,64,3086,743,1727,73,2544,427,1638,75,2148,195,1136,74,1400,44,693,99,834,2926,15159,714,18805,109,2445,74,2629,204,2833,104,3144,374,5520,312,6204,575,4576,221,5375,1302,4381,150,5830,1194,3449,153,4796,652,3056,141,3849,348,2080,134,2560,98,1071,141,1307,4851,29403,1428,35686
20901,159,3321,141,3621,211,3235,187,3625,531,7073,381,7983,911,7572,357,8836,1346,6596,281,8224,1410,5334,268,7010,890,4771,226,5883,457,2858,170,3487,156,1022,107,1279,6069,41773,2108,49949,181,2935,101,3207,276,2970,129,3380,767,7171,326,8269,1379,7647,307,9329,2146,6285,256,8698,2317,5314,222,7849,1380,5157,268,6811,543,3449,202,4194,119,1837,163,2121,9106,42773,1973,53856,339,6260,235,6832,482,6204,318,7008,1307,14240,711,16254,2289,15220,663,18164,3488,12884,541,16921,3728,10645,490,14862,2269,9933,489,12694,995,6308,373,7678,272,2853,272,3400,15172,84546,4092,103806
