SUA_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
2010,2436,70,51,9,0,2558,2208,17,13,0,3,2241,939,125,179,4,0,1249,176,65,45,0,0,287,12,5,18,0,0,36,253,19,28,0,0,302,20,4,12,6,0,40,6,4,5,0,0,14,1419,220,281,3,0,1922,78,29,11,0,0,115,92,15,13,0,0,114,6220,348,366,11,6,6953
2011,406805,70169,38396,1249,312,516926,501261,85163,56577,655,357,644011,176211,89064,138098,1665,560,405597,11536,9735,12224,8,31,33528,1960,2125,3579,20,40,7724,40600,15224,16413,574,188,72999,6212,1792,1708,956,102,10770,1240,551,604,26,22,2435,237753,118491,172622,3251,937,533047,13652,8674,6114,155,71,28665,15743,4333,3613,131,127,23942,1175219,286829,277316,5445,1793,1746604
2012,5852,335,147,116,17,6465,6252,158,61,6,0,6480,2316,629,477,7,12,3445,387,181,110,0,0,686,95,28,69,0,0,193,1073,139,91,10,11,1322,204,28,32,57,6,318,42,12,18,0,0,81,4115,1020,798,74,30,6045,307,44,69,4,6,430,370,57,51,25,8,499,16888,1616,1125,230,59,19921
2013,3164,202,31,11,5,3406,2863,75,15,0,0,2945,792,279,129,0,0,1203,241,167,44,0,0,447,50,28,6,0,0,84,379,48,18,4,0,450,36,13,0,14,0,66,7,12,4,0,0,22,1507,546,199,16,4,2272,77,60,3,0,0,137,169,35,9,9,0,226,7776,916,254,37,10,8993
2014,1777,92,12,16,0,1895,1383,29,3,4,4,1422,425,136,26,6,0,590,135,76,3,0,0,214,12,6,0,0,0,18,230,37,3,3,0,273,20,12,3,6,0,39,4,4,0,0,0,11,821,269,35,14,0,1139,52,3,0,0,0,58,68,11,0,0,0,82,4105,398,55,34,7,4596
2015,1964,84,82,27,4,2164,1769,49,21,0,3,1842,907,197,214,4,0,1317,161,54,24,0,0,239,28,10,13,0,0,53,188,23,21,0,4,234,121,4,4,0,0,135,8,3,0,0,0,15,1407,294,274,6,0,1985,44,10,7,3,0,65,76,13,9,0,0,98,5260,452,396,35,17,6156
2016,5767,375,6,209,8,6355,6163,135,3,13,7,6331,2557,938,12,8,0,3525,580,209,10,4,0,807,121,62,25,14,0,219,975,130,3,16,7,1130,175,55,0,60,3,294,48,18,0,4,0,75,4460,1416,53,99,13,6047,245,74,0,93,0,409,335,75,0,22,3,432,16961,2076,58,438,33,19573
2017,1393,84,34,7,0,1520,1267,22,13,3,0,1305,424,142,188,0,0,758,128,39,55,0,0,210,20,4,20,0,0,45,233,49,17,0,6,306,29,10,0,10,0,52,3,4,4,0,0,12,837,243,279,10,3,1381,58,10,3,0,0,66,59,12,14,0,0,79,3609,368,337,27,9,4348
2018,5504,196,340,54,9,6103,5488,89,91,4,6,5678,2166,302,606,4,3,3079,366,96,150,0,0,610,84,34,39,0,0,149,659,44,63,5,5,770,64,7,21,11,0,110,28,0,13,0,0,44,3363,485,889,18,11,4770,115,61,41,3,0,214,285,29,49,0,0,361,14753,860,1405,82,30,17127
2019,2850,174,0,10,0,3039,2376,81,0,0,0,2453,917,444,0,3,0,1365,249,116,5,0,0,362,23,49,0,0,0,69,316,83,0,3,0,403,21,15,0,5,0,44,7,10,0,0,0,12,1531,714,5,12,0,2264,63,29,0,0,0,92,158,133,0,0,0,301,6979,1123,5,29,9,8146
2020,5257,228,170,213,4,5869,6007,125,72,3,9,6211,1765,256,172,5,5,2210,152,70,44,0,0,266,16,0,8,0,0,26,547,47,40,0,0,648,56,6,3,28,0,95,12,7,0,0,0,20,2558,386,273,41,4,3262,195,9,52,28,0,277,201,12,14,0,4,233,14220,761,575,289,20,15861
2021,4679,392,69,45,9,5196,4240,199,63,20,4,4530,1541,585,227,24,3,2378,369,124,73,0,0,567,49,31,42,0,0,127,552,129,55,3,4,746,49,16,18,9,0,98,16,5,8,0,0,24,2582,893,429,35,6,3939,131,71,43,3,0,251,148,29,14,0,4,200,11775,1589,619,107,19,14111
