SUA_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
2010,6668,7054,13721,588,664,1255,12,14,26,338,392,733,4,7,12,16,16,31,5,5,12,4,4,10,0,0,4,0,0,0,0,0,0,382,450,830,27,18,44,15,10,26,1009,1147,2154,476,480,956,8144,8681,16827
2011,1884506,1955751,3840255,54363,56179,110535,6928,7318,14248,252774,258855,511624,4484,4806,9290,1838,1943,3776,1780,1890,3672,1257,1309,2564,704,777,1481,969,1029,1999,10,4,11,270736,277927,548663,18791,19996,38789,4790,3910,8706,348679,358017,706698,109798,105724,215525,2342987,2419491,4762477
2012,20343,21413,41752,925,950,1877,271,312,586,1674,1725,3402,59,70,137,109,97,204,23,25,51,3,9,7,11,12,24,6,8,13,0,0,0,2164,2261,4428,105,97,202,81,65,145,3275,3380,6650,2345,2281,4628,25958,27068,53027
2013,8750,9045,17793,375,464,843,15,17,29,556,598,1155,16,18,37,0,0,3,4,0,8,3,0,3,8,4,8,0,0,0,0,0,0,602,639,1243,29,23,50,40,40,82,1048,1168,2219,894,887,1787,10690,11101,21797
2014,4420,4558,8973,364,381,745,13,6,20,240,267,505,14,21,39,16,14,30,7,6,16,4,0,3,7,7,11,4,0,0,0,0,0,299,329,629,13,12,22,15,6,20,688,733,1419,382,359,745,5483,5652,11134
2015,5559,6142,11701,503,586,1094,55,55,113,488,503,985,49,36,81,19,13,31,15,12,26,5,6,14,0,4,10,19,11,31,0,0,0,657,636,1290,34,37,73,15,10,23,1206,1272,2479,470,466,942,7236,7887,15117
2016,20838,21449,42283,869,1005,1870,118,148,267,1922,2121,4044,51,59,106,14,14,35,15,14,33,22,18,34,17,15,32,6,9,16,0,0,0,2165,2396,4560,125,163,286,67,53,120,3221,3618,6840,2034,2041,4076,26097,27104,53206
2017,4247,4613,8864,336,417,757,40,33,76,200,241,441,14,15,30,6,3,14,0,4,4,0,0,4,3,3,12,0,4,4,0,0,0,268,305,572,25,21,50,4,18,26,640,758,1399,355,412,766,5249,5786,11033
2018,16413,17335,33752,823,926,1754,39,44,85,1532,1681,3219,46,47,87,7,17,26,10,11,23,10,10,16,13,9,21,6,5,12,0,0,0,1655,1835,3488,74,76,151,54,48,105,2613,2881,5496,1740,1785,3525,20771,22002,42771
2019,7571,8406,15977,563,633,1192,40,61,103,499,548,1044,31,35,65,4,9,12,5,7,14,0,4,6,9,9,21,0,0,4,0,0,0,595,670,1264,19,24,43,18,26,46,1190,1353,2543,528,616,1147,9301,10377,19673
2020,16263,17341,33599,888,1055,1941,37,44,77,1844,2029,3874,41,59,96,9,12,23,20,17,37,5,6,11,8,0,10,4,0,7,0,0,0,1960,2170,4131,41,66,106,35,28,68,2929,3321,6249,1159,1242,2403,20353,21902,42254
2021,13897,15021,28914,687,765,1446,28,45,75,1152,1286,2433,59,50,110,21,17,40,14,10,26,12,12,16,3,3,9,4,0,0,0,0,0,1288,1433,2725,57,61,123,43,34,74,2070,2290,4361,1022,1063,2085,16988,18371,35358
