SUA_CODE_2021,M_NatPhyl_Scn_15_24,M_NatPhyl_Scn_25_34,M_NatPhyl_Scn_35_44,M_NatPhyl_Scn_45_54,M_NatPhyl_Scn_55_64,M_NatPhyl_Scn_65_74,M_NatPhyl_Scn_75_84,M_NatPhyl_Scn_85ov,M_NatPhyl_Scn_Tot,M_InfoTech_15_24,M_InfoTech_25_34,M_InfoTech_35_44,M_InfoTech_45_54,M_InfoTech_55_64,M_InfoTech_65_74,M_InfoTech_75_84,M_InfoTech_85ov,M_InfoTech_Tot,M_Eng_RelTec_15_24,M_Eng_RelTec_25_34,M_Eng_RelTec_35_44,M_Eng_RelTec_45_54,M_Eng_RelTec_55_64,M_Eng_RelTec_65_74,M_Eng_RelTec_75_84,M_Eng_RelTec_85ov,M_Eng_RelTec_Tot,M_ArchtBldng_15_24,M_ArchtBldng_25_34,M_ArchtBldng_35_44,M_ArchtBldng_45_54,M_ArchtBldng_55_64,M_ArchtBldng_65_74,M_ArchtBldng_75_84,M_ArchtBldng_85ov,M_ArchtBldng_Tot,M_Ag_Envir_Rltd_Sts_15_24,M_Ag_Envir_Rltd_Sts_25_34,M_Ag_Envir_Rltd_Sts_35_44,M_Ag_Envir_Rltd_Sts_45_54,M_Ag_Envir_Rltd_Sts_55_64,M_Ag_Envir_Rltd_Sts_65_74,M_Ag_Envir_Rltd_Sts_75_84,M_Ag_Envir_Rltd_Sts_85ov,M_Ag_Envir_Rltd_Sts_Tot,M_Health_15_24,M_Health_25_34,M_Health_35_44,M_Health_45_54,M_Health_55_64,M_Health_65_74,M_Health_75_84,M_Health_85ov,M_Health_Tot,M_Educ_15_24,M_Educ_25_34,M_Educ_35_44,M_Educ_45_54,M_Educ_55_64,M_Educ_65_74,M_Educ_75_84,M_Educ_85_years_and_over,M_Educ_Tot,M_Mgnt_Com_15_24,M_Mgnt_Com_25_34,M_Mgnt_Com_35_44,M_Mgnt_Com_45_54,M_Mgnt_Com_55_64,M_Mgnt_Com_65_74,M_Mgnt_Com_75_84,M_Mgnt_Com_85ov,M_Mgnt_Com_Tot,M_Society_Cult_15_24,M_Society_Cult_25_34,M_Society_Cult_35_44,M_Society_Cult_45_54,M_Society_Cult_55_64,M_Society_Cult_65_74,M_Society_Cult_75_84,M_Society_Cult_85ov,M_Society_Cult_Tot,M_Creative_Arts_15_24,M_Creative_Arts_25_34,M_Creative_Arts_35_44,M_Creative_Arts_45_54,M_Creative_Arts_55_64,M_Creative_Arts_65_74,M_Creative_Arts_75_84,M_Creative_Arts_85ov,M_Creative_Arts_Tot,M_Fd_Hosp_Psnl_Svcs_15_24,M_Fd_Hosp_Psnl_Svcs_25_34,M_Fd_Hosp_Psnl_Svcs_35_44,M_Fd_Hosp_Psnl_Svcs_45_54,M_Fd_Hosp_Psnl_Svcs_55_64,M_Fd_Hosp_Psnl_Svcs_65_74,M_Fd_Hosp_Psnl_Svcs_75_84,M_Fd_Hosp_Psnl_Svcs_85ov,M_Fd_Hosp_Psnl_Svcs_Tot,M_MixFld_Prgm_15_24,M_MixFld_Prgm_25_34,M_MixFld_Prgm_35_44,M_MixFld_Prgm_45_54,M_MixFld_Prgm_55_64,M_MixFld_Prgm_65_74,M_MixFld_Prgm_75_84,M_MixFld_Prgm_85ov,M_MixFld_Prgm_Tot,M_FldStd_InadDes_15_24,M_FldStd_InadDes_25_34,M_FldStd_InadDes_35_44,M_FldStd_InadDes_45_54,M_FldStd_InadDes_55_64,M_FldStd_InadDes_65_74,M_FldStd_InadDes_75_84,M_FldStd_InadDes_85ov,M_FldStd_InadDes_Tot,M_FldStd_NS_15_24,M_FldStd_NS_25_34,M_FldStd_NS_35_44,M_FldStd_NS_45_54,M_FldStd_NS_55_64,M_FldStd_NS_65_74,M_FldStd_NS_75_84,M_FldStd_NS_85ov,M_FldStd_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_years_and_over,M_Tot_Tot,F_NatPhyl_Scn_15_24,F_NatPhyl_Scn_25_34,F_NatPhyl_Scn_35_44,F_NatPhyl_Scn_45_54,F_NatPhyl_Scn_55_64,F_NatPhyl_Scn_65_74,F_NatPhyl_Scn_75_84,F_NatPhyl_Scn_85ov,F_NatPhyl_Scn_Tot,F_InfoTech_15_24,F_InfoTech_25_34,F_InfoTech_35_44,F_InfoTech_45_54,F_InfoTech_55_64,F_InfoTech_65_74,F_InfoTech_75_84,F_InfoTech_85ov,F_InfoTech_Tot,F_Eng_RelTec_15_24,F_Eng_RelTec_25_34,F_Eng_RelTec_35_44,F_Eng_RelTec_45_54,F_Eng_RelTec_55_64,F_Eng_RelTec_65_74,F_Eng_RelTec_75_84,F_Eng_RelTec_85ov,F_Eng_RelTec_Tot,F_ArchtBldng_15_24,F_ArchtBldng_25_34,F_ArchtBldng_35_44,F_ArchtBldng_45_54,F_ArchtBldng_55_64,F_ArchtBldng_65_74,F_ArchtBldng_75_84,F_ArchtBldng_85ov,F_ArchtBldng_Tot,F_Ag_Envir_Rltd_Sts_15_24,F_Ag_Envir_Rltd_Sts_25_34,F_Ag_Envir_Rltd_Sts_35_44,F_Ag_Envir_Rltd_Sts_45_54,F_Ag_Envir_Rltd_Sts_55_64,F_Ag_Envir_Rltd_Sts_65_74,F_Ag_Envir_Rltd_Sts_75_84,F_Ag_Envir_Rltd_Sts_85ov,F_Ag_Envir_Rltd_Sts_Tot,F_Health_15_24,F_Health_25_34,F_Health_35_44,F_Health_45_54,F_Health_55_64,F_Health_65_74,F_Health_75_84,F_Health_85ov,F_Health_Tot,F_Educ_15_24,F_Educ_25_34,F_Educ_35_44,F_Educ_45_54,F_Educ_55_64,F_Educ_65_74,F_Educ_75_84,F_Educ_85ov,F_Educ_Tot,F_Mgnt_Com_15_24,F_Mgnt_Com_25_34
2010,0,12,18,15,4,9,0,0,60,5,33,16,6,9,0,0,0,74,62,223,156,148,150,107,53,7,904,45,108,74,60,82,61,23,3,456,17,54,71,45,55,45,21,10,318,10,35,38,34,42,18,6,3,185,4,33,21,23,34,36,18,9,182,21,70,88,110,81,40,11,4,433,15,62,51,46,31,19,9,5,228,6,28,10,3,4,0,0,6,54,12,43,47,35,22,16,5,3,177,0,3,0,0,0,0,0,0,0,0,9,10,10,18,9,0,0,53,83,96,67,54,66,72,64,33,537,293,791,661,587,597,429,223,79,3657,9,12,14,10,10,0,0,6,58,0,5,10,7,4,0,0,0,23,3,18,11,4,4,10,0,4,54,0,10,3,4,3,0,0,0,20,15,23,22,18,3,4,0,0,84,63,200,167,127,156,120,53,19,907,28,111,75,76,71,99,47,20,527,55,158
2011,4475,10246,8266,7898,6893,5224,2659,566,46224,7119,28023,36167,16244,7551,2816,375,31,98330,13296,56099,53672,49817,47675,34701,18881,5753,279888,10289,31018,23544,19587,14013,8697,4841,1445,113440,1336,4478,4485,3897,2862,1559,683,199,19499,3664,17204,13149,10101,8038,5319,2369,828,60666,1346,7987,7093,6591,7132,6882,3420,858,41298,14020,59423,64175,46906,31124,19164,7681,1928,244431,7577,25476,21990,18575,13995,10480,4247,1006,103348,6521,18151,13254,7432,4127,2279,982,265,53009,3788,12894,12467,6858,4457,2176,1078,266,43982,444,422,276,161,150,137,85,20,1703,1319,4622,5593,4482,3161,2015,950,310,22447,17559,29410,23856,18677,14706,11895,9934,5506,131536,92754,305451,287982,217213,165891,113334,58186,18987,1259802,6295,13694,12549,8958,5625,3064,999,307,51493,1923,11428,12946,5750,3058,1050,171,18,36344,1795,10108,9240,5550,3966,2335,1576,852,35421,1714,6619,4838,3125,1694,644,225,64,18922,1250,2999,2666,1886,1264,504,154,48,10769,14024,54547,40545,30617,24116,16299,7653,2885,190675,6026,30765,28893,26705,23903,20152,8916,2177,147538,15508,74508
2012,8,45,38,38,42,21,5,4,204,18,75,51,27,13,7,0,0,200,205,555,461,437,469,392,172,47,2729,84,250,207,204,184,116,72,13,1131,20,117,151,170,118,74,16,0,669,16,125,91,91,99,63,21,8,510,5,95,92,87,92,87,51,14,518,72,256,257,263,202,138,41,10,1230,72,190,134,140,106,53,21,3,712,16,67,41,30,16,13,8,0,189,49,113,98,113,91,40,20,3,526,3,15,9,3,3,0,4,0,40,13,39,45,35,34,21,7,3,196,356,393,370,390,344,333,241,98,2524,945,2323,2043,2030,1801,1366,670,204,11388,12,37,40,33,26,9,8,0,162,0,11,17,6,9,5,0,0,54,13,38,28,32,21,14,7,4,149,5,18,14,6,0,0,5,0,49,13,63,65,34,22,12,5,0,215,129,492,326,301,350,270,115,34,2012,69,338,336,339,236,201,90,18,1623,130,480
2013,3,14,6,6,10,13,8,0,56,7,32,33,16,10,8,0,0,108,109,319,235,316,439,357,157,49,1983,54,158,124,89,91,71,37,18,642,10,25,36,36,25,18,3,3,155,9,25,21,28,34,21,9,3,159,6,22,18,16,18,52,24,0,161,17,63,65,57,65,50,22,7,342,22,70,41,35,50,45,17,4,285,17,23,22,10,11,14,0,0,99,13,33,35,42,26,13,6,3,176,0,0,0,0,0,0,0,0,6,11,8,14,15,12,19,9,5,93,129,151,120,135,156,142,98,38,961,408,942,784,806,959,826,386,126,5225,6,7,23,9,8,7,0,0,60,3,0,8,5,4,9,0,0,22,10,19,12,12,25,6,3,0,89,0,8,3,9,3,0,5,0,32,8,14,25,13,12,0,0,0,64,47,165,119,112,124,127,41,11,737,29,79,90,90,112,77,47,6,531,47,170
2014,0,3,3,4,4,0,3,0,27,7,6,6,0,4,7,4,0,33,49,94,127,176,158,146,49,11,801,15,55,53,45,70,51,30,8,317,5,9,20,32,18,18,15,0,111,4,21,20,26,19,24,4,0,119,0,11,14,24,17,37,12,3,123,3,38,29,39,34,33,12,3,189,3,24,17,23,21,12,3,0,112,0,5,8,6,0,11,4,0,41,7,14,19,17,15,12,8,0,92,0,0,0,0,0,0,0,0,3,0,5,9,11,5,9,8,5,43,60,52,66,67,73,72,54,25,461,163,340,388,466,444,436,186,60,2474,0,7,8,0,9,3,0,0,23,0,0,3,4,0,0,0,0,10,5,3,4,8,8,4,3,0,34,3,3,0,0,0,0,0,0,13,0,5,8,3,14,5,3,0,38,22,103,80,77,100,88,30,13,518,25,59,63,59,63,61,23,3,346,16,64
2015,7,21,13,14,11,8,4,3,79,3,23,37,16,3,12,4,0,97,70,186,190,196,216,160,93,23,1125,32,86,68,54,54,47,30,8,382,0,30,16,20,19,14,14,0,116,8,53,34,33,26,20,6,0,186,3,29,32,25,23,42,21,7,196,12,79,80,78,66,39,14,7,369,12,46,36,42,45,31,15,0,233,6,17,10,13,4,9,0,0,71,15,32,29,35,23,22,3,0,165,0,0,0,0,0,0,0,0,3,5,13,10,8,12,8,9,0,68,65,89,76,77,55,71,47,41,526,249,709,641,612,571,480,252,91,3604,5,16,13,10,12,5,0,0,56,5,6,10,3,3,5,0,0,34,7,12,18,15,11,3,4,4,64,0,6,4,0,3,0,0,0,17,3,17,15,15,8,3,0,0,54,40,175,142,131,124,98,55,13,770,18,102,94,107,83,83,42,13,533,28,131
2016,26,28,35,22,28,29,5,3,174,35,69,90,26,19,13,0,0,241,194,572,520,478,492,378,200,61,2890,127,267,177,210,184,115,69,16,1158,30,70,96,99,74,51,23,10,440,27,172,172,132,96,62,30,6,699,20,119,78,72,104,104,55,14,568,66,330,273,245,219,142,42,6,1321,71,183,153,139,93,72,23,6,731,20,46,40,24,20,9,7,0,167,36,152,113,79,47,35,18,0,483,0,4,4,6,0,0,0,0,18,4,27,37,29,29,16,9,7,162,321,377,318,306,283,267,252,120,2247,992,2409,2105,1862,1679,1287,729,243,11311,28,59,62,32,28,9,5,0,225,6,36,19,10,4,4,0,0,85,5,51,39,27,32,14,3,3,173,4,21,16,15,11,6,4,0,68,17,43,25,27,22,8,0,0,148,179,594,456,386,341,236,97,30,2326,104,340,304,265,237,236,86,20,1586,109,444
2017,0,4,6,6,0,5,0,0,24,3,14,16,0,6,0,0,0,37,48,148,119,88,98,76,21,9,602,31,82,46,36,32,28,7,7,270,12,46,44,16,29,19,12,4,177,3,32,18,23,19,16,8,0,109,0,26,24,19,28,21,6,0,120,14,46,63,50,34,24,9,0,246,10,31,17,26,19,11,4,0,125,0,7,8,4,0,0,0,0,25,9,27,20,11,20,8,6,0,96,0,0,0,0,0,0,0,0,5,0,3,10,13,3,0,4,0,34,56,70,50,56,57,55,50,31,421,192,527,445,345,339,254,132,54,2296,0,15,0,4,0,0,0,0,20,0,5,8,3,0,0,0,0,21,0,8,6,0,0,0,4,0,29,0,6,5,0,0,0,0,0,12,3,9,12,0,3,4,3,0,41,44,134,79,56,85,53,28,9,486,17,102,77,47,51,49,31,10,390,35,94
2018,10,25,21,24,19,34,12,0,146,23,88,76,39,30,5,0,0,254,162,575,486,570,665,544,270,65,3339,83,281,201,175,201,148,59,17,1163,15,49,42,52,34,15,6,0,215,22,99,109,84,69,53,20,4,459,12,53,57,41,39,65,40,6,317,38,203,217,176,132,106,52,11,942,58,128,116,111,99,55,28,0,598,23,60,38,13,12,22,5,3,182,36,93,90,59,56,32,21,0,379,4,3,0,0,0,0,0,0,12,4,37,27,40,31,28,8,10,188,217,284,260,284,273,216,223,135,1899,707,1982,1740,1670,1669,1317,755,258,10090,18,54,33,31,15,8,0,0,157,0,21,15,8,12,4,0,0,69,16,31,26,39,23,12,8,7,173,4,14,13,21,12,5,0,0,67,20,31,20,12,16,3,0,0,104,158,475,317,236,262,216,93,26,1778,60,254,254,215,205,173,67,13,1246,71,361
2019,7,9,20,19,15,17,9,0,94,9,29,27,14,14,10,3,0,107,53,169,177,187,184,180,118,36,1100,37,117,105,100,93,82,30,8,572,15,28,26,39,31,30,16,4,181,12,96,57,41,48,40,8,4,295,9,40,46,37,49,59,27,12,263,18,64,105,96,91,62,29,11,476,27,55,52,68,38,42,9,3,289,9,29,15,9,6,10,0,0,82,23,69,52,46,28,15,16,5,241,0,0,0,0,0,0,0,0,4,4,23,10,13,13,12,6,0,80,65,86,80,79,86,109,100,55,657,274,796,760,738,694,660,373,145,4442,11,18,24,9,11,5,5,0,84,0,0,9,4,3,4,0,0,22,5,10,7,10,18,9,9,5,69,3,6,4,4,4,0,0,0,16,4,14,19,17,6,5,0,0,68,99,281,201,193,194,148,76,30,1221,32,107,132,97,104,110,85,13,676,41,145
2020,7,35,32,30,25,29,16,3,184,19,67,86,42,46,23,5,0,287,152,535,484,491,541,457,254,70,2989,130,424,269,253,166,127,64,22,1460,24,86,108,96,96,64,22,10,494,13,92,81,69,64,59,21,9,407,19,68,92,66,118,140,69,9,581,39,210,204,196,176,151,73,10,1057,35,128,118,107,90,82,38,12,613,32,61,48,22,22,23,5,0,217,27,83,69,64,33,33,25,4,342,0,0,0,0,0,0,0,0,4,14,32,21,34,31,24,10,6,180,136,194,204,200,179,186,136,59,1288,646,2014,1830,1666,1575,1408,748,205,10095,8,35,46,42,29,18,3,0,179,0,16,19,9,14,9,8,0,79,15,30,23,27,13,15,9,8,134,20,24,25,15,5,3,0,0,94,30,56,50,46,29,11,5,0,222,119,455,361,287,337,282,110,25,1990,72,335,277,286,276,258,122,22,1650,83,416
2021,10,39,37,44,26,42,11,9,216,15,54,45,31,18,13,3,0,174,113,318,341,309,309,250,122,35,1791,84,279,246,174,160,106,42,19,1117,26,58,70,68,70,36,22,0,350,23,115,99,107,105,81,29,8,567,17,87,74,91,103,127,45,8,548,46,185,195,214,182,136,51,4,1013,33,113,100,99,90,77,31,0,543,13,58,42,38,20,20,8,0,191,28,91,92,81,49,28,16,3,382,0,5,5,0,3,0,0,0,15,5,33,27,29,16,14,7,6,126,156,159,208,145,133,132,122,82,1137,568,1594,1571,1425,1285,1057,507,171,8182,15,37,51,39,26,18,7,0,184,0,11,5,8,11,6,0,0,44,4,18,25,18,13,11,10,0,104,0,13,12,7,3,0,0,0,40,23,42,52,28,16,6,4,0,166,104,439,373,305,380,226,120,52,1996,63,251,268,249,238,228,94,31,1417,92,265
