SUA_CODE_2021,Ag_For_Fish_OcMngr,Ag_For_Fish_OcProf,Ag_For_Fish_OcTechTrdW,Ag_For_Fish_OcComPerS,Ag_For_Fish_OcClericAdm,Ag_For_Fish_OcSalesWk,Ag_For_Fish_OcMacOp_Driv,Ag_For_Fish_OcLab,Ag_For_Fish_OcID_NS,Agri_for_fish_Tot,Mining_OcMngr,Mining_OcProf,Mining_OcTechTrdW,Mining_OcComPerS,Mining_OcClericAdm,Mining_OcSalesWk,Mining_OcMacOp_Driv,Mining_OcLab,Mining_OcID_NS,Mining_Tot,Manufact_OcMngr,Manufact_OcProf,Manufact_OcTechTrdW,Manufact_OcComPerS,Manufact_OcClericAdm,Manufact_OcSalesWk,Manufact_OcMacOp_Driv,Manufact_OcLab,Manufact_OcID_NS,Manufacturing_Tot,El_Gas_W_W_OcMngr,El_Gas_W_W_OcProf,El_Gas_W_W_OcTechTrdW,El_Gas_W_W_OcComPerS,El_Gas_W_W_OcClericAdm,El_Gas_W_W_OcSalesWk,El_Gas_W_W_OcMacOp_Driv,El_Gas_W_W_OcLab,El_Gas_W_W_OcID_NS,El_Gas_W_W_Tot,Construc_OcMngr,Construc_OcProf,Construc_OcTechTrdW,Construc_OcComPerS,Construc_OcClericAdm,Construc_OcSalesWk,Construc_OcMacOp_Driv,Construc_OcLab,Construc_OcID_NS,Construction_Tot,WhlesaleTde_OcMngr,WhlesaleTde_OcProf,WhlesaleTde_OcTechTrdW,WhlesaleTde_OcComPerS,WhlesaleTde_OcClericAdm,WhlesaleTde_OcSalesWk,WhlesaleTde_OcMacOp_Driv,WhlesaleTde_OcLab,WhlesaleTde_OcID_NS,WhlesaleTde_Tot,RetTde_OcMngr,RetTde_OcProf,RetTde_OcTechTrdW,RetTde_OcComPerS,RetTde_OcClericAdm,RetTde_OcSalesWk,RetTde_OcMacOp_Driv,RetTde_OcLab,RetTde_OcID_NS,RetTde_Tot,Acom_food_OcMngr,Acom_food_OcProf,Acom_food_OcTechTrdW,Acom_food_OcComPerS,Acom_food_OcClericAdm,Acom_food_OcSalesWk,Acom_food_OcMacOp_Driv,Acom_food_OcLab,Acom_food_OcID_NS,Acom_food_scs_Tot,Trans_po_wh_OcMngr,Trans_po_wh_OcProf,Trans_po_wh_OcTechTrdW,Trans_po_wh_OcComPerS,Trans_po_wh_OcClericAdm,Trans_po_wh_OcSalesWk,Trans_po_wh_OcMacOp_Driv,Trans_po_wh_OcLab,Trans_po_wh_OcID_NS,Trans_po_wh_Tot,Infon_med_tel_OcMngr,Infon_med_tel_OcProf,Infon_med_tel_OcTechTrdW,Infon_med_tel_OcComPerS,Infon_med_tel_OcClericAdm,Infon_med_tel_OcSalesWk,Infon_med_tel_OcMacOp_Driv,Infon_med_tel_OcLab,Infon_med_tel_OcID_NS,Infon_med_tel_Tot,Fin_and_ins_s_OcMngr,Fin_and_ins_s_OcProf,Fin_and_ins_s_OcTechTrdW,Fin_and_ins_s_OcComPerS,Fin_and_ins_s_OcClericAdm,Fin_and_ins_s_OcSalesWk,Fin_and_ins_s_OcMacOp_Driv,Fin_and_ins_s_OcLab,Fin_and_ins_s_OcID_NS,Fin_and_ins_s_Tot,Rent_hi_re_es_OcMngr,Rent_hi_re_es_OcProf,Rent_hi_re_es_OcTechTrdW,Rent_hi_re_es_OcComPerS,Rent_hi_re_es_OcClericAdm,Rent_hi_re_es_OcSalesWk,Rent_hi_re_es_OcMacOp_Driv,Rent_hi_re_es_OcLab,Rent_hi_re_es_OcID_NS,Rent_hi_re_es_Tot,Prof_sci_tec_OcMngr,Prof_sci_tec_OcProf,Prof_sci_tec_OcTechTrdW,Prof_sci_tec_OcComPerS,Prof_sci_tec_OcClericAdm,Prof_sci_tec_OcSalesWk,Prof_sci_tec_OcMacOp_Driv,Prof_sci_tec_OcLab,Prof_sci_tec_OcID_NS,Prof_sci_tec_Tot,Admin_sup_s_OcMngr,Admin_sup_s_OcProf,Admin_sup_s_OcTechTrdW,Admin_sup_s_OcComPerS,Admin_sup_s_OcClericAdm,Admin_sup_s_OcSalesWk,Admin_sup_s_OcMacOp_Driv,Admin_sup_s_OcLab,Admin_sup_s_OcID_NS,Admin_sup_s_Tot,Pub_adm_sfty_OcMngr,Pub_adm_sfty_OcProf,Pub_adm_sfty_OcTechTrdW,Pub_adm_sfty_OcComPerS,Pub_adm_sfty_OcClericAdm,Pub_adm_sfty_OcSalesWk,Pub_adm_sfty_OcMacOp_Driv,Pub_adm_sfty_OcLab,Pub_adm_sfty_OcID_NS,Pub_adm_sfty_Tot,Educ_training_OcMngr,Educ_training_OcProf,Educ_training_OcTechTrdW,Educ_training_OcComPerS,Educ_training_OcClericAdm,Educ_training_OcSalesWk,Educ_training_OcMacOp_Driv,Educ_training_OcLab,Educ_training_OcID_NS,Educ_training_Tot,Hlth_care_soc_OcMngr,Hlth_care_soc_OcProf,Hlth_care_soc_OcTechTrdW,Hlth_care_soc_OcComPerS,Hlth_care_soc_OcClericAdm,Hlth_care_soc_OcSalesWk,Hlth_care_soc_OcMacOp_Driv,Hlth_care_soc_OcLab,Hlth_care_soc_OcID_NS,Hlth_care_soc_Tot,ArtRecreatOcMngr,ArtRecreatOcProf,ArtRecreatOcTechTrdW,ArtRecreatOcComPerS,ArtRecreatOcClericAdm,ArtRecreatOcSalesWk,ArtRecreatOcMacOp_Driv,ArtRecreatOcLab,ArtRecreatOcID_NS,ArtRecreatTot,Other_scs_OcMngr,Other_scs_OcProf,Other_scs_OcTechTrdW,Other_scs_OcCom_PS_W,Other_scs_OcClericAdmin,Other_scs_OcSalesWk,Other_scs_OcMacOp_Driv,Other_scs_OcLab,Other_scs_OcID_NS,Other_scs_Tot,ID_NS_OcMngr,ID_NS_OcProf,ID_NS_OcTechTrdW,ID_NS_OcComPerS,ID_NS_OcClericAdm,ID_NS_OcSalesWk,ID_NS_OcMacOp_Driv,ID_NS_OcLab,ID_NS_OcID_NS,ID_NS_Tot
2010,210,35,39,4,20,11,32,70,7,427,4,0,19,0,0,0,21,4,0,56,57,14,114,0,28,25,35,47,3,324,29,37,34,0,40,0,21,3,0,161,102,17,383,0,53,9,85,122,9,777,58,36,36,0,37,54,31,21,9,271,158,34,71,10,41,512,14,105,3,944,97,0,53,104,10,76,7,125,4,474,20,0,3,0,64,6,203,14,4,324,12,31,11,0,3,17,0,0,0,72,12,53,3,0,74,3,0,4,0,156,3,16,0,0,14,32,0,0,0,62,11,136,56,0,71,0,0,3,5,293,25,26,15,15,31,8,0,112,0,231,61,101,33,144,73,0,22,37,9,479,46,368,11,150,66,0,0,14,5,659,84,558,48,534,210,8,7,104,11,1556,24,8,15,27,3,9,0,10,4,102,31,23,170,48,41,8,5,31,0,360,17,23,43,13,17,7,20,36,68,252
2011,4752,976,1417,86,1124,477,961,4241,208,14248,862,1233,596,21,375,34,789,150,80,4138,31204,20715,33119,1983,16371,8578,22295,28314,2135,164711,4921,6673,2638,54,4528,1122,3167,1385,536,25022,29937,13057,106207,417,20582,2953,11708,30784,3226,218868,17948,12440,4633,265,12584,9895,10181,3605,828,72386,38159,17604,11227,1853,14772,111563,11802,16450,1683,225108,24044,2260,22546,40768,4192,19932,2372,29108,1016,146244,12811,9510,4346,2493,23569,4440,53145,5054,1853,117223,8096,19531,5205,295,5388,3030,503,531,567,43147,18967,47104,1210,738,39680,3379,187,225,2052,113550,6197,5422,1180,404,6600,15718,952,1039,673,38180,34544,140401,16698,762,31229,3305,785,1463,2255,231445,9663,11913,7119,4881,9890,1467,3320,28841,949,78039,19014,34847,6053,30339,30034,526,997,5465,2393,129684,17805,126649,5001,37837,18014,483,342,1988,1296,209415,18950,139294,10669,97072,43141,1823,1993,9200,2248,324384,8107,10950,3293,11867,4015,1720,302,2050,751,43060,8779,9198,31841,14085,8658,1602,1100,5674,808,81735,15757,17009,12359,4507,13394,6303,12278,11499,21978,115081
2012,836,73,120,3,120,25,136,848,39,2202,22,15,64,0,10,0,103,20,5,245,219,97,349,15,126,65,133,286,27,1316,57,40,95,0,58,3,54,30,3,342,243,32,980,0,181,16,160,247,22,1886,101,58,66,5,118,115,99,90,7,653,355,65,151,22,95,1487,68,273,14,2525,285,7,212,359,71,201,44,390,9,1591,98,29,46,38,175,45,509,34,9,991,22,43,33,0,20,23,6,8,0,154,49,77,5,0,161,14,0,3,13,322,17,21,19,5,60,115,3,19,6,262,80,383,111,0,213,11,6,26,3,845,65,102,86,64,90,5,42,453,11,908,135,271,91,412,248,7,56,65,23,1306,149,1186,37,439,169,0,10,35,13,2044,210,1358,131,1292,450,12,17,146,25,3636,34,48,33,55,18,15,0,17,0,221,62,41,422,160,82,18,8,71,6,862,98,73,145,46,97,60,91,200,336,1145
2013,84,7,21,0,7,0,35,113,0,273,7,6,43,0,7,0,52,11,0,121,45,21,219,8,26,18,114,168,8,636,34,36,216,9,50,4,78,66,20,509,74,16,505,4,91,6,100,172,12,974,25,3,18,0,9,37,32,14,0,141,122,17,67,5,43,528,35,82,0,897,64,0,59,110,10,104,21,122,3,496,18,0,17,3,60,19,157,19,0,303,12,18,14,0,24,7,0,3,0,76,16,26,0,0,104,6,0,0,0,161,13,5,12,5,27,36,3,0,5,104,23,85,50,0,77,5,0,11,3,256,15,28,20,21,35,3,11,122,4,264,50,94,24,152,234,6,15,30,15,606,46,318,12,199,70,0,4,14,3,668,59,376,46,659,185,8,11,90,12,1443,15,9,12,17,13,5,4,9,5,75,20,20,190,50,43,0,9,38,3,374,22,20,82,24,23,16,41,62,103,400
2014,57,15,15,0,14,3,37,80,3,223,0,3,3,0,0,0,5,0,0,16,57,36,177,0,37,18,253,98,27,699,4,3,12,0,6,0,24,14,8,75,26,4,206,0,27,6,31,42,0,340,24,14,5,0,16,26,18,14,7,113,61,6,17,0,15,234,8,52,0,401,58,0,36,87,14,65,4,92,3,369,26,16,15,0,50,9,145,45,7,311,4,11,4,0,0,6,0,0,0,25,3,11,0,0,26,0,0,0,3,44,6,4,6,0,15,21,0,0,0,51,0,40,26,0,30,0,0,5,0,111,5,20,21,10,9,0,0,72,0,131,29,46,9,97,64,0,10,28,4,280,22,227,7,97,29,0,6,12,0,405,36,254,29,327,70,0,6,53,0,765,10,11,4,33,5,4,0,7,0,66,8,14,89,32,12,0,4,20,0,187,12,11,16,9,10,3,19,28,55,172
2015,82,6,24,4,18,0,30,82,3,239,20,36,69,3,11,0,24,9,4,174,33,8,91,10,21,9,29,46,3,262,13,18,23,0,13,0,25,11,0,108,66,13,272,16,42,14,41,86,5,561,18,0,9,0,11,24,16,4,0,80,98,18,49,4,38,428,27,59,0,720,73,4,55,116,10,56,10,90,0,418,18,5,19,0,32,8,64,14,6,171,6,17,12,0,4,6,0,4,0,47,10,15,0,0,31,4,0,0,0,63,8,12,0,6,21,38,6,5,7,86,27,127,44,3,64,5,4,3,5,275,9,10,27,11,11,3,8,94,4,174,156,289,50,178,113,3,12,27,13,848,40,360,18,126,58,0,0,17,9,626,55,444,36,427,122,7,4,80,8,1182,11,10,5,27,5,0,0,6,0,71,19,16,90,57,18,3,4,25,4,238,26,17,37,15,23,8,14,27,50,220
2016,446,37,52,0,56,13,62,584,22,1269,3,0,15,0,0,0,8,0,0,36,346,120,432,10,188,97,286,615,30,2126,79,80,70,0,110,7,62,21,7,452,254,57,1059,0,215,40,133,316,39,2111,90,38,50,0,74,104,87,71,5,524,357,78,156,33,111,1352,82,232,8,2412,237,16,171,292,44,265,50,378,5,1452,99,10,41,4,199,34,490,37,3,934,16,73,28,0,28,35,0,3,3,170,30,105,0,4,161,7,0,0,3,306,21,21,13,4,61,96,3,12,3,224,79,460,140,3,221,18,5,17,10,938,65,65,52,34,61,5,38,415,7,740,132,205,45,296,213,5,4,72,12,990,134,1162,51,425,187,3,3,43,7,2009,219,1636,136,1505,502,18,36,190,30,4272,40,16,36,40,24,21,5,19,3,195,68,63,423,127,95,21,23,176,6,1014,108,53,122,41,81,67,106,189,249,1031
2017,182,23,26,0,25,12,18,172,9,473,0,0,6,0,0,0,3,0,0,8,61,14,85,3,47,28,41,146,12,436,5,0,20,0,5,0,12,5,0,55,84,11,222,0,45,5,28,55,4,459,29,21,21,0,26,53,15,14,0,170,86,17,35,0,18,276,18,66,0,516,60,0,56,108,15,60,3,87,0,391,32,3,13,4,46,10,89,12,6,215,3,9,5,0,3,9,0,4,0,34,13,25,0,0,43,0,0,0,0,86,3,6,0,3,8,15,0,0,0,38,8,89,25,3,45,4,0,0,4,175,6,13,7,9,11,0,0,73,0,131,31,47,13,71,54,0,8,15,5,254,30,288,9,108,37,0,3,14,0,486,37,295,24,309,98,0,0,41,6,824,5,6,5,19,3,0,0,8,0,48,9,17,111,24,20,9,5,17,0,204,21,13,31,8,18,16,22,49,52,243
2018,95,15,38,0,17,8,61,111,3,343,19,18,72,4,15,0,65,23,0,211,150,84,329,16,86,56,245,256,19,1233,83,139,343,10,134,9,126,109,24,984,162,47,805,4,171,18,159,256,29,1651,49,18,33,0,34,75,63,25,0,301,264,43,110,14,77,1139,78,187,0,1919,182,11,158,284,35,251,31,358,7,1324,48,17,26,6,145,31,300,26,10,596,28,57,37,0,89,46,9,8,3,278,21,78,7,3,150,9,0,0,4,274,8,18,15,3,56,73,5,22,4,206,36,253,133,0,150,8,3,11,9,607,25,40,43,29,63,6,14,270,5,493,140,282,66,368,634,6,10,51,36,1589,88,748,34,329,126,0,0,18,4,1342,154,1252,123,1045,447,8,21,152,29,3225,31,29,14,63,16,7,0,9,4,186,43,41,309,100,73,16,10,67,8,671,43,59,117,36,72,30,67,97,164,686
2019,75,10,19,0,6,5,12,65,0,190,3,0,3,0,0,0,6,0,0,14,119,49,198,6,74,39,152,176,16,826,6,0,12,0,9,3,10,10,0,52,81,20,395,0,70,7,63,130,11,769,34,8,7,0,20,42,31,6,0,155,118,28,72,6,42,574,23,99,4,970,119,7,89,174,23,99,25,203,7,737,51,7,6,6,67,10,199,8,4,353,10,17,14,0,6,11,0,4,0,65,18,41,0,0,74,10,0,0,0,137,12,3,7,5,22,42,0,0,0,81,16,134,52,6,74,6,0,0,9,285,24,26,20,24,28,3,11,193,0,332,55,112,32,157,92,0,21,30,4,505,43,437,13,171,67,0,3,22,0,761,92,738,55,667,222,14,20,93,12,1920,20,12,12,28,6,0,0,11,0,84,28,29,173,46,29,4,3,26,0,343,44,31,56,14,29,20,36,46,82,348
2020,567,40,84,0,47,21,54,381,14,1204,21,16,36,0,0,0,56,9,0,131,220,88,350,5,141,81,146,329,18,1378,41,54,65,0,38,9,52,17,3,279,265,49,1207,3,242,31,293,464,31,2582,96,36,43,0,65,87,75,42,8,452,250,54,141,11,91,945,80,172,5,1755,150,10,106,267,21,149,23,266,5,991,61,17,32,16,146,32,379,28,9,711,35,59,43,0,40,25,6,3,5,210,37,108,0,0,173,13,3,3,7,344,23,17,11,0,54,106,0,5,3,225,83,443,143,8,196,10,3,14,0,897,34,58,84,25,56,5,23,236,0,527,104,218,57,303,215,3,13,75,21,1009,146,1123,58,439,175,0,0,38,12,1990,134,1032,95,1168,386,14,13,142,12,3000,50,54,33,73,33,5,0,34,8,291,66,50,414,108,82,15,21,165,7,926,84,61,128,33,87,52,79,94,180,786
2021,227,28,49,0,25,11,45,168,10,554,8,7,27,0,0,0,19,3,0,68,221,83,292,15,109,79,176,581,28,1586,44,30,70,0,63,0,42,19,3,266,195,21,836,0,100,20,123,197,12,1508,67,32,19,0,48,106,52,47,0,376,280,50,138,15,103,1150,83,249,13,2071,207,3,166,342,57,165,23,396,7,1371,45,12,18,6,108,31,288,17,8,526,10,45,27,0,19,17,0,4,3,128,43,88,3,0,132,8,0,4,0,280,18,11,4,0,34,97,5,5,9,182,34,386,91,4,187,7,0,9,0,719,26,56,56,51,45,10,0,212,5,461,90,199,54,309,166,3,22,83,10,939,124,963,42,326,140,0,0,28,18,1639,174,1377,104,1058,429,15,23,184,17,3387,34,27,39,38,21,17,4,51,5,234,39,42,305,99,61,13,5,62,10,637,48,35,87,30,36,47,33,84,152,563
