SUA_CODE_2021,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_UOLSE_VWorW,FOL_IAL_Tot_UOLSE_NWorNAA,FOL_IAL_Tot_UOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_UOLSE_VWorW,FOL_Italian_UOLSE_NWorNAA,FOL_Italian_UOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japan_SEO,FOL_Japan_UOLSE_VWorW,FOL_Japan_UOLSE_NWorNAA,FOL_Japan_UOLSE_Tot,FOL_Japan_NS,FOL_Japan_Tot,FOL_Khmer_SEO,FOL_Khmer_UOLSE_VWorW,FOL_Khmer_UOLSE_NWorNAA,FOL_Khmer_UOLSE_Tot,FOL_Khmer_NS,FOL_Khmer_Tot,FOL_Korean_SEO,FOL_Korean_UOLSE_VWorW,FOL_Korean_UOLSE_NWorNAA,FOL_Korean_UOLSE_Tot,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedon_SEO,FOL_Macedon_UOLSE_VWorW,FOL_Macedon_UOLSE_NWorNAA,FOL_Macedon_UOLSE_Tot,FOL_Macedon_NS,FOL_Macedon_Tot,FOL_Malayalam_SEO,FOL_Malayalam_UOLSE_VWorW,FOL_Malayalam_UOLSE_NWorNAA,FOL_Malayalam_UOLSE_Tot,FOL_Malayalam_NS,FOL_Malayalam_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_UOLSE_VWorW,FOL_Persian_ED_UOLSE_NWorNAA,FOL_Persian_ED_UOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_UOLSE_VWorW,FOL_Polish_UOLSE_NWorNAA,FOL_Polish_UOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Portuguese_SEO,FOL_Portuguese_UOLSE_VWorW,FOL_Portuguese_UOLSE_NWorNAA,FOL_Portuguese_UOLSE_Tot,FOL_Portuguese_NS,FOL_Portuguese_Tot,FOL_Russian_SEO,FOL_Russian_UOLSE_VWorW,FOL_Russian_UOLSE_NWorNAA,FOL_Russian_UOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_UOLSE_VWorW,FOL_Samoan_UOLSE_NWorNAA,FOL_Samoan_UOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_UOLSE_VWorW,FOL_Serbian_UOLSE_NWorNAA,FOL_Serbian_UOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipin_SEO,FOL_SAL_Filipin_UOLSE_VWorW,FOL_SAL_Filipin_UOLSE_NWorNAA,FOL_SAL_Filipin_UOLSE_Tot,FOL_SAL_Filipin_NS,FOL_SAL_Filipin_Tot,FOL_SAL_Indon_SEO,FOL_SAL_Indon_UOLSE_VWorW,FOL_SAL_Indon_UOLSE_NWorNAA,FOL_SAL_Indon_UOLSE_Tot,FOL_SAL_Indon_NS,FOL_SAL_Indon_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_UOLSE_VWorW,FOL_SAL_Tagalog_UOLSE_NWorNAA,FOL_SAL_Tagalog_UOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_UOLSE_VWorW,FOL_SAL_Oth_UOLSE_NWorNAA,FOL_SAL_Oth_UOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_UOLSE_VWorW,FOL_SAL_Tot_UOLSE_NWorNAA,FOL_SAL_Tot_UOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_UOLSE_VWorW,FOL_Spanish_UOLSE_NWorNAA,FOL_Spanish_UOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_UOLSE_VWorW,FOL_Tamil_UOLSE_NWorNAA,FOL_Tamil_UOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_UOLSE_VWorW,FOL_Thai_UOLSE_NWorNAA,FOL_Thai_UOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_UOLSE_VWorW,FOL_Turkish_UOLSE_NWorNAA,FOL_Turkish_UOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_UOLSE_VWorW,FOL_Vietnamese_UOLSE_NWorNAA,FOL_Vietnamese_UOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_UOLSE_VWorW,FOL_Oth_UOLSE_NWorNAA,FOL_Oth_UOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_UOLSE_VWorW,FOL_Tot_UOLSE_NWorNAA,FOL_Tot_UOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LUatH_NS_SEO,F_LUatH_NS_UOLSE_VWorW,F_LUatH_NS_UOLSE_NWorNAA,F_LUatH_NS_UOLSE_Tot,F_LUatH_NS_NS,F_LUatH_NS_Tot,F_Tot_SEO,F_Tot_UOLSE_VWorW,F_Tot_UOLSE_NWorNAA,F_Tot_UOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_UOLSE_VWorW,PSEO_UOLSE_NWorNAA,PSEO_UOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_UOLSE_VWorW,POL_Afrikaans_UOLSE_NWorNAA,POL_Afrikaans_UOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_UOLSE_VWorW,POL_Arabic_UOLSE_NWorNAA,POL_Arabic_UOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_UOLSE_VWorW,POL_AIndLng_UOLSE_NWorNAA,POL_AIndLng_UOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Canton_SEO,POL_CL_Canton_UOLSE_VWorW,POL_CL_Canton_UOLSE_NWorNAA,POL_CL_Canton_UOLSE_Tot,POL_CL_Canton_NS,POL_CL_Canton_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_UOLSE_VWorW,POL_CL_Mandarin_UOLSE_NWorNAA,POL_CL_Mandarin_UOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot
2010,0,3,..,86,6,92,3,92,..,36,0,37,0,37,..,12,0,12,0,12,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,37,4,38,0,38,..,0,0,0,0,0,..,3,0,3,0,3,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,18,0,17,0,17,..,6,0,6,0,6,..,27,0,29,0,29,..,13,0,13,0,13,..,54,3,54,0,54,..,15,0,15,0,15,..,8,0,7,0,7,..,5,0,5,0,5,..,4,0,10,0,10,..,12,0,13,0,13,..,61,32,96,0,96,..,409,56,470,12,475,..,29,4,31,416,451,7841,439,64,504,424,8764,15198,..,..,..,..,15198,..,17,0,17,0,17,..,12,0,14,0,14,..,0,0,0,0,0,..,10,5,15,0,17,..,41,6,51,0,52
2011,54,5927,..,134429,11548,145983,1501,147476,..,37818,7009,44835,276,45112,..,5728,683,6413,61,6469,..,5660,3479,9136,59,9196,..,6750,1900,8647,64,8712,..,11405,2586,13989,100,14090,..,10059,598,10654,103,10757,..,8654,1610,10267,81,10339,..,6216,871,7088,39,7126,..,4033,385,4414,53,4465,..,8121,1648,9769,64,9832,..,6010,417,6434,72,6499,..,6941,1527,8458,52,8513,..,11305,295,11608,82,11682,..,8463,714,9172,108,9285,..,14329,411,14740,75,14809,..,5052,529,5578,47,5626,..,39141,1949,41096,306,41404,..,18621,2290,20913,171,21083,..,14370,1300,15667,167,15837,..,6954,1491,8443,46,8489,..,13083,3706,16792,112,16901,..,40874,21101,61975,437,62415,..,93689,21897,115589,1969,117563,..,706229,149298,855520,7812,863330,..,12079,3092,15173,98475,113649,1469579,718301,152389,870692,106287,2446560,2913791,..,..,..,..,2913791,..,4555,53,4611,24,4630,..,74120,12800,86919,627,87549,..,572,36,608,12,615,..,61845,18131,79981,556,80530,..,156798,53818,210609,1862,212474
2012,0,3,..,263,31,296,5,300,..,341,61,403,0,408,..,21,0,21,0,21,..,21,16,34,0,34,..,23,7,30,0,30,..,7,0,7,0,7,..,70,6,76,0,76,..,15,3,12,0,12,..,3,0,6,0,6,..,0,0,4,0,4,..,5,0,5,0,5,..,31,6,35,0,35,..,11,0,8,0,8,..,65,4,69,0,69,..,11,3,15,0,15,..,63,3,66,0,69,..,131,38,166,0,168,..,269,52,317,5,318,..,21,0,22,0,22,..,37,7,41,0,41,..,58,40,98,4,98,..,116,86,202,0,201,..,85,99,187,0,188,..,465,157,622,14,636,..,2375,836,3207,31,3243,..,102,24,124,1990,2114,22005,2485,856,3338,2019,27360,42703,..,..,..,..,42703,..,61,0,61,0,61,..,81,18,99,3,97,..,38,0,38,0,34,..,93,59,155,0,159,..,386,482,866,25,891
2013,0,0,..,8,0,8,0,8,..,27,5,36,0,33,..,4,0,4,0,4,..,10,5,8,0,8,..,0,4,4,0,4,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,5,3,13,0,13,..,3,0,3,0,3,..,3,0,3,0,3,..,9,0,8,0,8,..,12,0,16,0,16,..,33,0,33,0,35,..,3,0,3,0,0,..,36,3,46,0,47,..,4,0,7,0,7,..,83,7,87,3,89,..,14,0,14,0,14,..,0,0,0,0,0,..,11,0,18,0,18,..,0,0,0,0,0,..,5,7,11,0,11,..,154,36,185,6,188,..,477,103,579,7,591,..,31,4,30,745,775,9831,508,105,611,758,11200,19336,..,..,..,..,19336,..,3,0,3,0,3,..,27,4,30,0,32,..,3,0,3,0,3,..,18,6,19,0,19,..,39,20,56,0,56
2014,0,0,..,26,0,29,0,29,..,6,0,6,0,6,..,6,0,11,0,11,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,12,0,12,0,12,..,3,0,3,0,3,..,10,0,12,0,12,..,7,0,7,0,7,..,34,0,36,0,36,..,5,0,5,0,5,..,0,0,0,0,0,..,15,0,15,0,15,..,0,0,0,0,0,..,12,0,13,0,13,..,37,5,43,0,43,..,212,12,220,0,219,..,12,0,12,324,344,5144,222,12,237,327,5700,10129,..,..,..,..,10129,..,10,0,10,0,10,..,11,3,13,0,13,..,0,0,0,0,0,..,4,0,4,0,4,..,17,4,18,0,18
2015,0,0,..,83,11,86,0,87,..,23,4,26,0,26,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,22,0,22,0,22,..,0,0,0,0,0,..,17,0,17,0,18,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,3,4,8,0,8,..,19,0,19,0,19,..,6,0,6,0,6,..,25,0,28,0,28,..,6,0,6,0,6,..,59,5,58,0,58,..,10,4,13,0,12,..,10,3,13,0,18,..,7,0,7,0,7,..,0,0,0,0,0,..,23,8,35,3,39,..,71,11,81,3,83,..,457,65,523,9,533,..,34,0,31,436,469,6971,488,64,552,444,7973,13388,..,..,..,..,13388,..,46,0,45,0,45,..,23,5,26,0,28,..,3,0,3,0,3,..,10,0,13,0,13,..,56,25,82,0,82
2016,0,31,..,936,164,1100,14,1108,..,352,68,419,4,430,..,10,0,13,0,13,..,3,0,4,0,4,..,9,0,8,0,8,..,67,12,83,0,83,..,216,19,234,4,238,..,25,22,46,0,46,..,9,0,9,0,9,..,14,0,14,0,14,..,0,0,0,0,0,..,96,3,97,0,97,..,7,0,9,0,9,..,112,6,117,0,117,..,32,0,37,0,38,..,129,4,136,0,141,..,141,52,194,0,197,..,416,67,485,3,492,..,30,3,33,0,33,..,76,3,84,0,84,..,67,18,87,0,85,..,138,52,191,0,191,..,33,15,43,4,47,..,927,335,1262,24,1282,..,4318,1169,5477,70,5546,..,116,35,148,1808,1955,19912,4432,1199,5631,1876,27417,38809,..,..,..,..,38809,..,55,0,52,0,52,..,1005,356,1361,18,1379,..,67,0,67,5,69,..,77,36,113,5,114,..,342,211,551,12,567
2017,0,6,..,118,11,128,0,130,..,48,28,79,0,78,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,19,0,19,0,20,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,22,0,25,0,25,..,15,4,22,0,22,..,27,0,27,0,27,..,61,27,87,0,86,..,123,32,159,0,160,..,7,0,11,0,11,..,5,0,5,0,5,..,9,0,10,0,10,..,0,0,0,0,0,..,39,45,81,0,81,..,72,13,82,5,85,..,532,163,697,9,704,..,19,7,28,359,391,4765,553,173,721,369,5858,9057,..,..,..,..,9057,..,19,0,20,0,20,..,14,6,15,0,16,..,12,0,12,0,16,..,12,6,12,0,12,..,60,54,112,0,112
2018,0,9,..,211,18,235,0,239,..,229,50,284,0,282,..,6,9,14,0,14,..,3,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,104,4,114,0,114,..,3,0,3,0,3,..,27,0,31,0,31,..,3,0,11,0,11,..,11,0,10,0,10,..,0,0,0,0,0,..,5,5,13,0,13,..,85,3,85,0,85,..,17,3,19,0,19,..,87,0,91,0,91,..,31,4,31,0,31,..,219,9,225,0,227,..,36,3,45,0,49,..,20,0,20,0,20,..,38,10,47,0,47,..,5,3,10,0,10,..,29,17,48,0,51,..,294,68,364,18,375,..,1619,280,1900,24,1926,..,66,18,84,1567,1647,18674,1682,297,1988,1588,22253,36391,..,..,..,..,36391,..,40,0,37,0,37,..,90,8,99,4,102,..,21,0,21,0,21,..,56,21,78,0,77,..,164,39,203,0,201
2019,0,7,..,109,12,114,0,113,..,146,29,173,0,177,..,6,0,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,15,3,14,0,14,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,5,0,5,..,36,0,36,0,36,..,0,4,3,0,3,..,31,0,31,0,31,..,15,4,14,0,14,..,79,5,84,0,84,..,13,4,10,0,10,..,17,0,16,0,16,..,16,5,20,0,20,..,0,0,0,0,0,..,12,3,16,0,16,..,71,6,79,5,87,..,576,78,658,7,667,..,26,3,32,540,573,9251,606,81,685,547,10488,17592,..,..,..,..,17592,..,13,0,13,0,13,..,10,0,13,0,13,..,4,0,4,0,4,..,14,5,19,0,19,..,48,10,56,0,56
2020,0,3,..,191,12,202,0,202,..,50,5,54,0,54,..,7,3,14,0,14,..,4,0,4,0,4,..,5,4,11,0,11,..,4,0,5,0,5,..,22,0,23,0,26,..,4,0,3,0,3,..,15,3,19,0,19,..,5,0,5,0,5,..,18,4,21,0,21,..,5,0,7,0,7,..,15,0,16,0,16,..,41,0,41,0,41,..,15,0,19,0,19,..,25,0,25,0,25,..,18,0,18,0,18,..,99,0,100,0,100,..,38,10,41,0,41,..,21,0,18,0,18,..,38,8,48,0,46,..,6,0,6,0,6,..,28,13,39,0,39,..,243,22,267,5,274,..,1098,131,1224,12,1237,..,44,0,47,1114,1157,19801,1139,136,1275,1128,22199,38223,..,..,..,..,38223,..,66,3,63,0,67,..,31,7,37,5,40,..,11,0,11,0,11,..,25,11,38,0,38,..,174,57,231,0,231
2021,0,6,..,116,3,120,3,124,..,16,0,16,3,20,..,17,0,17,0,16,..,5,0,4,0,4,..,11,3,16,0,16,..,0,0,0,0,0,..,20,0,20,0,20,..,3,0,3,0,3,..,9,0,9,0,9,..,5,0,5,0,5,..,7,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,55,0,53,0,54,..,14,0,21,0,21,..,36,0,36,0,40,..,21,4,28,0,28,..,133,7,134,0,137,..,21,0,27,0,28,..,11,0,13,0,13,..,37,11,45,0,45,..,4,0,3,0,10,..,32,26,54,0,56,..,150,12,157,3,162,..,800,139,939,30,967,..,64,3,69,937,1010,16576,867,144,1011,968,18547,31835,..,..,..,..,31835,..,58,0,57,0,57,..,59,0,58,0,58,..,15,0,18,0,18,..,24,4,30,0,30,..,156,156,311,8,321
