SUA_CODE_2021,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
2010,259,353,907,765,756,716,241,57,10,4063,3,4,16,4,9,21,13,11,0,83,0,0,0,0,0,0,0,0,0,3,19,13,15,6,14,12,0,0,0,82,0,3,20,17,5,9,0,0,0,52,5,8,18,14,19,17,0,0,0,77,0,7,16,16,11,19,5,0,0,70,87,56,88,60,102,106,21,3,0,518,76,30,36,38,37,38,11,0,0,267,0,7,8,10,11,7,0,0,0,53,0,10,8,8,9,3,0,0,0,32,0,9,23,24,28,6,0,0,0,96,0,3,3,4,3,8,3,0,0,30,3,11,42,44,35,16,5,0,0,167,5,11,25,33,26,31,6,0,0,127,0,13,51,52,32,50,3,0,0,208,5,38,120,95,124,88,24,4,0,503,22,106,321,264,255,251,52,3,0,1269,3,4,14,12,4,10,3,0,0,50,5,19,34,39,31,21,10,0,0,159
2011,48044,113775,311625,299939,242165,172143,51063,7253,575,1246580,128,387,1216,1250,1301,985,370,112,8,5765,4,32,187,296,297,103,28,3,0,957,2273,3282,10433,12563,13186,8816,1745,164,7,52469,30,346,2100,2861,1795,790,121,7,0,8049,358,2179,8536,8367,6849,4283,1030,120,0,31722,316,1633,5803,7000,6717,4084,909,98,5,26567,15768,23536,27079,20270,19651,13705,3211,286,12,123514,21415,15892,15826,9158,7416,4689,966,87,3,75456,353,2084,6645,6842,6460,4160,794,50,3,27383,553,1437,4788,4679,3188,1507,344,40,6,16537,166,2887,14848,17399,11347,5256,1090,92,5,53093,259,1558,5441,4527,3853,2327,764,137,14,18868,568,7593,33044,28267,19080,10189,3041,333,18,102142,511,3385,10626,8800,8125,5362,1427,125,7,38364,371,3316,15295,17424,15607,10193,2059,192,7,64453,2910,9780,35301,36249,34318,24094,5504,417,12,148589,2499,20597,66949,57878,52094,39364,9788,626,18,249824,2118,3142,5234,4366,3413,1935,563,82,8,20851,1167,3899,10650,9184,7994,5122,1261,119,7,39409
2012,691,1029,2631,2240,2349,2103,692,94,14,11844,3,40,191,132,140,103,60,9,0,669,0,0,10,0,0,6,0,0,0,27,19,33,74,85,91,62,11,4,0,375,0,8,6,14,24,17,3,0,0,76,4,15,45,63,51,49,12,0,0,239,0,17,49,51,33,41,13,0,0,206,316,183,224,215,261,236,43,3,0,1475,226,138,155,137,137,110,31,4,0,936,5,16,36,38,49,54,14,0,0,210,4,5,9,13,19,7,0,0,0,64,0,8,44,43,58,23,9,0,0,195,0,17,24,23,46,22,11,0,0,146,11,38,136,98,87,51,20,0,0,449,11,43,109,99,108,111,23,5,0,500,3,29,117,155,153,139,23,3,0,626,26,85,317,379,401,277,66,0,0,1551,40,247,705,571,667,576,122,4,0,2942,11,11,12,18,24,16,3,0,0,98,12,37,115,78,63,51,14,0,0,370
2013,280,392,985,830,845,863,234,23,5,4469,9,4,11,27,17,12,6,3,0,92,0,5,3,3,3,0,0,0,0,19,4,18,29,23,17,20,0,0,0,102,6,7,19,18,16,5,0,0,0,72,5,8,35,22,27,14,5,0,0,106,5,3,4,8,10,6,0,0,0,31,90,59,102,78,120,82,17,0,0,562,107,49,49,28,28,34,5,0,0,307,0,6,11,9,22,14,5,0,0,62,0,4,9,6,0,3,3,0,0,31,0,11,39,36,19,19,0,0,0,126,0,11,13,11,14,7,0,0,0,63,3,16,39,32,25,22,6,0,0,148,3,17,21,26,45,25,5,0,0,146,3,15,81,98,98,79,18,0,0,384,6,37,85,109,141,108,27,0,0,520,12,108,263,238,266,259,62,0,0,1210,9,3,14,8,0,6,0,0,0,36,11,16,38,31,32,19,12,0,0,159
2014,171,209,396,444,532,517,166,27,4,2465,0,8,8,10,9,8,9,0,0,56,0,0,0,0,0,0,0,0,0,0,9,9,10,19,28,22,3,0,0,109,0,0,4,6,8,4,0,0,0,17,4,0,3,6,7,10,0,0,0,27,3,0,5,13,9,4,4,0,0,33,61,20,27,36,60,22,13,0,0,237,57,28,34,34,33,42,6,0,0,237,0,3,9,10,13,13,0,0,0,56,0,0,3,0,0,3,0,0,0,15,0,0,5,13,14,3,0,0,0,34,0,0,9,3,3,3,6,0,0,29,0,0,13,11,15,15,0,0,0,63,0,6,14,17,24,17,0,0,0,82,3,14,21,43,32,47,8,0,0,162,5,20,55,73,89,60,8,0,0,310,6,40,144,110,153,154,48,0,0,647,5,6,5,9,4,6,5,0,0,43,9,6,24,20,19,12,8,0,0,88
2015,206,296,745,671,628,577,162,35,5,3315,0,8,9,16,9,4,0,4,0,59,0,3,3,6,5,3,0,0,0,21,8,0,12,14,13,12,0,0,0,68,0,3,8,4,9,4,4,0,0,23,0,5,17,17,25,14,0,0,0,82,0,0,0,8,3,0,0,0,0,19,94,61,55,49,82,59,9,3,0,424,73,34,41,23,24,25,3,0,0,227,0,4,8,5,4,10,0,0,0,34,0,3,3,3,4,0,0,0,0,18,0,0,7,3,14,9,0,0,0,40,0,5,10,9,16,4,6,0,0,46,0,13,47,34,23,15,4,0,0,135,0,0,17,19,15,21,5,0,0,81,5,21,64,64,84,52,11,0,0,305,9,19,101,105,128,89,22,0,0,465,7,61,217,204,220,195,38,0,0,946,0,5,12,10,8,4,0,0,0,40,6,10,33,28,26,17,10,0,0,131
2016,722,1086,2641,2360,2344,1964,639,101,13,11869,0,26,152,90,70,47,20,0,0,410,0,0,0,4,0,0,0,0,0,3,43,28,79,112,126,109,16,0,0,508,3,7,42,30,33,23,4,0,0,129,10,17,64,52,75,56,10,0,0,286,6,14,32,26,27,24,5,0,0,141,271,177,232,204,230,210,37,3,0,1374,253,128,135,100,102,77,17,0,0,820,0,12,38,32,42,41,16,0,0,186,4,15,17,22,16,8,4,0,0,82,6,19,33,46,41,27,7,0,0,171,0,17,27,31,27,9,0,0,0,115,9,22,142,96,97,73,24,0,0,468,10,37,102,95,76,65,26,0,0,411,3,30,102,122,129,99,22,0,0,500,39,101,325,352,308,265,78,4,0,1459,51,282,826,714,713,622,160,0,0,3360,12,11,20,17,14,6,0,0,0,91,18,47,106,86,99,69,24,0,0,445
2017,161,266,647,535,425,461,153,23,3,2675,4,3,42,24,14,12,15,5,0,122,0,0,0,0,0,0,0,0,0,0,11,5,39,25,13,25,3,0,0,114,0,0,0,0,0,0,3,0,0,9,0,3,12,8,18,13,0,0,0,55,0,7,13,3,7,10,0,0,0,38,43,46,56,46,43,52,10,0,0,294,63,46,50,38,28,30,5,0,0,259,0,3,11,6,10,11,6,0,0,54,4,4,3,4,0,0,0,0,0,14,0,7,10,17,7,6,0,0,0,53,0,3,4,9,6,0,0,0,0,24,5,8,14,24,18,14,4,0,0,86,4,3,18,23,10,13,0,0,0,73,0,11,35,25,34,21,10,3,0,136,4,21,90,79,74,63,18,0,0,351,13,71,166,131,134,131,30,0,0,683,0,0,11,4,0,0,0,0,0,24,3,13,35,20,10,13,0,0,0,87
2018,568,808,2104,1861,1789,1482,431,56,4,9092,3,11,18,26,20,15,14,5,0,99,0,0,3,10,10,8,0,0,0,21,16,15,34,52,43,29,4,0,0,199,9,18,39,51,49,35,0,0,0,189,6,21,42,56,53,31,5,0,0,212,0,4,15,17,16,19,4,0,0,69,211,139,202,157,179,173,36,3,0,1098,264,125,119,83,78,78,19,0,0,759,0,10,20,26,39,43,9,0,0,145,9,19,32,16,14,11,6,4,0,100,0,11,51,49,43,22,0,0,0,184,0,14,26,28,19,15,10,0,0,110,9,24,88,67,33,45,10,0,0,265,10,23,47,64,54,59,12,0,0,270,9,56,233,268,249,155,25,0,0,1000,20,56,225,242,270,196,40,6,0,1049,29,237,709,528,523,459,101,0,0,2591,28,12,21,21,17,12,3,0,0,110,24,33,93,68,61,46,13,0,0,336
2019,332,353,880,880,870,768,265,39,8,4376,0,3,8,5,14,7,9,0,0,48,0,0,0,0,0,0,0,0,0,0,11,10,44,42,39,34,5,0,0,188,0,0,0,0,0,0,0,0,0,3,0,3,24,15,22,17,4,0,0,86,5,5,6,8,13,4,3,0,0,44,113,60,111,91,80,98,23,0,0,582,130,67,76,40,59,32,8,0,0,415,0,5,10,6,22,25,8,0,0,74,4,3,5,7,7,4,0,0,0,27,0,4,20,20,11,18,0,0,0,80,0,6,10,10,11,3,3,0,0,52,5,4,36,39,30,19,11,0,0,148,0,8,25,29,49,38,8,0,0,173,3,7,34,60,74,49,14,0,0,239,12,27,108,151,135,108,23,0,0,561,28,117,351,282,338,327,68,3,0,1524,10,5,8,11,9,0,3,0,0,28,8,18,43,25,28,18,8,0,0,152
