SUA_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
2010,40,138,205,149,151,183,168,104,38,1166,12,177,309,190,221,255,135,55,41,1396,6,122,363,270,280,242,127,36,26,1473,0,62,248,205,224,165,61,24,4,985,0,30,205,167,160,155,51,23,8,790,0,4,114,101,114,97,26,10,0,466,0,8,136,195,158,145,52,15,7,713,0,0,15,27,17,38,12,3,0,119,0,7,24,52,69,40,21,18,3,227,94,85,152,105,94,113,142,114,77,973,955,977,2254,1913,1893,2136,1857,1245,589,13824
2011,4778,33431,54711,42121,36958,33606,29666,16732,5462,257462,3143,36745,82319,59093,51246,42788,25829,11109,3632,315902,1510,31442,104137,73868,61714,49877,24157,8243,2235,357181,432,16510,88897,63364,49769,37368,15517,4710,1280,277842,226,7384,76091,62693,49110,34304,12184,3966,1245,247210,94,2934,48937,51319,39153,25978,8239,2351,674,179671,99,2316,70513,104701,77381,45827,12303,3266,939,317344,51,430,11409,27060,21899,12343,3440,1010,337,77974,114,659,11506,43951,48696,26552,8406,2800,973,143661,14095,20259,49964,39109,31707,25600,22892,20717,17371,241711,268525,323658,778028,722456,615047,516353,393854,229530,98370,3945813
2012,97,409,705,548,526,557,481,208,55,3584,47,489,942,652,718,656,356,121,41,4016,20,324,1028,776,760,748,333,80,21,4102,7,139,641,540,579,461,184,27,6,2583,5,76,546,510,510,399,118,57,22,2236,0,28,274,354,413,291,72,13,9,1458,0,23,296,504,556,389,83,23,4,1881,0,3,35,70,98,67,22,6,0,301,3,11,49,104,160,120,63,19,6,532,364,269,682,633,648,569,596,408,270,4437,3114,3004,7176,6274,6686,6775,5804,3359,1391,43582
2013,32,145,260,217,217,241,205,113,30,1455,31,204,357,266,233,248,134,31,10,1517,13,128,349,253,239,264,132,43,16,1432,8,56,255,189,201,153,79,17,6,967,0,24,182,177,159,127,64,14,10,758,0,10,105,126,115,120,33,4,5,517,0,16,119,170,223,182,40,10,0,764,0,5,23,28,44,42,9,3,0,160,0,3,26,49,71,82,21,5,3,263,119,96,229,220,250,264,295,215,158,1852,1212,1175,2703,2390,2689,3141,2886,1515,602,18322
2014,14,77,89,100,124,106,159,89,62,823,9,69,129,114,141,135,110,38,11,757,11,56,135,136,165,156,66,19,4,752,3,40,125,90,102,113,48,3,3,528,3,16,86,92,98,100,36,12,3,444,0,9,47,77,60,63,20,0,0,275,0,4,56,101,177,147,27,7,4,524,0,0,3,7,24,12,4,0,0,61,0,0,4,15,26,30,9,6,0,93,54,36,83,105,92,113,126,86,45,732,639,534,1080,1204,1474,1755,1622,816,346,9468
2015,29,109,144,142,139,146,137,103,27,978,17,104,222,170,167,166,109,59,23,1029,6,79,230,168,185,190,105,48,8,1008,3,55,177,154,142,138,71,14,3,752,0,27,182,148,140,120,42,8,6,669,0,15,121,106,103,85,38,4,4,477,0,10,167,187,208,133,31,6,0,731,0,0,26,56,51,27,18,0,0,176,0,0,23,61,107,75,11,6,9,286,62,63,127,135,132,109,139,111,109,980,880,809,1869,1785,1900,1899,1800,1098,465,12493
2016,96,424,688,577,510,458,496,250,67,3571,62,472,1031,806,766,582,363,169,64,4307,24,355,1063,798,806,681,281,95,22,4131,3,178,716,567,572,499,167,47,16,2767,0,74,574,516,437,414,120,46,18,2198,0,30,283,357,358,260,79,22,7,1394,0,21,284,452,526,396,100,22,7,1816,0,5,47,84,104,62,25,6,0,329,3,5,41,145,186,141,37,26,12,602,283,295,631,548,488,490,480,408,199,3831,3248,3166,7295,6540,6425,6290,5443,3386,1406,43207
2017,26,107,166,133,91,107,86,62,25,800,13,119,241,189,117,163,75,32,19,971,8,101,281,177,170,163,67,20,5,988,0,42,173,121,97,108,35,17,8,595,0,16,136,105,82,75,19,14,3,456,0,4,77,82,65,72,23,5,4,325,3,10,74,86,85,83,16,10,5,365,0,0,14,20,27,19,5,4,0,81,0,0,11,21,33,31,12,7,6,119,51,59,128,93,76,105,90,94,56,755,563,690,1643,1338,1133,1321,1116,813,417,9037
2018,64,300,499,341,352,364,352,194,55,2518,35,359,665,518,437,439,300,110,31,2883,24,240,783,536,517,453,252,78,24,2905,5,127,592,452,380,349,142,32,10,2079,4,81,512,440,370,292,77,39,8,1818,5,21,301,297,288,222,71,10,3,1214,0,28,364,484,549,408,83,14,7,1945,0,4,58,101,122,94,23,6,0,411,0,3,48,151,190,158,38,11,0,611,215,220,497,457,431,462,462,433,408,3585,2434,2440,5760,5089,5134,5586,4902,2879,1221,35452
2019,41,139,196,159,213,225,211,114,40,1342,28,186,345,283,266,288,181,63,26,1660,9,136,326,333,340,282,147,46,14,1629,3,45,217,222,207,181,69,28,5,989,0,21,210,186,204,141,59,18,8,845,0,9,138,136,132,119,31,9,5,571,0,7,131,203,219,145,32,5,6,745,0,3,21,36,31,23,5,0,0,123,0,4,21,51,40,44,19,10,0,193,84,62,153,123,149,143,176,221,228,1330,1188,980,2282,2229,2388,2478,2399,1714,795,16453
2020,68,320,481,383,413,378,448,232,75,2791,23,375,720,497,529,502,351,141,35,3173,23,254,802,562,622,564,278,93,15,3219,7,126,645,473,432,356,167,50,12,2270,0,54,549,439,341,297,107,31,9,1819,0,33,312,338,320,265,80,19,6,1371,0,32,368,515,524,398,93,23,9,1957,0,4,52,95,113,79,15,5,0,369,0,4,59,141,169,147,58,21,12,611,164,146,369,346,344,331,328,257,116,2396,2362,2216,5681,4929,5047,5318,4958,2949,1045,34506
2021,72,271,402,350,358,358,399,204,50,2463,30,310,642,450,484,486,307,125,22,2857,14,219,777,517,573,565,261,81,29,3036,0,88,536,448,444,443,152,57,12,2191,4,52,393,345,375,298,86,33,13,1592,0,18,244,281,310,199,63,14,4,1133,0,16,199,441,423,307,57,22,10,1480,0,0,33,68,70,68,27,7,3,282,0,3,35,118,149,119,38,20,6,501,145,114,269,300,262,259,275,246,201,2062,2129,1851,4543,4287,4493,4622,4121,2376,1073,29490
