SUA_CODE_2021,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
2010,257,379,911,781,782,728,178,35,0,4043,140,81,189,170,165,351,764,612,327,2794,33,38,60,44,43,41,50,54,31,397,433,496,1152,988,999,1118,984,700,359,7233,118,450,1173,937,984,799,152,19,0,4634,342,222,491,500,461,517,222,50,0,2811,34,35,94,57,55,95,33,7,0,406,3,15,31,25,23,22,10,10,0,136,493,717,1795,1510,1533,1429,415,87,10,7987,14,25,30,24,19,21,0,0,0,131,35,29,24,21,9,14,3,3,0,143,49,52,55,50,26,30,5,3,0,271,545,766,1850,1557,1555,1462,421,94,10,8261,341,138,273,267,259,589,1336,1067,521,4796,68,73,129,85,82,88,97,90,57,773,955,977,2254,1913,1893,2136,1857,1245,589,13824
2011,64473,121106,306474,279647,240775,158955,37589,3518,252,1212788,61412,29238,65574,68991,62644,97806,162397,113028,53038,714142,4977,7385,20549,16015,12087,9618,9173,8311,7252,95367,130864,157732,392597,364658,315500,266382,209161,124858,60543,2022295,12342,90375,398796,381451,321080,197863,36766,2564,136,1441377,76232,114714,161667,154590,131835,108063,43973,6857,444,798373,11177,14882,30944,23298,14783,14954,5657,872,103,116672,1543,5046,12553,8751,5890,3674,1236,407,137,39242,101292,225014,603956,568097,473592,324559,87631,10698,818,2395663,2965,9924,19292,14127,12456,8746,1186,66,18,68778,20056,12719,10800,8075,6548,6117,1762,190,20,66285,23024,22647,30091,22197,18999,14868,2944,257,34,135064,124315,247659,634053,590294,492594,339424,90582,10954,857,2530724,133832,59951,100862,98847,97133,157120,285896,203613,86402,1223655,10373,16046,43113,33316,25324,19806,17383,14964,11112,191428,268525,323658,778028,722456,615047,516353,393854,229530,98370,3945813
2012,840,1094,2611,2375,2584,2105,500,37,4,12150,540,254,731,613,628,1159,2230,1565,757,8466,118,115,320,287,268,222,225,167,116,1833,1502,1455,3663,3275,3482,3480,2951,1766,873,22449,310,1176,3242,2875,3258,2506,549,47,3,13966,964,701,1433,1379,1299,1312,542,53,6,7690,108,113,306,172,164,212,66,12,3,1153,51,62,147,109,126,96,26,19,5,633,1429,2050,5114,4534,4856,4122,1180,131,18,23438,71,117,163,130,114,94,11,0,0,702,135,70,126,77,70,89,22,0,0,590,207,191,285,207,187,182,31,0,5,1291,1638,2241,5402,4739,5043,4305,1206,131,18,24736,1210,524,1135,956,1092,1990,4120,2919,1192,15138,264,241,640,577,549,480,476,305,181,3710,3114,3004,7176,6274,6686,6775,5804,3359,1391,43582
2013,324,427,952,875,974,809,191,17,7,4573,227,107,311,278,352,663,1151,722,328,4135,31,44,93,95,103,99,107,74,33,680,578,578,1354,1248,1426,1574,1457,808,365,9391,153,456,1157,962,1059,864,149,15,0,4815,351,283,538,573,597,631,219,21,4,3218,38,36,126,90,75,105,36,0,0,510,23,18,67,43,35,29,13,4,0,231,569,792,1885,1664,1769,1629,425,38,8,8776,35,66,97,60,78,87,10,0,0,440,52,25,54,38,33,34,16,0,0,254,86,95,151,93,114,124,27,0,0,692,658,889,2034,1758,1889,1755,449,38,11,9468,482,201,473,451,591,1180,2224,1351,543,7495,73,83,196,185,210,213,215,127,53,1351,1212,1175,2703,2390,2689,3141,2886,1515,602,18322
2014,181,174,416,449,558,481,141,15,3,2414,102,52,118,140,155,371,627,377,195,2135,14,13,37,48,33,39,35,36,23,285,298,243,570,640,742,887,803,426,219,4833,74,226,456,511,667,509,114,12,0,2567,234,126,253,311,336,372,169,19,0,1818,27,17,58,41,52,85,16,7,0,292,3,8,23,17,8,12,8,3,0,87,344,373,784,875,1063,980,301,36,5,4769,13,29,35,19,25,18,3,0,0,147,22,7,19,22,19,16,8,0,0,107,40,33,56,40,43,38,11,0,0,252,378,410,841,916,1106,1017,312,36,5,5021,222,93,164,202,284,648,1215,708,308,3847,32,29,74,88,80,93,94,67,39,596,639,534,1080,1204,1474,1755,1622,816,346,9468
2015,250,283,714,683,770,565,128,9,4,3419,146,81,178,202,230,403,777,548,251,2806,33,19,43,58,48,42,53,44,41,387,436,389,940,941,1045,1007,957,604,293,6615,90,291,868,831,867,656,118,14,0,3734,287,230,439,438,416,385,148,26,7,2379,41,13,83,38,66,69,24,6,0,336,7,20,31,16,15,15,0,3,0,118,432,554,1419,1324,1361,1133,288,42,3,6565,22,41,48,27,41,17,5,0,0,202,42,18,25,26,27,17,3,0,0,150,60,54,66,52,69,34,13,0,0,354,487,608,1494,1378,1433,1165,296,48,3,6919,333,141,262,287,360,651,1393,980,392,4800,54,55,116,115,116,84,106,69,64,779,880,809,1869,1785,1900,1899,1800,1098,465,12493
2016,849,1097,2660,2405,2373,1925,499,25,9,11831,620,330,826,725,673,1110,2191,1581,760,8823,105,121,302,248,189,211,185,189,98,1649,1575,1541,3792,3376,3236,3250,2874,1797,862,22300,324,1203,3343,2925,3095,2296,481,35,6,13715,984,752,1464,1467,1316,1283,554,74,0,7899,126,97,261,182,163,202,75,10,6,1120,35,52,121,103,67,61,17,4,10,475,1472,2103,5191,4685,4651,3840,1126,124,17,23209,58,127,169,130,106,59,4,0,0,649,175,77,99,73,50,62,14,4,0,550,228,208,263,204,153,119,15,4,0,1199,1695,2314,5459,4884,4804,3957,1142,124,21,24405,1333,591,1237,1155,1198,1906,3920,2928,1229,15495,222,259,603,493,419,428,380,333,163,3303,3248,3166,7295,6540,6425,6290,5443,3386,1406,43207
2017,165,269,637,530,447,438,116,14,0,2617,84,55,166,127,105,189,440,431,250,1847,15,29,57,43,26,37,35,35,22,296,261,353,866,698,575,673,588,477,266,4763,89,340,818,674,588,534,105,9,0,3146,206,169,334,331,252,298,143,26,0,1752,21,15,91,32,14,44,15,0,0,246,8,10,29,15,19,19,0,0,0,96,319,529,1274,1051,863,892,265,35,3,5241,6,12,17,20,23,12,4,0,0,100,17,10,9,11,4,14,0,0,0,64,27,20,28,30,29,22,4,0,0,161,347,550,1303,1079,892,911,270,35,3,5402,181,89,219,175,183,324,784,709,377,3037,40,53,118,77,62,82,71,73,34,597,563,690,1643,1338,1133,1321,1116,813,417,9037
2018,735,902,2204,1919,1897,1554,329,25,0,9566,375,224,563,483,561,1227,2052,1354,628,7463,89,104,231,208,158,189,150,165,139,1439,1198,1233,3000,2616,2607,2968,2538,1539,765,18460,201,855,2651,2286,2321,1675,277,17,3,10283,896,660,1203,1201,1067,1042,371,48,0,6499,96,71,261,160,152,204,75,11,0,1029,20,52,71,54,64,37,27,4,0,329,1215,1637,4189,3703,3602,2958,746,72,3,18132,66,122,193,132,135,114,19,0,0,765,143,55,96,60,59,63,17,0,4,501,208,179,291,190,195,169,36,0,4,1270,1423,1818,4477,3893,3801,3127,780,79,4,19403,849,426,826,796,980,2082,3809,2490,987,13243,166,193,459,402,359,372,311,313,232,2805,2434,2440,5760,5089,5134,5586,4902,2879,1221,35452
2019,369,394,952,894,1016,847,208,15,0,4688,172,93,176,223,206,422,1023,862,431,3591,33,30,68,50,64,62,59,83,77,524,578,516,1192,1158,1285,1329,1284,959,509,8806,120,406,1126,1082,1184,873,167,13,3,4986,456,274,538,584,592,601,251,30,3,3328,69,29,118,64,57,98,43,8,0,479,17,22,22,26,18,21,7,0,0,135,666,728,1811,1755,1854,1596,471,46,8,8934,13,17,31,26,26,27,4,0,0,157,56,21,29,14,21,19,5,0,0,163,69,43,56,45,51,49,5,0,0,316,738,766,1870,1795,1907,1643,476,52,3,9254,396,155,281,332,368,728,1799,1523,664,6237,58,55,130,102,112,109,129,139,128,959,1188,980,2282,2229,2388,2478,2399,1714,795,16453
2020,672,925,2277,1936,2077,1721,421,51,7,10078,464,149,533,478,447,999,2011,1365,584,7033,58,50,175,144,128,132,127,118,49,977,1189,1121,2988,2554,2656,2851,2559,1534,636,18089,238,919,2871,2408,2448,1842,398,55,6,11191,797,657,1219,1222,1268,1258,519,103,13,7048,89,99,287,161,144,225,69,15,0,1092,21,47,86,71,61,44,27,12,6,360,1145,1723,4462,3860,3922,3370,1012,185,25,19700,40,70,96,47,77,68,11,0,0,414,123,47,61,44,46,52,11,0,0,387,159,116,165,101,122,126,17,5,0,804,1310,1834,4629,3958,4042,3494,1032,186,25,20500,948,280,748,685,725,1573,3674,2557,931,12110,108,106,309,290,282,248,257,206,87,1899,2362,2216,5681,4929,5047,5318,4958,2949,1045,34506
2021,715,757,1835,1796,1922,1643,338,32,0,9036,288,134,340,307,356,745,1725,1179,566,5641,57,38,118,119,107,103,122,115,116,891,1055,931,2292,2228,2383,2497,2179,1329,681,15570,306,817,2315,2017,2238,1683,269,28,0,9674,867,534,1069,1219,1167,1206,459,67,3,6588,101,72,235,162,131,188,71,8,0,972,18,24,76,41,31,31,19,12,0,259,1299,1444,3694,3443,3578,3106,823,112,3,17499,8,45,50,53,47,43,4,0,0,262,89,37,34,46,38,45,6,0,0,299,101,83,82,97,90,94,8,0,0,559,1403,1531,3778,3536,3665,3204,827,109,3,18054,598,221,530,472,602,1219,3085,2074,898,9714,129,101,234,270,216,201,205,193,168,1720,2129,1851,4543,4287,4493,4622,4121,2376,1073,29490
