SUA_CODE_2021,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
2010,88,250,740,629,629,528,108,11,0,2990,149,79,119,98,98,140,110,34,0,832,10,14,25,24,19,37,24,3,0,161,5,7,21,15,11,12,7,4,0,78,259,353,907,765,756,716,241,57,10,4063,8,18,21,14,15,12,0,0,0,92,16,12,11,5,3,7,3,0,0,65,26,35,31,20,18,17,3,0,0,148,282,391,942,783,778,733,248,58,10,4218,204,61,80,99,91,239,578,454,201,2002,31,35,77,43,36,49,47,37,21,377,521,484,1099,921,900,1017,869,551,228,6594,28,199,433,303,360,271,43,8,0,1642,187,139,369,407,363,378,113,16,0,1976,20,12,68,30,34,57,13,3,0,245,6,4,12,9,9,5,6,5,0,58,237,359,884,750,773,714,171,32,0,3924,5,3,14,12,6,8,0,0,0,42,16,10,14,20,4,10,0,0,0,75,25,22,26,26,11,13,4,0,0,120
2011,9581,53186,230376,243881,196221,127066,26003,2059,118,888493,32907,51483,64138,43171,36067,36099,21481,4477,329,290149,4755,6290,9580,7563,6510,6863,2875,507,66,45006,806,2817,7534,5328,3355,2106,702,214,63,22931,48044,113775,311625,299939,242165,172143,51063,7253,575,1246580,1855,6223,11567,8582,7793,5849,912,45,11,42843,9949,6550,4381,2123,1858,2479,1018,128,17,28513,11801,12773,15951,10707,9655,8332,1934,177,28,71360,59841,126556,327576,310647,251818,180467,52993,7433,604,1317941,72420,30714,35285,29851,34489,59308,123493,90585,33358,509509,5394,8663,22565,17296,13239,10190,8206,6652,3861,96064,137659,165928,385424,357794,299544,249970,184692,104673,37830,1923516,2764,37188,168420,137576,124858,70797,10760,501,20,552884,43321,63236,97531,111419,95767,71964,22493,2386,117,508220,6428,8589,21358,15737,8277,8090,2791,365,32,71664,737,2229,5023,3429,2533,1569,528,192,74,16307,53248,111237,292335,268156,231430,152416,36575,3440,243,1149080,1108,3694,7727,5550,4662,2898,276,15,0,25935,10110,6175,6411,5945,4684,3640,741,59,7,37770,11219,9870,14140,11491,9344,6541,1015,75,6,63706
2012,228,685,1988,1777,1885,1563,384,40,0,8553,398,262,460,339,320,399,261,34,7,2498,45,45,88,62,75,93,35,8,3,446,24,30,89,58,65,55,12,10,0,352,691,1029,2631,2240,2349,2103,692,94,14,11844,40,90,106,95,75,69,7,0,0,474,69,34,56,29,31,30,19,0,0,266,104,121,159,121,109,98,23,0,5,740,800,1148,2796,2357,2454,2204,716,94,16,12582,668,269,405,345,463,834,1890,1358,436,6670,146,129,320,291,286,254,249,136,62,1879,1613,1546,3514,2997,3205,3292,2850,1593,515,21133,79,499,1246,1098,1371,941,164,5,0,5416,572,437,968,1036,978,909,280,18,0,5193,64,66,221,109,92,122,28,5,0,710,25,32,54,44,61,44,11,11,0,282,742,1020,2490,2294,2507,2015,491,37,4,11596,32,31,58,36,41,31,0,0,0,229,70,34,72,46,41,54,4,0,0,327,98,72,123,77,81,86,9,0,0,550
2013,108,282,784,639,669,613,105,8,0,3216,147,92,133,125,120,181,104,12,0,914,12,11,32,35,35,54,29,0,0,205,16,7,39,33,19,20,4,4,0,137,280,392,985,830,845,863,234,23,5,4469,26,46,69,40,60,66,10,0,0,308,26,15,23,9,13,13,8,0,0,116,50,63,94,50,69,81,22,0,0,422,334,456,1082,881,917,944,252,23,5,4892,254,96,166,170,244,512,1074,635,211,3363,43,41,104,90,105,112,107,54,22,674,635,598,1350,1136,1265,1571,1433,704,237,8925,41,175,364,320,393,252,46,6,0,1598,207,190,406,452,473,452,119,11,0,2309,26,26,92,50,47,51,11,0,0,305,10,12,26,9,19,13,8,0,0,96,287,398,895,828,925,767,188,17,0,4305,11,19,31,21,25,23,3,0,0,126,26,10,31,22,23,25,0,0,0,141,36,34,60,42,48,42,3,0,0,268
2014,55,146,293,354,421,358,75,7,0,1714,105,48,71,73,76,112,74,11,0,577,9,9,14,15,24,41,9,7,0,120,3,5,13,7,8,8,0,0,0,57,171,209,396,444,532,517,166,27,4,2465,8,20,22,11,17,20,3,0,0,100,12,0,9,6,0,3,7,0,0,45,23,22,33,16,17,19,5,0,0,144,197,233,426,460,551,539,168,27,4,2602,118,43,44,59,131,278,589,334,113,1717,23,20,38,38,44,46,59,31,16,314,340,294,506,565,723,867,822,384,130,4636,24,72,161,161,241,153,37,0,0,858,132,75,180,238,255,257,87,6,0,1236,13,11,38,24,33,45,3,0,0,175,5,8,9,9,4,3,5,3,0,32,170,166,391,429,534,463,137,15,3,2302,4,3,15,7,13,0,0,0,0,46,3,7,12,14,15,15,3,0,0,64,14,10,21,20,25,17,3,0,0,110
2015,62,177,577,553,511,438,83,12,0,2419,124,101,119,99,82,95,59,18,5,696,14,4,25,10,30,36,9,5,0,138,3,14,22,6,3,9,3,0,0,65,206,296,745,671,628,577,162,35,5,3315,12,24,22,15,23,14,5,0,0,122,14,10,10,9,5,10,3,0,0,62,33,30,35,27,32,23,9,0,0,184,234,325,771,699,660,602,172,35,5,3504,186,66,80,89,130,250,619,424,141,1991,22,31,72,57,61,42,53,26,23,391,446,424,934,837,855,890,843,492,171,5879,24,119,293,279,354,218,27,4,0,1321,168,127,328,341,337,291,86,7,0,1680,24,10,51,26,35,36,11,4,0,198,9,6,9,10,11,7,0,0,0,51,221,265,681,655,737,555,127,9,4,3250,8,14,25,11,17,5,0,0,0,79,21,6,11,19,22,8,3,0,0,90,27,26,39,27,35,12,3,0,0,169
2016,230,759,2077,1858,1896,1477,334,35,0,8660,424,265,425,369,337,347,262,60,0,2500,43,37,62,78,70,104,36,5,0,444,24,31,76,58,43,33,10,4,3,266,722,1086,2641,2360,2344,1964,639,101,13,11869,38,90,122,95,73,45,3,0,0,455,94,41,34,31,21,30,8,0,0,253,131,128,159,125,92,75,9,0,0,713,851,1218,2794,2485,2435,2034,645,103,13,12583,710,265,403,433,518,795,1732,1344,469,6673,118,140,302,249,231,210,193,147,63,1659,1679,1626,3503,3158,3184,3039,2570,1591,546,20902,98,445,1271,1071,1204,821,150,0,0,5059,558,484,1039,1098,984,933,292,17,0,5399,79,61,195,108,89,105,37,0,0,674,13,28,48,45,28,26,8,0,5,207,744,1017,2553,2323,2304,1882,492,24,5,11338,18,43,46,40,39,18,0,0,0,192,87,36,63,41,28,29,9,0,0,294,99,75,108,81,62,44,6,0,0,489
2017,62,204,526,441,360,343,73,4,0,2025,93,60,78,73,51,86,66,22,0,517,8,0,20,9,4,22,7,0,0,79,0,3,18,5,5,13,3,0,0,51,161,266,647,535,425,461,153,23,3,2675,6,10,17,12,15,14,0,0,0,70,11,6,6,7,3,8,0,0,0,33,18,12,18,20,17,16,0,0,0,104,181,282,665,553,444,478,152,23,3,2784,95,40,55,53,80,128,345,275,135,1194,27,17,57,36,38,43,31,33,15,303,300,339,774,638,559,653,531,334,153,4281,24,131,296,229,223,187,27,0,0,1119,116,112,256,265,199,218,81,10,0,1238,14,13,75,19,13,25,8,0,0,164,7,0,8,10,9,4,0,0,0,42,158,261,626,518,440,430,112,14,0,2568,0,0,3,7,8,3,4,0,0,27,4,8,4,4,0,5,0,0,0,26,4,11,15,13,8,3,4,0,0,53
2018,135,509,1662,1498,1461,1093,202,11,3,6572,379,245,338,264,228,264,178,36,0,1941,43,28,55,65,59,101,37,5,0,396,6,30,45,32,37,18,14,5,0,187,568,808,2104,1861,1789,1482,431,56,4,9092,46,81,126,96,100,74,15,0,0,536,73,25,38,20,21,26,11,0,4,213,120,106,171,112,116,92,24,4,4,753,684,913,2275,1972,1905,1576,449,55,8,9838,473,204,261,307,419,857,1754,1139,360,5780,82,94,230,189,203,184,161,143,95,1370,1242,1205,2770,2468,2524,2619,2367,1335,457,16991,68,342,990,789,860,585,78,4,0,3715,519,417,862,929,846,781,198,15,0,4555,56,45,205,101,88,100,36,7,0,636,9,26,25,21,23,22,13,0,0,136,649,829,2085,1846,1815,1482,325,18,0,9043,18,36,60,42,33,36,3,0,0,233,68,29,52,40,44,37,8,0,0,290,90,72,120,77,79,77,13,0,0,520
2019,90,242,688,707,692,557,116,14,3,3104,205,87,150,136,145,161,121,19,3,1026,29,10,23,15,22,32,18,4,0,161,9,12,18,17,8,15,3,0,0,88,332,353,880,880,870,768,265,39,8,4376,8,9,24,17,16,24,4,0,0,105,26,18,11,3,9,11,3,0,0,76,37,28,34,20,22,31,3,0,0,178,363,379,915,903,890,795,273,37,8,4559,223,65,112,108,170,305,772,660,238,2645,26,31,63,56,42,52,71,53,43,439,610,463,1086,1062,1102,1153,1115,755,285,7646,35,164,444,379,500,316,55,0,0,1886,257,192,384,439,449,446,128,8,0,2303,39,18,95,48,32,59,24,3,0,321,9,9,5,4,10,10,3,0,0,46,339,380,928,873,985,833,206,15,0,4552,3,8,7,10,16,8,0,0,0,48,28,6,21,11,13,13,0,0,0,90,33,17,25,23,29,14,0,0,0,141
2020,180,577,1858,1628,1524,1207,279,44,6,7304,323,213,297,256,278,360,281,74,14,2089,39,34,62,54,65,100,31,10,0,396,13,26,47,38,36,30,17,3,0,207,555,845,2266,1974,1908,1699,601,137,17,9998,26,51,68,34,47,49,8,0,0,277,57,19,18,12,14,22,5,0,0,145,82,66,83,47,57,72,14,3,0,429,640,913,2349,2021,1967,1773,612,134,17,10422,486,128,209,207,277,574,1662,1187,350,5077,47,51,134,154,151,118,126,86,38,912,1173,1092,2694,2378,2392,2468,2399,1416,411,16419,60,351,1010,781,925,634,120,12,0,3891,468,453,926,962,982,895,237,27,4,4963,52,61,219,106,79,127,48,9,0,695,13,16,37,33,23,17,13,5,0,156,589,877,2197,1885,2011,1668,413,47,7,9700,15,19,32,14,31,22,0,0,0,133,60,27,44,36,33,27,0,0,0,240,78,47,78,48,64,46,3,0,0,376
2021,199,491,1477,1375,1374,1092,202,22,0,6233,385,182,316,232,258,328,237,47,0,1975,46,35,62,57,60,79,39,6,0,382,8,8,41,26,18,13,10,5,0,134,638,723,1895,1688,1706,1516,487,73,0,8730,6,31,34,34,34,20,6,0,0,169,39,20,15,16,11,23,0,0,0,125,48,51,49,54,40,42,3,0,0,294,682,771,1945,1742,1749,1557,495,78,0,9020,316,85,189,169,249,472,1362,895,331,4071,69,62,115,152,109,96,91,73,52,820,1073,918,2255,2056,2105,2133,1942,1046,386,13915,108,323,837,648,868,591,65,6,0,3441,486,352,758,992,912,874,224,20,0,4615,53,37,174,101,76,108,35,0,0,593,11,16,35,14,21,20,14,5,0,122,654,729,1796,1751,1873,1597,336,32,0,8771,3,17,17,14,22,15,0,0,0,94,52,18,19,25,25,29,3,0,0,170,59,30,37,44,46,49,5,0,0,263
