SUA_CODE_2021,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
2010,16,13,10,3,6,0,49,8,5,0,0,3,0,18,16,13,6,4,8,0,45,23,17,12,5,9,0,58,41,45,24,12,6,0,137,52,91,25,27,14,8,210,66,134,22,15,19,4,259,78,110,27,12,15,0,251,36,100,22,11,3,0,171,46,83,20,6,4,0,158,22,46,6,0,5,0,80,24,62,11,3,4,0,105,9,22,7,6,0,0,33,7,6,0,0,0,0,20,11,25,9,0,3,0,51,14,32,10,0,0,0,60,7,3,0,0,0,0,15,5,10,0,0,0,0,12,21,26,15,0,5,0,72,508,838,231,116,103,10,1803
2011,6262,6077,4977,909,1869,335,20427,1362,956,1175,187,440,39,4162,2320,1665,2044,391,980,78,7474,1881,1650,1695,426,843,82,6566,3057,2822,2746,690,1577,134,11030,3939,4557,3758,1180,1995,200,15633,5561,7977,5087,1679,2601,237,23134,7154,11535,5681,2218,2874,310,29776,8198,15285,5844,2410,2713,355,34816,9764,19898,6174,2643,2724,417,41624,9145,19368,4464,1901,1716,335,36935,15451,32394,9818,2907,2912,486,63973,8254,17319,3556,1213,1025,197,31564,7275,15483,3435,1062,922,190,28359,10550,22539,5713,1609,1426,259,42107,15353,35883,9644,2274,2028,339,65525,6402,15829,4662,995,879,138,28908,5987,17671,5215,1256,879,149,31162,8493,15398,7443,1840,2686,396,36253,136416,264317,93139,27804,33092,4674,559431
2012,73,29,23,5,16,0,151,20,6,7,0,5,4,43,49,26,34,3,20,0,137,42,32,30,16,17,0,135,117,105,58,28,46,0,353,147,214,77,58,51,4,545,196,283,97,63,46,10,690,220,327,109,65,55,9,788,152,277,78,35,20,0,560,127,261,81,28,20,5,513,69,152,39,13,10,0,285,97,194,60,18,12,9,384,27,60,15,3,3,0,106,7,29,9,0,6,0,46,47,98,30,4,4,0,187,47,91,29,5,7,0,172,18,30,15,0,0,0,67,10,20,15,0,0,0,52,119,94,55,23,23,0,314,1587,2332,837,377,342,45,5519
2013,29,12,11,0,7,0,60,10,4,6,5,0,0,31,26,20,19,7,12,0,87,39,21,13,3,4,0,88,65,66,33,25,33,3,224,86,110,36,30,30,0,297,92,110,48,33,21,4,304,91,118,39,22,16,0,282,61,108,27,16,11,0,215,59,93,32,9,0,0,188,32,47,7,5,0,0,96,44,66,19,6,5,0,145,11,15,3,3,0,0,33,0,10,6,0,0,0,18,11,28,10,0,0,0,55,14,34,16,3,0,0,66,9,11,8,6,0,0,30,0,4,3,0,0,0,3,53,41,24,3,22,0,144,735,908,367,180,176,14,2378
2014,12,7,3,0,4,0,30,9,3,5,0,0,0,19,18,7,7,5,5,0,35,16,11,10,5,8,0,46,40,36,10,16,13,0,113,47,49,27,16,10,0,148,42,47,30,13,16,0,147,60,65,14,11,7,0,163,28,38,10,4,7,0,92,27,36,12,0,0,0,75,5,18,6,0,0,0,32,17,33,13,0,4,0,65,8,4,5,0,0,0,15,3,6,0,0,0,0,11,13,11,3,4,4,0,36,7,8,5,0,4,0,22,0,4,3,0,0,0,11,0,0,0,0,0,0,6,26,20,8,7,4,3,65,368,403,166,89,90,8,1129
2015,12,16,7,0,0,0,39,3,0,3,0,0,0,7,21,4,3,0,9,0,32,20,14,9,7,6,0,52,31,34,6,12,9,0,93,46,41,10,9,15,9,127,53,72,29,17,16,4,192,62,62,14,19,17,0,170,40,88,28,8,7,0,169,25,74,24,9,9,0,135,12,46,14,0,0,0,71,24,61,25,0,7,0,114,14,18,4,3,0,0,35,0,13,0,0,0,0,23,9,23,11,0,0,0,38,11,19,5,0,0,0,40,7,14,4,0,0,0,20,3,0,4,0,0,0,8,29,34,10,10,4,0,90,415,627,200,98,90,15,1448
2016,67,49,26,6,8,3,158,20,9,13,4,5,0,53,51,16,25,6,23,0,116,48,32,29,18,9,0,136,86,75,35,32,36,4,261,140,157,72,53,40,3,464,162,265,89,59,49,4,632,198,347,95,67,49,3,757,125,319,74,42,26,9,592,133,244,72,24,25,6,497,57,170,58,16,6,7,315,100,231,71,18,16,0,436,21,51,12,10,4,0,98,12,40,12,0,0,0,62,35,87,29,11,3,0,170,30,84,32,11,10,0,163,21,34,17,6,0,0,72,14,33,11,4,3,0,65,91,121,53,16,16,0,299,1407,2352,831,396,316,44,5346
2017,10,11,6,3,3,0,28,0,0,0,0,0,0,9,7,3,0,0,3,0,19,0,7,8,0,9,0,22,25,22,14,11,8,3,73,45,31,16,11,12,0,114,37,55,15,24,9,0,138,41,72,18,11,11,0,154,27,73,7,7,8,0,125,33,49,4,0,3,0,98,6,28,8,4,3,0,48,26,43,16,4,0,0,86,3,17,0,0,0,0,24,0,5,0,0,0,0,10,12,18,6,0,0,0,40,5,21,3,0,0,0,30,3,3,6,0,0,0,9,8,0,0,0,0,0,4,23,22,11,0,0,0,52,315,469,136,78,71,14,1081
2018,72,33,31,8,11,0,154,18,12,12,0,6,0,52,44,20,16,12,22,0,118,51,33,11,11,16,4,129,101,109,26,37,55,4,337,132,167,59,46,42,4,451,159,196,77,42,60,0,532,177,230,67,56,28,7,569,115,213,50,28,34,3,442,106,176,51,22,19,0,379,51,118,32,14,5,5,216,66,146,50,15,12,0,289,10,52,15,0,0,0,79,15,32,16,3,0,0,62,41,69,24,8,4,0,145,40,78,27,3,0,0,147,13,38,13,0,4,0,68,11,12,4,0,0,0,34,93,98,42,14,17,0,271,1318,1839,618,334,343,32,4479
2019,24,4,11,3,6,0,54,14,5,0,0,5,0,19,18,7,11,8,3,0,47,14,8,6,6,9,0,42,25,30,16,19,16,0,113,39,69,28,21,14,0,180,41,107,32,25,23,5,230,73,108,31,33,16,0,254,59,100,24,26,10,0,222,49,97,27,18,11,0,200,24,59,14,7,4,0,117,46,65,25,8,9,0,153,6,17,0,0,0,0,29,5,19,3,0,0,0,25,20,28,10,0,5,0,54,19,34,8,0,3,0,61,8,12,4,4,0,0,31,3,11,0,0,0,0,20,39,38,25,9,13,0,117,533,817,285,178,139,16,1958
2020,47,38,26,5,10,0,127,22,5,16,0,6,0,51,40,22,17,6,7,0,86,31,20,13,6,10,0,81,53,37,28,18,23,0,160,88,80,49,23,25,0,270,100,123,46,35,39,6,345,149,226,82,50,27,4,531,158,286,70,43,38,8,604,185,312,74,28,26,5,624,140,214,53,22,17,0,449,167,275,98,24,14,8,571,70,114,20,9,7,0,211,48,90,18,0,0,0,154,60,154,65,9,3,0,290,85,148,44,13,6,4,289,35,53,17,0,0,0,108,28,49,9,9,0,0,89,109,118,51,14,16,8,315,1613,2357,787,290,271,35,5362
2021,53,29,18,7,6,0,112,13,7,9,0,0,0,29,22,14,18,0,9,0,62,21,19,12,8,4,3,66,50,34,22,12,17,0,144,68,81,44,31,17,5,252,112,130,66,36,31,4,376,120,212,66,40,31,3,473,102,219,58,37,19,3,444,137,214,59,27,12,6,451,55,126,43,13,9,0,243,90,179,35,15,9,0,330,16,61,14,4,4,3,98,12,29,11,6,0,0,61,36,81,15,0,0,0,135,34,72,22,6,4,0,141,13,29,13,0,0,0,47,17,18,6,0,3,0,48,58,68,43,7,15,0,190,1028,1628,570,250,194,27,3695
