SUA_CODE_2021,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_North_Macedonia_0_4,F_North_Macedonia_5_14,F_North_Macedonia_15_24,F_North_Macedonia_25_44,F_North_Macedonia_45_54,F_North_Macedonia_55_64,F_North_Macedonia_65_74,F_North_Macedonia_75_84,F_North_Macedonia_85ov,F_North_Macedonia_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Samoa_0_4,F_Samoa_5_14,F_Samoa_15_24,F_Samoa_25_44,F_Samoa_45_54,F_Samoa_55_64,F_Samoa_65_74,F_Samoa_75_84,F_Samoa_85ov,F_Samoa_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,3,0,0,25,0,5,0,10,0,0,0,0,0,15,0,0,0,0,0,0,9,10,3,21,0,0,7,16,4,6,5,0,4,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,10,3,6,5,43,12,3,10,4,0,85,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,19,0,0,0,3,0,0,0,0,0,6,0,3,4,7,5,3,5,0,0,20,0,0,0,11,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,3,0,3,6,10,4,0,0,0,0,29,0,3,0,6,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,11
2011,0,10,34,251,318,1125,2964,2141,781,7624,10,61,358,2004,743,1164,944,466,247,5993,8,223,912,3128,864,480,274,129,54,6074,25,179,2111,5568,225,144,61,16,0,8334,13,106,169,630,434,531,1565,1378,703,5536,466,3556,5184,16050,6316,5003,2794,1026,344,40733,4,47,134,1590,1427,2095,2377,1120,391,9193,204,1660,1345,6999,880,458,298,64,16,11923,5,23,60,303,398,219,85,9,7,1109,125,1366,3005,15354,6016,4963,3063,798,223,34910,3,25,83,1548,906,1340,1893,897,802,7491,6,220,486,1078,816,633,285,92,24,3650,17,149,343,1692,1191,1905,2011,1564,737,9605,84,903,1348,3354,1421,1071,807,245,63,9292,84,640,1195,4494,2912,1910,1427,698,279,13639,102,1178,2567,13220,4997,4237,3127,1448,593,31465,35,160,315,3464,662,473,422,42,10,5585,73,636,1333,6745,1829,791,304,83,19,11821,26,164,230,2091,2324,1988,1221,603,151,8799,302,1164,1294,4234,1316,1004,765,257,52,10381
2012,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,5,0,3,0,6,0,0,0,0,0,12,0,0,3,27,0,0,0,0,0,34,0,0,0,0,4,3,16,5,10,41,4,21,22,73,42,37,22,16,0,240,0,0,0,0,0,0,0,0,0,0,0,5,0,16,0,0,0,0,0,19,0,0,0,0,7,4,0,0,0,9,6,8,9,108,35,30,21,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,6,0,0,0,19,0,0,3,9,6,12,6,11,4,49,0,0,0,3,0,0,0,0,0,8,0,0,11,17,11,7,3,3,0,57,4,3,0,14,12,7,0,0,0,35,0,0,9,73,0,0,0,0,0,83,0,7,8,64,18,14,0,0,0,122,0,0,4,22,32,35,18,11,0,129,0,3,0,15,4,0,3,3,0,36
2013,0,0,0,0,0,5,27,20,10,69,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,12,26,39,14,99,0,0,3,20,15,18,16,8,0,86,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,47,25,38,25,7,0,147,0,0,0,0,4,0,3,6,0,11,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,11,23,24,12,71,0,0,0,4,0,0,0,0,0,0,0,0,0,4,3,4,3,0,0,18,0,0,0,0,0,0,5,0,0,8,0,0,0,12,0,0,0,0,0,9,3,0,0,13,4,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,6,5,0,0,17
2014,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,12,0,0,0,0,0,0,12,3,4,28,0,3,9,15,20,12,20,4,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,25,13,9,10,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,6,3,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,4,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,15
2015,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,8,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,6,0,0,0,3,0,0,14,12,5,39,0,4,6,19,12,15,10,10,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,3,26,12,16,12,0,0,77,0,0,0,0,0,0,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,10,13,6,0,42,0,0,0,0,0,0,4,0,0,8,0,9,10,7,4,4,0,0,0,46,0,0,0,16,0,5,3,0,0,20,0,0,0,14,0,0,0,0,0,12,0,0,0,5,5,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,5,0,0,19
2016,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,3,0,0,12,35,0,5,0,0,0,51,0,0,0,7,0,12,28,16,9,68,0,27,40,73,44,41,32,7,0,267,0,0,0,5,0,4,11,12,8,38,0,25,22,59,0,6,0,0,0,118,0,0,4,7,4,0,0,0,0,15,3,13,24,169,50,49,38,5,0,356,0,0,0,3,0,3,5,0,6,12,3,4,10,15,15,0,3,0,0,56,0,0,0,9,4,13,15,11,3,48,0,0,0,7,4,0,0,0,0,13,0,4,7,19,15,7,6,4,0,59,0,11,6,42,20,10,6,0,0,95,0,0,4,81,3,4,4,0,0,96,0,3,0,45,21,11,3,0,0,88,0,0,0,15,36,24,15,6,0,95,0,8,5,8,5,6,4,3,0,39
2017,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,16,4,4,5,0,0,34,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,5,7,39,9,12,4,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,0,12,0,0,0,4,0,0,0,0,0,7,0,0,5,4,3,4,0,0,0,26,0,6,0,5,0,0,0,0,0,15,0,0,0,4,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
2018,0,0,0,0,0,6,26,29,12,65,0,0,0,0,0,0,0,0,0,6,0,0,4,26,6,0,0,0,0,34,0,0,13,11,0,0,0,0,0,25,0,0,0,6,12,7,75,45,20,164,0,15,11,65,49,34,29,8,3,224,0,0,0,0,0,0,0,0,0,3,0,6,0,10,0,0,0,0,0,21,0,0,0,0,4,3,0,0,0,5,3,12,14,105,41,54,28,9,0,261,0,0,0,0,0,5,14,0,3,26,0,0,0,0,0,0,0,0,0,0,0,0,5,6,10,26,53,37,19,149,0,0,0,7,5,0,0,0,0,11,0,0,3,9,13,12,3,0,0,41,0,8,6,27,8,4,3,0,0,54,0,0,0,0,0,0,0,0,0,5,0,5,17,27,13,3,0,0,0,71,0,0,0,3,0,3,0,0,0,8,0,0,4,15,4,4,6,0,0,29
2019,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,4,0,3,8,21,0,0,0,0,0,31,0,0,0,0,4,4,10,9,4,42,0,0,6,18,17,10,7,13,0,66,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,10,0,0,0,5,0,0,0,0,0,8,0,4,4,66,7,10,10,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,10,0,0,0,7,3,9,5,7,0,30,0,0,0,0,3,0,0,0,0,0,0,0,6,4,8,9,0,3,0,23,0,3,0,13,7,4,0,0,0,25,0,0,0,5,0,0,0,0,0,10,0,0,4,5,8,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,7,0,0,19
2020,0,0,0,0,0,0,9,7,0,16,0,0,4,10,4,3,7,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,24,69,42,20,167,0,15,23,67,57,47,43,14,0,267,0,0,0,0,0,0,0,0,0,0,0,4,0,6,4,0,0,0,0,18,0,0,0,7,7,0,0,0,0,13,4,4,9,61,20,19,9,4,0,134,0,0,0,3,0,4,7,8,4,22,0,0,0,0,0,0,0,0,0,0,0,0,5,7,8,22,35,30,6,110,0,0,0,5,3,3,0,0,0,18,0,9,4,26,20,11,10,6,4,88,0,3,0,31,13,6,5,0,0,69,0,0,8,46,0,0,0,0,0,56,5,0,5,21,17,6,0,0,0,55,0,0,0,0,0,4,0,0,0,3,0,5,0,12,10,7,9,0,0,51
2021,0,0,0,0,4,0,4,0,0,9,0,0,0,3,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,6,0,0,0,9,0,0,0,0,0,18,0,0,0,6,4,4,16,25,8,55,0,12,13,53,39,40,24,6,4,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,4,0,0,0,0,6,0,10,13,79,29,19,7,3,0,160,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,11,6,14,20,13,4,74,0,0,0,0,0,0,0,0,0,7,0,6,0,24,10,9,5,4,0,59,0,0,0,32,5,4,5,5,0,55,0,0,0,25,4,0,0,0,0,27,0,0,7,26,9,12,0,0,0,51,0,0,0,3,0,0,0,0,0,5,0,3,0,17,7,3,0,0,0,33
