SUA_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
2010,41,318,230,6422,90,7102,0,12,4,296,8,317,94,5,9,20,0,130,6,11,0,7,0,27,74,35,26,105,3,251,333,303,230,6064,100,7021,117,0,25,13,3,159,15,0,0,57,0,70,63,35,38,1553,13,1708,23,7,4,20,3,52,12,0,0,7,0,24,188,0,0,6,0,199,95,53,35,1534,23,1731,140,33,27,326,0,531,4,0,0,0,0,4,8,0,0,5,0,14,0,0,3,0,0,10,8,9,0,11,0,25,14,0,3,0,0,14,20,21,4,6,0,45,31,8,0,35,0,73,3,0,4,5,0,13,0,0,0,0,0,0,84,71,61,1637,14,1871,5,0,0,3,0,7,20,8,0,0,0,35,14,0,0,8,0,22,13,3,0,6,0,17,14,0,0,3,0,20,9,7,3,57,0,80,476,57,38,124,0,703,28,6,4,196,768,1004,1666,586,442,13325,969,16985
2011,76060,148278,112955,765381,8501,1111172,1207,2322,1298,25512,413,30746,380358,5721,11130,9295,2020,408525,26511,4105,2229,8474,271,41588,30242,10598,6653,22767,305,70561,280828,122432,91110,711970,9473,1215811,71643,1742,6906,1452,250,81991,15929,2441,1826,7570,143,27909,43101,13275,9412,69431,895,136116,99974,16222,8570,44734,1042,170544,11722,2427,1404,4442,141,20136,248913,4595,3278,2482,515,259777,66616,30935,21308,274471,2139,395477,148186,36032,17161,115795,1864,319042,18270,215,776,232,51,19541,30509,6924,3247,6417,241,47335,30944,4255,2392,8114,269,45980,33413,8125,4842,21905,389,68669,16096,2292,1711,1140,154,21392,17964,6059,4512,2493,151,31175,30333,5281,4048,11554,263,51476,17895,1609,1708,2900,140,24257,18812,1551,708,298,216,21584,65970,29849,22847,217629,1708,337998,20530,2158,1331,2442,205,26667,16207,2685,2170,977,81,22110,18438,1515,1283,3106,129,24462,40992,2843,1994,2214,155,48196,109474,1900,3665,1788,535,117360,8608,2483,1795,9370,69,22325,752326,50689,42128,58666,5136,908944,40958,2526,1996,13370,201009,259862,2405221,312883,229858,1637957,231921,4817843
2012,418,1144,738,16930,248,19468,15,101,30,2499,63,2705,1005,3,19,80,8,1120,179,39,14,142,5,372,187,65,34,166,7,459,1537,1035,680,15862,308,19420,364,9,51,9,0,438,58,11,7,102,0,180,265,117,70,2186,24,2659,279,66,23,256,4,641,59,18,3,52,4,137,498,14,4,9,0,528,231,216,105,4069,50,4662,1362,365,161,2004,47,3933,65,0,4,0,0,71,7,6,0,4,0,19,20,0,0,8,0,28,28,17,9,65,0,121,69,13,12,28,0,128,95,43,40,29,5,213,69,29,15,87,0,197,23,9,6,18,0,52,86,12,13,0,6,123,327,219,173,3996,39,4752,26,3,0,6,0,44,67,6,4,3,0,83,43,6,8,30,0,90,33,8,4,6,0,53,331,0,5,3,8,352,47,18,25,119,3,212,3527,353,179,574,63,4688,209,32,15,475,3963,4694,9934,2380,1464,35153,4687,53620
2013,186,780,539,7460,163,9130,0,14,7,454,14,489,114,0,9,28,0,147,57,5,7,15,3,89,399,110,66,288,7,876,1162,707,535,5994,166,8553,179,14,50,8,3,256,23,3,6,27,0,56,256,102,43,534,16,953,71,16,4,57,0,152,48,6,4,17,0,80,36,8,0,3,0,49,228,154,85,1606,31,2101,168,56,37,341,14,612,5,0,0,0,0,11,3,0,0,0,0,11,14,0,0,0,0,14,317,66,23,246,4,663,27,6,8,8,0,52,39,25,21,17,0,104,130,32,12,71,0,242,35,4,0,18,0,62,36,0,0,0,0,37,392,176,130,1511,36,2251,57,4,3,14,5,81,13,9,11,6,0,37,34,9,0,18,3,59,8,10,0,8,0,19,19,0,0,0,0,21,48,7,14,44,0,118,623,131,91,269,20,1131,69,22,10,248,1426,1767,3939,1458,991,13800,1815,21997
2014,41,299,212,4108,59,4720,0,9,7,278,5,312,32,3,3,28,0,68,13,3,0,8,0,19,98,25,30,88,0,244,476,299,196,3803,69,4836,69,3,18,4,0,90,18,0,0,17,0,40,73,23,27,497,4,628,21,6,0,9,0,37,8,0,0,0,0,10,47,4,0,12,0,56,84,61,31,988,13,1174,45,24,6,100,0,167,0,0,0,0,0,0,0,3,0,0,0,3,4,0,0,0,0,4,36,5,5,27,0,75,28,8,0,8,0,44,24,12,10,9,0,62,18,4,0,16,0,34,10,0,0,5,0,18,3,0,0,0,0,3,130,106,60,1068,9,1373,0,0,0,0,0,7,10,0,5,0,0,20,14,0,0,6,0,20,6,0,0,3,0,8,14,0,0,0,0,17,20,7,6,44,0,77,263,57,40,92,6,449,20,9,8,125,601,767,1316,579,389,8208,741,11230
2015,88,506,420,5395,77,6484,0,18,4,344,14,389,141,3,12,40,0,194,45,16,3,20,0,76,146,57,33,143,0,389,753,478,353,4594,69,6257,111,9,29,11,0,148,24,7,0,17,0,49,105,50,24,380,5,563,32,12,8,39,0,88,12,4,0,5,0,21,168,14,5,8,0,189,150,99,66,1410,20,1747,122,44,28,306,4,512,0,0,3,6,0,6,7,5,0,19,0,26,6,0,0,13,0,20,17,7,0,46,0,77,16,6,6,4,0,33,27,26,11,11,0,68,62,12,8,45,0,124,21,0,0,11,0,36,8,0,0,0,0,8,211,117,96,1223,20,1664,16,5,0,9,0,30,50,6,0,4,0,59,14,0,0,12,0,32,31,3,7,4,0,55,55,0,8,0,0,69,34,13,4,55,0,107,546,99,80,195,14,926,43,10,7,126,824,1005,2472,921,695,10214,1000,15301
2016,698,1165,754,14353,240,17211,9,86,36,2009,52,2190,704,17,26,94,4,844,54,20,7,47,3,136,256,106,64,312,3,743,1720,1084,722,14067,235,17824,667,6,106,11,9,796,32,3,5,94,0,141,251,94,82,1208,10,1643,300,49,11,240,5,615,44,11,8,16,0,74,1589,30,9,16,3,1647,275,246,130,4663,36,5345,1488,371,157,2058,32,4097,17,0,4,0,0,24,6,3,3,9,0,25,181,21,5,103,0,312,44,21,10,71,3,144,75,20,26,23,0,142,104,29,32,36,4,207,62,25,7,77,0,176,19,9,0,12,0,44,266,13,0,3,0,292,375,285,160,3776,41,4643,35,8,6,16,0,60,67,3,10,5,0,89,77,16,4,48,0,143,84,0,8,11,0,104,76,4,8,4,0,91,30,17,7,77,0,131,6856,329,210,680,70,8151,305,29,21,332,3462,4147,14785,2468,1560,30951,4078,53841
2017,47,184,150,3894,51,4327,0,7,0,401,6,420,164,4,13,25,0,203,5,0,0,4,0,10,34,23,9,52,0,120,286,166,168,3501,47,4176,130,0,10,0,3,146,5,0,0,22,0,30,30,13,14,373,3,436,4,0,7,13,0,22,10,3,0,13,0,24,131,11,0,0,0,152,50,26,25,1233,10,1332,233,63,6,360,3,667,6,0,0,3,0,8,0,0,0,7,0,5,0,0,0,0,0,0,0,6,3,10,0,16,4,8,0,8,0,15,14,8,3,4,0,19,3,3,0,7,0,11,0,0,0,0,0,0,0,4,0,0,0,0,57,39,47,950,12,1094,3,0,0,3,0,6,19,0,0,0,0,19,7,0,0,9,0,21,6,0,0,0,0,6,145,0,0,0,0,145,5,7,0,34,0,41,679,36,25,105,3,854,32,0,3,108,657,796,1856,366,285,7900,771,11186
2018,317,1319,955,13466,209,16264,0,19,9,764,12,810,372,16,18,57,3,464,83,19,4,39,0,146,548,212,158,572,3,1493,2105,1273,902,12262,263,16813,406,17,75,23,4,524,51,7,9,69,0,135,399,139,109,1099,28,1774,189,42,13,121,0,370,53,27,0,48,0,129,475,8,6,20,4,519,451,293,171,3178,45,4136,993,206,70,1060,26,2362,14,0,0,0,0,13,7,8,0,9,0,27,3,0,0,9,0,18,294,83,37,325,4,746,95,22,29,40,0,190,87,67,37,37,0,234,203,36,21,121,6,385,41,12,15,22,3,94,24,10,3,4,0,36,702,357,312,3250,39,4656,35,7,7,19,0,64,50,16,0,8,0,74,87,12,8,46,4,158,78,6,7,11,0,100,74,0,0,3,0,83,60,21,20,86,0,184,1847,202,152,528,35,2767,127,32,26,388,3130,3699,8584,2602,1812,26562,3695,43252
2019,105,576,360,6653,114,7806,6,16,5,389,4,411,98,0,11,60,0,170,36,5,0,11,0,51,132,54,30,114,6,333,606,577,395,6763,131,8463,138,0,22,8,9,175,25,7,0,55,0,86,117,61,32,653,11,875,30,12,10,29,0,83,36,7,5,24,0,71,129,3,0,12,0,146,121,144,73,2473,34,2833,487,152,57,722,10,1419,0,0,0,0,0,4,3,3,0,10,0,16,6,0,0,10,0,12,13,11,0,20,0,47,13,10,5,5,0,36,24,17,15,15,0,79,39,4,7,26,0,76,9,5,0,10,0,27,14,0,5,3,0,25,189,137,92,1858,32,2308,15,0,4,4,0,23,33,6,0,7,0,49,19,3,0,13,0,43,27,6,0,0,0,36,17,0,0,0,0,22,22,11,6,62,0,97,582,103,71,258,8,1014,44,11,6,185,945,1187,2620,1117,698,14216,1236,19882
