SUA_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
2010,92,3,0,0,0,95,67,0,0,0,0,65,76,0,0,0,0,74,177,0,0,0,0,178,275,6,4,0,0,287,642,3,4,0,0,644,385,3,0,0,0,388,246,0,5,0,0,250,70,0,0,0,0,69,65,0,0,0,0,65,28,0,0,0,0,28,100,0,0,0,0,96,2208,17,13,0,3,2241
2011,24758,4037,2223,33,15,31066,7667,1249,653,11,3,9580,6652,1075,657,3,4,8388,11264,1884,1186,20,9,14363,15456,2661,2056,21,6,20208,49862,9134,8638,98,35,67758,70189,12399,11521,106,59,94272,117227,17839,13596,144,72,148874,59834,9940,5588,60,40,75465,54470,10209,4481,67,45,69265,49666,9535,3179,53,35,62464,34224,5213,2803,46,29,42304,501261,85163,56577,655,357,644011
2012,244,8,7,0,0,258,161,0,9,0,0,169,178,6,0,0,0,188,430,20,15,0,0,468,650,26,12,0,0,691,1696,44,21,0,0,1763,1154,17,0,0,0,1175,805,13,0,5,0,823,241,0,0,0,0,247,176,0,0,0,0,179,116,0,0,0,0,115,392,13,5,0,0,411,6252,158,61,6,0,6480
2013,113,8,3,0,0,122,107,12,0,0,0,122,146,4,0,0,0,148,301,3,4,0,0,309,357,11,4,0,0,371,711,22,0,0,0,733,471,0,0,0,0,472,294,3,0,0,0,296,71,0,0,0,0,71,71,0,0,0,0,70,42,0,0,0,0,41,175,0,0,0,0,180,2863,75,15,0,0,2945
2014,73,0,0,0,0,71,50,0,0,0,0,53,59,10,0,0,0,69,148,0,0,0,0,150,192,5,0,0,0,197,358,9,0,0,0,366,215,0,0,0,0,214,119,0,0,0,0,127,47,0,0,0,0,47,21,0,0,0,0,25,23,0,0,0,0,23,77,0,0,0,0,81,1383,29,3,4,4,1422
2015,81,4,0,0,0,85,44,0,0,0,0,44,64,0,0,0,0,62,117,6,4,0,0,130,182,7,3,0,0,195,443,13,6,0,0,463,337,3,0,0,0,345,249,5,0,0,0,253,67,0,0,0,0,73,48,0,0,0,0,47,35,0,0,0,0,30,104,9,3,0,0,109,1769,49,21,0,3,1842
2016,260,6,0,0,5,270,154,4,0,0,0,160,162,15,0,4,0,180,345,23,0,0,3,374,581,11,0,0,0,598,1650,38,0,0,0,1689,1225,12,0,0,0,1242,888,10,0,0,4,899,242,0,0,0,0,246,173,0,0,0,0,177,136,0,0,0,0,136,350,10,0,0,0,363,6163,135,3,13,7,6331
2017,44,3,0,0,0,51,29,0,0,0,0,28,34,0,0,0,0,38,88,7,0,0,0,90,146,8,5,0,0,152,352,6,3,0,0,361,243,3,0,0,0,248,170,0,0,0,0,167,48,0,0,0,0,48,29,0,0,0,0,30,19,0,0,0,0,20,78,0,3,0,0,75,1267,22,13,3,0,1305
2018,277,5,9,0,0,296,180,7,8,0,0,193,178,3,5,0,0,191,431,11,16,5,0,460,586,9,20,0,0,613,1392,21,22,0,4,1433,959,14,3,0,0,981,638,3,5,0,0,648,219,0,0,0,0,219,156,0,0,0,0,157,102,0,0,0,0,104,369,9,6,0,0,381,5488,89,91,4,6,5678
2019,104,5,0,0,0,106,64,4,0,0,0,64,59,0,0,0,0,63,134,11,0,0,0,144,234,23,0,0,0,259,607,23,0,0,0,624,504,10,0,0,0,511,324,0,0,0,0,324,84,0,0,0,0,84,66,0,0,0,0,66,45,3,0,0,0,48,148,4,0,0,0,153,2376,81,0,0,0,2453
2020,214,6,3,0,0,227,110,5,0,0,0,112,103,3,0,0,0,106,196,10,0,0,0,209,306,18,16,0,0,340,1011,44,19,0,0,1079,1398,16,8,0,0,1428,1321,11,5,0,5,1337,466,0,0,0,0,464,307,3,0,0,0,313,204,0,0,0,0,204,374,10,4,0,0,389,6007,125,72,3,9,6211
2021,181,11,4,0,0,200,89,7,5,0,0,103,83,7,0,0,0,92,193,21,6,0,0,217,299,32,12,3,0,348,1017,60,19,9,0,1101,987,30,8,0,0,1028,713,17,3,3,0,732,203,5,0,0,0,210,155,0,0,0,0,154,101,0,0,0,0,106,226,9,4,0,0,248,4240,199,63,20,4,4530
