SUA_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
2010,50,58,62,42,39,19,0,283,11,13,4,3,3,0,0,32,0,3,3,0,0,0,0,13,82,112,106,80,81,27,4,496,0,3,3,0,0,0,0,12,0,12,0,3,4,0,0,19,4,12,5,3,3,0,0,28,86,127,108,84,85,27,4,523,110,96,44,26,25,0,0,305,0,3,4,0,0,0,0,4,195,226,156,111,109,27,5,837
2011,5602,11367,8319,6199,8330,4357,2345,46515,1113,1172,756,580,824,438,263,5145,346,527,338,269,349,171,92,2090,11546,23851,18760,14509,21112,11894,6657,108331,456,924,636,516,669,386,232,3813,745,1465,755,562,683,330,180,4719,1199,2387,1392,1075,1353,714,413,8536,12746,26243,20152,15583,22464,12609,7073,116865,12302,14211,8376,6102,7549,4108,2625,55276,414,512,303,240,160,76,55,1754,25467,40962,28829,21922,30174,16799,9754,173897
2012,117,199,146,105,126,30,3,723,25,32,11,3,19,3,0,85,5,18,11,15,11,6,0,63,221,406,313,241,332,76,19,1609,12,18,11,8,11,0,0,55,16,24,13,7,3,0,0,78,30,46,29,13,16,0,0,132,251,452,336,253,347,77,21,1742,295,324,167,106,80,30,9,1004,13,16,10,7,5,3,0,54,557,787,515,373,434,105,31,2803
2013,44,94,62,38,47,15,3,305,10,16,3,4,0,6,0,31,0,4,0,0,4,0,0,10,79,166,129,70,104,27,7,588,0,5,10,4,3,0,0,26,13,15,6,6,7,0,0,51,15,27,18,9,9,0,0,74,93,190,146,77,112,30,7,664,176,160,77,56,42,14,3,538,5,11,4,0,0,0,0,14,275,365,229,134,163,43,8,1218
2014,24,35,28,37,31,6,0,155,4,8,3,0,0,0,0,16,0,0,0,0,0,0,0,5,30,58,53,59,72,7,0,290,0,6,0,0,3,0,0,8,6,6,6,0,3,0,0,19,6,14,13,0,9,0,0,34,34,69,64,61,76,12,0,318,62,82,23,24,22,6,0,216,0,4,4,0,0,0,0,13,101,154,93,87,100,15,0,547
2015,44,81,47,34,43,7,0,257,9,4,5,6,4,0,0,31,0,0,7,0,0,0,0,6,71,126,89,69,84,21,10,473,0,3,4,4,9,0,0,29,3,13,0,4,3,0,0,27,4,20,4,8,12,0,0,51,81,149,96,72,96,27,10,521,69,92,46,34,35,9,5,278,0,0,0,0,0,0,0,7,150,238,139,107,127,30,9,810
2016,121,257,157,108,114,38,13,805,21,35,10,7,15,0,6,91,7,13,14,8,6,3,0,53,221,452,311,223,275,78,27,1587,10,17,17,9,13,6,0,66,27,28,20,6,9,7,0,93,37,35,29,23,18,13,3,155,253,490,337,242,293,94,31,1750,325,353,184,121,128,24,9,1142,5,6,18,0,3,0,0,39,581,850,541,365,433,113,38,2931
2017,33,55,33,28,18,10,3,180,8,6,6,0,4,0,0,25,0,0,0,0,0,0,0,5,53,104,70,49,60,23,7,358,0,0,4,0,4,0,0,9,0,4,0,0,0,0,0,4,0,6,4,0,6,0,0,14,51,106,76,49,63,28,5,371,63,63,41,32,18,4,0,232,0,0,0,0,0,0,0,3,118,166,116,86,84,27,5,604
2018,128,194,134,86,96,26,9,670,21,17,16,3,8,0,0,73,0,12,5,0,5,0,0,26,189,335,276,166,214,64,24,1271,11,28,24,11,19,3,5,97,20,23,13,9,4,3,0,75,34,47,33,19,24,4,6,174,231,385,311,188,239,71,26,1441,305,283,125,100,92,18,4,935,9,13,14,8,0,0,0,43,543,683,445,287,336,95,32,2417
2019,49,83,79,51,54,12,4,336,10,12,9,4,6,0,0,37,3,3,6,0,0,0,0,17,91,169,142,96,128,32,10,676,4,9,11,7,0,0,0,27,7,9,0,6,3,0,0,25,7,16,18,13,7,0,0,52,96,183,157,110,134,32,10,734,96,88,55,33,40,7,0,314,0,0,0,0,0,0,0,3,190,274,212,144,175,39,13,1049
2020,97,175,117,99,105,31,10,633,16,20,9,5,9,0,0,67,10,20,8,4,3,3,0,46,158,317,232,202,241,74,21,1238,0,6,5,7,10,0,0,29,11,14,3,6,4,0,0,58,17,26,14,18,14,3,4,88,174,344,243,214,258,73,26,1324,184,149,105,73,61,21,18,611,3,9,5,4,3,3,0,22,364,501,352,288,319,96,39,1952
2021,89,182,137,88,106,23,10,638,27,21,4,0,0,0,0,54,4,0,5,4,0,0,0,16,144,305,237,162,204,53,13,1111,3,11,0,5,4,0,0,23,4,11,9,3,7,0,0,28,7,16,14,9,11,0,0,59,153,317,249,171,217,53,15,1171,109,132,76,38,44,14,4,418,7,3,0,0,0,0,0,7,266,454,322,213,261,64,11,1600
