SUA_CODE_2021,M_Current_ADF_Regular_15_24,M_Current_ADF_Regular_25_34,M_Current_ADF_Regular_35_44,M_Current_ADF_Regular_45_54,M_Current_ADF_Regular_55_64,M_Current_ADF_Regular_65_74,M_Current_ADF_Regular_75_84,M_Current_ADF_Regular_85_ov,M_Current_ADF_Regular_Tot,M_Current_ADF_Reserves_15_24,M_Current_ADF_Reserves_25_34,M_Current_ADF_Reserves_35_44,M_Current_ADF_Reserves_45_54,M_Current_ADF_Reserves_55_64,M_Current_ADF_Reserves_65_74,M_Current_ADF_Reserves_75_84,M_Current_ADF_Reserves_85_ov,M_Current_ADF_Reserves_Tot,M_Prev_ADF_Ncs_15_24,M_Prev_ADF_Ncs_25_34,M_Prev_ADF_Ncs_35_44,M_Prev_ADF_Ncs_45_54,M_Prev_ADF_Ncs_55_64,M_Prev_ADF_Ncs_65_74,M_Prev_ADF_Ncs_75_84,M_Prev_ADF_Ncs_85_ov,M_Prev_ADF_Ncs_Tot,M_Tot_ADF_ev_ser_15_24,M_Tot_ADF_ev_ser_25_34,M_Tot_ADF_ev_ser_35_44,M_Tot_ADF_ev_ser_45_54,M_Tot_ADF_ev_ser_55_64,M_Tot_ADF_ev_ser_65_74,M_Tot_ADF_ev_ser_75_84,M_Tot_ADF_ev_ser_85_ov,M_Tot_ADF_ev_ser_Tot,M_never_served_15_24,M_never_served_25_34,M_never_served_35_44,M_never_served_45_54,M_never_served_55_64,M_never_served_65_74,M_never_served_75_84,M_never_served_85_ov,M_never_served_Tot,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_ov,M_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_ov,M_Tot_Tot,F_Current_ADF_Regular_15_24,F_Current_ADF_Regular_25_34,F_Current_ADF_Regular_35_44,F_Current_ADF_Regular_45_54,F_Current_ADF_Regular_55_64,F_Current_ADF_Regular_65_74,F_Current_ADF_Regular_75_84,F_Current_ADF_Regular_85_ov,F_Current_ADF_Regular_Tot,F_Current_ADF_Reserves_15_24,F_Current_ADF_Reserves_25_34,F_Current_ADF_Reserves_35_44,F_Current_ADF_Reserves_45_54,F_Current_ADF_Reserves_55_64,F_Current_ADF_Reserves_65_74,F_Current_ADF_Reserves_75_84,F_Current_ADF_Reserves_85_ov,F_Current_ADF_Reserves_Tot,F_Prev_ADF_Ncs_15_24,F_Prev_ADF_Ncs_25_34,F_Prev_ADF_Ncs_35_44,F_Prev_ADF_Ncs_45_54,F_Prev_ADF_Ncs_55_64,F_Prev_ADF_Ncs_65_74,F_Prev_ADF_Ncs_75_84,F_Prev_ADF_Ncs_85_ov,F_Prev_ADF_Ncs_Tot,F_Tot_ADF_ev_ser_15_24,F_Tot_ADF_ev_ser_25_34,F_Tot_ADF_ev_ser_35_44,F_Tot_ADF_ev_ser_45_54,F_Tot_ADF_ev_ser_55_64,F_Tot_ADF_ev_ser_65_74,F_Tot_ADF_ev_ser_75_84,F_Tot_ADF_ev_ser_85_ov,F_Tot_ADF_ev_ser_Tot,F_never_served_15_24,F_never_served_25_34,F_never_served_35_44,F_never_served_45_54,F_never_served_55_64,F_never_served_65_74,F_never_served_75_84,F_never_served_85_ov,F_never_served_Tot,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_ov,F_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_ov,F_Tot_Tot,P_Current_ADF_Regular_15_24,P_Current_ADF_Regular_25_34,P_Current_ADF_Regular_35_44,P_Current_ADF_Regular_45_54,P_Current_ADF_Regular_55_64,P_Current_ADF_Regular_65_74,P_Current_ADF_Regular_75_84,P_Current_ADF_Regular_85_ov,P_Current_ADF_Regular_Tot,P_Current_ADF_Reserves_15_24,P_Current_ADF_Reserves_25_34,P_Current_ADF_Reserves_35_44,P_Current_ADF_Reserves_45_54,P_Current_ADF_Reserves_55_64,P_Current_ADF_Reserves_65_74,P_Current_ADF_Reserves_75_84,P_Current_ADF_Reserves_85_ov,P_Current_ADF_Reserves_Tot,P_Prev_ADF_Ncs_15_24,P_Prev_ADF_Ncs_25_34,P_Prev_ADF_Ncs_35_44,P_Prev_ADF_Ncs_45_54,P_Prev_ADF_Ncs_55_64,P_Prev_ADF_Ncs_65_74,P_Prev_ADF_Ncs_75_84,P_Prev_ADF_Ncs_85_ov,P_Prev_ADF_Ncs_Tot,P_Tot_ADF_ev_ser_15_24,P_Tot_ADF_ev_ser_25_34,P_Tot_ADF_ev_ser_35_44,P_Tot_ADF_ev_ser_45_54,P_Tot_ADF_ev_ser_55_64,P_Tot_ADF_ev_ser_65_74,P_Tot_ADF_ev_ser_75_84,P_Tot_ADF_ev_ser_85_ov,P_Tot_ADF_ev_ser_Tot,P_never_served_15_24,P_never_served_25_34,P_never_served_35_44,P_never_served_45_54,P_never_served_55_64,P_never_served_65_74,P_never_served_75_84,P_never_served_85_ov,P_never_served_Tot,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_ov,P_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_ov,P_Tot_Tot
2010,0,0,0,0,0,0,0,0,0,4,3,3,5,0,0,0,0,11,0,15,16,18,55,89,63,66,312,5,17,19,18,54,89,63,66,330,932,1009,852,846,920,736,458,141,5895,71,71,46,34,47,42,35,16,370,1003,1099,921,900,1017,869,551,228,6594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,22,8,0,9,53,0,8,3,9,20,8,0,9,57,851,1089,942,943,1053,934,644,317,6778,75,63,47,45,44,48,54,35,394,933,1152,988,999,1118,984,700,359,7233,0,0,0,0,0,0,0,0,6,4,3,3,6,4,0,0,0,17,0,14,19,20,69,99,63,77,364,0,21,22,27,71,99,63,77,382,1782,2099,1796,1789,1976,1674,1097,462,12675,146,133,94,80,91,89,89,51,768,1932,2254,1913,1893,2136,1857,1245,589,13824
2011,906,910,638,488,239,0,0,0,3185,311,673,590,394,397,0,0,0,2361,394,2576,3881,5794,7566,11984,9674,6167,48039,1620,4154,5106,6676,8202,11984,9674,6167,53585,286428,357098,334305,279329,231549,164946,88777,27813,1770240,15544,24173,18388,13540,10215,7764,6223,3840,99694,303588,385424,357794,299544,249970,184692,104673,37830,1923516,254,282,182,115,37,0,0,0,867,65,130,96,92,68,0,0,0,450,136,371,675,1319,1654,1055,500,615,6329,455,786,953,1525,1758,1055,500,615,7642,274817,370994,347748,302026,255228,199513,116369,52531,1919227,13329,20823,15955,11954,9396,8588,7991,7393,95423,288595,392597,364658,315500,266382,209161,124858,60543,2022295,1163,1192,818,601,282,0,0,0,4050,378,800,684,484,463,0,0,0,2805,530,2947,4554,7114,9213,13045,10176,6785,54370,2073,4939,6060,8201,9960,13045,10176,6785,61230,561244,728091,682055,581356,486779,364458,205140,80348,3689463,28868,44998,34347,25503,19611,16351,14214,11232,195121,592184,778028,722456,615047,516353,393854,229530,98370,3945813
2012,4,3,0,0,3,0,0,0,13,0,9,0,0,0,0,0,0,20,5,26,40,89,150,348,191,115,962,11,43,41,97,156,348,191,115,989,2847,3137,2666,2804,2881,2281,1267,337,18224,305,337,290,305,256,228,134,65,1917,3159,3514,2997,3205,3292,2850,1593,515,21133,0,0,0,0,0,0,0,0,6,0,4,4,0,0,0,0,0,8,0,0,12,14,32,19,5,14,94,4,7,14,14,34,19,5,14,102,2707,3333,2975,3207,3243,2722,1596,740,20518,250,317,286,261,203,213,157,131,1822,2954,3663,3275,3482,3480,2951,1766,873,22449,3,3,3,0,6,0,0,0,14,4,14,5,0,0,0,0,0,23,7,29,44,104,181,363,197,126,1059,11,43,55,112,188,363,197,126,1097,5550,6477,5639,6007,6125,5001,2866,1073,38747,555,656,579,571,462,435,296,197,3743,6113,7176,6274,6686,6775,5804,3359,1391,43582
2013,5,3,0,0,5,0,0,0,10,0,0,0,0,3,0,0,0,3,3,14,27,61,94,147,93,52,489,6,14,26,61,104,147,93,52,508,1125,1234,1016,1104,1372,1183,566,165,7769,97,100,93,102,101,97,49,16,654,1228,1350,1136,1265,1571,1433,704,237,8925,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,4,0,0,3,19,15,12,5,8,59,0,0,3,20,10,12,5,8,64,1072,1255,1153,1310,1460,1341,731,313,8636,86,91,91,98,99,105,71,43,689,1155,1354,1248,1426,1574,1457,808,365,9391,5,3,0,4,8,0,0,0,11,0,0,0,5,3,0,0,0,5,3,12,32,80,105,162,94,64,551,9,19,33,86,115,162,94,64,566,2198,2494,2171,2413,2824,2526,1300,479,16406,179,193,186,193,203,204,123,61,1344,2384,2703,2390,2689,3141,2886,1515,602,18322
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,5,10,19,39,90,46,36,246,0,6,13,19,40,90,46,36,254,584,467,509,660,781,679,318,85,4082,42,37,42,45,48,49,30,14,300,629,506,565,723,867,822,384,130,4636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,11,3,0,35,0,0,0,3,16,11,3,0,38,518,534,586,705,837,759,388,187,4505,28,34,53,32,41,35,39,32,289,541,570,640,742,887,803,426,219,4833,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,9,12,27,53,99,48,36,285,0,11,14,27,55,99,48,36,287,1104,1002,1099,1366,1612,1433,702,274,8587,74,71,93,73,83,87,63,44,589,1171,1080,1204,1474,1755,1622,816,346,9468
2015,14,122,79,54,13,0,0,0,281,0,3,6,10,14,0,0,0,32,0,9,36,60,111,139,78,39,475,15,137,121,126,139,139,78,39,788,792,722,661,665,707,660,380,98,4691,54,74,58,64,43,46,29,27,398,866,934,837,855,890,843,492,171,5879,12,26,15,14,0,0,0,0,64,0,7,0,9,3,0,0,0,18,0,0,8,20,31,12,9,4,89,9,38,24,42,33,12,9,4,174,752,861,853,955,936,895,557,236,6041,55,48,63,56,36,53,48,52,407,824,940,941,1045,1007,957,604,293,6615,22,150,92,66,14,0,0,0,351,0,9,13,14,18,0,0,0,52,3,10,46,87,140,151,82,46,563,26,166,149,167,175,151,82,46,963,1550,1581,1514,1618,1644,1551,933,334,10732,110,118,120,117,77,101,81,84,805,1687,1869,1785,1900,1899,1800,1098,465,12493
2016,3,4,0,3,3,0,0,0,20,3,0,7,0,0,0,0,0,13,14,25,37,100,118,220,167,141,817,26,34,45,101,119,220,167,141,842,2995,3183,2868,2861,2704,2167,1283,340,18404,287,291,251,225,215,181,142,61,1654,3303,3503,3158,3184,3039,2570,1591,546,20902,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,7,4,20,31,19,15,7,102,0,7,4,24,27,19,15,7,106,2873,3481,3125,3032,3008,2672,1594,765,20546,237,303,251,183,210,185,188,97,1649,3116,3792,3376,3236,3250,2874,1797,862,22300,7,4,0,3,3,0,0,0,17,3,0,7,3,4,0,0,0,18,19,32,43,119,144,237,182,147,914,30,37,51,120,145,237,182,147,946,5865,6660,5994,5894,5717,4843,2874,1103,38951,519,599,498,410,427,366,330,156,3306,6420,7295,6540,6425,6290,5443,3386,1406,43207
2017,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,5,7,12,24,32,36,36,33,192,5,10,14,27,36,36,36,33,198,587,702,591,497,575,460,271,95,3775,41,60,38,38,43,34,30,22,298,641,774,638,559,653,531,334,153,4281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,3,18,0,0,3,0,0,6,0,3,18,565,807,656,550,630,546,435,242,4420,47,58,45,25,38,43,39,28,321,611,866,698,575,673,588,477,266,4763,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,5,7,16,27,35,41,36,41,210,5,10,18,27,43,41,36,41,222,1155,1511,1241,1044,1208,1010,704,336,8203,94,117,80,66,80,74,72,45,622,1253,1643,1338,1133,1321,1116,813,417,9037
2018,3,0,3,5,0,0,0,0,12,0,6,5,7,0,0,0,0,20,3,29,68,89,137,245,172,87,828,8,37,74,90,141,245,172,87,859,2254,2502,2208,2229,2298,1960,1029,274,14759,184,228,186,201,184,162,138,89,1371,2451,2770,2468,2524,2619,2367,1335,457,16991,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,6,3,5,0,21,36,23,16,5,120,3,9,5,26,35,23,16,5,128,2236,2758,2394,2437,2745,2370,1368,604,16908,194,230,215,144,183,143,159,155,1425,2429,3000,2616,2607,2968,2538,1539,765,18460,3,5,3,4,0,0,0,0,16,0,6,3,7,0,0,0,0,20,6,36,73,107,176,267,186,93,950,11,42,82,121,180,267,186,93,986,4490,5262,4603,4668,5040,4328,2395,882,31669,372,459,402,352,369,303,295,247,2798,4876,5760,5089,5134,5586,4902,2879,1221,35452
2019,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,11,10,12,31,49,122,118,75,434,11,18,16,35,53,122,118,75,444,1009,1002,996,1019,1044,926,586,170,6753,55,69,57,47,57,64,53,40,446,1076,1086,1062,1102,1153,1115,755,285,7646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,18,7,8,4,3,51,0,4,5,18,10,8,4,3,53,1024,1124,1110,1199,1252,1210,866,445,8227,64,66,49,66,62,58,90,62,527,1090,1192,1158,1285,1329,1284,959,509,8806,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,6,11,10,16,50,55,128,125,78,482,11,16,19,50,67,128,125,78,498,2033,2122,2107,2227,2296,2140,1448,613,14979,123,139,105,113,118,127,138,102,975,2165,2282,2229,2388,2478,2399,1714,795,16453
2020,3,4,0,0,0,0,0,0,8,0,8,7,3,4,0,0,0,17,3,53,51,83,124,255,187,116,869,6,61,55,88,132,255,187,116,904,2143,2491,2166,2159,2214,2032,1140,254,14598,114,148,150,151,117,117,87,39,922,2267,2694,2378,2392,2468,2399,1416,411,16419,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,3,3,11,13,21,27,22,14,7,117,6,12,13,24,32,22,14,7,126,2187,2797,2401,2504,2696,2410,1403,568,16970,118,178,140,125,128,130,115,51,992,2308,2988,2554,2656,2851,2559,1534,636,18089,6,4,0,5,0,0,0,0,12,0,4,7,3,7,0,0,0,22,6,63,63,102,152,277,198,124,994,13,73,70,110,163,277,198,124,1027,4331,5283,4569,4665,4909,4438,2543,824,31565,230,328,292,271,245,250,209,93,1918,4574,5681,4929,5047,5318,4958,2949,1045,34506
2021,0,6,0,0,0,0,0,0,4,3,3,0,6,0,0,0,0,20,4,37,45,54,96,169,128,94,619,13,43,42,58,97,169,128,94,643,1840,2089,1862,1934,1944,1685,843,243,12444,137,120,151,115,85,89,78,51,829,1989,2255,2056,2105,2133,1942,1046,386,13915,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,7,13,21,14,4,3,61,0,3,7,14,18,14,4,3,63,1886,2174,2096,2270,2372,2059,1203,567,14632,97,115,125,98,99,106,121,116,879,1989,2292,2228,2383,2497,2179,1329,681,15570,0,4,0,0,3,0,0,0,12,3,3,0,6,0,0,0,0,20,5,38,49,67,115,186,132,92,684,15,45,52,71,120,186,132,92,707,3736,4261,3958,4205,4323,3740,2048,806,27076,231,233,277,213,184,199,194,164,1705,3982,4543,4287,4493,4622,4121,2376,1073,29490
