SUA_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
2010,..,69,68,12,7,26,18,3,0,205,..,50,124,71,122,240,273,288,182,1363,17,22,22,8,10,11,9,4,3,96,1471,844,1087,940,943,1047,901,651,281,8166,..,21,675,1005,1053,1187,1040,684,173,5835,..,232,535,298,178,125,61,18,4,1451,..,34,146,188,195,97,51,29,29,765,2978,..,..,..,..,..,..,..,..,2978,..,601,..,..,..,..,..,..,..,601,..,460,188,60,56,35,10,0,0,804,..,73,48,13,19,40,27,22,14,255,..,45,38,15,17,5,6,0,0,120,..,146,159,30,26,44,29,4,0,444,..,99,268,168,239,439,437,381,242,2276,32,47,44,23,15,23,18,14,3,220,3009,1765,2098,1804,1793,1997,1679,1145,462,15757
2011,..,22134,33866,7166,4493,5180,3739,1417,380,78382,..,9116,34427,27632,26175,38438,47484,40870,22486,246629,3757,6679,6744,3459,2708,3170,2624,1593,848,31590,407121,271763,371272,348269,302309,253883,196274,113154,42857,2306906,..,7766,226044,428071,362066,301878,230616,118650,26231,1701326,..,29328,164758,86445,56607,33960,14737,4223,611,390668,..,2431,16760,40584,59258,37290,16386,11242,7427,191360,829388,..,..,..,..,..,..,..,..,829388,..,267740,..,..,..,..,..,..,..,267740,..,132883,108909,29778,20313,9923,1839,69,0,303714,..,25023,26723,9005,8971,16156,16609,10724,6186,119390,..,14702,22665,6746,4214,3050,1412,447,140,53381,..,47792,83984,19867,11807,11523,7962,3054,710,186700,..,17498,69344,58715,57107,70393,73727,56963,30424,434167,7586,11891,13392,7549,5994,5795,4498,2523,1148,60372,836970,557053,732573,686753,586330,489965,367783,207894,72879,4538202
2012,..,148,220,84,71,79,52,13,3,682,..,89,288,178,302,587,694,618,377,3138,50,66,72,30,58,59,60,20,9,431,4515,2685,3324,2980,3210,3243,2696,1583,584,24823,..,93,1943,3048,3280,3552,3227,1660,349,17152,..,559,1607,838,723,573,276,74,13,4668,..,78,443,633,705,375,139,138,66,2564,9146,..,..,..,..,..,..,..,..,9146,..,1959,..,..,..,..,..,..,..,1959,..,1745,778,244,204,116,16,0,0,3095,..,304,193,63,114,158,149,108,42,1129,..,177,232,96,59,45,16,3,4,639,..,312,538,222,182,175,128,38,4,1599,..,181,588,441,711,1148,1178,934,505,5685,109,145,158,76,109,102,117,33,8,860,9250,5537,6476,5671,6083,6238,5251,2991,992,48491
2013,..,34,34,21,37,49,26,17,3,228,..,56,115,97,174,321,428,301,147,1634,28,30,20,10,23,25,23,13,0,176,1670,1082,1263,1156,1324,1443,1326,697,225,10188,..,25,651,993,1180,1519,1395,690,127,6582,..,253,735,403,364,247,133,22,4,2160,..,52,216,281,291,177,91,45,27,1167,3367,..,..,..,..,..,..,..,..,3367,..,754,..,..,..,..,..,..,..,754,..,796,378,146,82,31,12,0,0,1446,..,61,55,15,39,68,71,42,15,361,..,55,45,27,16,13,8,3,0,166,..,77,111,60,74,91,66,19,10,502,..,104,266,249,393,692,791,475,215,3185,52,53,59,34,48,50,49,21,5,365,3415,2231,2505,2207,2488,2892,2614,1317,399,20060
2014,..,17,23,5,17,22,12,3,0,109,..,25,46,50,68,171,193,141,71,766,14,21,12,10,12,5,14,12,5,106,818,512,523,579,707,812,724,370,127,5165,..,17,269,504,667,884,865,404,80,3685,..,140,298,213,200,166,91,17,8,1134,..,18,79,132,162,83,32,24,12,549,1621,..,..,..,..,..,..,..,..,1621,..,360,..,..,..,..,..,..,..,360,..,340,118,71,40,32,4,0,0,607,..,44,30,13,19,17,35,17,11,185,..,37,20,8,12,9,11,0,0,90,..,53,60,19,37,39,36,10,0,251,..,43,100,110,210,350,345,219,106,1479,33,41,20,19,30,25,22,24,8,224,1662,1098,992,1092,1373,1608,1445,709,219,10198
2015,..,46,50,17,16,26,8,12,0,174,..,45,86,68,142,198,281,243,116,1200,24,19,19,15,6,20,9,3,0,117,1303,761,889,876,987,942,866,529,176,7334,..,20,552,932,898,1010,957,499,94,4964,..,187,471,229,187,133,72,21,0,1293,..,20,118,178,236,101,45,41,23,764,2639,..,..,..,..,..,..,..,..,2639,..,567,..,..,..,..,..,..,..,567,..,454,162,63,41,35,8,0,0,758,..,67,38,8,30,42,38,29,7,259,..,42,43,19,15,8,3,0,0,126,..,94,112,33,35,39,24,11,0,360,..,79,209,165,278,359,430,338,163,2023,37,44,38,29,28,35,21,10,0,253,2671,1569,1739,1653,1754,1763,1600,948,301,13994
2016,..,143,250,80,66,83,49,17,7,697,..,95,255,202,299,584,718,629,343,3118,61,77,52,37,38,36,56,21,11,391,4786,2844,3488,3126,3043,2995,2621,1552,550,25002,..,129,2260,3483,3336,3351,2968,1666,341,17536,..,505,1522,686,567,417,200,70,15,3986,..,82,460,621,705,371,162,93,77,2566,9820,..,..,..,..,..,..,..,..,9820,..,2227,..,..,..,..,..,..,..,2227,..,1844,795,281,179,102,27,0,0,3233,..,274,203,80,106,165,169,81,34,1118,..,154,223,83,68,28,13,8,0,578,..,292,528,232,193,173,140,34,11,1604,..,179,566,484,739,1106,1138,923,462,5601,121,156,159,98,99,67,88,44,18,845,9949,5847,6723,6045,5997,5776,4904,2921,957,49111
2017,..,44,46,22,7,10,7,14,0,138,..,35,74,42,50,105,133,205,150,798,12,15,12,8,3,13,12,10,0,87,1016,565,792,656,549,616,529,431,197,5345,..,18,540,736,616,740,633,381,104,3765,..,165,367,134,88,78,34,6,6,882,..,10,108,127,119,76,31,17,12,502,1982,..,..,..,..,..,..,..,..,1982,..,370,..,..,..,..,..,..,..,370,..,300,132,43,36,15,0,0,0,531,..,44,45,14,10,32,33,15,10,202,..,39,49,28,12,3,5,4,0,140,..,91,92,49,34,30,17,15,0,335,..,77,145,103,123,213,225,264,191,1334,27,29,31,13,14,23,19,8,0,168,2003,1152,1508,1250,1057,1212,992,716,320,10212
2018,..,163,130,33,53,63,51,16,0,505,..,102,276,194,319,631,709,575,286,3087,50,61,52,25,30,48,39,23,9,334,3501,2238,2766,2394,2442,2710,2293,1343,452,20147,..,49,1438,2346,2347,2682,2561,1332,248,13007,..,512,1540,759,573,414,190,60,5,4054,..,86,445,545,599,340,155,105,68,2335,7122,..,..,..,..,..,..,..,..,7122,..,1581,..,..,..,..,..,..,..,1581,..,1411,602,241,186,87,20,0,0,2547,..,176,142,57,81,111,91,65,27,754,..,117,107,42,32,33,21,3,3,349,..,274,298,96,122,157,113,38,6,1108,..,180,620,506,719,1167,1195,840,402,5616,110,110,100,76,71,86,59,33,15,665,7234,4504,5295,4667,4727,5071,4397,2480,767,39139
2019,..,50,58,14,13,36,25,13,7,214,..,44,128,77,162,291,369,365,236,1683,15,27,16,9,17,11,9,16,6,129,1598,1019,1103,1104,1211,1226,1175,837,346,9621,..,33,651,1083,1144,1244,1263,810,178,6401,..,236,585,324,281,192,82,23,3,1735,..,31,146,258,291,136,68,70,40,1027,3210,..,..,..,..,..,..,..,..,3210,..,778,..,..,..,..,..,..,..,778,..,575,217,111,107,50,6,0,0,1063,..,68,41,22,19,47,59,30,22,311,..,66,58,20,14,3,5,3,3,175,..,88,132,37,41,62,50,32,5,448,..,94,233,206,327,543,590,513,299,2808,41,63,45,40,36,32,27,23,11,310,3251,2037,2107,2096,2261,2293,2162,1500,551,18264
2020,..,68,101,33,18,49,39,16,5,332,..,51,191,140,203,479,577,481,224,2353,57,73,51,19,23,23,30,13,6,304,3884,2187,2801,2409,2501,2655,2332,1339,399,20502,..,69,1906,2698,2788,3048,2937,1609,255,15306,..,434,1523,732,588,394,238,66,8,3978,..,42,284,447,513,284,105,84,63,1815,7769,..,..,..,..,..,..,..,..,7769,..,1818,..,..,..,..,..,..,..,1818,..,1371,646,215,158,69,18,0,0,2478,..,156,116,42,61,126,115,77,42,720,..,110,122,38,34,28,10,7,0,344,..,126,250,75,58,105,87,35,7,741,..,93,373,320,471,822,924,692,334,4027,105,134,121,53,60,55,61,38,9,630,7876,4345,5333,4614,4732,4934,4481,2601,714,39631
2021,..,132,176,32,36,54,43,11,5,489,..,55,200,158,249,497,562,532,333,2586,44,46,52,33,16,36,31,14,9,268,2816,1842,2163,2088,2254,2318,1978,1187,494,17150,..,31,1195,2094,2404,2543,2338,1195,272,12068,..,295,1140,661,477,354,173,40,11,3153,..,35,237,427,458,257,118,68,55,1658,5783,..,..,..,..,..,..,..,..,5783,..,1418,..,..,..,..,..,..,..,1418,..,1199,533,154,152,63,9,0,0,2106,..,146,97,40,60,91,81,37,32,582,..,95,152,45,28,8,3,3,0,332,..,262,410,101,88,97,84,17,6,1077,..,125,405,381,512,816,854,738,420,4245,103,78,111,65,49,58,51,32,4,540,5893,3674,4269,3974,4220,4280,3722,2138,801,32966
