SUA_CODE_2021,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
2010,27,4,8,0,39,14,0,0,0,18,10,0,13,0,20,4,5,19,0,27,57,9,45,3,116,37,5,88,0,136,232,12,66,0,308,152,40,101,4,297,187,72,90,8,356,203,130,83,13,425,92,119,50,5,258,119,149,35,4,305,263,295,61,8,637,175,259,24,4,463,99,194,9,0,299,59,107,4,0,159,122,181,8,0,310,54,147,49,0,254,44,12,10,0,69,1944,1743,764,61,4515
2011,13158,3440,5393,630,22613,3912,811,1468,210,6400,2776,1423,2981,258,7435,2162,1288,4265,212,7928,10558,3087,7186,562,21392,7420,4578,10970,583,23547,39090,9234,13422,1165,62917,26506,13963,17985,2004,60457,29873,23082,19782,2135,74878,35146,32349,18534,2611,88645,21577,31692,14243,1732,69250,24882,34010,12105,1681,72679,56006,81466,20848,3159,161474,43349,69679,9626,1967,124614,33106,62894,6605,1187,103784,22183,43557,2823,642,69204,55725,151387,7872,1122,216109,14364,35660,12434,712,63172,6589,5010,2830,382,14811,448387,608614,191358,22944,1271304
2012,113,23,31,0,169,46,4,5,4,58,35,10,38,0,85,28,14,73,7,123,181,25,127,0,333,89,49,225,6,374,803,92,251,17,1162,482,125,283,31,914,507,270,333,28,1131,582,361,256,27,1219,291,374,204,7,869,357,411,130,18,920,731,850,200,33,1814,458,660,65,9,1198,300,512,38,0,854,119,343,13,3,474,264,619,38,3,925,249,534,170,12,965,161,58,77,11,306,5786,5326,2568,224,13903
2013,35,13,16,4,64,22,0,6,0,29,19,4,15,3,42,15,5,35,0,53,73,11,84,8,176,58,10,110,8,183,350,44,143,10,545,234,67,173,17,486,218,107,123,10,447,256,142,99,6,501,115,146,72,9,343,128,162,52,0,342,271,320,73,3,674,171,244,22,0,451,121,191,14,0,329,49,99,3,0,156,109,258,8,5,386,82,205,73,3,367,53,24,28,4,114,2385,2051,1171,77,5684
2014,25,3,7,0,32,19,0,3,0,28,14,0,4,0,20,7,0,23,0,29,49,8,29,0,84,42,6,53,0,105,189,20,68,4,276,140,16,86,9,254,131,63,61,3,260,129,84,39,5,265,79,67,36,5,181,78,84,25,0,184,162,175,30,0,365,101,130,23,0,260,75,95,12,0,178,36,50,7,0,85,61,96,7,0,166,66,104,41,0,214,38,9,12,0,61,1448,1005,554,35,3040
2015,33,8,9,0,47,12,0,0,0,17,11,4,15,0,26,8,0,17,4,25,47,6,51,0,104,32,9,63,0,105,195,16,82,10,303,137,39,84,3,268,179,59,85,6,330,179,95,75,3,347,93,88,58,7,243,111,105,37,9,258,194,233,64,5,496,125,168,19,4,317,88,177,10,0,278,42,106,9,0,154,118,239,18,0,369,69,131,53,3,258,33,14,10,3,65,1703,1484,763,65,4015
2016,125,50,45,0,222,42,8,10,0,68,18,11,32,0,64,21,5,75,0,108,132,38,140,11,322,110,54,217,4,393,669,133,258,13,1079,442,166,333,30,971,457,258,315,25,1057,538,404,248,30,1212,239,433,171,7,851,375,425,149,22,966,672,895,184,32,1773,440,708,74,7,1231,249,544,33,6,827,146,308,14,0,467,288,678,37,8,1000,187,396,179,5,771,126,71,68,4,267,5273,5609,2564,207,13653
2017,19,5,7,0,31,8,0,0,0,11,0,0,4,0,9,3,0,19,0,24,33,0,25,0,63,23,11,37,0,71,146,8,51,6,212,101,30,69,7,212,102,40,62,3,210,120,93,54,0,266,79,82,37,9,204,91,89,26,0,207,188,218,35,3,444,103,167,17,6,293,65,91,12,0,162,33,59,3,0,100,59,132,11,0,198,48,73,27,0,145,25,7,6,0,38,1252,1099,499,50,2904
2018,88,27,25,3,146,24,3,15,0,44,28,8,29,0,70,21,4,71,0,94,145,16,118,5,285,80,30,226,6,338,623,68,226,12,929,423,112,312,31,884,381,168,272,22,839,416,262,223,18,921,225,242,164,10,638,291,271,116,12,687,497,642,165,13,1314,339,556,72,7,986,272,429,40,5,747,131,240,10,7,385,276,658,35,7,965,201,348,154,10,715,100,45,57,0,201,4552,4127,2338,174,11185
2019,34,4,18,0,56,10,0,0,0,14,12,6,6,3,23,6,0,28,0,36,68,4,36,0,108,44,8,86,5,145,307,19,117,4,440,203,29,133,11,378,211,71,143,8,437,221,130,106,7,476,116,146,57,4,324,155,137,63,5,356,283,351,93,5,734,172,273,24,8,474,119,194,11,0,320,52,106,4,0,161,92,228,19,0,336,89,136,78,0,299,55,16,11,0,85,2251,1871,1028,64,5206
2020,105,11,17,5,141,45,4,11,4,61,27,8,24,0,60,16,4,37,5,63,125,12,89,4,236,95,29,152,0,270,633,48,153,6,836,425,105,225,19,772,442,173,231,20,858,460,273,192,11,935,247,325,128,21,718,311,403,94,10,823,644,852,163,5,1674,407,653,56,7,1129,274,541,32,9,849,126,276,12,3,419,294,683,36,9,1020,179,372,140,5,689,102,51,23,3,184,4959,4807,1813,133,11719
2021,61,4,21,0,86,18,0,9,0,29,11,5,13,3,34,11,4,33,0,53,97,7,78,4,191,66,5,134,3,217,439,30,167,7,637,345,48,210,27,627,365,132,196,29,729,432,247,195,17,887,223,229,138,13,600,245,254,102,13,607,558,677,117,17,1363,358,533,59,7,959,213,418,35,4,676,107,276,7,0,397,226,543,21,4,795,140,260,93,0,498,78,27,18,3,131,4004,3702,1655,163,9525
