SUA_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
2010,78,82,21,64,37,22,3,9,5,317,93,106,33,195,105,28,15,28,7,605,281,105,741,320,222,144,171,175,32,2189,3,5,9,23,38,22,9,17,0,123,13,11,8,28,27,10,3,25,0,123,0,6,3,3,6,0,0,0,0,31,21,16,5,15,12,10,12,20,19,135,713,1407,869,791,549,264,228,291,81,5186
2011,17200,21078,12407,13542,16385,6942,4832,5259,1391,99034,25734,25387,22351,38080,28873,13490,9344,10432,2618,176309,36605,17015,127374,46654,36981,20289,25221,29840,6175,346150,1943,1285,2177,3070,4238,2642,1713,2601,261,19930,4589,3394,3575,6269,7221,3806,2599,3304,636,35390,2100,4049,1664,1560,1865,1082,986,1154,438,14892,3601,5272,3496,4117,4308,2669,2475,3353,6141,35437,267410,609215,216716,185077,210929,95555,69778,83954,31556,1770192
2012,141,189,58,163,109,34,19,47,9,767,275,311,164,488,234,93,51,110,41,1765,716,289,1872,878,656,405,437,568,104,5932,39,20,28,63,71,59,31,85,4,404,52,22,28,79,67,46,22,50,9,374,18,19,3,15,13,5,5,20,5,99,71,59,44,66,44,44,37,104,78,547,2016,3741,2348,2154,1503,771,648,1165,276,14623
2013,46,44,24,43,47,7,13,9,0,235,83,100,55,201,106,36,19,26,9,643,226,108,1129,511,340,145,263,303,63,3091,8,7,14,21,24,16,12,22,0,129,12,6,6,22,25,13,10,12,7,111,3,4,5,7,0,4,0,5,0,26,9,23,16,32,16,25,8,41,23,191,515,1007,1296,977,670,272,346,455,114,5647
2014,22,43,8,23,21,10,9,3,3,143,35,42,26,118,44,17,13,10,5,307,104,61,463,226,119,64,154,139,34,1370,0,5,10,8,16,8,10,13,0,71,5,10,3,25,10,7,13,10,0,86,6,11,4,0,0,0,0,5,0,25,9,15,5,20,4,7,9,16,10,98,287,691,533,514,260,124,209,214,63,2894
2015,41,79,21,57,31,10,4,8,8,258,95,89,53,173,89,21,8,14,7,557,159,71,561,293,161,103,97,161,34,1641,7,4,13,16,17,16,3,20,0,101,15,10,8,18,12,12,4,11,0,89,3,0,5,0,6,0,6,3,0,25,19,12,8,11,12,10,4,14,9,101,599,1348,737,709,432,209,136,258,68,4493
2016,136,156,55,131,117,28,24,48,9,702,295,302,162,555,276,100,67,137,19,1920,625,245,1815,850,576,357,329,601,97,5503,19,9,16,38,55,53,22,64,6,299,41,24,34,68,70,49,28,69,3,384,8,31,12,15,3,9,6,22,0,110,38,59,41,50,32,42,36,89,62,445,1826,4036,2306,2149,1469,767,591,1285,245,14665
2017,19,40,15,31,28,9,3,10,4,151,57,81,33,109,56,21,5,29,10,399,197,70,432,184,151,89,69,129,21,1341,11,5,4,20,13,11,4,19,0,78,9,3,4,21,17,20,0,20,3,97,4,5,3,4,0,0,0,5,0,20,7,14,12,15,6,3,4,25,13,96,437,844,528,467,324,167,97,268,54,3188
2018,85,131,61,105,97,21,7,18,12,536,186,241,126,383,245,67,32,50,25,1368,427,217,1758,743,652,293,456,524,87,5149,17,15,34,41,56,34,13,39,5,259,31,9,15,52,43,23,22,21,0,222,13,21,16,14,9,6,6,9,0,88,33,36,41,45,33,28,33,50,26,323,1193,3067,2210,1685,1462,564,606,776,197,11765
2019,56,61,29,77,52,21,6,16,4,317,93,116,47,242,98,38,14,37,14,707,235,86,755,402,241,167,181,260,31,2355,10,0,9,25,24,26,11,19,0,128,12,8,18,38,17,16,4,21,7,133,5,6,4,3,12,0,0,8,0,32,19,19,11,33,18,16,16,23,27,184,672,1623,952,1007,575,329,259,427,88,5925
2020,114,188,79,131,136,44,18,48,11,775,226,228,146,447,238,101,40,93,23,1543,629,212,1967,714,546,317,471,629,84,5575,28,7,22,40,52,40,19,44,3,263,39,26,34,95,59,34,29,41,5,361,16,23,7,16,15,5,5,8,0,101,32,47,26,59,43,25,25,52,54,357,1724,3363,2414,1917,1426,670,647,1085,209,13458
2021,108,149,51,108,90,39,19,38,7,603,166,183,122,386,192,95,27,82,19,1272,488,171,1460,723,439,279,258,469,72,4363,22,11,13,27,45,39,12,56,0,221,20,10,32,56,54,29,9,36,7,251,3,11,7,6,4,6,6,7,0,53,26,34,20,45,28,36,17,66,33,306,1390,3312,1855,1696,1163,615,387,895,164,11477
