SUA_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
2010,1815,1715,705,51,4295,1743,187,6220,50,12,16,4,78,258,12,341,0,0,0,0,6,4,0,6,47,12,20,4,84,261,12,348,43,9,23,7,84,268,12,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,9,23,7,84,268,12,366,0,0,0,0,0,3,0,5,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,6,0,11,0,0,0,0,6,3,4,6,1913,1735,754,61,4469,2276,213,6953
2011,282254,506945,137618,13857,940680,199542,34993,1175219,37999,31959,15852,2045,87858,63467,8206,159534,34383,37239,14631,2081,88337,29703,9260,127297,72379,69201,30487,4124,176200,93172,17465,286829,18954,11316,6927,1288,38484,42495,5538,86516,13015,3964,2883,812,20676,27728,4388,52787,17255,4576,3319,963,26109,31959,4657,62717,19981,5438,3691,1790,30903,35051,8363,74315,180,209,99,14,508,457,24,985,69386,25504,16920,4872,116681,137675,22961,277316,55,6,14,4,79,318,0,400,157,17,56,6,237,1103,19,1359,3,9,5,0,12,13,0,21,912,453,260,56,1680,1525,458,3660,1131,480,336,67,2009,2952,481,5445,356,320,142,29,846,822,125,1793,425507,602451,185507,22950,1236408,434169,76026,1746604
2012,5032,5086,2231,194,12540,3855,495,16888,276,105,170,17,568,906,69,1541,24,6,6,0,41,30,4,71,299,110,176,19,604,935,74,1616,160,66,90,9,325,730,53,1104,4,0,0,0,5,14,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,7,170,66,86,9,335,739,53,1125,24,0,5,0,29,66,5,105,39,0,0,0,41,51,3,99,7,0,0,0,8,0,0,14,3,9,0,0,13,4,0,21,73,9,8,0,95,126,10,230,15,12,0,0,27,29,3,59,5591,5283,2508,225,13604,5689,634,19921
2013,2189,2005,1058,69,5326,2246,204,7776,104,23,61,7,191,673,19,885,0,0,0,0,6,31,0,31,108,23,61,7,200,701,19,916,16,7,16,8,47,201,8,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7,16,8,43,202,8,254,0,0,0,0,7,24,4,29,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,29,4,37,0,0,0,0,4,3,0,10,2321,2030,1149,78,5576,3182,234,8993
2014,1350,978,496,29,2850,1144,106,4105,39,24,26,9,95,264,9,361,10,0,7,0,15,24,0,35,50,21,29,9,109,280,9,398,8,0,3,0,19,25,3,45,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,16,0,6,0,23,29,3,55,3,0,0,0,3,13,0,16,0,0,0,0,5,4,0,5,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,13,11,0,0,0,14,18,3,34,0,0,0,0,7,3,0,7,1424,1002,536,35,2991,1481,122,4596
2015,1542,1437,679,57,3716,1417,132,5260,56,22,33,7,116,228,16,356,10,0,9,0,19,68,0,95,69,23,40,7,139,299,13,452,49,9,20,0,83,271,21,371,7,4,4,0,16,8,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,16,23,0,92,277,23,396,0,0,0,0,0,10,0,18,5,0,0,0,7,10,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,10,0,6,0,9,27,0,35,3,0,0,0,6,3,0,17,1675,1480,748,64,3965,2023,168,6156
2016,4570,5335,2293,173,12374,4030,562,16961,357,184,150,25,721,1181,75,1979,20,11,14,0,48,41,10,96,379,193,166,27,763,1222,88,2076,5,6,0,0,7,37,0,41,0,0,0,0,0,16,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,5,6,0,0,10,53,0,58,31,0,7,0,42,112,3,162,10,0,9,0,23,36,0,63,0,0,0,0,4,0,0,7,60,5,4,0,68,135,4,212,109,12,20,3,134,289,14,438,4,9,4,0,17,11,0,33,5064,5548,2485,205,13308,5598,667,19573
2017,1098,1020,441,47,2608,893,109,3609,65,34,23,0,128,222,22,363,0,0,0,0,0,4,0,6,70,34,22,0,127,220,19,368,58,35,26,0,115,202,13,329,0,0,0,0,3,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,56,35,24,0,118,207,13,337,0,0,0,0,4,5,0,7,0,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,8,9,3,0,0,11,13,0,27,0,5,0,0,8,0,0,9,1233,1087,497,49,2869,1332,149,4348
2018,4083,4004,2082,146,10319,4011,425,14753,118,31,54,8,208,521,27,756,16,9,26,0,51,44,8,103,136,37,79,8,257,568,36,860,191,55,116,17,377,981,41,1401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,191,55,115,17,378,983,41,1405,0,0,0,0,0,0,0,3,17,4,4,0,27,33,3,59,0,0,0,0,3,7,0,14,0,0,3,0,3,3,0,10,30,5,3,0,30,39,4,82,9,4,0,0,7,14,0,30,4448,4100,2278,173,11002,5620,502,17127
2019,2051,1808,926,53,4837,1976,169,6979,140,38,69,7,264,775,23,1070,9,3,0,0,20,36,3,55,154,47,74,11,285,807,27,1123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,5,0,5,0,0,0,0,5,7,0,11,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,13,10,0,5,0,11,18,0,29,0,0,0,0,0,5,0,9,2211,1864,1001,59,5136,2811,202,8146
2020,4475,4693,1646,119,10939,2986,292,14220,134,39,74,5,258,448,16,721,5,0,6,0,7,32,0,39,138,42,79,5,262,478,21,761,107,28,50,0,182,369,15,569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,4,0,6,110,28,50,0,187,372,15,575,4,0,0,0,6,7,0,13,75,3,9,0,91,174,3,265,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,12,87,6,9,0,102,183,3,289,4,10,0,0,17,9,0,20,4816,4774,1781,131,11500,4028,327,15861
2021,3489,3533,1410,133,8568,2837,372,11775,241,71,115,13,441,766,47,1248,89,44,42,8,176,148,14,339,326,112,159,24,616,916,55,1589,72,33,46,3,150,394,19,565,9,0,3,0,12,36,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,32,43,3,163,437,19,619,6,0,0,0,3,4,0,5,15,0,6,0,26,42,4,73,0,0,0,0,0,0,0,0,8,10,4,4,20,7,0,24,31,8,9,4,49,52,4,107,7,7,0,0,15,9,0,19,3935,3690,1624,158,9409,4250,453,14111
