SUA_CODE_2021,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Brazil_0_4,M_Brazil_5_14,M_Brazil_15_24,M_Brazil_25_44,M_Brazil_45_54,M_Brazil_55_64,M_Brazil_65_74,M_Brazil_75_84,M_Brazil_85ov,M_Brazil_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_SAR_Ch_0_4,M_Hong_Kong_SAR_Ch_5_14,M_Hong_Kong_SAR_Ch_15_24,M_Hong_Kong_SAR_Ch_25_44,M_Hong_Kong_SAR_Ch_45_54,M_Hong_Kong_SAR_Ch_55_64,M_Hong_Kong_SAR_Ch_65_74,M_Hong_Kong_SAR_Ch_75_84,M_Hong_Kong_SAR_Ch_85ov,M_Hong_Kong_SAR_Ch_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot
2010,0,0,0,0,0,0,0,0,0,0,462,1042,893,1672,794,888,747,463,188,7147,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,4,0,0,0,8,4,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,12,9,17,25,13,0,82,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,10,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,3,3,7,11,51,8,7,3,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,62,846,1983,7066,1883,919,365,92,23,13234,135935,248689,210303,373305,170890,134200,87848,44084,14946,1420207,22,301,487,2990,751,307,189,32,3,5076,0,22,79,1421,631,953,552,329,68,4056,13,108,145,1750,254,103,48,16,3,2437,26,200,786,2385,1469,1208,877,303,72,7319,63,269,256,1482,754,494,261,102,13,3689,7,76,99,1102,797,640,583,367,42,3717,292,3718,10111,31379,8427,9104,6305,2111,1003,72448,0,20,35,724,642,1360,1390,1494,427,6088,28,320,576,1551,591,1031,1275,919,266,6558,320,2663,3909,14979,11223,12799,10401,7570,2445,66306,8,101,313,1971,1086,961,513,192,37,5182,30,145,240,1839,531,390,301,145,62,3679,40,159,337,1649,1064,1008,2008,1920,600,8778,14,210,424,1169,1327,3366,4667,6763,2888,20832,116,859,1195,4525,1402,1616,1374,353,93,11526,1090,7168,14783,83432,12067,5803,4259,1723,434,130763,46,294,1354,4006,1103,489,560,245,64,8150,40,746,1149,6098,1616,800,430,175,45,11093
2012,0,13,28,55,17,24,9,0,0,153,1468,3063,2578,4472,2463,2555,2165,1144,346,20249,0,0,0,7,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,3,0,0,17,0,0,0,4,0,8,0,0,0,12,0,0,0,5,0,0,0,0,0,3,0,0,10,42,15,11,6,0,0,88,0,0,0,0,0,4,4,12,7,29,0,4,0,4,3,5,0,0,0,17,0,5,5,49,28,84,75,60,15,323,0,0,3,22,8,0,6,0,0,41,0,0,0,5,0,4,3,0,0,20,0,0,0,3,0,4,22,10,0,46,0,0,0,0,0,13,16,19,7,55,0,3,7,17,0,4,0,0,0,25,4,23,32,195,33,16,8,3,0,311,0,0,0,15,6,0,0,0,0,26,0,0,3,12,3,0,0,0,0,18
2013,0,0,0,0,0,0,0,0,0,0,535,1191,1109,2080,1061,1253,952,402,119,8703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,13,0,0,0,3,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,9,0,0,0,3,0,4,4,0,0,11,0,0,0,0,0,3,0,0,0,6,0,0,0,6,5,4,3,0,0,18,0,0,0,3,0,4,0,3,0,11,0,0,0,0,0,0,0,0,0,4,0,0,0,12,19,63,101,72,27,294,0,0,0,13,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,5,57,27,6,105,0,0,0,0,0,3,5,3,0,7,0,0,0,0,0,0,0,0,0,7,0,0,3,15,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0,0,250,571,571,914,623,710,620,284,95,4640,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,4,27,40,35,4,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,10,0,0,0,3,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,14,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2015,0,0,0,0,0,0,0,0,0,0,426,903,768,1410,671,719,641,333,117,5990,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,4,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,16,0,0,0,0,6,0,0,7,0,15,0,0,0,3,0,0,0,0,0,8,0,5,4,25,19,45,53,38,10,202,0,0,3,6,3,0,0,0,0,7,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,16,6,0,26,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,7,51,14,0,3,0,0,74,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0
2016,0,35,67,177,83,51,17,0,0,431,1611,3084,2515,4061,2295,2269,1884,1102,359,19169,0,3,0,11,3,4,0,0,0,21,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,6,0,5,3,4,6,3,0,3,0,20,0,0,0,4,0,0,0,0,0,4,0,0,0,43,9,13,10,3,0,84,0,0,0,4,0,7,3,9,0,21,0,5,6,8,3,0,0,0,0,26,0,5,16,45,38,73,85,73,12,360,0,0,3,17,3,5,0,0,0,32,0,0,0,4,3,0,0,0,0,11,0,0,3,3,8,10,13,17,0,43,0,5,4,4,0,11,18,18,11,68,0,0,0,15,0,0,5,0,0,18,5,50,90,629,109,61,46,3,4,998,0,0,4,18,3,0,0,0,0,24,0,11,24,15,4,3,0,0,0,58
2017,0,4,5,15,19,10,11,0,0,53,333,587,540,995,419,538,437,271,119,4252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,10,3,27,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,13,8,8,5,46,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,84,7,0,0,0,0,116,0,3,4,7,8,0,0,0,0,25,0,0,0,5,0,0,0,0,0,4
2018,0,0,0,6,0,0,0,0,0,5,1138,2440,2118,4153,2010,2027,1614,776,220,16515,0,0,0,8,0,3,0,0,0,16,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,4,5,0,0,26,0,0,0,0,5,3,4,3,0,9,0,7,5,19,9,9,5,8,4,62,0,0,0,0,0,4,8,3,0,21,0,0,0,3,0,3,0,0,4,11,0,6,7,48,40,101,132,99,34,473,0,0,0,5,4,0,0,0,0,8,0,0,0,0,0,0,0,6,0,5,0,0,0,7,0,7,31,28,10,80,0,0,0,0,0,3,11,5,5,25,0,0,0,6,0,0,0,3,0,8,10,12,26,145,22,9,11,5,3,238,0,0,0,9,0,0,4,3,0,22,0,0,0,6,0,0,0,0,0,7
2019,0,0,0,0,0,0,0,0,0,0,466,1143,988,1768,973,986,868,543,206,7936,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,4,6,0,0,0,0,11,0,0,0,0,0,0,3,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,23,19,28,34,38,13,152,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,0,0,0,10,0,0,0,6,0,0,11,10,3,30,0,0,0,0,0,0,0,8,0,13,0,0,0,0,0,0,0,0,0,3,0,6,7,58,6,0,0,0,0,78,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
2020,0,0,0,4,0,0,0,0,0,4,1296,2615,2035,4109,1919,1952,1726,922,286,16856,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,3,0,8,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,4,0,0,0,27,0,0,0,0,4,0,3,0,0,10,0,0,0,23,3,9,3,0,0,37,0,0,0,0,0,4,5,3,0,17,0,0,0,7,0,0,0,0,0,7,0,17,22,87,94,148,184,130,30,712,0,0,5,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,8,0,5,0,0,3,8,32,28,6,95,0,0,0,0,0,3,8,4,0,15,0,0,0,5,0,0,0,0,0,7,0,3,13,92,19,8,10,9,0,156,0,0,4,14,0,0,5,0,0,26,0,0,0,3,0,0,0,0,0,9
2021,0,0,0,0,0,0,0,0,0,5,908,2055,1735,3396,1823,1842,1627,856,307,14543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,5,3,0,0,16,0,0,0,0,0,0,0,0,0,4,0,13,15,75,0,4,3,0,0,118,0,0,0,0,0,0,0,5,0,6,0,0,3,3,4,0,0,0,0,10,0,10,11,34,34,60,68,47,15,289,0,0,0,0,4,0,0,0,0,10,0,4,0,9,0,0,0,0,0,12,0,0,0,3,4,3,6,3,5,24,0,0,0,0,0,0,4,0,0,6,0,0,0,4,0,0,0,0,0,4,0,7,12,69,9,3,5,0,0,105,0,4,0,12,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
