SUA_CODE_2021,R_1_74_LT_Real_estate_agent,R_1_74_LT_Ste_terr_hsg_auth,R_1_74_LT_com_hou_pro,R_1_74_LT_Psn_not_Sme_hhd,R_1_74_LT_Other_Lld_type,R_1_74_LT_Lld_type_ns,R_1_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_com_hou_pro,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_com_hou_pro,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_com_hou_pro,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_com_hou_pro,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_com_hou_pro,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_com_hou_pro,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_com_hou_pro,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_com_hou_pro,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_com_hou_pro,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_com_hou_pro,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_com_hou_pro,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_com_hou_pro,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_ovr_LT_com_hou_pro,R_950_over_LT_Psn_not_Sme_hhd,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_com_hou_pro,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_com_hou_pro,Tot_LT_Psn_not_Sme_hhd,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
2010,0,24,0,3,0,0,30,5,27,0,0,0,0,26,24,118,4,26,5,0,174,155,44,10,62,6,0,269,177,29,3,45,8,0,259,294,14,0,51,0,3,367,328,5,10,55,6,6,403,195,9,5,33,10,0,241,31,0,0,6,0,0,41,5,0,0,0,0,0,3,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,35,23,3,15,11,6,93,1249,287,36,302,40,14,1922
2011,470,1453,183,489,98,17,2713,244,2051,241,372,95,16,3026,1107,12487,1021,2382,493,139,17621,2430,5086,1783,3776,702,105,13881,2954,2529,1072,3189,499,60,10301,12588,2536,1153,5802,1333,115,23533,71621,2278,918,15307,2206,271,92600,164852,1792,566,18618,2595,332,188751,72963,414,163,8723,784,121,83175,31491,106,51,3731,221,45,35648,15686,59,25,1907,130,29,17827,8572,43,21,1188,63,11,9892,4640,29,12,597,41,8,5325,8504,24,4,1296,156,24,10010,7463,2642,520,5614,1348,1150,18747,405597,33528,7724,72999,10770,2435,533047
2012,8,30,10,16,14,3,83,6,42,8,11,7,4,77,58,242,37,87,45,7,482,246,154,48,195,44,9,703,302,65,16,225,21,4,635,670,69,27,237,40,5,1049,1171,33,19,276,51,10,1560,755,7,10,137,35,4,949,134,3,0,35,9,0,180,22,0,0,13,0,0,38,8,0,0,9,0,0,18,8,0,0,5,0,0,16,0,0,0,3,0,0,7,0,0,0,11,4,0,17,54,44,8,64,36,30,238,3445,686,193,1322,318,81,6045
2013,6,29,0,6,0,0,38,3,38,3,6,4,0,53,82,188,18,47,14,7,346,243,83,15,84,4,0,434,160,26,10,96,11,4,308,296,48,20,81,15,0,461,307,14,10,66,4,6,396,81,6,5,28,6,0,125,10,5,0,3,0,0,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,26,4,26,9,0,90,1203,447,84,450,66,22,2272
2014,0,12,0,0,5,0,17,0,12,3,0,0,0,18,14,79,4,18,4,3,118,65,47,3,54,4,5,168,78,29,0,36,10,0,152,120,12,3,60,4,0,205,160,6,0,57,0,4,228,125,4,0,20,0,0,152,15,0,0,6,0,0,25,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,19,0,15,6,0,44,590,214,18,273,39,11,1139
2015,3,10,0,3,0,0,20,0,8,0,5,0,0,18,8,89,6,10,3,0,127,77,39,14,34,9,0,166,120,18,16,47,4,0,201,264,30,9,40,50,0,398,401,8,8,47,48,0,511,343,3,0,32,11,4,388,70,0,0,5,0,0,81,11,0,0,0,0,0,15,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,20,0,11,7,5,64,1317,239,53,234,135,15,1985
2016,3,31,0,9,0,0,47,5,38,0,9,4,0,56,41,253,28,99,26,4,450,241,161,63,126,27,7,634,285,119,32,135,31,3,612,805,83,33,243,49,5,1211,1146,42,40,250,71,17,1564,749,15,4,151,38,10,964,152,0,0,35,15,0,203,12,0,0,7,6,0,21,7,0,0,5,0,0,12,6,0,0,0,5,0,8,3,0,0,3,0,0,5,3,0,0,3,0,0,7,69,61,8,56,25,23,243,3525,807,219,1130,294,75,6047
2017,0,5,4,3,0,0,15,0,13,5,6,0,0,27,34,80,4,24,0,4,149,123,52,7,34,13,0,230,81,19,4,45,4,0,161,197,15,4,62,4,3,288,190,3,3,65,14,0,279,89,3,0,34,3,0,133,20,0,0,5,0,0,19,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,13,8,19,7,9,65,758,210,45,306,52,12,1381
2018,11,39,11,6,5,3,71,7,44,9,4,3,0,73,80,248,15,48,5,5,400,386,109,45,124,18,6,682,432,55,15,130,16,8,657,682,52,20,184,17,5,957,754,8,18,145,20,5,936,528,11,0,71,5,0,617,131,0,5,16,6,0,151,12,0,0,0,0,0,8,5,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,4,0,0,8,8,0,0,0,0,0,11,48,49,12,46,19,12,181,3079,610,149,770,110,44,4770
2019,0,21,0,0,0,0,22,0,17,0,0,0,0,22,15,144,9,20,7,4,192,118,65,24,46,14,0,266,122,29,6,66,9,0,235,307,39,8,97,6,0,460,385,10,10,89,9,0,502,332,4,0,48,0,0,389,54,0,0,8,0,0,64,5,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,31,34,4,20,7,9,100,1365,362,69,403,44,12,2264
2020,4,17,0,6,0,0,26,5,7,0,6,0,0,12,19,110,4,31,18,3,185,42,47,10,53,18,0,166,60,19,0,76,14,0,166,197,19,6,106,13,0,342,714,20,3,179,12,3,927,967,5,0,124,12,3,1104,127,0,0,23,5,0,154,21,0,0,3,0,0,27,10,0,0,5,0,0,11,0,0,0,3,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,10,37,23,3,47,12,8,127,2210,266,26,648,95,20,3262
2021,3,31,4,13,4,0,55,3,30,3,3,7,0,41,45,215,22,43,5,8,334,78,97,30,74,11,3,294,150,48,5,86,6,0,305,383,70,13,111,8,0,590,708,17,17,206,18,3,980,736,0,15,122,13,0,899,181,0,3,38,3,0,226,36,0,0,7,6,0,48,11,0,0,4,0,0,11,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,7,37,43,11,34,17,6,151,2378,567,127,746,98,24,3939
