SUA_CODE_2021,M_0_4_yrs_Need_for_assistance,M_0_4_No_need_for_assistance,M_0_4_Need_for_assistance_ns,M_0_4_yrs_Tot,M_5_14_Need_for_assistance,M_5_14_No_need_for_assistance,M_5_14_Need_for_assistance_ns,M_5_14_yrs_Tot,M_15_19_Need_for_assistance,M_15_19_No_need_for_assistnce,M_15_19_Need_for_assistnce_ns,M_15_19_yrs_Tot,M_20_24_Need_for_assistance,M_20_24_No_need_for_assistnce,M_20_24_Need_for_assistnce_ns,M_20_24_yrs_Tot,M_25_34_Need_for_assistance,M_25_34_No_need_for_assistnce,M_25_34_Need_for_assistnce_ns,M_25_34_yrs_Tot,M_35_44_Need_for_assistance,M_35_44_No_need_for_assistnce,M_35_44_Need_for_assistnce_ns,M_35_44_yrs_Tot,M_45_54_Need_for_assistance,M_45_54_No_need_for_assistnce,M_45_54_Need_for_assistnce_ns,M_45_54_yrs_Tot,M_55_64_Need_for_assistance,M_55_64_No_need_for_assistnce,M_55_64_Need_for_assistnce_ns,M_55_64_yrs_Tot,M_65_74_Need_for_assistance,M_65_74_No_need_for_assistnce,M_65_74_Need_for_assistnce_ns,M_65_74_yrs_Tot,M_75_84_Need_for_assistance,M_75_84_No_need_for_assistnce,M_75_84_Need_for_assistnce_ns,M_75_84_yrs_Tot,M_85_over_Need_for_assistance,M_85_ov_No_need_for_assistnce,M_85_ov_Need_for_assistnce_ns,M_85_yrs_over_Tot,M_Tot_Need_for_assistance,M_Tot_No_need_for_assistance,M_Tot_Need_for_assistance_ns,M_Tot_Tot,F_0_4_yrs_Need_for_assistance,F_0_4_No_need_for_assistance,F_0_4_Need_for_assistance_ns,F_0_4_yrs_Tot,F_5_14_Need_for_assistance,F_5_14_No_need_for_assistance,F_5_14_Need_for_assistance_ns,F_5_14_yrs_Tot,F_15_19_Need_for_assistance,F_15_19_No_need_for_assistnce,F_15_19_Need_for_assistnce_ns,F_15_19_yrs_Tot,F_20_24_Need_for_assistance,F_20_24_No_need_for_assistnce,F_20_24_Need_for_assistnce_ns,F_20_24_yrs_Tot,F_25_34_Need_for_assistance,F_25_34_No_need_for_assistnce,F_25_34_Need_for_assistnce_ns,F_25_34_yrs_Tot,F_35_44_Need_for_assistance,F_35_44_No_need_for_assistnce,F_35_44_Need_for_assistnce_ns,F_35_44_yrs_Tot,F_45_54_Need_for_assistance,F_45_54_No_need_for_assistnce,F_45_54_Need_for_assistnce_ns,F_45_54_yrs_Tot,F_55_64_Need_for_assistance,F_55_64_No_need_for_assistnce,F_55_64_Need_for_assistnce_ns,F_55_64_yrs_Tot,F_65_74_Need_for_assistance,F_65_74_No_need_for_assistnce,F_65_74_Need_for_assistnce_ns,F_65_74_yrs_Tot,F_75_84_Need_for_assistance,F_75_84_No_need_for_assistnce,F_75_84_Need_for_assistnce_ns,F_75_84_yrs_Tot,F_85_over_Need_for_assistance,F_85_ov_No_need_for_assistnce,F_85_ov_Need_for_assistnce_ns,F_85_yrs_over_Tot,F_Tot_Need_for_assistance,F_Tot_No_need_for_assistance,F_Tot_Need_for_assistance_ns,F_Tot_Tot,P_0_4_yrs_Need_for_assistance,P_0_4_No_need_for_assistance,P_0_4_Need_for_assistance_ns,P_0_4_yrs_Tot,P_5_14_Need_for_assistance,P_5_14_No_need_for_assistance,P_5_14_Need_for_assistance_ns,P_5_14_yrs_Tot,P_15_19_Need_for_assistance,P_15_19_No_need_for_assistnce,P_15_19_Need_for_assistnce_ns,P_15_19_yrs_Tot,P_20_24_Need_for_assistance,P_20_24_No_need_for_assistnce,P_20_24_Need_for_assistnce_ns,P_20_24_yrs_Tot,P_25_34_Need_for_assistance,P_25_34_No_need_for_assistnce,P_25_34_Need_for_assistnce_ns,P_25_34_yrs_Tot,P_35_44_Need_for_assistance,P_35_44_No_need_for_assistnce,P_35_44_Need_for_assistnce_ns,P_35_44_yrs_Tot,P_45_54_Need_for_assistance,P_45_54_No_need_for_assistnce,P_45_54_Need_for_assistnce_ns,P_45_54_yrs_Tot,P_55_64_Need_for_assistance,P_55_64_No_need_for_assistnce,P_55_64_Need_for_assistnce_ns,P_55_64_yrs_Tot,P_65_74_Need_for_assistance,P_65_74_No_need_for_assistnce,P_65_74_Need_for_assistnce_ns,P_65_74_yrs_Tot,P_75_84_Need_for_assistance,P_75_84_No_need_for_assistnce,P_75_84_Need_for_assistnce_ns,P_75_84_yrs_Tot,P_85_over_Need_for_assistance,P_85_ov_No_need_for_assistnce,P_85_ov_Need_for_assistnce_ns,P_85_yrs_over_Tot,P_Tot_Need_for_assistance,P_Tot_No_need_for_assistance,P_Tot_Need_for_assistance_ns,P_Tot_Tot
2010,3,461,22,492,88,977,73,1137,23,466,37,521,16,427,39,484,32,996,74,1099,32,850,41,921,25,837,39,900,51,928,51,1017,61,766,46,869,86,431,37,551,87,115,22,228,497,7245,480,8217,4,503,27,531,36,917,47,1007,10,392,30,433,16,448,40,496,32,1062,61,1152,22,926,45,988,42,911,45,999,66,1008,45,1118,76,870,44,984,124,534,45,700,184,150,25,359,617,7721,437,8764,9,966,51,1018,125,1896,121,2139,27,853,65,955,33,874,77,977,64,2050,137,2254,57,1772,89,1913,64,1752,76,1893,114,1930,95,2136,138,1638,89,1857,208,966,70,1245,275,270,44,589,1117,14964,909,16985
2011,2312,136638,7387,146338,15558,271124,14748,301431,5093,126329,6228,137659,3657,152899,9369,165928,5859,356207,23357,385424,6245,333022,18531,357794,8789,276598,14160,299544,12879,226045,11041,249970,18024,158577,8093,184692,22316,76670,5684,104673,17766,17108,2955,37830,118497,2131228,121564,2371285,1319,130000,7184,138502,7444,264330,13986,285762,3233,121848,5780,130864,2799,147286,7645,157732,5933,365861,20804,392597,6987,340958,16711,364658,10955,291713,12834,315500,16354,239691,10337,266382,23802,176711,8647,209161,34672,83661,6524,124858,35448,19935,5160,60543,148955,2181992,115616,2446560,3631,266637,14573,284845,23005,535457,28727,587191,8330,248177,12017,268525,6457,300187,17015,323658,11795,722069,44157,778028,13233,673979,35245,722456,19741,568308,26995,615047,29231,465738,21385,516353,41825,335290,16742,393854,56986,160334,12208,229530,53214,37035,8117,98370,267453,4313219,237175,4817843
2012,30,1434,134,1601,259,2947,319,3529,90,1365,152,1613,77,1341,127,1546,97,3116,302,3514,88,2622,287,2997,146,2756,302,3205,212,2831,252,3292,329,2298,224,2850,321,1152,115,1593,236,234,45,515,1887,22091,2280,26257,17,1401,144,1560,122,2913,312,3349,48,1330,123,1502,33,1313,110,1455,65,3272,320,3663,79,2902,292,3275,161,3062,256,3482,265,2992,221,3480,333,2422,203,2951,453,1193,121,1766,505,302,67,873,2084,23106,2172,27360,47,2834,280,3161,382,5862,635,6874,136,2692,278,3114,113,2655,234,3004,164,6389,626,7176,167,5526,583,6274,310,5817,566,6686,479,5823,474,6775,656,4721,428,5804,774,2344,236,3359,742,539,115,1391,3971,45195,4455,53620
2013,20,509,49,581,117,1071,105,1294,49,538,44,635,39,517,41,598,53,1189,107,1350,48,1003,94,1136,84,1083,95,1265,126,1335,108,1571,180,1153,93,1433,155,510,45,704,111,112,12,237,981,9022,798,10799,10,515,41,565,62,1079,102,1246,33,517,38,578,29,505,41,578,56,1203,96,1354,64,1087,96,1248,103,1226,97,1426,141,1328,109,1574,169,1199,93,1457,232,519,57,808,227,119,17,365,1129,9288,785,11200,26,1024,89,1142,175,2152,204,2536,78,1049,81,1212,64,1023,84,1175,116,2391,197,2703,115,2088,189,2390,185,2309,194,2689,264,2662,218,3141,355,2350,186,2886,387,1025,103,1515,341,230,35,602,2110,18306,1585,21997
2014,9,238,22,264,52,531,51,631,21,293,32,340,17,252,21,294,10,456,34,506,33,494,41,565,42,639,44,723,53,767,47,867,75,689,55,822,62,297,21,384,62,64,7,130,434,4723,376,5529,4,225,21,250,30,538,53,617,24,261,15,298,7,220,14,243,19,519,37,570,35,555,54,640,34,673,33,742,78,775,40,887,76,694,33,803,87,309,29,426,114,92,16,219,506,4857,343,5700,11,462,44,510,79,1070,104,1248,44,552,41,639,23,474,33,534,33,974,71,1080,64,1045,93,1204,76,1309,81,1474,129,1538,91,1755,150,1385,85,1622,153,608,54,816,174,152,23,346,937,9571,718,11230
2015,11,419,20,451,83,858,56,995,35,390,21,446,31,349,37,424,41,822,70,934,36,754,53,837,53,734,64,855,52,795,41,890,116,676,54,843,114,350,18,492,69,75,28,171,643,6222,462,7328,4,407,29,439,33,840,44,919,9,388,32,436,6,360,25,389,34,863,40,940,38,840,60,941,63,939,52,1045,75,890,40,1007,99,809,51,957,131,438,36,604,144,115,35,293,652,6881,444,7973,15,824,50,886,117,1698,100,1913,40,779,52,880,36,712,58,809,73,1681,115,1869,79,1590,113,1785,112,1674,112,1900,132,1688,79,1899,210,1487,101,1800,250,792,58,1098,217,187,60,465,1294,13103,902,15301
2016,28,1603,133,1765,275,3160,317,3752,85,1462,132,1679,71,1404,149,1626,93,3129,284,3503,107,2799,249,3158,168,2789,231,3184,261,2557,227,3039,272,2122,173,2570,320,1138,130,1591,237,254,52,546,1927,22413,2087,26422,28,1459,133,1622,130,3079,285,3494,47,1421,106,1575,55,1368,123,1541,89,3400,302,3792,117,3003,262,3376,201,2850,189,3236,247,2779,220,3250,323,2389,165,2874,429,1234,135,1797,482,298,83,862,2142,23270,2003,27417,57,3054,269,3387,406,6241,607,7250,136,2880,239,3248,125,2774,273,3166,184,6524,587,7295,228,5803,513,6540,365,5634,421,6425,508,5333,451,6290,598,4510,339,5443,747,2378,266,3386,719,551,135,1406,4071,45683,4092,53841
2017,3,343,21,363,47,594,40,683,16,263,22,300,7,308,17,339,19,694,56,774,12,585,37,638,22,504,38,559,28,577,45,653,55,444,26,531,61,259,17,334,54,81,18,153,324,4662,342,5324,0,344,36,381,27,630,57,717,4,244,13,261,3,313,30,353,17,792,58,866,23,635,45,698,21,529,29,575,29,597,38,673,52,511,32,588,99,355,18,477,127,112,24,266,414,5053,385,5858,6,683,54,747,75,1221,101,1401,17,507,36,563,13,625,49,690,40,1493,114,1643,34,1216,81,1338,42,1030,60,1133,61,1181,82,1321,105,955,62,1116,162,610,41,813,185,203,35,417,737,9716,731,11186
2018,32,1125,102,1258,220,2305,230,2755,79,1075,82,1242,64,1057,92,1205,102,2430,237,2770,99,2162,204,2468,146,2176,201,2524,212,2217,187,2619,298,1915,154,2367,259,955,121,1335,169,208,75,457,1695,17625,1687,21009,22,1119,93,1235,111,2201,231,2549,45,1064,87,1198,41,1086,106,1233,98,2669,232,3000,115,2291,212,2616,167,2292,150,2607,248,2524,197,2968,314,2082,144,2538,352,1066,123,1539,396,246,120,765,1907,18656,1692,22253,52,2246,193,2494,339,4511,462,5303,125,2142,170,2434,104,2139,195,2440,195,5096,469,5760,215,4455,418,5089,310,4474,351,5134,460,4741,378,5586,613,3996,296,4902,613,2028,243,2879,568,456,193,1221,3599,36276,3379,43252
2019,6,460,29,503,108,1065,75,1249,42,545,25,610,27,414,23,463,38,982,66,1086,44,968,57,1062,51,1002,58,1102,85,1009,59,1153,112,936,65,1115,149,563,47,755,110,149,27,285,786,8088,519,9395,6,502,33,539,50,1036,53,1138,21,520,37,578,24,462,32,516,29,1087,73,1192,49,1065,44,1158,46,1165,66,1285,102,1169,60,1329,122,1106,57,1284,221,684,58,959,277,193,35,509,948,8988,557,10488,16,965,59,1039,164,2099,126,2389,68,1062,64,1188,53,876,52,980,71,2067,142,2282,91,2033,103,2229,102,2165,123,2388,187,2178,114,2478,236,2038,125,2399,368,1241,106,1714,391,344,65,795,1729,17077,1073,19882
2020,26,1259,75,1359,224,2434,187,2849,67,1054,48,1173,43,991,61,1092,98,2443,151,2694,72,2137,171,2378,87,2148,159,2392,159,2191,118,2468,217,2063,120,2399,238,1110,73,1416,175,201,31,411,1407,18034,1192,20625,23,1297,81,1399,96,2444,177,2714,58,1071,69,1189,46,1033,43,1121,73,2725,193,2988,93,2307,154,2554,124,2396,139,2656,176,2542,136,2851,231,2204,129,2559,304,1146,89,1534,354,245,37,636,1562,19395,1237,22199,50,2556,152,2754,316,4878,363,5561,121,2122,114,2362,90,2025,107,2216,171,5169,344,5681,162,4443,325,4929,207,4544,296,5047,331,4731,255,5318,450,4261,246,4958,534,2253,162,2949,533,443,65,1045,2964,37431,2430,42827
2021,18,905,62,983,146,2006,145,2298,52,949,72,1073,36,825,62,918,77,2054,114,2255,68,1830,165,2056,89,1900,125,2105,109,1919,105,2133,152,1706,88,1942,169,820,63,1046,156,197,35,386,1068,15093,1034,17199,13,829,42,878,87,1891,121,2099,45,949,65,1055,34,855,45,931,67,2114,111,2292,62,2034,133,2228,95,2174,116,2383,123,2260,106,2497,204,1874,107,2179,231,1006,93,1329,331,269,84,681,1272,16255,1015,18547,28,1732,105,1855,230,3899,269,4397,95,1895,136,2129,67,1680,107,1851,144,4170,227,4543,126,3862,294,4287,181,4072,237,4493,237,4175,208,4622,352,3580,194,4121,397,1821,156,2376,487,464,118,1073,2343,31346,2051,35743
