SUA_CODE_2021,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
2010,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,7,0,9,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,3,0,6,0,3,0,12,0,0,0,3,3,11,0,5,0,9,0,40,0,0,0,11,0,25,0,14,0,14,0,72,6,10,0,45,12,25,4,13,7,14,4,130,8,8,0,53,7,18,3,3,4,11,0,119,13,6,0,76,8,28,4,7,0,10,0,149,65,21,5,139,18,27,5,12,0,5,0,295,84,11,0,129,12,17,0,0,0,3,0,259,71,8,0,90,6,12,0,5,0,0,0,194,45,7,0,37,9,5,0,0,0,0,0,107,77,5,4,61,3,15,9,4
2011,120,45,47,95,23,171,15,138,115,2612,52,3440,23,21,4,38,10,61,0,124,32,497,8,811,17,44,10,40,11,83,10,284,85,841,9,1423,7,31,3,28,5,91,3,362,43,709,17,1288,42,106,15,54,15,184,13,640,115,1870,30,3087,48,162,17,124,18,591,37,1334,213,1994,47,4578,128,482,41,309,48,1566,93,2364,401,3737,72,9234,213,866,86,718,136,3941,173,3126,542,4046,111,13963,470,1748,154,1801,283,7610,337,4033,791,5715,147,23082,1311,2956,248,5879,769,9873,585,4181,831,5533,174,32349,1706,2367,250,7649,1000,9893,530,3160,720,4266,148,31692,3492,2467,262,9815,1278,9360,613,2422,585,3602,118,34010,14099,4915,721,25714,3792,19459,1295,4179,991,6085,215,81466,17079,3716,667,28013,4198,8262,1060,2559,575,3431,135,69679,17973,2594,543,24064,3665,8696,842,1700,441,2281,90,62894,16697,1623,386,15512,2754,3614,547,967,224,1156,78,43557,63513,4040,1064,47567,7930,19746,1329,2600
2012,0,0,0,4,0,0,0,0,0,19,0,23,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,7,0,10,0,0,0,0,0,0,0,3,0,10,0,14,0,0,0,0,0,0,0,0,0,14,0,25,0,5,0,4,0,0,0,17,0,20,0,49,0,7,0,3,0,18,0,20,8,38,0,92,0,12,0,6,0,29,3,26,4,45,0,125,17,15,6,36,5,76,3,27,9,72,0,270,19,29,9,90,13,95,10,27,10,58,5,361,36,20,10,114,20,101,11,27,4,30,0,374,58,26,0,164,23,72,7,15,7,33,5,411,212,45,6,338,40,108,18,23,10,42,0,850,189,29,13,262,54,65,10,14,4,15,0,660,205,23,3,193,27,35,8,9,0,12,0,512,182,9,3,104,12,17,4,4,0,7,0,343,304,14,6,188,18,51,3,6
2013,0,0,0,0,0,0,0,0,0,8,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,7,0,11,0,0,0,0,0,0,0,4,0,10,0,10,3,4,0,4,0,6,0,9,0,19,0,44,0,5,0,4,4,12,0,15,0,23,0,67,4,9,0,6,0,25,3,18,3,30,0,107,3,3,0,34,6,27,0,22,3,32,4,142,9,14,0,47,8,33,3,8,3,22,0,146,16,9,4,64,10,28,5,9,5,13,0,162,43,8,5,133,24,58,4,16,3,12,0,320,61,19,4,113,15,12,0,8,0,6,0,244,50,9,4,88,4,19,0,3,0,4,0,191,29,3,0,47,4,10,0,0,0,6,0,99,98,3,0,98,10,32,0,3
2014,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,14,0,20,0,0,0,6,0,3,0,4,0,7,0,16,0,4,0,6,0,19,0,9,0,14,0,63,0,7,0,28,5,23,0,8,0,11,0,84,4,11,0,24,5,12,5,11,0,7,0,67,5,10,0,29,4,22,3,0,0,12,0,84,25,3,0,69,14,29,10,3,5,6,0,175,22,4,0,67,10,12,4,0,0,4,0,130,30,0,5,46,4,7,4,0,0,0,0,95,18,4,0,20,0,0,0,0,0,0,0,50,44,3,0,31,7,9,0,0
2015,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,6,0,9,0,0,0,0,0,0,0,3,0,13,0,16,0,0,0,0,0,5,0,15,0,18,0,39,0,13,0,4,0,11,0,11,0,15,0,59,3,9,0,20,0,26,0,8,0,14,0,95,4,3,0,26,6,25,3,7,0,9,0,88,13,13,5,45,4,21,0,6,0,6,0,105,39,14,0,88,11,54,9,7,4,11,0,233,37,7,3,89,11,13,6,0,0,3,0,168,57,5,0,83,7,18,3,4,0,4,0,177,46,0,0,47,4,5,0,0,0,0,0,106,89,9,0,92,5,30,0,4
2016,0,0,0,0,0,0,0,0,0,42,0,50,0,0,0,0,0,3,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,8,0,11,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,4,38,0,38,0,0,0,0,0,10,0,17,0,27,0,54,3,3,0,7,0,16,0,25,0,81,0,133,0,9,0,10,0,40,0,33,0,64,0,166,4,14,0,21,4,90,3,37,8,74,3,258,19,28,6,98,14,107,4,51,15,57,5,404,40,38,4,147,18,94,9,20,4,60,4,433,72,36,4,150,14,81,11,22,3,32,4,425,204,51,9,348,53,120,19,30,12,45,7,895,213,37,9,292,39,49,13,24,4,26,0,708,159,15,3,243,31,47,11,11,8,11,0,544,141,14,0,112,9,15,5,3,0,3,0,308,314,13,9,228,26,59,9,13
2017,0,0,0,0,0,3,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,11,0,0,0,0,0,5,0,0,0,7,0,8,0,3,0,3,0,17,0,4,0,4,0,30,0,7,0,6,0,9,0,3,0,11,0,40,5,4,3,28,3,19,0,8,6,15,0,93,8,0,0,34,10,16,4,6,0,4,0,82,20,6,0,30,0,18,4,0,0,3,0,89,51,8,5,102,14,27,3,5,0,5,0,218,44,0,0,74,18,12,0,9,0,4,0,167,39,0,0,31,0,11,0,0,0,0,0,91,27,0,0,24,0,6,0,0,0,0,0,59,48,4,0,52,0,17,0,0
2018,0,0,0,0,0,4,0,0,0,20,0,27,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,13,0,16,0,0,0,4,0,0,0,9,5,9,0,30,0,0,0,0,0,8,0,18,4,39,0,68,0,7,0,5,3,21,0,29,3,41,0,112,6,7,0,16,4,42,3,31,4,53,0,168,6,14,0,48,8,67,3,37,7,51,0,262,11,21,0,72,15,63,9,24,0,27,4,242,24,17,4,99,12,66,6,20,0,23,0,271,117,33,5,263,40,111,9,14,19,26,0,642,116,28,4,290,40,48,5,11,5,11,3,556,111,6,3,194,45,40,4,7,0,8,0,429,93,7,3,91,11,10,0,0,3,6,0,240,272,11,0,210,45,70,13,16
2019,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,4,0,8,0,5,0,0,0,4,0,0,3,7,0,19,0,0,0,4,0,3,0,3,0,16,0,29,0,0,0,12,0,18,4,10,6,18,0,71,3,12,4,40,4,24,5,11,3,24,0,130,18,6,0,59,7,32,0,9,5,11,0,146,13,7,0,56,4,30,3,13,0,7,0,137,93,19,4,145,22,34,7,11,0,11,0,351,81,17,3,116,15,14,8,4,3,4,0,273,76,7,3,76,6,14,3,4,0,3,0,194,51,7,0,41,9,8,4,0,0,0,0,106,93,10,0,74,17,14,7,0
2020,3,0,0,0,0,0,0,0,0,12,0,11,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,3,0,4,0,5,0,0,0,0,0,0,0,6,0,12,0,0,0,4,0,4,0,8,3,11,0,29,0,5,0,3,0,6,0,6,3,16,0,48,0,6,3,18,0,27,0,19,3,28,0,105,4,7,0,22,0,43,4,33,7,35,3,173,16,23,4,70,9,87,6,25,6,32,0,273,17,19,0,97,21,93,6,23,10,29,0,325,35,36,4,153,18,91,3,26,4,22,0,403,131,46,8,349,54,165,17,31,13,39,4,852,147,34,6,322,62,42,16,9,3,9,0,653,151,20,12,216,40,52,11,11,4,9,0,541,98,9,3,123,12,19,3,3,0,4,3,276,262,25,7,254,39,64,6,6
2021,0,4,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,3,0,14,4,30,0,3,0,5,0,20,0,12,0,14,0,48,0,10,0,11,3,49,0,24,0,31,0,132,0,30,0,78,16,54,0,26,3,33,0,247,7,21,0,102,16,40,3,12,0,18,0,229,28,17,4,114,14,44,3,16,3,12,0,254,116,39,6,327,45,74,14,18,10,23,0,677,117,31,9,272,30,50,11,9,0,9,0,533,120,18,4,205,27,29,8,5,3,3,0,418,113,10,0,106,14,25,10,4,0,4,0,276,201,13,9,235,23,51,3,8
