SUA_CODE_2021,F_ID_NS_0,F_ID_NS_1_19,F_ID_NS_20_29,F_ID_NS_30_34,F_ID_NS_35_39,F_ID_NS_40_44,F_ID_NS_45_49,F_ID_NS_50_over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_19,F_Tot_20_29,F_Tot_30_34,F_Tot_35_39,F_Tot_40_44,F_Tot_45_49,F_Tot_50_over,F_Tot_hours_NS,F_Tot_Tot,P_AgriForestFish_0,P_AgriForestFish_1_19,P_AgriForestFish_20_29,P_AgriForestFish_30_34,P_AgriForestFish_35_39,P_AgriForestFish_40_44,P_AgriForestFish_45_49,P_AgriForestFish_50_over,P_AgriForestFish_hours_NS,P_AgriForestFish_Tot,P_Min_0,P_Min_1_19,P_Min_20_29,P_Min_30_34,P_Min_35_39,P_Min_40_44,P_Min_45_49,P_Min_50_over,P_Min_hours_NS,P_Min_Tot,P_Mnfg_0,P_Mnfg_1_19,P_Mnfg_20_29,P_Mnfg_30_34,P_Mnfg_35_39,P_Mnfg_40_44,P_Mnfg_45_49,P_Mnfg_50_over,P_Mnfg_hours_NS,P_Mnfg_Tot,P_EGW_WS_0,P_EGW_WS_1_19,P_EGW_WS_20_29,P_EGW_WS_30_34,P_EGW_WS_35_39,P_EGW_WS_40_44,P_EGW_WS_45_49,P_EGW_WS_50_over,P_EGW_WS_hours_NS,P_EGW_WS_Tot,P_Cnstn_0,P_Cnstn_1_19,P_Cnstn_20_29,P_Cnstn_30_34,P_Cnstn_35_39,P_Cnstn_40_44,P_Cnstn_45_49,P_Cnstn_50_over,P_Cnstn_hours_NS,P_Cnstn_Tot,P_WTrade_0,P_WTrade_1_19,P_WTrade_20_29,P_WTrade_30_34,P_WTrade_35_39,P_WTrade_40_44,P_WTrade_45_49,P_WTrade_50_over,P_WTrade_hours_NS,P_WTrade_Tot,P_RTrade_0,P_RTrade_1_19,P_RTrade_20_29,P_RTrade_30_34,P_RTrade_35_39,P_RTrade_40_44,P_RTrade_45_49,P_RTrade_50_over,P_RTrade_hours_NS,P_RTrade_Tot,P_AccomFoodS_0,P_AccomFoodS_1_19,P_AccomFoodS_20_29,P_AccomFoodS_30_34,P_AccomFoodS_35_39,P_AccomFoodS_40_44,P_AccomFoodS_45_49,P_AccomFoodS_50_over,P_AccomFoodS_hours_NS,P_AccomFoodS_Tot,P_TransPostWhse_0,P_TransPostWhse_1_19,P_TransPostWhse_20_29,P_TransPostWhse_30_34,P_TransPostWhse_35_39,P_TransPostWhse_40_44,P_TransPostWhse_45_49,P_TransPostWhse_50_over,P_TransPostWhse_hours_NS,P_TransPostWhse_Tot,P_InfoMedTelecom_0,P_InfoMedTelecom_1_19,P_InfoMedTelecom_20_29,P_InfoMedTelecom_30_34,P_InfoMedTelecom_35_39,P_InfoMedTelecom_40_44,P_InfoMedTelecom_45_49,P_InfoMedTelecom_50_over,P_InfoMedTelecom_hours_NS,P_InfoMedTelecom_Tot,P_FinInsurS_0,P_FinInsurS_1_19,P_FinInsurS_20_29,P_FinInsurS_30_34,P_FinInsurS_35_39,P_FinInsurS_40_44,P_FinInsurS_45_49,P_FinInsurS_50_over,P_FinInsurS_hours_NS,P_FinInsurS_Tot,P_RentHirREserv_0,P_RentHirREserv_1_19,P_RentHirREserv_20_29,P_RentHirREserv_30_34,P_RentHirREserv_35_39,P_RentHirREserv_40_44,P_RentHirREserv_45_49,P_RentHirREserv_50_over,P_RentHirREserv_hours_NS,P_RentHirREserv_Tot,P_ProScieTechServ_0,P_ProScieTechServ_1_19,P_ProScieTechServ_20_29,P_ProScieTechServ_30_34,P_ProScieTechServ_35_39,P_ProScieTechServ_40_44,P_ProScieTechServ_45_49,P_ProScieTechServ_50_over,P_ProScieTechServ_hours_NS,P_ProScieTechServ_Tot,P_AdminSupServ_0,P_AdminSupServ_1_19,P_AdminSupServ_20_29,P_AdminSupServ_30_34,P_AdminSupServ_35_39,P_AdminSupServ_40_44,P_AdminSupServ_45_49,P_AdminSupServ_50_over,P_AdminSupServ_hours_NS,P_AdminSupServ_Tot,P_PubAdmiSafety_0,P_PubAdmiSafety_1_19,P_PubAdmiSafety_20_29,P_PubAdmiSafety_30_34,P_PubAdmiSafety_35_39,P_PubAdmiSafety_40_44,P_PubAdmiSafety_45_49,P_PubAdmiSafety_50_over,P_PubAdmiSafety_hours_NS,P_PubAdmiSafety_Tot,P_EducTrain_0,P_EducTrain_1_19,P_EducTrain_20_29,P_EducTrain_30_34,P_EducTrain_35_39,P_EducTrain_40_44,P_EducTrain_45_49,P_EducTrain_50_over,P_EducTrain_hours_NS,P_EducTrain_Tot,P_HealthCareSocA_0,P_HealthCareSocA_1_19,P_HealthCareSocA_20_29,P_HealthCareSocA_30_34,P_HealthCareSocA_35_39,P_HealthCareSocA_40_44,P_HealthCareSocA_45_49,P_HealthCareSocA_50_overr,P_HealthCareSocA_hours_NS,P_HealthCareSocA_Tot,P_ArtRecServ_0,P_ArtRecServ_1_19,P_ArtRecServ_20_29,P_ArtRecServ_30_34,P_ArtRecServ_35_39,P_ArtRecServ_40_44,P_ArtRecServ_45_49,P_ArtRecServ_50_over,P_ArtRecServ_hours_NS,P_ArtRecServ_Tot
2010,7,21,10,11,4,6,3,6,28,88,245,761,666,554,779,533,151,180,58,3924,24,45,24,38,56,104,27,96,18,427,13,0,0,0,10,11,4,27,0,56,10,49,10,19,88,86,22,37,0,324,10,7,6,11,36,62,16,15,0,161,27,49,34,31,149,282,87,110,12,777,5,17,14,18,78,90,20,29,0,271,42,237,150,98,190,118,45,46,11,944,44,179,74,34,51,42,10,46,5,474,10,26,32,17,48,73,22,82,10,324,4,4,0,0,27,15,7,6,0,72,3,10,14,12,43,48,7,15,0,156,0,9,4,0,19,13,5,13,0,62,5,31,27,32,90,65,22,21,0,293,12,69,37,11,52,36,8,6,6,231,30,20,25,30,178,133,21,37,5,479,24,85,103,74,140,81,53,87,3,659,87,201,263,282,299,274,59,81,9,1556,7,31,17,15,20,10,0,0,0,102
2011,2094,6774,5621,3254,9074,6983,1153,2114,7987,45073,71664,210812,180913,116493,239644,192186,45784,75271,16307,1149080,533,1938,1722,1247,3175,2893,771,1786,184,14248,266,198,185,151,480,1046,409,1356,56,4138,4143,12575,11482,8575,49843,44291,12799,19913,1092,164711,743,945,1204,1187,7412,7811,2030,3512,171,25022,6077,14976,15905,12359,39543,72118,17903,36867,3121,218868,2036,5063,5404,4009,20539,20459,5589,8913,367,72386,14415,59035,36214,17733,41731,31482,8347,14061,2097,225108,15191,56409,25689,9461,16103,11517,3106,6964,1815,146244,5406,10978,13467,7396,24838,29013,8555,15882,1698,117223,1937,3644,3040,2191,11364,12319,2861,5509,279,43147,3885,4527,6901,5619,27062,40953,7944,16000,662,113550,1393,3580,3607,2331,9299,9627,2572,5482,294,38180,6122,19193,18766,13717,50149,72485,15875,33926,1206,231445,3969,14944,13787,6296,16657,13286,2903,5324,874,78039,6930,8048,9728,8142,39857,33957,9220,12905,889,129684,9697,37383,27704,18434,44390,33560,12675,24309,1262,209415,17063,47541,56779,48692,66011,53389,11619,20692,2599,324384,6199,9643,4981,3085,7021,6856,1552,3372,354,43060
2012,30,71,49,32,77,43,9,12,123,454,710,2101,1808,1287,2704,1562,415,740,282,11596,68,220,234,187,458,408,155,421,52,2202,25,7,5,5,17,50,18,117,0,245,35,102,67,65,340,415,104,177,20,1316,6,9,8,9,92,142,26,42,7,342,53,114,119,102,338,624,156,347,35,1886,18,39,29,29,162,178,52,131,5,653,138,722,400,218,491,283,82,146,42,2525,140,533,264,102,245,121,27,128,25,1591,55,80,73,50,165,207,78,253,19,991,8,23,17,5,43,35,15,12,0,154,16,17,42,19,78,75,25,45,0,322,10,22,26,25,79,50,16,25,0,262,25,89,87,61,228,183,50,121,7,845,48,157,114,85,202,153,50,80,20,908,85,88,79,65,400,377,91,100,14,1306,79,243,253,220,536,288,138,264,27,2044,210,393,545,533,981,624,104,209,44,3636,24,45,35,18,47,28,8,12,3,221
2013,13,12,16,7,16,25,0,9,34,131,305,954,805,548,805,493,123,185,96,4305,15,36,32,22,38,51,12,59,9,273,14,5,3,3,19,21,19,27,3,121,24,34,33,20,176,156,95,75,15,636,24,18,17,20,175,123,43,81,9,509,32,44,69,48,174,358,73,148,25,974,5,11,4,6,36,32,19,24,0,141,51,244,154,95,164,108,17,40,27,897,53,225,77,29,44,36,7,18,10,496,18,33,28,16,38,79,24,67,7,303,0,9,9,4,34,7,5,3,0,76,9,19,24,9,65,27,9,3,0,161,4,12,9,8,34,16,4,13,0,104,14,39,33,28,44,57,17,27,8,256,20,80,34,22,63,23,4,14,0,264,44,68,76,44,158,134,39,32,3,606,30,122,110,96,146,72,33,51,6,668,97,243,297,262,253,171,44,69,12,1443,7,28,15,5,8,10,0,3,0,75
2014,6,17,7,4,3,3,0,6,16,62,175,569,410,255,373,276,81,131,32,2302,10,31,13,14,49,47,14,36,8,223,8,0,0,0,0,0,0,0,0,16,40,35,40,20,139,275,59,79,7,699,0,4,8,3,22,21,9,7,0,75,13,24,13,14,69,137,16,53,0,340,0,12,14,9,31,24,7,10,0,113,11,155,60,36,68,44,8,16,3,401,40,156,58,17,28,22,10,30,3,369,15,41,30,16,42,49,16,88,5,311,0,5,5,4,4,4,0,0,0,25,4,0,3,4,18,3,0,4,0,44,6,0,3,0,21,7,4,5,0,51,8,23,15,4,20,23,4,8,0,111,10,45,24,11,21,21,4,0,0,131,15,28,33,19,68,72,20,24,0,280,21,74,53,51,71,52,30,56,0,405,65,132,158,122,131,109,23,28,11,765,9,23,11,6,8,3,0,4,0,66
2015,0,19,10,4,13,17,0,6,23,85,198,706,598,379,553,456,114,195,51,3250,0,33,32,21,45,47,15,45,0,239,18,0,8,8,26,45,16,55,0,174,6,19,18,9,78,58,25,40,0,262,9,5,3,3,35,36,4,13,0,108,13,27,37,26,99,197,52,103,4,561,7,6,3,3,14,28,5,11,0,80,37,224,116,55,130,85,24,36,3,720,38,186,68,23,42,22,14,33,6,418,6,18,19,8,34,48,17,28,6,171,0,10,3,3,15,14,4,6,0,47,4,9,4,4,16,15,3,8,0,63,0,0,8,14,32,16,5,11,0,86,5,41,39,19,61,65,19,29,0,275,8,58,25,19,36,27,3,6,0,174,44,53,32,24,209,269,72,132,11,848,29,106,90,61,124,84,48,78,4,626,87,150,241,211,168,204,44,66,11,1182,13,21,8,4,8,9,0,9,0,71
2016,24,69,47,15,54,41,13,16,96,384,674,2163,1798,1433,2396,1644,392,625,207,11338,37,115,130,109,323,286,75,169,35,1269,6,0,0,0,4,4,0,20,0,36,64,149,98,100,512,608,305,262,26,2126,27,11,19,15,114,166,36,52,0,452,65,125,114,117,410,726,184,348,24,2111,15,37,29,20,143,137,54,93,0,524,126,666,383,213,486,285,100,132,24,2412,128,588,209,91,162,132,21,98,27,1452,44,78,92,38,171,207,83,206,10,934,14,28,8,14,59,29,5,19,3,170,12,20,29,28,93,74,26,28,6,306,9,28,24,12,54,49,14,36,0,224,32,108,96,76,241,197,53,129,0,938,31,134,96,62,174,132,32,76,8,740,57,91,65,70,273,268,55,104,4,990,102,246,250,217,486,339,136,229,13,2009,229,546,702,740,911,733,130,240,35,4272,29,49,23,12,34,26,5,15,4,195
2017,4,16,7,11,16,7,0,0,25,78,164,498,428,311,528,388,80,125,42,2568,17,41,46,32,112,96,24,97,5,473,0,0,0,0,0,5,0,6,0,8,8,41,21,36,115,113,37,54,3,436,0,5,0,0,11,17,5,12,0,55,8,24,17,19,64,194,50,81,4,459,7,13,7,3,31,60,20,21,0,170,35,124,80,42,86,85,28,37,9,516,39,153,73,25,55,20,3,34,3,391,10,8,27,9,33,64,17,37,4,215,6,3,0,5,8,12,3,0,0,34,0,5,6,9,24,17,4,15,0,86,0,4,0,5,11,5,0,9,0,38,0,22,15,18,33,49,9,26,0,175,3,36,25,9,26,16,3,5,0,131,16,16,21,6,85,64,17,22,3,254,22,67,85,51,107,77,18,59,3,486,50,102,125,125,170,172,23,53,7,824,5,15,8,6,16,8,0,3,0,48
2018,20,37,30,27,32,28,7,13,56,246,636,1800,1649,1113,1841,1103,312,465,136,9043,18,38,40,21,43,54,22,100,3,343,19,0,8,3,34,55,20,65,0,211,42,69,47,47,343,287,262,119,16,1233,50,33,41,34,322,239,98,168,8,984,58,80,73,72,312,598,148,288,26,1651,9,30,14,16,81,78,32,43,5,301,115,597,305,182,341,192,55,106,19,1919,116,558,249,84,117,83,25,75,18,1324,31,65,53,38,100,125,45,130,10,596,10,25,17,13,111,49,9,19,7,278,5,22,25,18,79,79,15,35,3,274,12,20,21,9,58,36,18,33,0,206,21,72,67,38,134,174,29,60,10,607,25,134,83,53,86,65,11,26,9,493,106,127,185,137,482,335,94,114,10,1589,76,192,195,139,305,164,84,174,9,1342,195,384,639,548,673,487,110,158,31,3225,33,66,28,12,25,13,7,5,0,186
2019,7,21,21,15,20,17,4,5,16,124,321,892,785,621,900,601,148,228,46,4552,8,22,24,11,30,35,9,38,4,190,4,0,0,0,5,0,0,5,0,14,27,50,54,40,291,200,55,101,3,826,0,0,7,4,11,14,4,9,0,52,22,57,46,47,122,267,59,142,8,769,7,17,14,11,34,41,15,18,0,155,65,264,148,92,185,118,32,49,10,970,65,326,92,53,87,56,15,47,6,737,12,37,32,22,51,73,27,89,9,353,3,7,6,3,25,11,6,8,0,65,3,10,11,13,32,35,9,11,3,137,0,11,10,6,18,23,5,14,0,81,3,39,30,33,66,56,23,33,4,285,24,89,43,30,98,26,6,17,0,332,27,29,47,38,142,151,34,43,0,505,39,94,100,87,215,101,40,83,0,761,126,202,351,365,349,318,75,116,15,1920,6,19,7,3,22,7,9,12,0,84
