SUA_CODE_2021,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
2010,20,0,0,0,20,0,0,20,580,58,8,0,649,0,0,0,650,20,0,665,1078,127,23,15,1239,9,3,9,1248,41,3,1288,118,16,6,0,141,0,0,0,141,0,0,139,10,0,0,13,18,0,0,0,18,0,0,18,1780,197,37,33,2038,15,3,16,2057,59,4,2119,3,4,0,0,7,0,0,0,7,0,0,11,22,7,0,0,29,0,4,5,33,0,0,33,28,12,0,0,37,0,4,5,39,0,0,48,1801,206,37,33,2077,10,5,24,2100,58,4,2158,329,56,29,4,420,0,0,4,424,68,0,489,3,3,0,6,14,0,0,0,14,0,3,15,2141,261,66,39,2508,20,8,30,2536,124,3,2668
2011,28307,646,239,888,29195,4715,125,34033,217052,27088,3989,1037,249172,4379,1119,5504,254674,13399,397,268470,257549,43019,4835,1753,307148,3569,964,4532,311678,11959,442,324080,33700,4812,4192,339,43041,445,103,546,43585,1523,78,45185,2951,443,118,3338,6852,122,34,157,7006,503,648,8153,511250,75371,13130,6464,606213,8510,2222,10732,616947,27383,1561,645892,6582,1325,173,158,8239,1160,128,1287,9526,741,26,10294,10757,2197,253,267,13484,988,488,1476,14963,1014,56,16028,17345,3525,429,425,21722,2147,616,2761,24485,1751,83,26323,528594,78895,13559,6895,627939,10652,2843,13491,641437,29140,1641,672210,138354,31486,4770,4479,179091,6096,1661,7752,186845,37538,935,225319,1255,386,33,1699,3378,54,4,61,3439,282,2926,6655,668198,110764,18369,13080,810408,16803,4505,21313,831718,66958,5513,904181
2012,66,0,0,0,62,8,0,74,1984,242,46,9,2274,15,6,26,2304,109,3,2416,2370,381,50,31,2830,38,8,45,2877,111,13,2997,302,49,42,9,398,0,0,0,398,25,0,419,28,8,0,55,89,0,0,0,89,18,4,117,4682,682,138,100,5603,54,16,71,5672,262,17,5951,19,4,0,0,30,31,0,31,56,13,0,67,42,12,4,8,58,8,9,13,78,14,0,88,60,19,4,7,88,39,9,41,129,29,0,161,4745,696,141,105,5687,92,24,115,5800,291,17,6112,995,197,28,54,1271,43,13,58,1327,383,11,1728,17,3,0,7,24,0,0,0,24,6,38,70,5757,899,171,163,6985,137,32,171,7153,681,68,7907
2013,29,0,0,0,31,4,0,33,464,57,3,3,534,11,0,14,547,29,0,580,987,120,21,18,1151,25,5,28,1173,63,0,1238,132,12,15,5,170,5,0,5,173,9,0,183,15,3,0,22,39,3,0,3,40,5,3,46,1594,201,46,49,1890,40,5,51,1941,105,8,2047,9,5,0,0,12,0,0,0,13,5,0,15,23,6,0,0,26,5,0,9,33,0,0,36,34,4,0,0,38,7,0,8,47,4,0,55,1631,206,41,49,1931,49,7,57,1985,108,8,2100,387,57,26,27,499,29,0,30,522,116,8,649,12,0,0,4,6,0,0,0,6,3,10,23,2021,262,71,81,2438,75,12,85,2520,231,27,2775
2014,8,0,0,0,8,0,0,5,237,41,7,4,284,3,0,3,288,21,0,308,486,77,21,8,595,3,3,6,600,14,0,616,75,9,6,6,94,0,0,0,99,3,0,99,7,0,0,3,9,0,0,0,9,0,9,16,798,128,31,23,986,11,4,17,997,35,9,1046,11,0,0,0,11,0,0,0,11,0,0,11,14,0,0,0,14,0,0,0,14,3,0,19,15,0,0,0,15,0,0,0,15,3,0,26,814,128,31,23,1001,11,4,17,1016,41,9,1068,184,24,6,24,242,13,7,18,259,48,0,311,7,0,0,0,7,0,0,0,7,0,3,11,1007,160,38,47,1251,20,13,30,1288,94,14,1393
2015,18,0,0,0,18,0,0,17,478,65,7,0,552,4,3,6,563,20,0,584,827,120,11,12,967,5,11,10,979,50,0,1033,70,10,18,0,99,0,0,0,99,0,0,101,9,0,4,4,15,0,0,0,15,0,6,21,1387,196,34,19,1636,3,12,21,1654,71,6,1733,13,0,0,0,13,3,0,3,14,0,0,14,15,3,0,0,15,0,0,0,15,0,0,20,28,3,0,0,30,3,0,3,32,6,0,34,1416,201,34,19,1663,8,12,26,1687,75,6,1766,363,47,11,4,421,18,0,15,438,78,0,519,0,0,0,4,4,0,0,0,4,0,5,5,1783,244,42,25,2087,26,14,42,2133,157,8,2295
2016,95,3,0,3,99,27,0,126,1787,263,31,5,2090,29,21,49,2143,115,6,2258,2625,410,55,15,3107,28,10,42,3147,112,5,3262,260,59,49,6,373,0,0,5,379,28,5,407,23,0,0,45,76,0,0,0,76,10,3,85,4706,735,135,70,5649,56,30,94,5737,258,19,6011,36,0,0,0,36,4,5,10,51,9,0,58,45,12,0,5,59,9,5,16,75,25,0,102,83,12,0,5,97,15,11,31,126,31,0,157,4788,751,135,76,5750,77,45,120,5864,287,19,6172,1171,328,48,50,1597,102,51,154,1748,919,16,2684,14,8,0,17,41,0,0,0,41,0,51,95,5973,1084,184,144,7382,180,98,271,7656,1205,82,8949
2017,16,0,0,0,20,0,0,20,388,38,0,0,424,12,0,12,438,23,0,465,668,61,4,4,743,8,0,7,745,13,0,759,89,5,7,0,105,3,0,3,110,0,0,108,5,3,0,5,18,0,0,0,18,0,0,18,1158,107,17,11,1290,16,4,20,1308,32,0,1342,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,3,4,0,4,6,0,0,6,3,0,0,0,3,4,0,4,6,0,0,13,1164,107,17,11,1292,20,4,24,1314,39,0,1356,262,34,0,6,310,5,3,8,321,51,0,368,0,0,0,0,3,0,0,0,3,0,3,7,1425,145,15,22,1605,25,6,32,1637,88,5,1733
2018,56,4,0,4,56,10,0,72,1206,169,37,5,1418,26,13,38,1454,77,0,1528,2134,267,49,16,2460,44,5,58,2517,102,5,2625,305,31,26,0,365,4,0,9,371,16,0,391,20,0,4,12,34,0,0,0,34,6,5,44,3660,463,118,38,4284,77,21,99,4379,189,17,4587,26,10,0,8,42,5,0,5,50,4,0,53,59,5,0,6,71,10,0,11,89,3,0,90,87,16,0,11,112,20,0,18,137,7,0,144,3743,481,121,50,4401,95,19,119,4516,200,17,4733,734,150,31,35,947,36,21,55,1002,257,8,1267,7,0,0,6,13,0,0,0,13,0,27,43,4487,629,148,89,5356,131,43,174,5533,456,55,6044
2019,16,0,0,0,16,0,0,22,725,82,9,3,826,9,3,8,836,43,0,882,1012,159,23,16,1212,4,0,8,1214,43,0,1261,140,33,23,0,202,0,0,3,203,4,0,206,0,0,0,4,6,0,0,0,6,5,0,10,1884,281,61,25,2246,9,4,16,2261,97,0,2357,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,13,0,0,0,13,0,0,9,7,0,4,0,13,0,0,0,15,0,0,15,1896,279,60,25,2259,11,4,17,2275,95,0,2374,295,58,9,15,379,15,0,16,396,62,0,459,10,0,0,0,15,0,0,0,15,0,19,27,2198,337,76,33,2650,26,13,38,2683,152,20,2861
2020,120,0,0,0,120,4,0,128,1404,231,36,16,1683,14,6,15,1700,96,0,1802,2729,377,53,19,3178,24,4,29,3207,95,5,3311,392,49,30,0,463,3,0,3,469,11,5,486,34,0,0,44,77,0,3,3,79,3,0,85,4549,652,125,89,5411,36,16,58,5466,205,10,5679,21,3,0,0,22,0,0,0,22,5,0,23,74,8,3,0,90,3,0,3,94,0,0,99,91,12,3,0,114,3,0,3,117,4,0,124,4643,661,129,88,5520,42,16,62,5584,208,10,5801,1167,168,43,26,1408,34,0,34,1442,129,7,1581,12,0,0,3,13,0,0,0,13,4,13,37,5819,830,177,116,6943,75,18,93,7039,354,28,7412
2021,59,0,0,0,60,3,0,62,1067,155,16,3,1240,12,12,23,1258,65,0,1328,2414,288,42,9,2754,9,10,18,2771,71,0,2843,298,32,22,10,362,0,0,0,362,0,0,362,24,0,0,18,43,0,0,0,43,0,6,49,3795,475,84,34,4392,23,16,41,4433,137,6,4577,3,0,0,0,3,0,0,0,10,0,0,10,39,3,0,0,40,0,0,0,40,0,0,40,40,3,0,0,54,0,0,0,50,0,0,50,3841,476,84,34,4446,26,16,42,4481,137,6,4629,564,96,25,7,692,8,0,8,707,84,0,786,10,0,0,4,14,0,0,0,14,0,14,25,4414,577,116,47,5144,35,16,52,5193,223,24,5442
