SUA_CODE_2021,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_North_Macedonia_0_4,M_North_Macedonia_5_14,M_North_Macedonia_15_24,M_North_Macedonia_25_44,M_North_Macedonia_45_54,M_North_Macedonia_55_64,M_North_Macedonia_65_74,M_North_Macedonia_75_84,M_North_Macedonia_85ov,M_North_Macedonia_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Samoa_0_4,M_Samoa_5_14,M_Samoa_15_24,M_Samoa_25_44,M_Samoa_45_54,M_Samoa_55_64,M_Samoa_65_74,M_Samoa_75_84,M_Samoa_85ov,M_Samoa_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot
2012,0,0,0,6,9,4,0,0,0,29,0,0,0,5,0,5,3,0,3,18,0,0,0,16,3,23,91,72,54,256,0,0,0,0,0,0,0,0,0,5,0,0,3,17,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,5,16,76,390,78,24,8,0,0,597,0,0,0,0,0,0,0,3,0,7,0,0,0,7,0,0,0,0,0,12,0,0,4,7,0,0,0,0,0,12,0,0,3,33,5,0,0,0,0,38,0,0,0,4,0,5,19,9,3,35,0,21,22,57,39,29,29,13,6,203,0,0,0,0,0,0,0,0,0,3,0,8,8,10,6,4,0,0,0,37,0,0,0,0,0,0,0,0,0,0,9,7,21,77,13,0,0,0,0,127,0,0,0,0,0,0,0,0,0,4,0,3,4,10,6,5,5,0,0,29,0,0,0,9,7,9,11,9,0,54
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,12,0,0,0,0,0,4,16,3,7,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,0,0,12,0,0,0,3,0,10,22,20,13,76,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,0,0,0,9,13,25,45,16,101,0,0,4,22,12,19,26,6,3,92,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,11,15,0,0,5,0,0,33,0,0,0,5,0,4,5,0,0,6,0,0,0,18,0,0,0,0,0,19,0,0,0,4,5,8,16,17,8,64
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,4,0,0,0,0,0,0,3,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,4,0,0,0,0,0,3,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,0,14,13,4,35,0,7,0,8,14,21,11,3,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,4,3,7,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,5,0,24
2015,0,3,0,0,0,0,0,0,0,9,0,0,0,3,0,0,6,0,0,8,0,0,0,0,0,4,10,3,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,13,3,0,4,0,0,19,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,10,0,0,0,3,0,0,9,22,6,45,0,5,3,21,10,16,10,8,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,10,0,0,0,0,0,4,0,0,0,3,0,3,8,12,0,8,0,0,0,30,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,4,6,4,4,3,0,26
2016,0,21,23,116,45,40,13,0,0,261,0,4,4,5,6,5,10,4,0,31,0,0,0,9,10,31,88,101,49,290,0,0,0,0,3,0,0,0,0,5,0,0,0,3,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,3,3,19,23,206,42,17,6,0,0,314,0,0,0,0,0,0,0,4,0,7,0,0,6,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,3,7,36,6,0,0,0,0,52,0,0,0,0,3,9,21,20,4,54,0,31,46,52,37,36,20,14,3,243,0,0,0,5,0,8,14,11,3,33,4,35,24,76,13,3,3,0,0,157,0,0,0,0,0,0,5,0,0,7,0,31,34,142,28,9,4,0,0,251,0,0,0,0,4,0,0,0,0,3,0,5,16,30,14,9,6,0,0,78,0,0,0,3,4,6,15,12,0,55
2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,17,15,15,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,9,66,3,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,13,0,0,0,0,0,0,8,0,0,10,0,0,0,0,3,7,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,3,28,13,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4
2018,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,8,10,4,48,0,0,5,0,10,23,78,58,45,214,0,0,0,7,4,0,0,0,0,18,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,5,10,4,4,0,0,0,40,0,0,0,0,0,8,41,16,10,78,0,0,0,3,0,0,0,0,0,6,0,0,0,33,8,0,5,0,0,50,0,0,0,6,0,0,0,0,0,14,0,0,0,4,6,9,60,52,15,149,0,10,13,70,35,43,35,10,0,216,0,0,0,0,0,0,5,0,0,4,0,4,0,23,5,0,0,0,0,33,0,0,0,0,0,0,0,0,0,4,5,14,20,62,19,6,8,0,0,134,0,0,0,8,3,0,12,0,0,27,0,0,0,0,0,4,0,0,0,9,0,0,5,4,10,33,44,28,4,118
2019,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,11,0,0,0,0,0,8,35,39,16,106,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,6,0,0,0,26,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,36,0,0,0,0,0,8,19,13,7,41,0,0,0,14,10,13,15,5,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,12,3,28,4,3,3,0,0,56,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,6,0,4,0,5,3,3,5,8,0,37
2020,0,0,0,4,0,0,0,0,0,7,0,0,0,15,3,4,9,6,0,40,0,0,0,6,0,16,24,21,4,70,0,0,0,3,5,0,0,0,0,9,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,15,0,0,0,0,0,5,0,0,0,5,0,0,0,8,0,5,6,0,0,22,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,16,53,56,10,143,0,4,17,79,41,46,34,15,3,253,0,0,0,0,0,0,0,0,0,0,0,0,5,3,6,0,0,0,0,12,0,0,0,3,0,0,6,0,0,12,0,0,8,18,8,0,0,0,0,39,0,0,0,4,3,0,11,0,0,20,0,0,0,6,0,0,0,0,0,9,0,3,3,6,6,20,27,30,4,96
2021,0,0,0,0,0,0,0,0,0,5,0,0,0,13,9,6,8,8,0,44,0,0,0,5,0,3,9,3,0,19,0,0,0,4,0,0,0,0,0,4,0,0,4,14,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,4,0,0,5,7,4,6,4,0,0,29,0,0,0,0,0,0,0,4,0,4,0,0,0,3,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,6,0,0,0,16,0,0,0,0,0,18,0,0,0,6,5,5,19,12,11,56,0,12,19,56,35,27,29,7,5,189,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,11,3,35,3,0,0,0,0,60,0,0,0,9,0,0,0,3,0,6,0,0,0,6,0,0,0,0,0,6,0,0,0,7,5,9,18,8,6,56
