SUA_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arrival_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,United_States_America_2016,United_States_America_2017,United_States_America_2018,United_States_America_2019,United_States_America_2020,United_States_America_2021,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arrival_NS,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_NS,Tot_Tot
2010,0,0,0,0,4,6,37,21,10,8,20,12,3,0,3,124,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,13,0,0,12,4,0,0,0,3,39,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,14,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,7,17,19,0,4,4,0,0,0,0,50,9,29,72,23,12,6,21,15,4,0,8,0,0,0,14,214,0,0,0,5,0,0,0,10,0,0,0,6,0,0,0,24,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,15,8,11,12,11,16,6,66,32,8,5,14,14,5,0,4,219,33,108,114,72,63,62,284,214,42,58,87,59,39,0,34,1260
2011,13,28,176,1982,9485,7119,14661,10429,2606,2572,2979,4041,1330,318,881,58626,761,936,1137,1193,4996,1621,970,558,124,118,96,92,32,16,294,12935,36,90,286,937,1912,1919,5704,2797,685,722,642,606,348,131,180,16990,25,136,495,2228,4323,4268,8053,3071,753,882,774,916,374,171,258,26728,59,323,1639,2870,7723,8841,18880,10786,2330,2580,3067,3501,1301,254,855,65006,0,4,13,103,1163,1717,2025,1857,454,477,619,537,183,51,160,9342,6,7,54,326,1568,1688,4842,3439,1147,963,1041,1223,414,92,431,17230,3374,12794,31926,21113,18088,11796,26741,15297,2579,2735,2626,2785,1149,497,3687,157197,60,167,596,1456,1691,2428,4595,3524,798,979,1003,1157,693,312,450,19909,5,16,141,9578,25797,15868,14159,10348,2419,2351,2248,2756,1351,332,3088,90464,3279,11602,22227,30961,37776,42904,57888,36341,10824,10263,10784,12329,4383,1241,6620,299429,14006,69288,130078,116759,182367,185400,396842,267290,67066,70993,76910,87615,31990,9527,36278,1742428
2012,0,0,0,0,28,28,48,87,28,26,21,38,27,3,12,348,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,12,0,0,0,0,0,3,9,0,0,4,0,0,0,0,0,15,0,0,0,3,8,10,30,25,6,8,4,15,7,0,0,116,0,0,3,0,0,6,14,24,4,3,4,6,0,0,0,74,0,0,0,0,0,0,14,27,11,11,13,27,10,0,6,116,0,0,0,0,6,14,32,54,14,10,13,16,3,0,10,180,36,105,214,133,65,47,84,54,16,12,10,3,3,0,40,828,0,0,0,5,10,5,17,10,4,0,0,5,0,0,0,59,0,0,0,5,41,45,67,47,10,17,37,9,16,6,30,330,23,54,90,123,126,179,187,120,29,22,68,125,35,41,49,1278,143,524,620,413,447,515,1044,1081,397,427,507,612,217,62,317,7321
2013,0,0,0,3,40,22,32,28,9,11,9,13,3,6,7,178,5,0,0,3,5,3,0,0,0,0,0,0,0,0,0,19,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,6,0,0,0,4,13,8,3,0,4,0,0,0,0,0,0,31,0,0,6,0,0,0,10,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,13,0,0,0,0,0,3,6,10,0,0,3,0,0,0,0,24,70,202,217,112,118,5,31,10,0,0,0,0,0,0,39,819,0,0,0,8,3,6,12,11,0,3,0,0,0,0,0,37,0,0,0,0,0,5,3,6,0,0,0,0,0,0,0,21,27,106,94,69,47,31,46,13,0,3,4,6,24,18,18,506,170,568,428,284,336,152,240,136,28,28,28,32,46,16,104,2594
2014,0,0,0,0,12,10,14,9,9,11,3,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,0,0,0,0,7,0,0,0,34,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,3,3,3,3,0,0,0,3,0,0,0,20,12,59,109,52,43,10,20,6,0,0,0,0,0,0,14,334,0,0,3,9,6,0,3,0,0,0,0,0,0,0,0,20,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,12,3,11,25,18,18,12,12,16,4,0,6,10,0,0,6,143,19,138,168,114,138,87,128,98,25,36,36,19,12,3,32,1051
2015,0,0,0,3,18,16,17,23,0,6,9,6,3,0,3,102,3,0,0,5,5,4,0,0,0,0,0,0,0,0,0,23,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,12,0,3,4,0,4,0,24,3,0,0,16,0,12,0,4,73,0,0,3,0,0,0,15,20,5,3,0,3,0,0,0,55,0,0,0,0,0,0,3,10,0,0,4,3,0,0,0,18,0,0,0,0,5,0,8,7,0,0,3,0,0,0,0,21,19,70,165,71,35,32,62,25,6,4,13,0,4,0,24,533,0,0,8,7,0,0,11,5,0,4,3,7,0,0,0,52,0,0,0,5,9,6,14,13,4,0,0,3,4,0,0,52,10,20,29,23,17,17,27,28,9,3,12,12,13,3,5,213,64,201,266,178,161,129,352,239,34,52,82,68,49,7,58,1940
2016,0,0,0,0,43,40,97,166,43,48,45,56,22,15,16,611,4,0,0,3,3,0,5,0,0,0,0,0,0,0,0,16,0,0,0,5,4,0,8,0,4,0,6,0,0,0,0,26,0,0,0,0,3,16,29,16,0,3,4,20,3,8,0,102,0,0,0,0,10,8,40,60,5,15,15,9,4,11,4,188,0,0,0,3,0,13,17,23,4,3,13,36,0,0,4,129,0,0,0,4,3,23,38,14,7,5,13,9,8,0,6,113,40,138,261,85,50,42,90,70,0,11,20,12,0,0,33,845,0,0,0,4,3,8,13,9,5,0,0,10,3,0,3,64,0,0,0,0,7,3,17,13,0,0,3,6,5,5,3,65,12,44,93,76,76,231,521,281,80,54,123,197,64,12,49,1900,133,673,675,333,346,805,2421,1934,518,551,654,761,266,104,310,10477
2017,0,0,0,0,5,9,19,30,9,12,13,13,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,10,11,7,0,0,0,6,0,0,0,45,0,0,0,0,0,0,4,3,0,3,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,8,6,16,32,10,14,0,13,6,0,0,4,0,0,0,3,116,0,0,0,0,4,0,4,3,0,0,0,0,0,0,0,11,0,0,0,0,4,3,6,14,5,57,41,9,0,0,8,144,0,0,8,3,7,10,31,18,3,5,6,8,5,5,5,107,9,91,89,28,49,48,245,283,59,149,175,135,24,21,51,1472
2018,0,0,0,4,65,43,61,73,18,18,24,56,10,6,17,397,9,0,4,0,31,0,3,0,0,0,0,0,0,0,0,51,0,0,0,0,0,4,12,0,0,0,0,0,0,0,0,14,0,0,0,5,5,12,48,16,9,4,0,0,0,4,6,110,0,5,5,5,8,8,30,36,10,6,13,7,3,0,3,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,4,4,27,32,5,4,7,5,4,0,0,95,101,314,404,186,125,32,86,51,8,6,13,8,0,9,74,1399,0,0,6,7,6,7,26,6,0,4,7,3,4,0,0,69,0,0,0,3,8,15,14,10,8,3,0,5,3,3,10,75,20,120,126,106,70,59,211,131,16,9,24,22,8,4,31,948,214,933,877,507,516,319,918,637,138,126,181,247,77,34,264,5980
2019,0,0,0,4,22,13,9,23,13,7,10,27,17,0,6,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,8,0,0,0,4,0,6,18,6,3,6,0,0,0,0,0,50,0,0,6,0,0,0,17,5,10,10,3,0,3,0,0,45,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,13,0,0,0,0,0,3,6,4,4,0,0,3,0,0,0,23,19,59,127,56,47,29,43,23,6,3,0,5,11,0,15,436,0,0,0,9,0,6,7,5,0,0,0,4,0,0,0,35,0,0,0,0,0,0,0,5,5,0,4,0,0,0,0,17,17,19,36,27,29,20,32,27,4,5,6,7,0,0,8,241,72,285,273,160,130,120,264,200,82,64,78,84,43,10,70,1949
2020,0,0,0,0,31,19,33,35,7,7,7,12,3,0,14,174,3,0,10,7,19,8,3,0,0,0,0,0,0,0,0,45,0,0,0,9,0,7,10,8,0,0,0,0,0,0,0,34,0,0,3,15,19,25,54,23,5,6,6,7,6,0,8,168,0,0,7,7,15,18,37,24,5,7,4,3,0,0,4,137,0,0,0,0,0,5,3,6,3,6,20,40,13,0,0,103,0,0,0,0,3,4,16,21,0,5,6,8,0,0,0,68,61,255,502,283,174,101,231,92,10,5,6,16,3,4,59,1793,3,0,6,17,9,11,19,7,0,15,6,4,0,0,0,95,0,0,0,0,3,8,16,15,0,0,0,6,9,0,3,58,16,56,113,95,126,61,135,65,8,25,11,28,11,4,23,790,144,656,851,579,606,434,918,477,103,131,124,197,68,17,161,5460
2021,0,0,0,4,20,17,35,40,16,16,22,28,7,0,3,221,3,0,0,0,4,0,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,12,0,0,0,3,7,14,34,19,9,5,3,23,0,10,0,121,0,4,0,0,6,3,23,40,11,4,4,14,4,0,0,115,0,0,0,0,0,0,6,18,0,12,9,4,0,0,0,57,0,0,0,0,0,3,24,18,13,8,12,5,0,0,0,82,22,104,235,88,75,45,86,58,4,6,5,13,0,0,28,779,0,0,6,11,10,6,9,14,5,0,0,3,0,3,0,70,0,0,0,0,3,0,5,9,5,16,16,60,6,0,5,113,8,5,28,26,30,36,82,56,8,15,28,62,29,4,15,412,44,221,334,222,258,267,619,448,121,148,216,318,83,27,100,3416
