SUA_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_NS,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arrival_NS,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1951,China_exc_SARs_Taiwan_51_60,China_exc_SARs_Taiwan_61_70,China_exc_SARs_Taiwan_71_80,China_exc_SARs_Taiwan_81_90,China_exc_SARs_Taiwan_91_00,China_exc_SARs_Taiwan_01_10,China_exc_SARs_Taiwan_11_15,China_exc_SARs_Taiwan_2016,China_exc_SARs_Taiwan_2017,China_exc_SARs_Taiwan_2018,China_exc_SARs_Taiwan_2019,China_exc_SARs_Taiwan_2020,China_exc_SARs_Taiwan_2021,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1951,Hng_Kng_SAR_China_1951_1960,Hng_Kng_SAR_China_1961_1970,Hng_Kng_SAR_China_1971_1980,Hng_Kng_SAR_China_1981_1990,Hng_Kng_SAR_China_1991_2000,Hng_Kng_SAR_China_2001_2010,Hng_Kng_SAR_China_2011_2015,Hong_Kong_SAR_China_2016,Hong_Kong_SAR_China_2017,Hong_Kong_SAR_China_2018,Hong_Kong_SAR_China_2019,Hong_Kong_SAR_China_2020,Hong_Kong_SAR_China_2021,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,9,0,0,0,0,0,3,7,10,0,0,0,0,0,0,0,30,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,3,0,0,0,0,0,0,0,8,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,56,46,11,10,16,19,12,0,4,176,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0
2011,0,0,3,29,535,2455,7032,7174,1170,1345,978,1391,531,453,411,23519,0,3,12,96,252,915,3754,2272,480,529,503,461,247,59,97,9663,9,89,369,803,889,1093,1831,1413,310,310,378,413,193,74,119,8292,126,420,726,1073,11494,17127,52088,35416,9178,9962,9489,11412,3772,775,2816,165872,51,1028,5692,1963,810,1914,653,187,34,17,16,31,7,3,353,12770,228,1349,2228,1044,1454,1385,2337,1685,244,275,331,215,111,44,329,13269,20,57,133,545,2658,2325,2941,1265,248,268,271,321,131,38,178,11407,2592,4257,2225,1181,1569,1395,2300,1227,255,279,285,338,152,72,498,18631,402,7836,23351,5768,1653,703,576,2091,254,212,152,161,59,18,1606,44848,45,154,463,1553,5326,5369,4177,2695,733,770,831,887,713,268,412,24383,240,184,2381,3443,6154,12016,81102,48315,13901,15783,21067,24098,7760,1700,3533,241697,48,148,209,492,1311,3837,5520,2623,782,934,970,1260,715,82,302,19239,12,15,69,233,1390,1225,4087,8815
2012,0,0,0,0,0,6,67,106,10,13,29,12,13,0,4,263,0,0,0,0,0,4,18,0,0,4,0,0,0,0,0,27,0,0,0,4,6,3,9,5,0,0,0,0,0,0,0,25,0,0,3,3,7,7,36,38,24,22,35,30,15,0,7,216,3,22,26,4,9,0,0,0,0,0,0,0,0,0,6,78,0,0,0,5,0,0,0,3,0,0,6,5,0,0,0,24,0,0,0,0,6,10,28,6,9,0,5,3,0,0,0,64,23,26,8,4,12,3,14,3,0,0,0,0,0,0,3,111,0,32,56,11,0,3,0,0,0,0,0,0,0,0,4,117,0,0,0,3,3,0,7,15,0,3,8,14,7,0,0,68,0,0,8,3,3,22,171,120,37,55,46,62,25,0,4,571,0,3,4,0,4,3,4,16,5,3,5,4,3,0,0,51,0,0,0,0,0,5,3,17
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,3,3,0,0,0,0,0,0,0,0,22,0,5,0,0,3,6,19,8,11,0,0,5,0,0,0,53,4,0,15,4,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,4,5,0,6,0,0,0,0,5,0,0,18,52,70,17,3,13,4,0,4,0,0,0,0,0,0,7,172,0,3,7,7,5,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,4,17,4,4,0,3,5,10,0,0,40,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,11,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,11,5,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,3,8,10,0,0,7,3,0,0,0,38,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,6,5,0,0,5,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,17,10,0,0,0,0,4,0,0,38,0,0,14,6,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,11,0,0,0,0,3,4,8,0,0,0,0,0,0,0,0,20,17,17,5,5,6,0,0,0,0,3,0,0,0,0,0,56,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,4,57,37,5,7,14,22,3,0,0,151,0,0,0,0,0,0,5,0,0,3,0,0,4,0,0,13,0,0,0,0,0,0,0,0
2016,0,0,0,0,0,38,235,269,46,47,27,41,17,12,16,745,0,0,0,0,0,8,8,7,7,0,0,3,5,0,0,38,0,0,0,3,4,6,10,4,0,5,4,0,0,0,0,34,0,0,0,5,18,10,58,41,20,22,32,26,0,0,8,234,0,5,15,3,0,8,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,15,8,3,0,8,8,0,0,0,47,0,0,0,0,3,6,9,16,0,3,5,16,11,0,0,80,19,25,14,0,4,7,15,3,0,0,0,0,0,0,4,96,12,51,40,3,3,4,4,6,3,0,0,4,0,0,5,141,0,0,0,0,0,7,6,10,0,0,0,0,5,7,5,40,5,0,3,16,21,56,708,403,98,107,143,179,76,13,41,1861,0,0,0,0,0,5,15,23,3,6,0,5,0,0,5,67,0,0,0,0,0,4,26,49
2017,0,0,0,0,0,0,13,33,0,0,0,8,0,5,4,66,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,15,12,0,22,37,0,0,0,4,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,62,48,14,17,21,37,4,0,0,209,0,0,0,0,0,0,16,4,0,8,7,9,6,0,0,44,0,0,0,0,0,0,0,3
2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,15,5,0,0,0,3,0,0,0,27,0,0,4,9,10,7,19,11,3,0,0,0,0,0,0,53,0,4,0,0,12,16,61,27,12,10,10,11,6,0,0,156,0,4,15,10,3,0,0,0,0,0,0,0,0,0,4,43,0,0,5,0,0,0,5,0,5,0,0,0,0,0,3,18,0,0,0,0,6,6,4,6,0,0,0,3,0,0,0,22,47,93,21,5,6,0,9,6,0,0,0,0,0,0,13,203,0,17,20,10,0,0,0,0,0,0,0,0,0,0,8,62,0,0,0,0,6,0,6,3,0,0,0,0,0,0,0,21,0,5,7,4,6,15,134,94,21,33,44,64,36,3,13,477,0,4,0,8,16,3,5,8,3,0,3,7,0,0,0,55,0,0,0,0,0,0,4,0
2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,4,3,0,0,0,0,0,0,0,20,0,0,0,0,0,3,6,7,0,4,0,0,0,0,0,31,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,17,28,6,3,0,0,4,0,0,0,0,0,0,0,0,67,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,4,0,37,25,16,13,16,24,0,4,0,148,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,9,0,0,0,0,0,0,0,0
2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,7,3,11,3,6,0,0,0,0,0,0,47,0,0,3,0,3,12,28,19,14,6,3,8,0,0,3,112,0,4,11,15,0,4,0,0,0,0,0,0,0,0,0,33,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,3,3,5,3,13,0,0,0,0,4,0,0,0,29,34,61,25,13,17,7,8,7,0,0,0,0,0,0,7,189,0,6,16,4,0,0,0,0,0,0,0,0,0,0,3,25,0,0,4,3,6,8,4,0,0,0,0,6,3,0,0,23,0,3,7,11,10,13,111,58,14,14,19,25,3,0,3,296,0,0,4,0,0,5,15,3,0,3,4,12,8,0,0,51,0,0,0,0,0,5,0,3
2021,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,3,4,0,0,11,4,0,5,4,3,0,0,0,34,0,0,0,3,3,4,45,16,21,34,54,49,5,0,8,241,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,4,3,4,0,10,4,0,0,5,0,0,0,0,24,0,0,0,0,0,3,13,3,0,0,0,0,0,0,0,21,10,14,3,4,0,3,9,4,0,0,0,0,0,0,0,57,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,4,4,56,42,9,10,15,20,7,4,3,180,0,0,0,0,0,0,8,12,3,0,5,0,10,0,0,39,0,0,0,0,0,0,0,9
