SUA_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
2010,35,50,86,585,813,1393,0,0,0,65,64,135,0,0,0,1139,1315,2455,105,135,243,28,19,48,4,10,18,6,7,12,549,643,1191,4,4,5,19,17,39,105,111,222,100,114,213,16,28,43,11,15,27,824,1057,1887,147,176,325,6,5,7,3706,4553,8260,77,79,154,42,29,73,0,6,5,0,0,0,22,20,37,14,17,31,32,34,64,3723,3452,7170,12,14,26,5,16,22,3739,3481,7220,586,542,1122,8217,8764,16985
2011,84559,105305,189862,115076,145124,260197,1818,1888,3707,28790,32820,61616,990,994,1982,472810,530323,1003131,2990,3770,6759,99323,105808,205127,4647,5964,10613,4565,4941,9510,5216,6637,11850,8985,9386,18368,8647,9946,18593,19710,22917,42627,24019,28525,52544,1835,2603,4433,3693,4353,8046,33218,46310,79524,60384,70413,130799,1541,1806,3348,898264,1034516,1932783,108220,94494,202708,133511,124310,257824,21866,23745,45611,94,101,202,45425,39240,84674,8210,9997,18206,53736,49337,103080,904736,859254,1763987,8053,6418,14468,3109,5199,8314,915899,870867,1786768,155229,143980,299211,2371285,2446560,4817843
2012,532,499,1034,2136,2616,4745,0,0,0,145,152,296,0,0,0,5001,5636,10636,81,125,211,268,251,514,72,97,168,40,46,89,231,297,531,20,15,31,86,110,195,280,331,612,399,502,901,42,69,109,175,198,372,966,1365,2330,560,625,1188,31,29,58,10521,12469,22992,197,154,353,617,516,1133,5,3,12,8,8,15,189,151,335,39,62,100,232,226,454,11471,10880,22350,56,41,95,33,42,76,11561,10969,22529,2599,2520,5117,26257,27360,53620
2013,39,60,101,1081,1307,2386,0,0,0,101,100,201,45,71,115,1870,2106,3974,5,4,15,103,101,207,89,116,203,37,34,70,21,26,51,0,0,3,14,21,30,92,118,218,233,308,546,28,46,77,17,29,46,189,291,476,187,209,399,11,7,19,4124,4913,9037,14,6,21,38,33,70,4,8,16,3,0,3,5,0,6,33,56,88,46,59,107,5482,5106,10589,39,26,66,6,24,34,5526,5168,10693,1005,958,1962,10799,11200,21997
2014,30,40,69,467,566,1033,0,0,0,94,95,188,0,0,0,681,798,1474,10,18,23,15,19,37,21,47,62,5,5,18,90,130,219,0,6,6,14,10,19,57,73,132,196,208,403,14,17,31,5,9,13,287,402,690,110,138,245,0,3,3,2081,2533,4610,25,27,54,10,6,15,4,5,7,0,0,0,8,7,12,8,17,22,13,22,37,2840,2613,5461,19,9,28,6,10,17,2873,2633,5508,502,430,933,5529,5700,11230
2015,52,76,131,921,1195,2120,0,0,0,112,140,250,26,34,62,1219,1578,2792,4,5,14,27,37,68,24,26,45,26,17,39,15,16,30,7,3,10,21,26,49,16,35,50,145,137,282,9,5,14,10,17,26,185,294,481,141,194,337,5,7,9,2911,3774,6680,86,70,151,44,38,86,0,0,9,0,0,0,22,24,49,17,37,53,41,64,104,3564,3359,6925,39,12,50,14,13,22,3614,3382,7004,573,563,1141,7328,7973,15301
2016,261,330,593,1980,2480,4459,0,0,0,231,247,479,61,56,116,5686,6316,12005,42,56,95,373,356,730,99,145,244,55,72,122,50,75,123,38,38,77,87,73,165,232,257,487,510,616,1129,30,53,86,27,35,58,931,1318,2248,634,729,1359,9,18,29,11077,12937,24013,487,429,917,2158,1979,4137,10,11,22,0,10,9,726,601,1330,75,99,178,807,702,1512,9280,8706,17991,50,29,78,32,48,76,9364,8783,18146,2263,2239,4499,26422,27417,53841
2017,54,70,121,417,596,1009,0,0,0,31,38,66,90,94,185,1140,1358,2496,40,52,89,0,9,7,4,14,24,0,3,3,9,11,21,0,0,3,11,13,25,25,38,62,120,149,272,3,8,15,0,4,6,265,416,682,99,144,245,0,0,0,2272,2940,5216,49,42,95,183,138,320,0,0,3,4,0,5,88,85,169,10,10,21,101,99,195,2236,2119,4358,3,6,12,8,4,9,2243,2129,4378,413,448,856,5324,5858,11186
2018,173,216,385,1811,2466,4282,0,0,0,168,205,372,0,3,8,4031,4734,8762,6,16,23,237,238,474,47,66,112,37,33,69,56,86,135,8,8,20,51,66,120,178,207,382,414,504,921,23,53,74,31,30,54,449,624,1076,380,459,836,9,3,15,7935,9805,17741,142,134,281,241,210,459,10,10,21,4,0,3,67,64,128,63,77,141,130,139,271,10300,9668,19971,55,57,110,21,43,68,10377,9768,20150,1986,1959,3946,21009,22253,43252
2019,67,95,161,996,1316,2314,0,0,0,79,91,170,51,38,91,2258,2690,4950,10,17,27,36,34,75,35,44,78,8,9,14,42,50,92,0,0,4,49,69,121,61,83,141,221,232,454,18,26,39,15,19,38,303,480,786,162,212,374,0,3,6,4344,5426,9768,92,88,177,36,27,65,3,4,13,0,0,0,26,32,57,15,35,52,42,66,103,4088,4065,8161,18,23,42,14,13,18,4118,4101,8219,688,683,1367,9395,10488,19882
2020,141,219,358,1927,2477,4405,0,0,0,283,301,588,64,69,138,3430,3880,7315,45,66,115,98,103,200,79,100,178,41,39,81,47,57,108,6,4,16,220,228,446,153,186,336,576,677,1253,42,55,95,42,66,107,620,843,1466,562,689,1258,13,15,28,8252,9865,18119,103,94,207,92,84,173,12,10,25,0,3,0,56,63,119,49,79,128,111,140,248,10302,10122,20425,64,65,131,18,49,69,10385,10235,20622,1526,1552,3074,20625,22199,42827
2021,150,175,322,1004,1350,2348,0,0,0,208,239,449,32,37,64,4383,5167,9547,61,51,116,52,39,94,17,34,50,10,11,23,115,152,262,11,10,11,22,24,45,107,122,235,644,846,1494,33,56,93,22,26,49,510,721,1227,359,444,801,10,4,15,7599,9321,16925,94,72,163,53,59,118,14,17,30,0,3,6,28,23,50,29,38,64,59,58,115,7882,7565,15448,42,36,77,11,28,38,7937,7631,15567,1300,1213,2511,17199,18547,35743
