SUA_CODE_2021,M15_19_Managers,M15_19_Professionals,M15_19_TechnicTrades_Wrs,M15_19_CommunPersnlSvc_W,M15_19_ClericalAdminis_W,M15_19_Sales_W,M15_19_Mach_oper_drivers,M15_19_Labourers,M15_19_Occu_ID_NS,M15_19_Tot,M20_24_Managers,M20_24_Professionals,M20_24_TechnicTrades_W,M20_24_CommunPersnlSvc_W,M20_24_ClericalAdminis_W,M20_24_Sales_W,M20_24_Mach_oper_drivers,M20_24_Labourers,M20_24_Occu_ID_NS,M20_24_Tot,M25_34_Managers,M25_34_Professionals,M25_34_TechnicTrades_W,M25_34_CommunPersnlSvc_W,M25_34_ClericalAdminis_W,M25_34_Sales_W,M25_34_Mach_oper_drivers,M25_34_Labourers,M25_34_Occu_ID_NS,M25_34_Tot,M35_44_Managers,M35_44_Professionals,M35_44_TechnicTrades_W,M35_44_CommunPersnlSvc_W,M35_44_ClericalAdminis_W,M35_44_Sales_W,M35_44_Mach_oper_drivers,M35_44_Labourers,M35_44_Occu_ID_NS,M35_44_Tot,M45_54_Managers,M45_54_Professionals,M45_54_TechnicTrades_W,M45_54_CommunPersnlSvc_W,M45_54_ClericalAdminis_W,M45_54_Sales_W,M45_54_Mach_oper_drivers,M45_54_Labourers,M45_54_Occu_ID_NS,M45_54_Tot,M55_64_Managers,M55_64_Professionals,M55_64_TechnicTrades_W,M55_64_CommunPersnlSvc_W,M55_64_ClericalAdminis_W,M55_64_Sales_W,M55_64_Mach_oper_drivers,M55_64_Labourers,M55_64_Occu_ID_NS,M55_64_Tot,M65_74_Managers,M65_74_Professionals,M65_74_TechnicTrades_W,M65_74_CommunPersnlSvc_W,M65_74_ClericalAdminis_W,M65_74_Sales_W,M65_74_Mach_oper_drivers,M65_74_Labourers,M65_74_Occu_ID_NS,M65_74_Tot,M75_84_Managers,M75_84_Professionals,M75_84_TechnicTrades_W,M75_84_CommunPersnlSvc_W,M75_84_ClericalAdminis_W,M75_84_Sales_W,M75_84_Mach_oper_drivers,M75_84_Labourers,M75_84_Occu_ID_NS,M75_84_Tot,M85_ov_Managers,M85_ov_Professionals,M85_ov_TechnicTrades_W,M85_ov_CommunPersnlSvc_W,M85_ov_ClericalAdminis_W,M85_ov_Sales_W,M85_ov_Mach_oper_drivers,M85_ov_Labourers,M85_ov_Occu_ID_NS,M85_ov_Tot,M_Tot_Managers,M_Tot_Professionals,M_Tot_TechnicTrades_W,M_Tot_CommunPersnlSvc_W,M_Tot_ClericalAdminis_W,M_Tot_Sales_W,M_Tot_Mach_oper_drivers,M_Tot_Labourers,M_Tot_Occu_ID_NS,M_Tot_Tot,F15_19_Managers,F15_19_Professionals,F15_19_TechnicTrades_Wrs,F15_19_CommunPersnlSvc_W,F15_19_ClericalAdminis_W,F15_19_Sales_W,F15_19_Mach_oper_drivers,F15_19_Labourers,F15_19_Occu_ID_NS,F15_19_Tot,F20_24_Managers,F20_24_Professionals,F20_24_TechnicTrades_W,F20_24_CommunPersnlSvc_W,F20_24_ClericalAdminis_W,F20_24_Sales_W,F20_24_Mach_oper_drivers,F20_24_Labourers,F20_24_Occu_ID_NS,F20_24_Tot,F25_34_Managers,F25_34_Professionals,F25_34_TechnicTrades_W,F25_34_CommunPersnlSvc_W,F25_34_ClericalAdminis_W,F25_34_Sales_W,F25_34_Mach_oper_drivers,F25_34_Labourers,F25_34_Occu_ID_NS,F25_34_Tot,F35_44_Managers,F35_44_Professionals,F35_44_TechnicTrades_W,F35_44_CommunPersnlSvc_W,F35_44_ClericalAdminis_W,F35_44_Sales_W,F35_44_Mach_oper_drivers,F35_44_Labourers,F35_44_Occu_ID_NS,F35_44_Tot,F45_54_Managers,F45_54_Professionals,F45_54_TechnicTrades_W,F45_54_CommunPersnlSvc_W,F45_54_ClericalAdminis_W,F45_54_Sales_W,F45_54_Mach_oper_drivers,F45_54_Labourers,F45_54_Occu_ID_NS,F45_54_Tot,F55_64_Managers,F55_64_Professionals,F55_64_TechnicTrades_W,F55_64_CommunPersnlSvc_W,F55_64_ClericalAdminis_W,F55_64_Sales_W,F55_64_Mach_oper_drivers,F55_64_Labourers,F55_64_Occu_ID_NS,F55_64_Tot,F65_74_Managers,F65_74_Professionals,F65_74_TechnicTrades_W,F65_74_CommunPersnlSvc_W,F65_74_ClericalAdminis_W,F65_74_Sales_W,F65_74_Mach_oper_drivers,F65_74_Labourers,F65_74_Occu_ID_NS,F65_74_Tot,F75_84_Managers,F75_84_Professionals,F75_84_TechnicTrades_W,F75_84_CommunPersnlSvc_W,F75_84_ClericalAdminis_W,F75_84_Sales_W,F75_84_Mach_oper_drivers,F75_84_Labourers,F75_84_Occu_ID_NS,F75_84_Tot,F85ov_Managers,F85ov_Professionals,F85ov_TechnicTrades_W,F85ov_CommunPersnlSvc_W,F85ov_ClericalAdminis_W,F85ov_Sales_W,F85ov_Mach_oper_drivers,F85ov_Labourers,F85ov_Occu_ID_NS,F85ov_Tot,F_Tot_Managers,F_Tot_Professionals,F_Tot_TechnicTrades_W,F_Tot_CommunPersnlSvc_W,F_Tot_ClericalAdminis_W,F_Tot_Sales_W,F_Tot_Mach_oper_drivers,F_Tot_Labourers,F_Tot_Occu_ID_NS,F_Tot_Tot
2010,8,0,90,11,5,54,8,82,0,259,20,22,130,29,16,36,33,64,0,353,100,148,280,68,33,60,67,134,20,907,143,121,171,59,33,47,89,71,22,765,174,110,141,64,34,48,95,81,16,756,160,75,122,39,40,49,128,90,16,716,65,26,35,17,17,16,38,21,6,241,22,8,6,0,5,8,7,3,6,57,3,0,0,0,0,0,0,0,3,10,698,505,980,289,171,315,467,555,88,4063,3,0,13,43,5,122,3,41,3,237,15,72,31,90,68,56,5,30,3,359,54,328,42,182,141,74,12,46,9,884,81,232,36,125,154,54,6,53,8,750,90,188,31,159,173,70,3,58,10,773,93,146,17,147,146,88,12,67,4,714,25,32,6,23,39,25,0,20,5,171,11,3,0,0,3,0,0,4,6,32,0,0,0,0,0,0,0,0,0,0,365,1000,180,765,727,482,42,312,51,3924
2011,695,1231,8612,5934,1661,11568,2422,15033,887,48044,4805,14707,28036,12367,8788,14868,10112,17328,2759,113775,33417,86144,66725,20162,23648,17772,28073,28204,7478,311625,59679,85759,52803,13863,21298,13653,26351,19933,6612,299939,54923,56131,43208,11140,16603,11455,24515,19171,5009,242165,34805,36381,30859,8083,12480,8241,21857,16190,3247,172143,9499,13721,7449,2151,3823,2854,5474,4980,1103,51063,1637,2290,754,205,476,512,355,723,311,7253,149,142,38,17,33,43,16,52,93,575,199612,296510,238487,73926,88811,80966,119172,121605,27498,1246580,700,1591,1255,12408,3257,26225,632,6403,757,53248,5093,20924,5412,26890,17527,23712,2345,7325,2006,111237,29289,115264,14571,42673,46694,20861,4578,12921,5484,292335,39954,97206,11437,35267,49086,15506,3837,10955,4903,268156,34664,65876,9327,32483,51666,15998,4628,13044,3743,231430,17115,38700,5606,22292,39709,11961,3362,11533,2142,152416,3640,9825,1171,4519,10419,2841,593,2915,668,36575,434,847,75,271,922,264,41,341,247,3440,28,56,3,4,41,11,0,10,90,243,130918,350289,48858,176806,219324,117380,20017,65449,20037,1149080
2012,26,15,185,29,11,176,27,218,13,691,64,65,374,77,25,121,83,192,27,1029,284,370,672,224,89,162,269,486,79,2631,425,303,513,140,76,99,262,358,57,2240,526,321,452,142,119,104,293,316,79,2349,471,240,372,109,99,112,367,287,50,2103,188,89,103,24,44,31,104,99,13,692,31,8,10,3,0,8,9,17,10,94,7,0,0,0,0,0,0,0,7,14,2024,1406,2669,742,469,817,1415,1969,333,11844,9,13,10,117,41,406,5,115,12,742,47,132,66,279,156,181,20,113,36,1020,182,766,146,489,348,190,20,297,49,2490,272,625,119,398,424,180,26,221,40,2294,301,586,106,443,525,233,15,241,52,2507,213,413,57,364,454,203,30,251,27,2015,68,91,23,67,120,40,3,63,9,491,5,0,0,4,12,0,0,9,8,37,0,0,0,0,0,0,0,0,0,4,1109,2618,526,2168,2083,1436,128,1299,237,11596
2013,8,0,97,16,6,67,13,67,14,280,24,22,176,28,21,31,23,58,7,392,71,89,347,70,43,52,100,187,26,985,90,69,257,55,44,38,132,119,17,830,98,63,244,40,30,39,157,144,18,845,93,73,259,60,39,21,186,114,19,863,46,26,46,12,11,7,43,37,8,234,5,0,0,0,0,0,3,3,4,23,5,0,0,0,0,0,0,0,0,5,446,350,1440,278,198,262,657,738,105,4469,7,3,21,49,14,143,0,42,12,287,19,52,28,108,71,73,9,34,8,398,60,192,52,226,190,86,14,49,24,895,64,184,45,185,201,66,9,59,14,828,90,147,40,199,227,97,9,102,15,925,51,128,26,171,184,70,8,108,12,767,15,42,8,40,47,7,0,15,13,188,5,0,0,4,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,306,752,216,991,939,537,54,410,92,4305
2014,0,0,35,10,0,45,7,57,6,171,3,12,72,13,3,18,35,38,10,209,23,49,108,39,14,13,81,62,7,396,45,45,126,30,8,19,90,58,26,444,67,53,136,19,18,23,116,75,25,532,60,52,85,20,19,16,162,83,11,517,38,34,23,4,9,5,26,20,0,166,13,4,0,0,3,0,4,0,0,27,0,0,0,0,0,0,0,0,0,4,253,247,594,142,79,142,522,404,93,2465,0,0,8,40,7,85,3,25,4,170,5,22,13,57,16,26,9,16,0,166,28,120,22,105,51,34,3,21,5,391,45,114,26,88,73,32,6,52,0,429,54,104,21,120,100,49,14,59,8,534,42,96,21,113,91,28,15,58,7,463,21,27,3,29,28,7,0,20,3,137,0,5,0,0,0,0,0,5,6,15,0,0,0,0,0,0,0,0,0,3,192,484,113,547,370,258,49,259,29,2302
2015,0,4,46,14,0,53,10,72,3,206,21,24,102,37,17,30,22,35,6,296,86,185,182,72,22,52,52,82,14,745,124,148,156,47,24,28,44,81,18,671,134,106,151,56,26,32,55,61,10,628,114,92,109,45,40,28,74,71,16,577,26,42,27,6,11,13,15,19,3,162,3,9,4,0,0,0,5,3,3,35,0,0,0,0,0,0,5,0,0,5,505,601,783,279,142,224,278,426,72,3315,0,0,7,54,6,121,5,21,8,221,14,42,21,72,32,49,4,15,0,265,60,236,32,162,89,47,7,35,16,681,63,207,32,138,104,51,8,50,7,655,80,181,30,151,148,70,6,69,7,737,51,122,19,126,119,41,7,65,8,555,18,39,3,22,28,6,3,13,0,127,0,0,0,0,4,3,0,0,6,9,0,0,0,0,0,0,0,0,0,4,290,827,147,725,534,389,28,264,45,3250
2016,15,16,163,36,17,194,18,248,19,722,71,79,376,77,44,98,97,230,27,1086,310,421,726,179,113,145,237,438,67,2641,411,391,500,139,108,120,256,381,55,2360,485,303,405,132,122,134,318,405,50,2344,421,262,364,71,116,102,306,288,33,1964,116,107,92,34,40,34,108,99,9,639,30,16,12,0,3,10,17,15,3,101,3,0,0,0,0,0,0,0,3,13,1864,1581,2633,674,563,832,1355,2096,270,11869,8,13,18,142,58,405,0,90,12,744,48,175,51,290,137,182,6,104,16,1017,177,844,122,487,352,201,28,296,40,2553,249,685,79,425,388,169,28,269,39,2323,256,493,95,431,520,204,34,237,31,2304,178,382,78,316,468,177,27,241,26,1882,47,110,15,68,127,36,9,65,10,492,0,4,0,0,9,5,0,0,3,24,0,0,0,0,0,0,0,0,7,5,970,2707,459,2154,2059,1378,136,1301,176,11338
2017,7,0,43,10,3,34,6,49,0,161,32,13,97,10,10,34,16,49,7,266,108,83,168,39,27,32,53,118,12,647,109,74,122,19,20,36,36,107,14,535,94,56,68,28,16,28,56,69,7,425,112,50,76,21,31,27,62,73,8,461,36,27,26,5,4,11,14,19,3,153,12,0,0,0,0,0,0,0,3,23,3,0,0,0,0,0,0,0,0,3,509,310,606,142,110,204,248,487,54,2675,4,0,0,35,15,80,0,21,6,158,17,38,16,85,34,45,0,24,0,261,37,198,30,127,89,49,6,81,6,626,41,139,24,98,99,40,0,66,12,518,32,88,14,81,116,49,0,46,7,440,52,87,17,85,97,31,5,47,8,430,20,31,0,21,20,7,0,9,3,112,5,0,0,4,0,0,0,4,5,14,0,0,0,0,0,0,0,0,0,0,209,586,113,531,474,298,15,294,43,2568
2018,7,6,114,40,12,175,21,198,6,568,28,69,289,75,69,93,49,116,15,808,164,325,632,135,135,144,214,302,53,2104,242,304,467,108,113,84,239,255,50,1861,256,230,408,104,129,87,292,236,54,1789,196,186,385,87,90,56,269,176,36,1482,72,63,70,26,16,30,78,53,14,431,12,7,3,0,4,5,3,4,7,56,0,0,0,0,0,0,0,0,0,4,985,1203,2375,572,564,658,1158,1347,232,9092,10,3,25,148,39,335,3,73,5,649,30,117,50,242,148,151,16,61,17,829,144,670,130,404,437,160,23,86,32,2085,168,519,85,304,455,135,22,126,32,1846,183,389,55,359,466,163,23,170,24,1815,124,285,66,242,395,159,18,174,21,1482,27,59,9,54,81,34,9,34,8,325,0,4,3,3,7,0,0,6,0,18,0,0,0,0,0,0,0,0,0,0,686,2053,425,1750,2015,1138,105,730,137,9043
2019,0,0,64,26,6,76,12,130,17,332,14,19,133,34,9,27,30,78,5,353,85,149,271,70,27,51,82,129,9,880,147,158,206,69,38,42,104,108,20,880,149,110,170,67,49,57,114,125,19,870,115,94,134,57,47,43,144,112,9,768,46,45,43,15,21,17,42,28,0,265,13,6,6,3,0,5,5,3,0,39,4,0,0,0,0,0,0,0,0,8,580,577,1026,349,195,307,536,721,90,4376,5,4,14,75,18,148,8,64,6,339,21,56,31,105,40,73,9,34,10,380,71,327,55,200,108,97,9,52,5,928,84,276,36,171,145,79,12,58,8,873,100,233,46,218,189,80,9,91,14,985,55,186,20,159,197,85,19,93,7,833,21,36,4,30,53,22,3,27,3,206,5,0,0,0,4,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,367,1121,213,963,765,577,72,415,54,4552
