SUA_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
2010,180,188,366,479,409,887,134,121,249,120,137,256,726,663,1390,421,365,789,92,84,179,63,68,132,574,522,1097,13,16,34,14,16,31,57,35,88,48,94,139,0,0,0,130,159,291,38,63,102,12,56,74,13,29,42,44,113,163,0,0,0,110,268,380,243,426,665,24,19,34,39,71,114,0,0,0,64,89,153,470,459,931,2261,2352,4614
2011,55044,50395,105445,138395,128645,267039,37463,36572,74036,22694,23693,46386,198868,189179,388049,89887,82981,172870,33219,34194,67415,32974,33969,66945,156306,151353,307662,12009,10441,22451,11983,16058,28042,14600,6594,21193,19540,27796,47336,241,176,418,58378,61064,119441,67271,81047,148319,25864,31912,57779,7947,9574,17524,21161,34814,55979,295,329,620,122541,157681,280221,181222,219030,400252,11402,10955,22354,14345,21030,35381,281,278,554,26028,32263,58292,115252,110621,225872,732718,752856,1485573
2012,612,542,1151,1605,1505,3112,367,410,776,209,195,407,2183,2113,4295,1201,1139,2338,323,352,671,121,126,249,1645,1617,3267,98,115,214,67,124,191,196,117,313,191,359,545,4,4,7,548,717,1267,102,218,327,49,129,173,28,50,75,99,250,356,0,3,3,278,652,931,825,1373,2202,70,65,136,110,178,287,8,10,18,194,251,443,2311,2231,4541,7770,8124,15897
2013,190,174,367,591,588,1183,186,192,373,28,34,63,804,813,1617,472,483,956,92,81,170,40,49,87,604,610,1212,25,30,55,10,60,76,99,66,167,69,143,207,0,0,0,210,300,514,45,80,121,36,58,91,13,29,38,34,99,128,0,0,3,123,261,386,332,564,899,32,22,55,32,57,91,0,6,3,63,87,146,837,841,1678,2841,3082,5923
2014,94,89,184,279,254,534,82,111,198,23,22,46,393,389,780,238,216,453,55,61,113,51,46,94,340,319,666,25,20,47,9,19,26,52,30,80,33,61,98,0,0,0,120,133,253,12,26,34,10,17,32,6,13,11,19,56,75,0,0,0,46,110,160,162,243,404,13,13,21,22,31,50,0,0,0,30,47,72,386,357,741,1403,1441,2849
2015,172,145,321,424,378,796,171,162,332,81,66,145,673,605,1278,232,216,451,150,181,330,79,90,172,458,495,952,18,18,36,5,32,40,48,41,93,47,127,174,0,0,0,130,216,339,30,71,100,26,54,79,9,16,29,62,125,189,0,0,0,125,269,394,252,486,739,26,17,43,20,56,77,5,0,5,45,73,122,454,453,907,2061,2258,4313
2016,619,542,1164,1659,1496,3157,555,574,1128,127,133,256,2348,2205,4552,900,899,1797,705,657,1366,259,227,493,1868,1789,3659,69,135,204,61,165,232,233,163,396,196,347,546,9,4,17,573,819,1390,148,287,436,75,156,233,29,75,103,130,268,398,0,3,8,389,783,1178,962,1613,2579,80,86,170,130,196,328,6,6,7,216,285,503,2035,1983,4019,8055,8422,16473
2017,118,116,237,273,238,508,174,201,370,18,16,33,456,455,913,196,196,396,92,113,206,16,18,36,302,333,636,15,20,40,6,21,25,49,27,75,35,87,119,0,3,0,111,153,267,35,60,87,6,17,22,5,15,21,12,60,80,0,0,0,58,148,208,171,304,473,17,18,33,19,34,55,0,0,0,38,49,90,357,375,730,1449,1633,3081
2018,449,412,860,1086,940,2025,515,557,1075,125,101,226,1732,1600,3328,760,663,1422,379,449,827,153,147,298,1296,1250,2546,45,87,136,51,112,157,129,115,250,148,242,391,7,3,7,373,560,934,166,265,427,65,141,208,33,60,92,133,231,363,0,0,4,398,694,1094,773,1253,2027,48,43,88,82,134,220,3,3,4,129,177,308,1672,1725,3402,6056,6420,12474
2019,192,191,382,417,363,780,296,297,593,90,90,185,809,756,1563,206,210,418,327,318,643,118,102,224,650,629,1282,20,45,60,25,68,87,63,68,132,62,118,181,0,5,0,174,292,466,46,71,116,34,59,92,5,20,25,53,114,165,0,0,0,140,266,409,314,560,876,23,22,43,39,58,97,0,0,0,64,81,141,536,582,1124,2565,2796,5360
2020,479,485,963,1222,1102,2327,344,352,704,252,247,499,1823,1704,3531,760,743,1505,294,356,645,300,324,623,1348,1421,2774,68,71,138,28,96,129,170,109,275,146,282,428,0,4,5,410,562,972,139,300,438,60,157,211,22,66,87,102,296,396,0,0,3,321,821,1137,732,1381,2114,63,56,117,73,132,199,0,3,3,128,190,327,1195,1212,2404,5704,6398,12103
2021,377,367,742,742,667,1411,647,605,1250,62,48,105,1446,1316,2768,732,688,1416,357,455,804,53,55,107,1138,1190,2328,49,77,126,62,114,175,165,126,290,193,232,423,5,0,5,477,543,1023,95,204,292,68,109,173,26,31,49,100,225,328,0,0,0,285,568,855,763,1117,1877,24,28,51,50,100,151,0,3,0,83,129,209,1038,1023,2060,4840,5144,9982
