SUA_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
2010,6594,7233,13824,2990,1642,4634,832,1976,2811,240,301,549,148,120,271,4218,4043,8261,2002,2794,4796,3.6,2.9,3.3,63.9,55.9,59.7,61.6,54.3,57.8,154,201,355,75,211,281,480,926,1404,467,799,1275,1786,1069,2861,65,124,183,88,114,205,1940,1309,3251,6668,7054,13721,1009,1147,2154,4404,4621,9023,2843,3110,5950
2011,1923516,2022295,3945813,888493,552884,1441377,290149,508220,798373,67939,87978,155914,71360,63706,135064,1317941,1212788,2530724,509509,714142,1223655,5.4,5.3,5.3,68.5,60,64.1,64.8,56.8,60.7,171700,179788,351486,39938,77344,117283,379925,453972,833899,175095,216843,391937,319356,166463,485821,12988,19483,32468,23817,35854,59677,356164,221799,577965,1884506,1955751,3840255,348679,358017,706698,1195351,1257294,2452650,916038,941129,1857160
2012,21133,22449,43582,8553,5416,13966,2498,5193,7690,795,989,1789,740,550,1291,12582,12150,24736,6670,8466,15138,5.9,4.5,5.2,59.5,54.1,56.8,56,51.7,53.8,373,469,840,223,550,778,1443,2689,4125,1327,2175,3501,5039,3017,8059,240,392,633,244,358,601,5526,3768,9294,20343,21413,41752,3275,3380,6650,13184,13628,26818,9067,9782,18843
2013,8925,9391,18322,3216,1598,4815,914,2309,3218,342,403,742,422,268,692,4892,4573,9468,3363,4135,7495,8.6,5.9,7.3,54.8,48.7,51.7,50.1,45.9,47.9,91,161,245,62,188,247,414,785,1202,522,863,1385,3040,1548,4592,81,151,238,97,150,246,3220,1856,5070,8750,9045,17793,1048,1168,2219,6261,6279,12538,3053,3448,6500
2014,4636,4833,9468,1714,858,2567,577,1236,1818,172,210,384,144,110,252,2602,2414,5021,1717,2135,3847,5.4,4.6,5,56.2,50,53,53.2,47.7,50.4,57,86,142,46,130,173,282,479,760,232,510,738,1298,741,2037,38,75,109,66,87,155,1400,900,2304,4420,4558,8973,688,733,1419,2970,2984,5955,1909,2098,4009
2015,5879,6615,12493,2419,1321,3734,696,1680,2379,206,252,451,184,169,354,3504,3419,6919,1991,2806,4800,5.3,4.9,5.1,59.6,51.7,55.4,56.4,49.1,52.5,178,228,405,97,194,294,574,900,1468,496,719,1213,1587,904,2486,77,95,172,63,100,167,1724,1102,2821,5559,6142,11701,1206,1272,2479,3521,3861,7380,2861,3169,6031
2016,20902,22300,43207,8660,5059,13715,2500,5399,7899,714,882,1592,713,489,1199,12583,11831,24405,6673,8823,15495,5.7,4.1,4.9,60.2,53,56.5,56.8,50.9,53.7,554,664,1221,286,680,969,1613,2725,4341,1385,2306,3688,4799,2761,7566,201,311,505,230,354,583,5235,3419,8657,20838,21449,42283,3221,3618,6840,13273,13556,26835,9319,10174,19493
2017,4281,4763,9037,2025,1119,3146,517,1238,1752,132,204,338,104,53,161,2784,2617,5402,1194,1847,3037,3.8,2.1,3,65,55,59.8,62.5,53.9,58,55,111,171,52,127,179,309,546,858,309,451,758,1057,640,1701,36,71,106,57,83,139,1148,800,1949,4247,4613,8864,640,758,1399,2789,3080,5874,1804,2007,3814
2018,16991,18460,35452,6572,3715,10283,1941,4555,6499,580,771,1356,753,520,1270,9838,9566,19403,5780,7463,13243,7.6,5.4,6.5,57.9,51.8,54.7,53.5,49,51.2,366,493,866,170,458,629,1281,2038,3320,1045,1753,2796,5001,2711,7716,173,290,464,182,270,446,5353,3270,8628,16413,17335,33752,2613,2881,5496,10958,11371,22321,6991,7777,14769
2019,7646,8806,16453,3104,1886,4986,1026,2303,3328,248,365,615,178,141,316,4559,4688,9254,2645,3591,6237,3.9,3,3.5,59.6,53.3,56.2,57.3,51.7,54.3,167,278,450,132,322,451,678,1157,1839,552,960,1504,2062,1220,3287,66,142,209,97,143,238,2229,1506,3735,7571,8406,15977,1190,1353,2543,5077,5570,10646,3244,3737,6974
2020,16419,18089,34506,7304,3891,11191,2089,4963,7048,608,849,1456,429,376,804,10422,10078,20500,5077,7033,12110,4.1,3.7,3.9,63.5,55.7,59.4,60.9,53.6,57.1,433,604,1034,271,607,880,1496,2477,3975,1253,2148,3393,4958,2719,7678,129,302,436,253,363,619,5344,3390,8727,16263,17341,33599,2929,3321,6249,9473,10116,19592,8583,9408,17991
2021,13915,15570,29490,6233,3441,9674,1975,4615,6588,515,715,1228,294,263,559,9020,9036,18054,4071,5641,9714,3.2,2.9,3.1,64.8,58,61.2,62.7,56.3,59.3,458,562,1017,258,570,825,1443,2436,3875,1033,1683,2712,3559,2187,5746,125,213,340,154,260,416,3837,2660,6502,13897,15021,28914,2070,2290,4361,9170,9901,19070,6003,6664,12669
