SUA_CODE_2021,M_NatPhySci_Occ_Mng,M_NatPhySci_Occ_Pro,M_NatPhySci_Occ_TTW,M_NatPhySci_Occ_CPS,M_NatPhySci_Occ_CA,M_NatPhySci_Occ_Sal,M_NatPhySci_Occ_MOD,M_NatPhySci_Occ_Lab,M_NatPhySci_Occ_IDNS,M_NatPhySci_Total,M_InfoTechn_Occ_Mng,M_InfoTechn_Occ_Pro,M_InfoTechn_Occ_TTW,M_InfoTechn_Occ_CPS,M_InfoTechn_Occ_CA,M_InfoTechn_Occ_Sal,M_InfoTechn_Occ_MOD,M_InfoTechn_Occ_Lab,M_InfoTechn_Occ_IDNS,M_InfoTechn_Total,M_EngRelTech_Occ_Mng,M_EngRelTech_Occ_Pro,M_EngRelTech_Occ_TTW,M_EngRelTech_Occ_CPS,M_EngRelTech_Occ_CA,M_EngRelTech_Occ_Sal,M_EngRelTech_Occ_MOD,M_EngRelTech_Occ_Lab,M_EngRelTech_Occ_IDNS,M_EngRelTech_Total,M_ArchitBuild_Occ_Mng,M_ArchitBuild_Occ_Pro,M_ArchitBuild_Occ_TTW,M_ArchitBuild_Occ_CPS,M_ArchitBuild_Occ_CA,M_ArchitBuild_Occ_Sal,M_ArchitBuild_Occ_MOD,M_ArchitBuild_Occ_Lab,M_ArchitBuild_Occ_IDNS,M_ArchitBuild_Total,M_AgriEnviRelStu_Occ_Mng,M_AgriEnviRelStu_Occ_Pro,M_AgriEnviRelStu_Occ_TTW,M_AgriEnviRelStu_Occ_CPS,M_AgriEnviRelStu_Occ_CA,M_AgriEnviRelStu_Occ_Sal,M_AgriEnviRelStu_Occ_MOD,M_AgriEnviRelStu_Occ_Lab,M_AgriEnviRelStu_Occ_IDNS,M_AgriEnviRelStu_Total,M_Health_Occ_Mng,M_Health_Occ_Pro,M_Health_Occ_TTW,M_Health_Occ_CPS,M_Health_Occ_CA,M_Health_Occ_Sal,M_Health_Occ_MOD,M_Health_Occ_Lab,M_Health_Occ_IDNS,M_Health_Total,M_Educat_Occ_Mng,M_Educat_Occ_Pro,M_Educat_Occ_TTW,M_Educat_Occ_CPS,M_Educat_Occ_CA,M_Educat_Occ_Sal,M_Educat_Occ_MOD,M_Educat_Occ_Lab,M_Educat_Occ_IDNS,M_Educat_Total,M_ManagCom_Occ_Mng,M_ManagCom_Occ_Pro,M_ManagCom_Occ_TTW,M_ManagCom_Occ_CPS,M_ManagCom_Occ_CA,M_ManagCom_Occ_Sal,M_ManagCom_Occ_MOD,M_ManagCom_Occ_Lab,M_ManagCom_Occ_IDNS,M_ManagCom_Total,M_SocietCultu_Occ_Mng,M_SocietCultu_Occ_Pro,M_SocietCultu_Occ_TTW,M_SocietCultu_Occ_CPS,M_SocietCultu_Occ_CA,M_SocietCultu_Occ_Sal,M_SocietCultu_Occ_MOD,M_SocietCultu_Occ_Lab,M_SocietCultu_Occ_IDNS,M_SocietCultu_Total,M_CreatArt_Occ_Mng,M_CreatArt_Occ_Pro,M_CreatArt_Occ_TTW,M_CreatArt_Occ_CPS,M_CreatArt_Occ_CA,M_CreatArt_Occ_Sal,M_CreatArt_Occ_MOD,M_CreatArt_Occ_Lab,M_CreatArt_Occ_IDNS,M_CreatArt_Total,M_FoodHospPersServ_Occ_Mng,M_FoodHospPersServ_Occ_Pro,M_FoodHospPersServ_Occ_TTW,M_FoodHospPersServ_Occ_CPS,M_FoodHospPersServ_Occ_CA,M_FoodHospPersServ_Occ_Sal,M_FoodHospPersServ_Occ_MOD,M_FoodHospPersServ_Occ_Lab,M_FoodHospPersServ_Occ_IDNS,M_FoodHospPersServ_Total,M_MixFieldProg_Occ_Mng,M_MixFieldProg_Occ_Pro,M_MixFieldProg_Occ_TTW,M_MixFieldProg_Occ_CPS,M_MixFieldProg_Occ_CA,M_MixFieldProg_Occ_Sal,M_MixFieldProg_Occ_MOD,M_MixFieldProg_Occ_Lab,M_MixFieldProg_Occ_IDNS,M_MixFieldProg_Total,M_FS_ID_Occ_Mng,M_FS_ID_Occ_Pro,M_FS_ID_Occ_TTW,M_FS_ID_Occ_CPS,M_FS_ID_Occ_CA,M_FS_ID_Occ_Sal,M_FS_ID_Occ_MOD,M_FS_ID_Occ_Lab,M_FS_ID_Occ_IDNS,M_FS_ID_Total,M_FS_NS_Occ_Mng,M_FS_NS_Occ_Pro,M_FS_NS_Occ_TTW,M_FS_NS_Occ_CPS,M_FS_NS_Occ_CA,M_FS_NS_Occ_Sal,M_FS_NS_Occ_MOD,M_FS_NS_Occ_Lab,M_FS_NS_Occ_IDNS,M_FS_NS_Total,M_Tot_Occ_Mng,M_Tot_Occ_Pro,M_Tot_Occ_TTW,M_Tot_Occ_CPS,M_Tot_Occ_CA,M_Tot_Occ_Sal,M_Tot_Occ_MOD,M_Tot_Occ_Lab,M_Tot_Occ_IDNS,M_Total_Total,F_NatPhySci_Occ_Mng,F_NatPhySci_Occ_Pro,F_NatPhySci_Occ_TTW,F_NatPhySci_Occ_CPS,F_NatPhySci_Occ_CA,F_NatPhySci_Occ_Sal,F_NatPhySci_Occ_MOD,F_NatPhySci_Occ_Lab,F_NatPhySci_Occ_IDNS,F_NatPhySci_Total,F_InfoTechn_Occ_Mng,F_InfoTechn_Occ_Pro,F_InfoTechn_Occ_TTW,F_InfoTechn_Occ_CPS,F_InfoTechn_Occ_CA,F_InfoTechn_Occ_Sal,F_InfoTechn_Occ_MOD,F_InfoTechn_Occ_Lab,F_InfoTechn_Occ_IDNS,F_InfoTechn_Total,F_EngRelTech_Occ_Mng,F_EngRelTech_Occ_Pro,F_EngRelTech_Occ_TTW,F_EngRelTech_Occ_CPS,F_EngRelTech_Occ_CA,F_EngRelTech_Occ_Sal,F_EngRelTech_Occ_MOD,F_EngRelTech_Occ_Lab,F_EngRelTech_Occ_IDNS,F_EngRelTech_Total,F_ArchitBuild_Occ_Mng,F_ArchitBuild_Occ_Pro,F_ArchitBuild_Occ_TTW,F_ArchitBuild_Occ_CPS,F_ArchitBuild_Occ_CA,F_ArchitBuild_Occ_Sal,F_ArchitBuild_Occ_MOD,F_ArchitBuild_Occ_Lab,F_ArchitBuild_Occ_IDNS,F_ArchitBuild_Total,F_AgriEnviRelStu_Occ_Mng,F_AgriEnviRelStu_Occ_Pro,F_AgriEnviRelStu_Occ_TTW,F_AgriEnviRelStu_Occ_CPS,F_AgriEnviRelStu_Occ_CA,F_AgriEnviRelStu_Occ_Sal,F_AgriEnviRelStu_Occ_MOD,F_AgriEnviRelStu_Occ_Lab,F_AgriEnviRelStu_Occ_IDNS,F_AgriEnviRelStu_Total
2010,8,27,3,4,0,0,0,0,0,46,18,11,11,5,3,6,4,0,0,56,103,49,349,12,22,22,81,58,9,694,60,0,212,9,6,9,29,30,3,363,67,46,35,12,7,12,20,29,4,235,11,77,4,33,0,3,3,0,0,137,19,71,4,10,3,5,5,9,0,120,110,82,24,21,27,44,20,28,8,355,14,44,11,81,7,5,7,10,9,188,4,12,6,4,0,3,0,3,0,46,16,0,68,5,11,9,22,8,4,142,0,0,0,0,0,0,0,0,0,0,7,5,8,4,5,0,3,6,0,34,18,9,19,6,0,8,13,15,15,94,450,449,742,210,92,124,205,200,50,2520,10,23,10,0,8,0,0,4,0,44,3,4,0,3,5,0,0,0,0,14,3,6,3,3,3,0,8,0,0,30,0,0,5,0,6,4,0,0,0,16,7,23,8,10,11,0,0,9,0,70
2011,6424,15396,2610,1566,2218,1515,1284,1568,424,33009,14425,41078,8502,2157,5045,3467,4925,3855,1379,84833,32080,47713,69465,4518,9745,6236,17913,14350,2950,204974,14079,8018,48576,1294,2672,1776,4334,7784,1328,89855,2577,1897,5413,562,785,585,1315,2104,219,15456,3737,31842,2163,7151,1498,1101,1336,1459,434,50731,3593,18272,1170,2289,1041,637,968,865,254,29085,55511,58431,10071,8157,25787,16602,12292,8880,3220,198949,11798,29293,3789,15030,7235,3401,4014,3696,1154,79415,5483,17049,4923,2843,3206,3246,2013,2592,488,41843,4498,932,13814,2689,1701,1951,4716,3715,442,34460,63,65,154,58,51,80,140,204,20,833,2838,3537,2431,1424,1383,826,2079,1350,627,16487,2613,2038,4870,1262,1169,1221,2851,2572,4912,23492,159709,275573,177945,50998,63532,42645,60174,54991,17852,903422,5456,15442,3521,3476,5297,2274,341,1219,509,37524,3458,12403,1396,2149,4184,1513,497,1282,515,27388,3546,9472,2214,1570,3005,1313,931,1672,379,24102,1842,6567,2062,719,1815,1171,126,405,161,14856,1146,1750,1448,776,1286,656,177,674,110,8025
2012,45,53,19,3,7,3,5,13,0,150,21,40,32,11,8,8,12,19,0,152,261,139,972,40,53,60,215,203,29,1981,164,27,478,17,21,15,55,69,17,869,186,79,91,21,18,16,61,88,8,551,35,240,7,95,11,4,11,8,0,424,55,223,12,23,11,4,5,15,0,368,308,218,61,50,91,103,68,70,11,981,45,135,24,224,27,21,24,41,12,552,10,39,20,23,11,9,15,9,0,136,65,6,146,21,5,33,42,64,0,391,9,0,0,0,0,0,0,9,0,24,22,16,18,17,0,4,17,31,7,138,53,16,77,14,7,26,43,68,67,372,1282,1240,1963,555,285,316,578,712,157,7091,25,52,17,12,15,4,0,9,6,129,3,9,3,6,3,0,0,4,0,31,17,4,12,4,12,8,5,22,6,96,0,18,4,0,8,4,0,5,0,39,32,29,24,14,19,14,6,25,3,165
2013,3,13,0,0,3,0,0,0,0,26,8,15,18,0,14,3,7,4,0,74,104,65,706,38,35,19,156,100,20,1245,39,4,249,4,4,5,54,85,9,456,19,5,30,5,5,3,21,23,0,108,16,54,3,22,0,3,6,3,0,107,14,48,4,6,3,0,5,3,0,84,61,41,13,18,32,26,23,17,4,234,10,28,6,78,10,13,9,24,6,185,6,11,11,3,3,5,10,4,0,51,17,4,37,6,7,11,15,22,3,125,0,0,0,0,0,0,0,0,0,3,17,7,11,0,0,0,5,6,4,58,7,6,44,4,4,5,16,26,16,138,316,307,1141,203,122,92,316,320,63,2881,3,23,5,0,10,5,0,3,0,50,4,0,3,0,6,0,0,0,0,17,8,5,19,4,13,0,8,4,0,57,4,0,6,3,0,10,0,3,0,23,3,8,3,5,18,0,0,12,0,50
2014,4,5,0,5,0,0,0,0,0,18,4,9,4,0,0,0,0,5,0,25,51,52,273,9,8,6,81,54,12,544,13,5,102,3,6,5,35,32,8,205,13,4,18,4,3,0,11,12,3,73,5,45,0,19,0,0,5,0,0,78,3,52,0,10,0,0,3,0,0,70,42,26,8,9,14,10,6,12,0,131,4,24,4,31,7,0,6,9,0,81,0,4,3,0,8,4,7,4,0,23,8,0,22,0,0,5,10,10,5,62,0,0,0,0,0,0,0,0,0,3,6,4,12,7,0,0,4,5,0,29,10,5,9,4,4,3,19,13,11,71,159,230,459,108,46,36,192,146,50,1422,0,9,5,5,0,0,0,0,0,16,4,5,0,0,4,0,0,0,0,7,4,6,3,0,3,0,4,0,0,20,3,4,0,0,0,0,0,0,0,12,4,5,7,3,0,4,0,3,0,22
2015,6,34,8,4,0,0,0,0,0,61,17,16,16,3,3,7,0,0,3,69,80,144,321,28,29,13,53,60,14,745,47,7,157,5,4,5,23,35,8,285,21,11,14,4,0,0,5,15,0,81,10,98,6,28,3,3,0,6,0,151,24,81,3,13,3,0,3,4,0,134,96,73,18,20,35,32,13,13,3,294,21,59,8,56,9,10,7,7,0,165,12,18,9,5,0,10,4,0,0,54,22,7,52,8,4,4,3,15,0,111,5,0,0,0,0,0,0,0,0,3,11,11,7,0,3,0,3,0,0,46,13,3,10,0,4,3,8,8,8,62,380,556,626,174,95,90,127,170,48,2261,5,18,0,4,7,3,0,0,0,39,0,3,4,0,9,0,0,0,0,15,6,12,7,9,0,3,0,5,0,43,0,4,5,4,0,5,0,0,0,17,6,6,9,4,0,0,0,3,0,42
2016,32,35,11,10,14,4,3,9,4,128,31,53,40,6,14,12,12,18,4,195,288,191,997,40,79,72,182,226,30,2101,155,31,492,15,19,17,43,98,18,893,76,46,55,17,16,12,31,75,6,330,39,376,14,95,6,11,11,24,0,577,50,242,10,30,8,6,10,10,4,370,301,258,67,53,103,93,82,78,9,1048,50,147,35,183,29,18,24,61,6,549,23,35,21,5,9,5,11,14,0,128,48,4,146,21,16,20,47,60,5,357,0,0,0,0,0,0,0,4,0,8,20,11,22,11,5,8,24,14,3,111,37,21,62,15,6,22,46,60,50,304,1162,1444,1963,486,318,305,521,762,140,7107,28,64,21,14,10,10,0,17,5,172,5,15,0,7,11,3,0,12,0,53,18,15,19,4,11,6,9,35,0,114,4,10,17,3,9,3,0,6,0,49,14,18,20,7,14,10,0,18,5,104
2017,7,7,0,0,0,0,0,3,0,24,5,11,8,3,4,0,4,6,0,38,60,32,253,10,17,21,34,48,3,473,56,3,103,4,3,0,18,20,3,225,52,28,14,0,10,10,8,17,9,145,7,50,0,23,4,0,0,3,0,91,19,62,3,3,0,0,0,0,0,90,70,56,11,13,19,12,0,22,0,205,13,30,4,41,0,7,3,5,0,98,0,9,3,0,0,0,0,0,0,20,4,0,32,3,4,6,9,13,5,74,0,0,0,0,0,0,0,0,0,5,4,0,3,0,0,5,4,5,0,23,14,0,12,3,3,3,7,13,12,69,316,287,445,96,62,68,94,167,37,1576,6,11,3,0,0,0,0,6,0,21,0,0,0,3,0,0,0,3,0,12,0,4,7,3,4,0,0,7,0,22,0,3,0,0,0,0,0,0,0,8,0,3,3,5,12,0,0,0,0,33
2018,17,42,9,10,7,0,5,3,0,88,30,73,40,9,30,4,3,14,3,210,207,266,1079,55,68,45,259,167,31,2178,98,11,386,14,16,20,105,147,14,817,33,24,33,3,5,3,18,26,0,146,19,244,19,58,10,0,8,5,4,370,27,117,21,22,13,3,7,6,0,213,174,162,53,21,107,73,36,48,14,690,24,94,28,164,38,25,23,27,11,434,16,39,13,13,16,6,3,17,4,120,35,10,120,19,16,17,24,28,5,268,0,0,0,0,0,0,0,0,0,5,9,11,36,6,8,0,20,23,3,116,21,14,59,13,9,7,32,41,38,232,713,1099,1896,406,336,222,551,546,120,5888,10,40,27,9,17,8,4,5,0,120,3,11,11,7,3,3,0,0,0,37,10,13,19,5,17,17,9,20,0,98,5,5,8,4,13,6,0,0,0,44,10,9,9,4,18,9,3,10,0,78
2019,15,22,5,5,0,3,0,3,0,60,10,21,20,3,5,7,3,11,0,88,87,64,336,16,24,23,90,57,11,704,72,11,238,15,0,9,38,54,8,439,25,17,24,5,7,6,22,23,0,121,8,142,8,58,8,3,4,6,4,244,14,99,13,18,3,3,10,10,0,166,118,81,28,27,43,31,12,28,4,360,26,42,9,87,8,10,12,23,3,215,10,20,8,4,6,4,6,6,0,53,19,3,73,13,4,15,19,41,0,177,0,0,0,0,0,0,0,0,0,0,6,5,4,6,7,0,9,4,0,37,12,12,15,4,8,0,16,23,25,109,413,538,781,250,115,119,230,280,48,2786,8,27,12,6,6,0,0,0,0,52,3,8,0,0,3,3,0,0,0,16,4,5,7,0,11,0,3,5,4,36,0,4,6,0,6,3,0,0,0,16,7,9,5,3,4,8,0,7,0,44
2020,31,52,16,7,3,8,8,13,0,130,34,74,41,5,16,15,6,27,3,215,311,191,948,28,49,67,258,196,23,2067,163,32,664,10,20,18,95,158,25,1180,99,38,94,9,10,18,46,73,4,384,25,181,21,66,9,3,5,10,4,313,53,215,16,28,10,8,12,17,0,354,223,220,44,37,98,68,44,49,11,796,45,109,38,157,27,22,15,41,3,461,19,45,24,10,10,15,9,25,0,157,28,8,104,14,3,18,34,40,0,254,0,0,0,0,0,0,0,0,0,0,23,18,18,15,12,0,20,8,5,118,32,12,41,16,5,9,33,32,40,217,1092,1190,2065,399,261,268,580,685,120,6655,19,36,18,14,19,13,0,8,0,124,11,12,4,4,10,4,3,4,0,51,12,18,9,3,7,0,9,23,0,87,0,20,23,7,5,10,0,6,0,70,32,31,20,18,26,19,3,30,0,172
2021,41,60,11,7,9,4,0,17,0,155,19,46,31,0,5,5,6,19,0,132,147,119,614,26,44,37,140,147,21,1309,155,32,493,27,15,21,57,87,17,909,73,30,47,11,20,14,23,42,5,260,22,292,20,71,16,3,4,12,0,441,50,213,19,40,9,6,3,12,4,356,224,229,48,44,89,79,37,50,11,817,37,116,17,141,13,25,7,39,4,397,7,37,26,11,12,17,11,16,6,137,39,7,121,13,10,20,17,63,8,298,0,0,0,0,0,0,0,4,0,7,10,17,16,12,3,7,10,13,4,95,28,11,31,13,5,16,18,44,21,185,860,1205,1496,420,253,252,353,564,91,5499,28,42,19,10,20,9,4,14,0,134,6,6,7,0,6,0,0,6,0,23,10,13,3,3,6,3,3,19,0,71,6,12,9,0,3,4,0,5,0,40,20,29,19,13,12,3,0,23,0,128
