SUA_CODE_2021,A_0_4_y_Indigenous_M,A_0_4_y_Indigenous_F,A_0_4_y_Indigenous_P,A_0_4_y_Non_Indigenous_M,A_0_4_y_Non_Indigenous_F,A_0_4_y_Non_Indigenous_P,A_0_4_y_Indig_stat_ns_M,A_0_4_y_Indig_stat_ns_F,A_0_4_y_Indig_stat_ns_P,A_0_4_y_Tot_M,A_0_4_y_Tot_F,A_0_4_y_Tot_P,A_5_9_y_Indigenous_M,A_5_9_y_Indigenous_F,A_5_9_y_Indigenous_P,A_5_9_y_Non_Indigenous_M,A_5_9_y_Non_Indigenous_F,A_5_9_y_Non_Indigenous_P,A_5_9_y_Indig_stat_ns_M,A_5_9_y_Indig_stat_ns_F,A_5_9_y_Indig_stat_ns_P,A_5_9_y_Tot_M,A_5_9_y_Tot_F,A_5_9_y_Tot_P,A_10_14_y_Indigenous_M,A_10_14_y_Indigenous_F,A_10_14_y_Indigenous_P,A_10_14_y_Non_Indig_M,A_10_14_y_Non_Indig_F,A_10_14_y_Non_Indig_P,A_10_14_y_Indig_stat_ns_M,A_10_14_y_Indig_stat_ns_F,A_10_14_y_Indig_stat_ns_P,A_10_14_y_Tot_M,A_10_14_y_Tot_F,A_10_14_y_Tot_P,A_15_19_y_Indigenous_M,A_15_19_y_Indigenous_F,A_15_19_y_Indigenous_P,A_15_19_y_Non_Indig_M,A_15_19_y_Non_Indig_F,A_15_19_y_Non_Indig_P,A_15_19_y_Indig_stat_ns_M,A_15_19_y_Indig_stat_ns_F,A_15_19_y_Indig_stat_ns_P,A_15_19_y_Tot_M,A_15_19_y_Tot_F,A_15_19_y_Tot_P,A_20_24_y_Indigenous_M,A_20_24_y_Indigenous_F,A_20_24_y_Indigenous_P,A_20_24_y_Non_Indig_M,A_20_24_y_Non_Indig_F,A_20_24_y_Non_Indig_P,A_20_24_y_Indig_stat_ns_M,A_20_24_y_Indig_stat_ns_F,A_20_24_y_Indig_stat_ns_P,A_20_24_y_Tot_M,A_20_24_y_Tot_F,A_20_24_y_Tot_P,A_25_29_y_Indigenous_M,A_25_29_y_Indigenous_F,A_25_29_y_Indigenous_P,A_25_29_y_Non_Indig_M,A_25_29_y_Non_Indig_F,A_25_29_y_Non_Indig_P,A_25_29_y_Indig_stat_ns_M,A_25_29_y_Indig_stat_ns_F,A_25_29_y_Indig_stat_ns_P,A_25_29_y_Tot_M,A_25_29_y_Tot_F,A_25_29_y_Tot_P,A_30_34_y_Indigenous_M,A_30_34_y_Indigenous_F,A_30_34_y_Indigenous_P,A_30_34_y_Non_Indig_M,A_30_34_y_Non_Indig_F,A_30_34_y_Non_Indig_P,A_30_34_y_Indig_stat_ns_M,A_30_34_y_Indig_stat_ns_F,A_30_34_y_Indig_stat_ns_P,A_30_34_y_Tot_M,A_30_34_y_Tot_F,A_30_34_y_Tot_P,A_35_39_y_Indigenous_M,A_35_39_y_Indigenous_F,A_35_39_y_Indigenous_P,A_35_39_y_Non_Indig_M,A_35_39_y_Non_Indig_F,A_35_39_y_Non_Indig_P,A_35_39_y_Indig_stat_ns_M,A_35_39_y_Indig_stat_ns_F,A_35_39_y_Indig_stat_ns_P,A_35_39_y_Tot_M,A_35_39_y_Tot_F,A_35_39_y_Tot_P,A_40_44_y_Indigenous_M,A_40_44_y_Indigenous_F,A_40_44_y_Indigenous_P,A_40_44_y_Non_Indig_M,A_40_44_y_Non_Indig_F,A_40_44_y_Non_Indig_P,A_40_44_y_Indig_stat_ns_M,A_40_44_y_Indig_stat_ns_F,A_40_44_y_Indig_stat_ns_P,A_40_44_y_Tot_M,A_40_44_y_Tot_F,A_40_44_y_Tot_P,A_45_49_y_Indigenous_M,A_45_49_y_Indigenous_F,A_45_49_y_Indigenous_P,A_45_49_y_Non_Indig_M,A_45_49_y_Non_Indig_F,A_45_49_y_Non_Indig_P,A_45_49_y_Indig_stat_ns_M,A_45_49_y_Indig_stat_ns_F,A_45_49_y_Indig_stat_ns_P,A_45_49_y_Tot_M,A_45_49_y_Tot_F,A_45_49_y_Tot_P,A_50_54_y_Indigenous_M,A_50_54_y_Indigenous_F,A_50_54_y_Indigenous_P,A_50_54_y_Non_Indig_M,A_50_54_y_Non_Indig_F,A_50_54_y_Non_Indig_P,A_50_54_y_Indig_stat_ns_M,A_50_54_y_Indig_stat_ns_F,A_50_54_y_Indig_stat_ns_P,A_50_54_y_Tot_M,A_50_54_y_Tot_F,A_50_54_y_Tot_P,A_55_59_y_Indigenous_M,A_55_59_y_Indigenous_F,A_55_59_y_Indigenous_P,A_55_59_y_Non_Indig_M,A_55_59_y_Non_Indig_F,A_55_59_y_Non_Indig_P,A_55_59_y_Indig_stat_ns_M,A_55_59_y_Indig_stat_ns_F,A_55_59_y_Indig_stat_ns_P,A_55_59_y_Tot_M,A_55_59_y_Tot_F,A_55_59_y_Tot_P,A_60_64_y_Indigenous_M,A_60_64_y_Indigenous_F,A_60_64_y_Indigenous_P,A_60_64_y_Non_Indig_M,A_60_64_y_Non_Indig_F,A_60_64_y_Non_Indig_P,A_60_64_y_Indig_stat_ns_M,A_60_64_y_Indig_stat_ns_F,A_60_64_y_Indig_stat_ns_P,A_60_64_y_Tot_M,A_60_64_y_Tot_F,A_60_64_y_Tot_P,A_65_y_ov_Indigenous_M,A_65_y_ov_Indigenous_F,A_65_y_ov_Indigenous_P,A_65_y_ov_Non_Indig_M,A_65_y_ov_Non_Indig_F,A_65_y_ov_Non_Indig_P,A_65_y_ov_Indig_stat_ns_M,A_65_y_ov_Indig_stat_ns_F,A_65_y_ov_Indig_stat_ns_P,A_65_y_ov_Tot_M,A_65_y_ov_Tot_F,A_65_y_ov_Tot_P,Tot_Indigenous_M,Tot_Indigenous_F,Tot_Indigenous_P,Tot_Non_Indigenous_M,Tot_Non_Indigenous_F,Tot_Non_Indigenous_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
2010,17,24,40,449,489,939,21,21,42,492,531,1018,26,15,44,516,455,974,31,20,47,573,489,1067,20,26,46,511,470,978,34,19,51,565,509,1071,12,12,27,474,381,860,33,34,67,521,433,955,15,19,31,428,443,873,35,43,81,484,496,977,7,6,15,513,546,1058,35,28,64,555,579,1134,16,12,24,501,537,1038,36,25,53,544,571,1121,9,9,25,459,492,954,22,18,42,487,529,1022,6,3,11,400,436,837,21,22,43,428,465,896,6,11,17,414,469,883,15,22,36,436,500,932,8,7,20,434,472,902,22,16,39,466,494,963,4,7,8,459,522,991,28,22,53,495,552,1051,3,6,13,498,530,1029,23,21,47,524,562,1088,3,9,8,1566,1950,3520,73,84,160,1650,2046,3691,163,173,335,7632,8194,15831,425,398,821,8217,8764,16985
2011,1659,1551,3216,139383,131868,271258,5291,5083,10375,146338,138502,284845,1522,1492,3014,146851,139080,285928,6012,5789,11796,154380,146356,300739,1501,1482,2985,139889,132573,272468,5658,5345,11004,147053,139399,286454,1460,1359,2819,131075,124771,255846,5122,4730,9857,137659,130864,268525,1615,1610,3223,156973,149714,306690,7337,6409,13745,165928,157732,323658,1563,1449,3013,179541,177150,356697,9678,8808,18485,190791,187399,378191,1268,1211,2479,184586,195279,379870,8783,8704,17483,194634,205195,399830,999,918,1918,182673,188845,371525,8133,7878,16010,191808,197641,389450,832,841,1672,158286,160055,318345,6866,6123,12987,165989,167015,333002,827,836,1666,146334,153741,300079,6112,5639,11751,153269,160222,313487,827,772,1603,139797,149413,289217,5647,5094,10742,146273,155281,301561,564,675,1233,126533,133771,260302,5038,4482,9517,132131,138922,271057,486,463,952,113146,122972,236117,4201,4029,8228,117839,127457,245299,832,938,1769,312655,377047,689705,13708,16572,30281,327193,394557,721753,15960,15589,31549,2257742,2336292,4594036,97586,94677,192260,2371285,2446560,4817843
2012,173,166,338,1319,1279,2602,107,119,225,1601,1560,3161,193,193,378,1397,1354,2753,161,135,297,1750,1681,3424,182,162,344,1461,1355,2821,132,155,288,1783,1671,3448,150,151,303,1322,1217,2543,139,130,273,1613,1502,3114,109,104,218,1322,1243,2568,118,105,223,1546,1455,3004,96,121,217,1519,1585,3105,134,129,260,1745,1834,3580,87,109,196,1537,1566,3098,149,155,307,1772,1828,3601,54,95,146,1358,1461,2820,132,148,277,1544,1699,3240,66,71,131,1256,1376,2641,132,131,260,1453,1579,3033,61,65,129,1353,1534,2885,125,125,252,1548,1719,3267,51,83,136,1470,1563,3036,133,119,251,1659,1759,3420,47,77,121,1466,1549,3011,108,99,210,1623,1722,3349,42,51,93,1505,1609,3111,124,90,222,1671,1753,3424,58,76,131,4562,5177,9736,341,350,692,4960,5598,10558,1364,1521,2881,22857,23866,46719,2044,1978,4015,26257,27360,53620
2013,33,25,65,492,506,999,54,29,84,581,565,1142,34,41,77,539,524,1064,53,40,95,624,604,1232,46,37,78,574,552,1127,50,50,103,668,633,1308,15,21,31,576,524,1100,43,36,76,635,578,1212,18,20,42,536,523,1055,39,36,80,598,578,1175,28,10,35,662,655,1316,46,43,84,737,709,1442,20,19,39,551,582,1134,44,47,88,613,649,1261,13,19,34,537,599,1140,42,53,96,601,672,1271,10,15,24,489,526,1012,40,36,75,541,576,1117,9,10,14,556,609,1168,47,49,91,606,672,1278,8,16,21,604,691,1290,46,47,91,655,753,1414,13,9,26,713,744,1455,54,52,105,780,809,1590,4,10,17,734,719,1454,47,42,83,792,762,1556,15,16,29,2224,2455,4674,136,164,299,2378,2631,5006,274,267,540,9786,10198,19986,738,730,1470,10799,11200,21997
2014,22,14,30,231,215,451,15,14,35,264,250,510,24,13,42,260,269,529,30,21,45,309,305,615,23,19,37,286,276,558,17,28,38,320,314,634,25,17,40,294,267,561,23,17,38,340,298,639,12,14,25,261,222,480,12,12,26,294,243,534,12,6,20,255,264,516,18,16,31,281,284,572,8,10,23,204,254,450,15,23,31,225,285,513,12,7,21,242,286,529,19,29,51,273,317,597,6,6,9,266,301,564,14,18,36,291,319,607,12,16,22,310,362,670,19,20,37,335,392,729,4,6,13,356,334,692,28,14,38,387,355,744,11,11,19,397,397,796,29,19,45,440,420,859,10,5,9,403,434,839,21,26,42,425,467,894,5,14,19,1256,1362,2618,80,68,149,1339,1445,2784,180,153,332,5019,5234,10250,329,313,644,5529,5700,11230
2015,31,28,63,397,393,794,21,17,39,451,439,886,25,21,46,441,410,852,27,21,44,490,445,941,21,33,46,466,423,890,19,18,42,509,471,978,20,17,41,401,381,784,20,35,54,446,436,880,18,16,32,373,347,725,28,26,47,424,389,809,14,22,37,418,418,840,30,24,54,461,467,930,10,14,26,422,449,869,32,16,50,467,478,942,0,8,13,400,468,867,23,34,55,423,510,932,5,7,11,381,400,785,26,16,49,416,427,847,4,5,14,380,459,839,30,21,51,417,486,904,11,11,22,394,529,919,31,24,54,434,561,998,8,5,15,418,448,868,20,17,37,451,466,920,3,10,11,419,514,931,19,21,33,437,545,979,6,7,15,1395,1747,3142,98,107,206,1504,1862,3359,181,209,388,6726,7368,14096,420,390,814,7328,7973,15301
2016,137,141,275,1517,1387,2902,107,96,205,1765,1622,3387,133,123,254,1600,1511,3114,146,141,280,1877,1773,3653,155,140,289,1614,1485,3098,113,101,208,1878,1723,3594,131,118,250,1444,1358,2808,107,93,194,1679,1575,3248,97,82,185,1403,1356,2763,125,101,225,1626,1541,3166,77,97,178,1552,1678,3229,132,135,268,1757,1916,3672,61,70,130,1565,1676,3241,120,135,256,1747,1881,3627,44,73,115,1497,1559,3057,116,133,244,1659,1761,3415,46,65,110,1354,1458,2808,105,96,197,1507,1616,3123,58,61,120,1401,1456,2859,112,86,204,1574,1605,3186,37,66,97,1485,1486,2964,96,81,177,1612,1632,3243,36,53,90,1382,1518,2899,99,100,195,1518,1662,3181,31,38,72,1405,1445,2851,98,102,193,1531,1582,3115,72,82,159,4310,5121,9427,319,331,649,4706,5537,10238,1115,1210,2324,23527,24490,48018,1779,1717,3497,26422,27417,53841
2017,28,29,61,317,324,636,20,30,47,363,381,747,30,35,66,305,294,606,21,30,46,357,356,717,30,34,63,281,292,567,18,29,49,328,356,683,24,21,48,251,227,481,25,16,37,300,261,563,20,17,42,297,303,597,17,31,48,339,353,690,10,19,34,351,401,759,29,26,58,397,453,854,17,19,35,340,361,706,21,31,49,381,411,792,8,16,28,317,328,649,26,28,55,352,375,728,3,11,17,272,291,562,10,18,25,284,323,608,5,6,15,246,258,506,15,14,25,271,282,553,4,12,14,261,278,539,18,12,35,288,300,587,7,14,12,309,315,622,24,19,48,339,349,681,4,6,14,287,302,590,18,21,40,315,323,638,8,14,20,957,1245,2206,48,71,125,1015,1338,2353,210,266,473,4798,5231,10030,316,361,678,5324,5858,11186
2018,50,62,118,1112,1090,2201,92,81,179,1258,1235,2494,66,47,111,1236,1099,2337,102,102,202,1394,1250,2643,57,59,120,1199,1134,2335,104,105,214,1363,1301,2665,29,43,72,1132,1064,2198,78,89,166,1242,1198,2434,41,43,86,1086,1086,2172,85,98,183,1205,1233,2440,34,41,77,1258,1311,2566,109,101,210,1401,1451,2852,29,39,67,1238,1401,2638,99,109,207,1361,1544,2911,22,24,45,1158,1261,2421,98,109,208,1286,1389,2675,13,12,27,1089,1124,2215,83,85,170,1187,1227,2415,20,22,45,1075,1189,2269,75,64,134,1178,1276,2452,18,25,40,1219,1233,2450,114,83,195,1350,1330,2681,14,16,33,1197,1369,2563,102,97,195,1306,1482,2789,18,13,33,1223,1397,2618,71,78,148,1312,1490,2796,16,12,29,3847,4510,8358,301,326,618,4156,4850,9004,434,452,884,19070,20271,39342,1499,1531,3026,21009,22253,43252
2019,14,27,42,459,485,945,24,29,52,503,539,1039,26,31,53,531,471,999,21,31,60,578,534,1114,32,28,59,596,546,1146,47,27,71,667,602,1272,36,23,60,555,520,1072,25,34,54,610,578,1188,18,14,34,433,476,908,19,23,37,463,516,980,13,18,29,521,561,1090,31,39,69,565,616,1179,9,10,19,481,536,1016,28,31,65,523,576,1099,11,15,27,519,506,1022,21,25,47,550,543,1093,17,8,18,475,586,1057,29,25,57,514,620,1132,10,12,22,513,579,1092,19,36,56,537,627,1163,6,12,15,534,615,1149,24,29,54,564,657,1220,13,8,21,537,610,1151,23,33,59,577,652,1228,4,10,14,543,642,1186,28,23,54,579,677,1253,6,18,31,2018,2592,4614,131,139,268,2155,2753,4912,208,231,440,8705,9741,18446,474,518,994,9395,10488,19882
2020,46,28,73,1254,1302,2560,59,64,127,1359,1399,2754,30,35,61,1268,1242,2508,77,86,158,1367,1361,2727,42,34,79,1357,1244,2598,83,77,155,1480,1351,2835,20,34,53,1111,1097,2206,39,58,96,1173,1189,2362,27,17,45,1015,1061,2075,55,43,95,1092,1121,2216,23,15,41,1232,1380,2613,64,86,150,1318,1487,2805,16,22,37,1292,1403,2699,68,80,145,1373,1508,2878,19,14,33,1186,1288,2480,79,76,152,1289,1380,2664,13,23,34,1007,1101,2107,71,59,127,1091,1175,2267,15,12,25,1058,1186,2249,70,66,135,1148,1264,2412,18,16,31,1168,1318,2480,61,61,122,1250,1392,2637,18,6,20,1180,1332,2515,43,57,97,1237,1394,2631,10,19,27,1156,1374,2526,69,69,135,1226,1462,2688,15,25,39,3989,4475,8462,217,230,448,4220,4729,8947,301,299,604,19263,20805,40064,1056,1098,2154,20625,22199,42827
2021,42,31,72,878,813,1692,60,35,95,983,878,1855,56,34,96,991,904,1893,68,61,128,1107,998,2112,55,33,90,1065,1012,2075,72,52,126,1188,1099,2292,27,34,61,981,969,1956,67,55,118,1073,1055,2129,21,29,49,849,869,1719,50,34,79,918,931,1851,28,29,58,1063,1060,2123,61,56,119,1154,1146,2305,27,32,59,1023,1062,2088,42,48,91,1095,1141,2236,17,17,33,952,1018,1971,63,60,123,1035,1093,2126,13,18,32,940,1058,1996,73,54,126,1022,1134,2156,17,13,31,966,1068,2032,56,67,123,1039,1144,2182,19,18,40,1009,1182,2185,39,40,81,1066,1237,2304,12,15,23,996,1169,2162,49,49,96,1055,1232,2288,11,12,25,1021,1200,2220,39,47,86,1071,1261,2334,15,19,41,3199,3979,7179,164,194,357,3379,4191,7570,373,332,705,15929,17364,33290,893,854,1751,17199,18547,35743
