SUA_CODE_2021,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
2010,11,0,103,58,9,176,10,127,5,493,33,98,158,111,82,91,44,94,7,717,155,480,321,250,173,131,79,175,29,1795,228,355,212,190,180,107,90,125,31,1510,261,288,172,216,205,114,100,143,22,1533,255,214,143,183,188,130,135,150,24,1429,94,59,47,39,58,37,43,45,5,415,31,8,9,0,3,4,7,12,12,87,3,0,0,0,0,0,0,0,3,10,1066,1502,1158,1056,900,795,511,869,137,7987
2011,1396,2828,9870,18350,4917,37792,3058,21437,1649,101292,9906,35636,33447,39257,26318,38582,12461,24652,4761,225014,62709,201406,81294,62835,70344,38630,32649,41124,12960,603956,99632,182968,64240,49126,70391,29163,30191,30890,11509,568097,89585,122008,52535,43628,68273,27455,29146,32215,8754,473592,51919,75083,36466,30378,52187,20200,25213,27722,5396,324559,13142,23542,8619,6666,14242,5693,6070,7897,1765,87631,2073,3139,829,475,1393,773,397,1067,560,10698,176,201,42,22,74,54,15,60,181,818,330528,646799,287349,250732,308136,198343,139187,187051,47538,2395663
2012,33,24,200,150,51,585,35,336,23,1429,111,201,440,355,183,302,104,305,62,2050,470,1139,817,710,438,348,296,785,130,5114,702,924,633,541,506,286,284,573,97,4534,828,908,556,587,639,338,311,555,129,4856,679,655,430,477,555,309,396,538,76,4122,257,178,121,95,168,74,110,164,24,1180,38,8,10,6,11,13,6,23,20,131,9,0,0,0,0,0,0,0,7,18,3129,4025,3195,2911,2554,2253,1541,3271,568,23438
2013,11,3,115,64,22,205,13,114,27,569,42,73,208,133,95,101,33,98,4,792,136,281,405,294,232,136,115,233,52,1885,157,250,308,244,244,103,140,180,39,1664,190,213,284,240,261,142,173,248,28,1769,145,203,284,233,224,93,197,222,29,1629,61,70,54,53,59,15,45,50,14,425,9,3,0,9,0,0,3,5,5,38,10,0,0,0,0,0,0,0,0,8,755,1102,1660,1266,1139,799,714,1146,200,8776
2014,3,0,41,57,10,129,9,86,7,344,12,32,87,74,18,45,41,56,10,373,48,174,128,146,60,47,85,88,14,784,87,156,155,118,82,50,94,107,27,875,122,162,159,141,120,67,124,134,30,1063,106,143,108,130,109,44,174,136,21,980,59,58,27,37,36,14,31,40,3,301,11,3,0,0,3,0,4,7,3,36,0,0,0,0,0,0,0,0,0,5,449,735,702,689,441,400,568,664,118,4769
2015,4,8,53,69,9,171,14,94,6,432,44,63,124,117,52,78,28,53,9,554,142,416,214,230,112,96,61,113,28,1419,187,360,189,179,129,70,50,129,23,1324,218,287,183,206,172,96,57,129,17,1361,160,211,131,174,154,73,80,132,17,1133,40,73,30,24,39,21,17,33,5,288,11,9,4,0,4,5,5,7,4,42,0,0,0,0,0,0,5,0,0,3,798,1426,931,1008,677,615,307,690,114,6565
2016,23,28,178,176,68,600,22,342,29,1472,113,254,427,364,187,277,106,331,41,2103,485,1266,849,666,461,345,272,729,107,5191,662,1075,582,563,495,281,284,651,96,4685,739,796,505,567,636,335,348,643,81,4651,598,639,439,384,582,283,331,532,60,3840,167,215,102,98,176,69,116,157,24,1126,33,22,12,5,12,12,17,16,8,124,3,0,0,0,0,0,0,0,8,17,2829,4286,3097,2826,2625,2212,1489,3400,449,23209
2017,13,4,46,45,15,115,6,74,0,319,49,56,113,98,40,80,17,74,3,529,151,284,203,167,116,83,56,192,23,1274,151,214,151,116,116,74,39,171,23,1051,129,144,91,111,132,73,53,114,10,863,160,138,91,108,130,57,68,119,19,892,58,61,22,26,32,19,18,32,7,265,16,4,0,5,0,3,0,5,9,35,3,0,0,0,0,0,0,0,0,3,718,899,715,673,586,502,263,782,100,5241
2018,18,9,135,191,50,507,26,271,12,1215,56,186,345,321,217,244,64,176,28,1637,310,997,760,540,564,305,240,394,81,4189,418,831,557,407,567,214,257,379,82,3703,429,622,464,460,592,250,310,403,70,3602,317,475,451,325,483,211,286,346,60,2958,100,128,84,76,101,57,87,91,21,746,16,10,7,6,10,7,3,6,10,72,0,0,0,0,0,0,0,0,0,3,1669,3255,2802,2321,2584,1795,1263,2077,368,18132
2019,7,3,80,99,25,219,21,189,22,666,42,70,164,145,46,99,41,111,15,728,160,474,322,272,137,149,92,183,22,1811,228,439,245,240,183,115,110,169,26,1755,247,343,215,288,243,135,130,215,32,1854,173,282,150,217,247,128,168,206,20,1596,70,80,53,44,73,39,44,58,9,471,16,6,6,0,4,5,3,3,4,46,4,0,0,0,0,0,0,0,0,8,943,1698,1238,1307,960,886,612,1133,145,8934
2020,8,18,184,178,57,352,34,301,13,1145,98,154,370,304,173,217,73,294,29,1723,423,949,889,540,479,271,256,572,79,4462,518,880,614,464,449,250,242,372,65,3860,607,732,530,493,492,235,309,460,63,3922,523,622,410,389,486,211,301,383,49,3370,216,199,103,89,122,54,95,113,19,1012,74,28,8,10,16,8,10,14,12,185,16,0,0,0,0,0,0,0,6,25,2479,3580,3121,2466,2279,1594,1324,2514,337,19700
2021,24,6,169,171,55,493,27,317,21,1299,73,132,272,277,116,228,60,258,30,1444,273,906,690,495,293,279,158,536,70,3694,435,901,532,428,362,218,150,379,49,3443,538,761,398,464,502,253,225,375,66,3578,409,608,285,391,437,262,257,401,46,3106,141,149,79,66,107,67,70,124,19,823,30,18,17,4,7,3,7,18,7,112,0,0,0,0,0,0,0,0,0,3,1926,3489,2438,2300,1882,1799,953,2406,309,17499
