SUA_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
2010,0,0,0,7,10,16,0,0,0,0,0,0,4,8,13,2953,2523,5473,200,189,390,36,0,36,14,3,22,77,11,92,19,13,32,132,159,295,3448,2924,6371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,9,0,9,51,11,65,58,13,71,0,0,0,0,0,0,0,0,3,0,4,3,254,407,655,289,558,841,26,16,44,4063,3924,7987
2011,25873,24098,49971,6372,8642,15017,293,119,416,8981,11422,20402,2820,2602,5415,654156,454648,1108805,31915,44580,76494,10821,235,11060,5105,592,5691,12537,5495,18034,6418,3878,10295,22142,25290,47431,787435,581597,1369030,4815,5963,10781,7,3,9,2639,3280,5919,4594,2907,7504,645,1335,1977,1174,670,1847,13875,14160,28039,22,0,24,637,817,1454,516,429,943,516,1063,1579,255,322,575,1942,2640,4579,7435,4903,12337,23256,21695,44951,4102,5043,9149,294,387,685,417,239,658,4817,5671,10490,325144,368914,694061,100351,167016,267367,5578,4185,9763,1246580,1149080,2395663
2012,5,3,6,52,41,92,4,0,4,0,0,0,14,19,38,8586,7523,16108,743,946,1691,152,3,151,63,15,75,66,34,111,47,29,80,365,356,723,10102,8981,19084,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,4,0,4,0,0,0,0,0,0,5,8,10,3,0,3,10,12,22,82,40,123,97,47,152,0,4,3,0,5,6,8,0,8,10,7,14,822,1222,2044,686,1233,1916,128,110,235,11844,11596,23438
2013,21,8,26,23,19,38,0,0,0,3,0,3,4,5,11,3265,2695,5957,226,228,450,59,0,59,19,3,22,13,3,14,8,9,23,66,72,135,3702,3038,6737,3,0,4,0,0,0,0,0,0,0,0,0,3,0,6,0,3,5,10,7,18,0,0,0,0,0,0,0,0,0,3,5,3,0,0,0,3,3,7,27,4,29,35,14,52,7,0,9,0,0,0,0,0,0,4,0,3,272,560,828,415,660,1073,38,37,77,4469,4305,8776
2014,0,0,0,6,4,3,0,0,0,0,0,0,3,0,8,1797,1530,3328,126,125,246,29,0,29,11,0,8,16,4,22,8,5,17,71,83,151,2062,1756,3815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,28,18,13,28,0,0,0,0,0,0,0,0,0,5,0,5,97,192,289,265,332,600,20,15,34,2465,2302,4769
2015,0,3,3,9,8,18,0,0,0,0,0,0,8,5,13,2289,2020,4310,151,179,334,24,0,24,8,0,9,62,27,92,30,15,48,143,144,288,2736,2409,5144,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,12,35,28,16,34,0,0,0,0,0,0,0,0,0,0,3,3,255,355,614,286,455,737,21,16,34,3315,3250,6565
2016,3,3,8,25,33,60,5,0,6,0,0,0,20,32,52,8904,7323,16220,650,858,1503,89,0,93,37,3,43,119,55,174,55,27,84,312,332,644,10223,8662,18887,0,0,4,0,0,0,4,0,3,3,6,7,0,0,0,0,0,0,3,11,15,0,0,0,0,0,0,5,0,5,4,3,7,6,6,8,10,12,22,82,55,135,101,76,172,0,0,0,0,0,0,0,3,13,9,8,16,716,1115,1832,742,1416,2164,79,64,145,11869,11338,23209
2017,0,0,0,0,9,8,0,0,0,0,0,0,10,5,19,2033,1647,3681,139,202,342,14,0,19,5,0,9,44,17,61,13,4,14,115,140,249,2387,2022,4408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,4,5,9,18,18,29,22,17,40,0,0,0,0,0,0,0,0,0,3,0,3,109,223,331,133,287,420,19,14,35,2675,2568,5241
2018,17,10,25,40,67,110,3,0,3,3,0,0,9,14,22,6484,5571,12058,481,479,958,80,0,82,25,0,24,49,9,60,45,29,70,164,164,330,7396,6346,13743,10,4,12,0,0,0,0,0,0,8,4,6,8,0,12,6,4,8,27,7,37,0,0,0,0,0,0,9,3,7,0,15,12,0,4,4,11,18,27,69,32,102,101,61,159,0,4,11,3,6,9,3,0,3,8,8,15,730,1240,1966,799,1340,2142,54,51,107,9092,9043,18132
2019,0,0,0,0,15,16,0,5,0,0,0,0,15,13,32,3081,2818,5899,250,294,542,50,0,49,18,0,23,106,45,154,26,11,38,132,195,332,3686,3405,7089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,3,7,31,22,50,39,28,67,0,0,0,0,0,0,4,0,4,4,0,4,266,457,721,366,640,1002,33,27,54,4376,4552,8934
2020,77,31,111,24,10,37,4,0,9,0,0,0,14,11,24,6799,5675,12474,404,449,845,139,4,148,41,6,45,27,11,36,39,20,57,203,161,366,7769,6378,14140,13,9,19,0,0,0,0,0,0,14,10,24,7,3,11,9,0,8,36,24,65,0,0,0,0,0,0,3,3,11,5,4,8,3,0,3,12,11,18,79,25,104,130,59,193,5,5,19,0,0,0,3,0,3,14,8,25,1236,1694,2934,792,1503,2297,66,55,117,9998,9700,19700
2021,4,3,8,35,25,68,6,0,6,0,0,3,19,22,42,6157,5499,11651,452,554,1003,66,0,66,18,5,29,110,36,146,43,13,59,324,307,629,7245,6467,13704,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,9,0,11,0,0,0,0,0,0,3,0,4,0,3,3,0,0,0,3,5,13,60,32,92,68,39,110,0,0,0,3,0,3,0,0,0,3,4,7,679,989,1665,682,1244,1926,44,41,82,8730,8771,17499
