SED_CODE_2021,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
SED21401,328,84,140,16,561,124,14,42,5,185,73,30,40,0,145,53,26,59,4,137,272,56,94,9,431,153,93,128,14,390,829,133,161,16,1134,526,221,210,26,979,528,316,302,34,1179,612,398,241,32,1289,349,384,182,23,940,410,427,175,22,1037,754,1017,337,39,2150,556,861,153,31,1599,422,855,113,12,1406,272,670,37,0,988,825,2650,135,11,3627,241,572,165,8,983,122,80,32,4,240,7451,8877,2747,309,19387
SED21503,167,37,49,9,266,66,4,14,3,91,43,13,29,6,94,29,14,51,0,98,202,36,79,4,324,141,41,144,5,331,629,108,194,22,945,441,165,244,28,885,463,300,263,34,1060,565,359,248,28,1194,307,380,204,27,919,293,453,177,30,951,639,1001,289,38,1969,532,968,166,27,1691,369,953,80,11,1408,278,631,35,8,951,455,1693,88,14,2249,167,416,185,12,776,109,55,31,0,200,5883,7635,2580,306,16408
SED21608,103,17,44,0,170,53,7,12,0,78,34,5,34,0,78,31,9,65,0,108,176,28,132,0,331,147,53,294,8,499,861,104,299,7,1274,582,157,348,30,1126,625,291,390,27,1338,740,473,322,29,1566,429,467,219,18,1138,456,539,180,17,1190,930,1260,243,31,2467,613,1028,106,21,1767,418,825,55,8,1306,223,507,26,4,758,414,1080,48,6,1547,267,572,194,8,1046,134,72,47,5,253,7249,7496,3051,236,18040
SED21706,183,38,109,8,342,58,17,33,4,116,56,14,59,4,133,31,16,70,0,124,149,28,102,11,283,128,54,110,5,300,415,79,147,16,661,352,114,194,35,687,385,201,212,20,819,449,273,186,41,948,311,294,161,28,791,343,256,147,24,767,679,680,292,45,1697,507,710,128,31,1381,460,752,121,21,1352,289,678,41,9,1018,987,4249,181,35,5451,202,490,180,5,885,63,48,29,6,151,6054,9006,2486,343,17889
SED21805,121,33,60,5,221,37,10,13,0,59,45,7,33,0,90,27,5,50,0,88,128,29,120,7,284,106,35,228,5,376,615,68,295,26,1006,440,117,370,21,948,510,241,446,20,1213,536,427,379,33,1370,367,488,317,30,1200,403,560,242,27,1231,979,1416,428,43,2858,803,1330,169,21,2327,571,1077,92,12,1751,317,691,33,4,1048,621,1465,88,7,2184,203,551,244,11,1006,123,83,60,6,270,6948,8635,3670,275,19529
SED21906,115,35,67,7,228,39,16,14,4,71,26,16,27,3,79,16,12,33,0,64,101,15,57,15,191,72,23,78,10,185,341,51,98,4,496,248,89,128,22,489,348,146,200,34,726,451,214,165,24,860,323,183,133,17,662,385,216,111,21,733,951,583,279,36,1852,808,573,68,31,1478,699,623,81,29,1429,497,483,29,17,1028,1579,3606,203,19,5405,249,473,167,10,893,105,103,28,4,243,7372,7461,1973,303,17113
SED22005,312,70,105,20,511,81,23,33,0,139,58,31,57,11,150,58,32,97,4,180,238,68,129,6,446,174,87,144,14,417,888,195,239,25,1346,497,282,349,57,1178,500,476,338,48,1370,592,544,325,57,1525,316,584,239,40,1181,369,552,206,47,1170,775,1239,355,86,2458,505,1067,152,41,1766,401,929,93,29,1449,244,662,36,6,957,475,1715,91,14,2296,199,496,192,22,910,115,74,52,12,244,6799,9115,3237,545,19697
SED22105,383,92,122,8,608,50,19,33,0,98,55,46,57,0,163,29,30,92,3,159,172,109,212,8,501,126,150,353,6,632,814,298,421,16,1545,576,599,565,34,1778,606,971,576,24,2180,706,1528,548,56,2841,569,1490,393,37,2492,643,1533,337,46,2554,1444,3698,520,66,5732,927,2725,230,59,3940,542,1950,138,40,2673,295,1079,53,14,1434,367,1812,83,26,2284,278,1089,320,23,1711,139,155,85,9,392,8715,19374,5151,486,33722
SED22201,149,25,48,4,234,56,3,11,0,71,30,10,27,0,64,22,9,44,0,80,141,17,101,3,269,109,37,177,5,326,569,90,204,16,879,480,143,274,11,906,533,231,305,27,1086,551,385,287,20,1252,342,377,221,19,958,339,457,200,5,1005,845,1074,361,38,2314,667,1098,184,21,1966,465,946,95,9,1517,299,663,40,9,1009,534,1693,103,13,2337,188,443,209,3,842,93,50,35,0,183,6410,7752,2922,215,17305
SED22305,219,104,134,4,461,66,17,27,3,107,48,33,74,0,157,52,40,117,3,216,248,107,167,11,537,136,185,247,11,577,832,332,309,25,1504,524,500,411,55,1496,465,762,419,43,1690,544,904,365,60,1866,314,701,231,38,1284,336,695,187,43,1258,663,1347,304,65,2386,382,928,161,27,1492,238,642,75,19,978,140,334,37,5,513,165,559,60,11,790,202,517,229,17,962,122,107,82,8,318,5687,8830,3620,449,18593
SED22404,151,27,34,0,213,75,11,12,0,98,53,10,33,0,99,48,11,50,4,112,241,19,114,3,372,158,25,167,11,360,847,81,228,11,1166,607,128,279,15,1028,732,246,280,20,1270,734,451,244,16,1435,430,439,148,17,1038,489,494,122,13,1115,978,1093,194,18,2276,540,864,111,6,1523,410,636,52,0,1103,201,402,18,3,625,530,920,51,7,1508,323,642,241,7,1210,162,85,49,6,306,7705,6573,2408,152,16846
SED22501,114,24,46,8,190,47,9,13,0,59,31,11,17,0,61,15,3,31,0,54,114,12,50,0,176,87,25,93,7,208,450,41,108,3,609,392,76,159,19,643,515,113,204,14,849,603,221,216,22,1058,343,261,176,8,793,352,320,164,16,846,747,919,311,18,1996,566,1029,125,20,1735,439,1106,110,14,1670,304,899,43,6,1253,775,3226,130,7,4139,164,515,170,0,852,80,60,15,0,158,6135,8864,2186,150,17336
SED22607,108,29,50,12,204,43,6,20,5,71,34,16,61,4,114,12,8,65,3,90,121,35,96,7,259,78,31,119,13,247,387,60,145,19,611,295,102,184,32,611,398,176,205,49,826,487,198,200,42,930,335,202,157,30,728,374,227,157,38,801,902,614,249,60,1825,758,701,111,37,1611,621,806,106,15,1549,473,623,45,14,1156,1316,3761,164,30,5272,217,421,156,5,801,83,67,35,8,189,7052,8081,2338,425,17892
SED22704,165,19,34,6,223,78,7,10,0,95,49,19,37,0,104,49,11,62,0,125,266,33,149,12,453,172,50,230,7,463,1195,106,286,17,1611,790,150,371,23,1333,794,327,315,40,1477,834,439,268,38,1579,449,470,188,14,1125,473,470,171,15,1129,1011,1051,228,22,2315,640,814,111,9,1576,416,657,53,8,1130,228,397,32,0,660,477,747,52,4,1282,422,638,230,15,1302,232,92,73,17,408,8749,6486,2900,251,18386
SED22802,108,24,40,6,179,63,5,10,0,85,34,4,33,3,70,22,7,46,0,70,141,18,85,5,254,117,18,136,6,278,613,63,195,17,881,474,96,249,19,836,533,221,267,12,1032,574,378,240,21,1210,300,462,196,13,963,379,532,138,9,1063,865,1376,316,35,2585,636,1269,142,21,2061,459,1089,79,10,1633,286,704,32,0,1023,416,1488,63,3,1966,184,563,199,11,956,114,65,32,4,211,6302,8376,2483,202,17365
SED22901,230,30,73,3,336,77,7,16,6,115,39,24,24,0,92,36,15,59,3,109,176,36,86,0,288,138,42,142,5,327,676,96,177,11,960,451,146,221,15,839,515,298,291,17,1112,546,424,252,30,1256,307,449,233,20,1004,344,479,176,20,1019,725,1171,313,29,2238,500,1160,133,20,1813,372,1011,89,17,1479,223,653,32,0,916,389,1689,74,6,2166,204,480,172,8,861,77,42,26,3,147,6031,8247,2590,221,17088
SED23007,191,51,106,13,360,62,20,37,3,120,45,35,73,13,173,39,24,120,4,196,217,61,171,15,466,136,111,221,23,489,723,184,260,33,1205,435,290,379,64,1159,414,420,374,68,1284,556,594,395,72,1610,374,490,279,46,1192,388,520,265,40,1213,992,1081,412,103,2579,830,932,167,50,1982,646,883,138,31,1698,505,584,46,21,1153,1020,1688,128,29,2865,250,459,218,23,951,118,71,65,12,263,7949,8491,3838,674,20949
SED23101,306,42,99,11,459,94,16,21,4,134,69,18,48,4,138,34,22,51,0,107,238,35,70,3,349,152,69,117,0,325,675,104,124,10,909,478,198,204,23,905,534,270,224,27,1056,581,394,203,26,1212,260,356,189,17,826,338,404,178,16,932,610,1066,294,39,2003,434,954,144,25,1553,292,991,95,9,1383,176,712,35,4,933,467,2362,102,5,2935,176,482,146,6,809,81,41,23,9,151,5996,8531,2354,249,17127
SED23205,111,18,59,0,191,52,0,15,0,74,38,10,42,3,90,30,11,64,0,109,135,15,174,9,326,113,31,239,8,389,613,73,311,9,1007,466,117,403,40,1023,476,238,446,42,1196,564,347,363,39,1317,329,361,269,16,965,403,393,219,21,1032,780,995,378,37,2189,578,886,154,16,1647,428,742,88,11,1277,251,527,39,9,824,403,1194,80,6,1681,167,422,274,11,876,106,55,83,5,247,6044,6437,3705,285,16468
SED23308,91,16,24,0,139,52,7,27,0,82,23,12,31,0,74,25,7,51,0,86,157,14,114,3,289,119,42,216,12,387,668,66,242,19,993,460,107,350,38,956,568,210,324,47,1147,671,309,308,33,1323,359,318,218,20,919,447,325,194,27,992,863,930,268,42,2103,709,798,142,22,1672,503,843,87,15,1443,335,550,28,6,917,680,1765,82,13,2540,206,448,200,12,873,104,43,55,6,202,7042,6813,2962,308,17126
SED23402,198,37,54,0,296,63,16,13,3,92,39,13,36,0,93,31,13,50,0,101,140,29,116,3,291,106,46,209,7,365,652,125,236,5,1024,487,189,294,19,993,607,398,393,28,1419,704,658,382,27,1768,362,655,259,15,1297,508,814,197,24,1539,1148,1861,382,49,3435,874,1674,186,23,2760,546,1315,116,12,1997,337,863,53,5,1266,641,2260,100,5,3003,246,743,230,12,1228,148,95,48,3,296,7848,11802,3368,247,23265
SED23502,171,28,39,0,243,88,9,11,4,109,62,16,43,3,122,56,5,69,5,134,284,27,112,4,432,253,35,224,7,516,1460,96,279,11,1850,945,160,326,41,1466,936,284,309,21,1552,979,475,241,22,1715,456,422,133,15,1031,523,515,118,18,1174,891,964,153,17,2025,497,733,44,12,1283,307,490,28,0,821,164,266,15,0,445,324,540,37,0,900,389,584,203,11,1185,232,54,81,10,374,9023,5684,2466,204,17375
SED23602,179,28,25,3,236,97,10,8,3,120,55,13,41,4,108,48,7,66,3,127,264,26,133,8,425,175,34,206,6,420,1078,71,223,22,1400,747,164,276,22,1213,781,271,262,27,1344,772,391,234,26,1414,379,375,156,10,923,461,410,131,13,1016,837,913,173,20,1937,461,679,59,10,1208,337,586,26,4,953,149,369,14,0,531,441,750,40,3,1229,340,554,174,8,1076,193,71,44,8,313,7789,5721,2289,197,15990
SED23702,152,28,52,5,234,50,13,21,0,74,39,17,32,0,84,34,8,49,4,88,177,18,130,5,336,129,33,213,11,387,836,53,292,15,1200,581,116,340,23,1063,690,272,375,33,1360,647,425,387,23,1491,403,519,232,8,1163,442,596,221,11,1273,1055,1494,325,39,2917,734,1367,130,21,2257,487,1064,83,8,1647,271,712,36,11,1027,382,1453,64,8,1905,261,621,226,18,1126,160,92,54,7,313,7527,8917,3264,240,19943
SED23806,112,36,86,6,246,46,10,14,12,85,26,8,30,11,77,16,14,51,4,79,77,16,50,8,150,72,29,65,12,172,221,49,74,17,353,183,66,91,20,360,336,93,116,22,570,448,150,122,40,762,290,125,98,26,545,361,177,119,22,669,884,421,215,54,1574,741,403,96,38,1282,648,488,107,21,1273,495,389,29,13,929,1782,4339,230,27,6374,220,534,150,6,909,57,57,13,3,130,7011,7399,1764,363,16537
SED23901,131,35,61,8,230,51,15,19,0,91,34,18,43,0,96,31,9,53,6,95,156,22,90,7,278,74,35,152,5,269,445,73,166,15,704,329,97,214,30,663,428,194,251,27,894,428,263,233,37,961,325,275,190,29,815,362,343,193,14,915,817,823,359,45,2043,714,828,125,30,1691,581,950,98,11,1640,404,730,38,7,1190,1044,3305,152,15,4515,231,470,171,3,878,98,55,34,3,196,6676,8541,2651,291,18153
SED24006,169,74,180,17,441,57,24,45,5,129,30,23,77,5,133,18,24,54,0,105,105,38,71,4,221,75,56,91,3,234,296,103,116,10,525,255,97,133,16,506,296,193,199,26,710,359,242,179,20,796,234,248,129,24,630,315,234,127,14,693,664,680,258,31,1627,539,584,126,20,1263,491,652,128,12,1284,315,546,50,9,916,1248,4348,264,25,5883,199,678,201,5,1092,64,60,25,3,158,5734,8901,2446,257,17347
SED24105,308,94,125,24,552,67,12,37,3,121,55,45,80,0,180,38,34,104,5,193,226,79,157,13,467,147,112,163,10,430,814,238,277,22,1341,483,351,340,25,1205,466,591,345,48,1444,552,723,376,51,1703,334,735,265,29,1363,334,744,212,37,1323,670,1537,353,57,2619,393,1230,204,29,1860,286,949,118,15,1371,184,666,59,8,923,282,1535,86,17,1917,175,604,173,15,969,118,80,49,0,247,5936,10352,3521,415,20229
SED24207,373,108,170,9,656,54,19,37,0,110,59,49,93,3,210,44,45,149,0,242,218,113,191,11,531,144,176,280,4,609,854,364,342,19,1576,462,510,441,34,1443,403,831,459,34,1721,476,1066,437,57,2034,351,1012,302,31,1691,329,1084,281,37,1724,855,2338,408,51,3656,587,1804,216,31,2644,393,1423,132,24,1971,261,906,71,14,1251,347,1963,109,23,2440,246,832,247,19,1345,123,143,83,12,364,6576,14776,4440,420,26214
SED24308,123,30,73,5,233,36,12,22,0,68,37,22,49,4,110,29,11,95,0,145,181,49,214,10,449,121,57,354,11,534,901,117,396,33,1451,545,205,453,46,1254,549,387,448,39,1424,611,506,377,39,1539,365,494,286,23,1169,387,485,182,12,1058,844,1207,344,49,2437,526,925,130,18,1597,386,748,68,12,1212,207,481,39,0,722,373,1035,73,9,1491,241,500,262,21,1022,136,70,69,15,291,6589,7327,3919,366,18204
SED24408,103,18,30,3,149,77,11,13,0,98,49,13,28,5,95,31,9,68,0,115,224,34,105,3,371,146,43,202,5,390,964,84,221,9,1285,594,150,288,34,1068,685,269,280,42,1272,762,471,214,27,1470,366,438,147,9,956,480,467,91,14,1055,945,923,149,14,2034,588,729,64,11,1394,353,502,22,4,876,198,294,6,0,495,442,641,31,3,1114,283,530,158,16,988,188,52,51,9,295,7469,5678,2178,204,15534
SED24504,144,15,26,4,195,82,5,16,0,97,43,11,22,0,80,28,7,44,5,82,188,11,91,0,290,123,36,133,0,294,666,56,169,5,901,489,112,204,19,824,646,200,223,11,1081,718,348,191,15,1274,444,339,191,7,978,456,477,132,8,1085,840,1011,239,16,2112,648,969,93,16,1717,541,955,79,3,1570,328,691,17,8,1045,986,2050,78,10,3125,295,670,212,0,1182,121,59,34,5,221,7797,8018,2197,137,18144
SED24606,93,40,62,3,194,38,10,22,4,66,19,6,39,0,68,21,6,35,3,61,84,16,50,11,163,65,13,68,18,158,228,29,73,15,346,200,47,118,16,385,267,74,129,20,486,351,108,134,19,617,237,127,100,23,491,336,141,112,23,614,776,332,233,48,1386,672,394,80,22,1170,544,479,105,16,1150,389,349,37,16,796,1984,4059,290,29,6355,210,488,161,15,866,80,52,18,5,150,6574,6781,1862,306,15526
SED24703,383,52,145,130,707,91,17,40,39,178,105,13,89,41,249,93,10,79,29,209,183,36,125,53,397,207,54,159,66,486,452,87,166,104,807,563,102,181,107,950,846,178,219,140,1384,1108,213,229,165,1713,761,212,167,112,1250,950,232,160,92,1439,2015,615,269,134,3026,1544,473,97,93,2195,1260,507,79,57,1904,937,403,27,39,1402,2927,2060,180,70,5233,502,316,128,23,965,78,20,45,9,151,15014,5591,2581,1480,24668
SED24808,229,77,120,8,432,62,13,30,3,102,46,29,86,0,165,48,17,128,7,194,196,62,268,10,538,141,107,471,5,728,903,247,514,25,1692,559,443,621,34,1650,603,675,587,44,1913,691,1001,503,45,2248,434,953,341,33,1754,470,996,274,23,1765,1117,2106,424,50,3700,723,1547,182,32,2497,437,1077,117,12,1638,213,713,51,11,988,375,1347,72,11,1805,268,764,257,14,1303,165,126,90,14,390,7681,12308,5137,381,25512
