SED_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
SED25802,4763,5721,5831,4261,4070,2781,2427,4359,677,34878
SED25905,3344,5583,5141,3392,4585,2901,2771,3330,722,31779
SED26005,4255,7135,6500,4641,5554,3776,3863,4679,936,41339
SED26102,4459,5611,4819,3215,3003,2710,917,2457,609,27795
SED26207,4645,7677,3625,2735,4731,2717,1364,1944,616,30060
SED26303,6507,16342,3164,3501,4227,2334,862,1642,536,39103
SED26406,5448,13276,3739,3779,5000,3405,1423,2473,741,39269
SED26504,4325,4468,3901,3448,2688,2344,1771,3716,477,27146
SED26603,5354,12456,5028,4260,5444,3079,1748,3099,774,41242
SED26708,6226,4738,4436,3496,2845,2344,2151,4549,575,31367
SED26806,8748,19660,3011,3730,5389,3341,699,1522,817,46917
SED26903,4101,9875,4218,3876,4391,2691,1804,2935,725,34618
SED27003,8893,22084,3142,3731,4877,2802,704,1516,725,48476
SED27101,4725,10616,3909,3465,4480,2639,1158,2324,573,33878
SED27208,4576,4090,3853,3892,2842,2321,1996,4111,537,28218
SED27305,4279,6762,4280,2835,4577,3018,1491,2178,521,29943
SED27406,7227,10571,2811,2975,4339,2892,627,1323,530,33284
SED27504,4622,5660,4431,3846,3566,2914,2211,4814,661,32725
SED27608,6392,12565,6433,6469,5396,4374,1984,3587,671,47863
SED27708,4467,5643,4376,3954,3137,2851,2166,4191,608,31391
SED27807,2302,4744,4269,3550,3566,2403,3724,4564,907,30023
SED27907,3834,5914,5292,3877,5166,2881,2558,2770,647,32936
SED28007,4501,7405,5501,4056,6380,4184,3639,3762,904,40335
SED28107,5664,12477,7163,7201,8013,4923,8711,5860,1590,61610
SED28203,2980,5899,5020,4299,4432,2929,3804,4288,861,34515
SED28301,5436,9015,3265,2872,4205,2970,785,1690,542,30778
SED28408,3379,7004,3824,3934,3591,2731,1389,2801,426,29079
SED28507,4028,8055,5514,5087,5777,3413,4553,4335,944,41710
SED28607,7546,13150,3664,3221,4943,2758,1391,1998,637,39304
SED28704,6359,10021,8551,6550,7265,4558,3440,4193,931,51874
SED28803,5707,9825,8277,7103,7679,5112,6265,5996,1369,57338
SED29494,174,334,250,227,143,129,177,308,49,1797
SED29797,0,4,0,0,0,0,0,4,0,15
