SED_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
SED23101,4496,7499,1862,205,14064,2980,507,17551,586,471,234,16,1308,1131,85,2524,260,429,125,15,830,195,38,1064,844,901,358,38,2139,1323,124,3587,45,49,28,0,125,256,3,390,31,11,11,3,58,62,8,122,118,20,21,5,168,143,20,329,0,0,0,0,0,0,0,0,0,5,6,0,11,5,0,14,200,88,66,6,355,466,37,859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0,11,0,5,15,9,6,0,0,11,0,5,15,0,0,0,0,3,3,0,7,5547,8484,2289,250,16567,4779,674,22018
SED23205,4896,5983,2991,235,14103,4614,662,19379,574,186,358,28,1148,1941,103,3185,204,155,175,16,548,412,54,1012,780,341,533,40,1696,2347,155,4194,128,43,76,4,263,532,32,825,17,8,6,0,26,31,7,68,23,0,12,0,40,61,3,116,0,0,6,0,3,23,0,24,0,0,0,0,0,6,0,15,173,57,101,4,336,665,50,1045,0,0,0,0,0,7,0,7,5,0,0,0,3,21,0,27,0,0,0,0,0,0,0,0,4,8,0,0,15,7,0,20,9,8,0,0,23,32,0,49,4,3,3,0,12,20,0,30,5857,6392,3632,282,16168,7668,863,24697
SED23308,5633,6258,2456,242,14584,5675,1015,21276,582,253,248,30,1114,2213,160,3484,289,155,105,16,566,347,100,1007,873,407,352,47,1679,2562,252,4494,219,81,76,12,390,831,67,1288,22,7,8,0,39,99,14,152,65,19,13,3,94,185,23,300,57,4,4,5,68,59,7,134,0,0,0,0,0,4,0,4,367,109,98,25,596,1172,109,1878,0,0,0,0,3,9,0,11,27,6,12,0,43,120,4,167,0,0,0,0,0,0,0,0,14,3,6,0,25,20,7,48,40,11,20,5,65,144,11,228,11,3,3,0,24,36,3,57,6914,6793,2926,309,16944,9591,1389,27930
SED23402,6715,11302,2967,224,21206,4163,504,25880,494,234,175,15,914,943,30,1886,184,138,124,7,462,183,28,674,684,375,300,24,1375,1128,55,2558,7,0,0,0,15,52,0,70,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,4,5,0,12,8,0,0,0,19,61,0,84,8,0,0,0,8,0,0,4,13,0,0,0,13,65,0,76,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,4,21,0,0,0,29,63,3,96,6,10,3,0,20,17,0,31,7432,11692,3273,245,22647,5431,569,28642
SED23502,8400,5533,2290,189,16408,6460,532,23410,231,57,81,10,377,812,37,1226,35,17,11,3,63,49,11,123,265,63,96,14,443,864,46,1354,52,10,18,0,84,265,11,360,4,0,0,0,4,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,4,0,8,58,14,18,0,96,268,11,378,24,0,3,0,30,78,3,109,51,3,12,0,73,106,5,180,4,0,0,0,0,3,0,5,9,10,0,0,18,15,0,39,86,16,16,3,124,200,9,336,20,11,4,0,45,29,0,78,8840,5644,2418,203,17104,7831,606,25541
SED23602,7314,5600,2121,177,15216,6095,476,21790,148,49,63,11,270,519,25,819,15,9,16,6,40,79,0,123,163,59,79,11,317,599,30,938,62,9,28,3,104,406,18,525,7,4,4,0,16,8,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,11,70,16,27,5,119,420,20,559,8,5,6,0,12,55,0,73,11,3,6,0,21,47,0,67,0,0,0,0,0,3,0,7,15,4,3,0,27,15,3,48,37,13,20,0,61,119,4,185,10,0,0,0,18,20,0,40,7608,5687,2247,193,15732,7254,535,23521
SED23702,6264,8461,2630,209,17565,4117,381,22062,681,256,430,20,1390,1766,106,3262,92,71,83,4,252,150,15,418,776,329,516,24,1644,1911,122,3677,24,12,5,0,41,49,5,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,5,0,22,25,0,45,33,14,10,0,57,74,5,134,0,0,0,0,0,4,0,0,19,0,11,0,32,153,5,190,3,0,0,0,3,0,0,3,0,6,0,3,7,0,0,8,23,9,9,4,41,157,5,206,12,0,0,0,11,8,0,24,7109,8811,3170,242,19328,6274,511,26102
SED23806,2732,5061,831,113,8738,1493,275,10508,851,886,260,35,2038,1024,161,3223,473,536,175,19,1202,335,93,1630,1323,1422,437,57,3242,1353,252,4850,841,359,171,59,1428,1539,306,3271,919,257,123,68,1366,1778,379,3524,867,222,157,58,1295,1568,190,3055,147,46,25,7,225,344,38,603,0,4,0,0,4,0,0,4,2771,890,474,189,4322,5228,914,10462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,5,8,0,39,28,20,81,27,5,8,0,39,28,20,81,8,3,4,0,13,19,5,39,6858,7382,1746,362,16351,8125,1464,25939
SED23901,4291,7059,1769,181,13302,3477,546,17328,572,389,278,38,1270,1257,129,2656,707,718,304,32,1753,624,144,2527,1277,1108,578,69,3027,1883,276,5181,438,224,146,19,821,830,77,1733,124,36,29,4,198,201,8,406,286,50,46,9,399,422,36,854,55,19,33,3,110,179,14,299,3,3,0,0,7,10,0,11,904,330,260,38,1527,1638,141,3308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,4,0,13,14,3,31,9,3,4,0,13,14,3,31,11,3,7,0,18,12,0,32,6494,8504,2611,288,17899,7020,962,25879
SED24006,3424,7138,1620,144,12322,2143,357,14826,586,543,252,44,1426,836,113,2374,515,748,261,21,1542,426,68,2037,1097,1290,514,63,2967,1257,182,4413,323,154,124,25,627,645,114,1381,300,128,61,18,504,500,70,1075,272,127,89,9,501,376,58,933,10,0,0,0,7,21,5,29,0,0,0,0,0,0,0,3,900,414,267,55,1642,1541,239,3418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,3,0,24,23,6,55,13,9,3,0,24,23,6,55,4,6,0,0,13,8,0,17,5439,8858,2411,258,16969,4970,791,22728
SED24105,4321,9004,2714,339,16374,2736,578,19691,378,350,212,22,969,745,53,1764,350,500,179,37,1067,255,75,1397,726,855,394,63,2031,1002,132,3164,187,215,130,18,548,323,45,917,13,6,6,0,31,42,4,71,33,13,8,0,60,34,4,97,0,0,0,0,0,0,0,0,0,6,3,0,12,5,0,21,230,243,153,16,641,406,60,1110,3,0,0,0,6,43,0,46,0,0,0,0,0,15,0,14,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,7,3,3,0,0,11,56,0,66,8,0,0,0,7,13,0,17,5287,10102,3266,419,19070,4204,767,24037
SED24207,5285,13774,3744,381,23183,3606,634,27432,190,272,127,15,602,369,21,991,207,356,217,19,802,224,31,1062,399,628,351,34,1404,592,56,2051,17,19,18,3,66,54,0,121,14,6,5,0,31,30,0,62,70,18,29,5,132,104,13,246,0,0,0,0,0,0,0,0,0,0,0,0,4,11,0,15,106,49,62,9,230,194,15,439,7,0,0,0,5,44,0,47,5,0,0,0,5,54,3,54,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,6,7,3,0,0,14,94,4,108,7,7,5,0,17,15,4,32,5802,14464,4162,417,24853,4504,706,30068
SED24308,5738,6908,3473,324,16432,5654,808,22895,391,186,214,32,823,1304,92,2220,109,62,49,7,220,151,29,399,498,249,266,33,1047,1452,119,2612,75,48,67,4,189,282,9,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,69,46,67,4,195,280,9,485,0,0,0,0,3,21,0,26,10,0,0,0,10,23,0,35,0,0,0,0,0,0,0,0,13,31,5,0,53,21,7,73,31,30,5,0,67,65,5,138,0,10,0,0,11,8,0,24,6344,7236,3808,361,17750,7472,944,26159
SED24408,7131,5571,2060,195,14953,6870,546,22366,108,41,35,4,183,595,18,790,3,0,3,0,9,10,0,24,113,41,36,4,194,607,18,819,58,14,38,5,123,412,21,552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,58,18,38,5,124,416,21,562,7,3,0,0,10,36,0,50,8,3,0,0,10,8,0,19,0,0,0,0,0,3,0,4,18,8,9,0,31,18,3,51,32,14,7,0,58,59,0,122,15,4,0,0,20,12,4,40,7355,5645,2145,208,15347,7966,592,23904
SED24504,7217,7822,1996,133,17168,4591,434,22193,228,80,116,8,435,606,25,1067,29,5,18,0,59,32,0,91,258,92,139,8,495,639,25,1157,14,6,4,0,23,11,0,39,0,6,0,0,7,4,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,7,6,0,14,18,17,12,0,40,23,4,64,7,0,0,0,10,10,0,21,18,19,0,0,38,18,0,61,0,6,0,0,4,6,0,11,16,6,0,0,28,18,4,46,41,34,7,0,80,57,3,136,16,8,0,0,22,12,0,30,7546,7970,2151,141,17802,5325,462,23588
SED24606,2520,4799,855,92,8266,1485,254,10002,651,550,239,32,1478,891,103,2469,742,615,233,26,1622,561,112,2297,1392,1170,473,61,3095,1452,216,4763,931,369,237,65,1607,1869,334,3809,891,259,159,54,1362,1775,255,3394,529,131,94,29,795,836,95,1719,87,22,19,3,128,157,53,340,5,4,0,0,8,0,0,8,2443,783,509,158,3891,4638,738,9264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,87,10,5,0,100,174,19,293,87,10,5,0,100,172,19,297,9,6,6,0,18,9,0,25,6448,6769,1846,309,15371,7756,1232,24364
SED24703,462,502,139,36,1138,318,186,1642,1256,690,230,70,2253,1059,653,3964,1647,1226,396,104,3371,1422,944,5741,2905,1917,628,178,5624,2476,1599,9704,489,180,84,20,774,769,238,1778,833,274,204,52,1360,1695,399,3454,2047,597,295,179,3117,3926,1058,8102,8076,2094,1193,1011,12372,14982,4837,32187,6,0,0,0,10,3,0,12,11453,3144,1779,1260,17631,21372,6530,45539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,17,12,5,72,57,42,169,47,17,12,5,72,58,42,172,34,15,7,5,57,109,24,186,14897,5582,2557,1481,24522,24332,8381,57238
SED24808,6726,11765,4524,348,23364,5386,695,29441,389,259,310,29,983,1277,64,2322,64,74,87,6,224,135,19,376,453,331,396,34,1211,1407,84,2704,8,10,17,0,35,76,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,21,0,0,0,0,0,0,0,0,7,6,5,0,19,15,0,25,14,14,20,3,57,109,0,160,0,0,0,0,3,3,0,7,9,0,0,0,11,10,0,21,0,0,0,0,0,0,0,0,0,8,0,0,13,4,0,13,14,8,0,3,22,22,0,48,5,10,5,0,18,7,0,31,7211,12131,4950,385,24670,6933,780,32380
SED24904,6398,6258,2614,255,15522,5238,687,21451,294,110,183,14,607,960,79,1643,22,10,12,3,46,29,5,84,321,124,185,18,651,990,86,1730,167,71,94,13,348,749,53,1145,4,0,0,0,5,14,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,0,5,174,71,97,13,353,765,53,1169,36,8,5,0,48,88,10,151,49,8,8,4,61,90,20,168,4,0,0,0,5,7,0,14,3,9,5,0,21,14,0,32,91,20,15,4,131,194,32,355,18,16,3,4,39,30,20,92,7005,6486,2915,288,16697,7226,880,24804
SED25003,4422,9438,2571,201,16632,2912,391,19934,417,536,209,24,1185,599,45,1827,274,396,205,29,902,330,63,1301,689,930,411,55,2093,932,109,3130,14,12,5,0,26,20,0,46,26,19,16,0,60,109,7,172,38,29,17,5,91,86,14,197,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,11,78,59,35,10,182,218,27,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,4,5189,10425,3027,268,18908,4067,523,23494
SED25102,5628,8008,2083,133,15847,3463,401,19713,61,43,44,0,156,182,9,347,18,13,8,0,43,46,0,90,76,61,56,0,198,230,8,431,28,16,5,0,50,111,0,164,3,0,0,0,3,8,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,8,7,0,18,40,17,5,0,58,127,0,195,0,0,0,0,0,4,0,4,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,7,3,4,0,13,3,0,17,4,4,4,0,14,11,0,20,5,3,0,0,10,8,0,18,5754,8091,2148,136,16128,3838,414,20384
SED25205,3364,6826,1538,124,11856,2330,241,14425,872,712,375,36,1995,1560,93,3649,663,825,307,23,1817,503,59,2374,1537,1539,680,64,3817,2059,151,6023,971,589,451,42,2048,2036,121,4205,78,27,38,0,137,210,7,357,13,3,7,0,24,31,3,58,0,0,0,0,0,0,0,0,0,3,0,0,5,4,0,8,1058,623,495,43,2216,2282,139,4634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,12,0,21,34,4,69,3,10,12,0,21,40,4,67,3,3,0,0,8,7,0,17,5972,8994,2727,226,17917,6711,533,25163
SED25302,6083,7803,1942,113,15940,3821,267,20027,498,106,137,4,748,914,21,1679,334,133,106,8,576,228,18,820,828,234,239,17,1321,1137,38,2494,305,80,118,11,518,723,23,1266,21,0,4,0,21,44,5,64,27,0,0,0,27,17,0,40,0,0,0,0,0,0,0,0,4,0,0,0,9,18,0,24,354,86,124,10,578,796,27,1400,0,0,0,0,0,0,0,3,30,0,4,0,31,87,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,4,0,0,32,94,0,129,4,5,0,0,9,9,0,17,7306,8133,2308,132,17881,5852,330,24064
SED25402,6951,6658,3129,214,16953,6137,623,23705,166,38,70,9,288,795,34,1118,20,8,29,0,64,50,11,121,190,47,102,14,351,845,41,1244,198,57,125,17,401,1017,39,1456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,201,57,126,18,406,1018,39,1464,0,0,0,0,0,0,0,5,24,4,3,0,23,33,3,64,0,0,0,0,3,7,0,14,0,0,3,0,9,3,0,8,27,9,4,0,35,46,4,89,9,3,0,0,10,22,0,36,7377,6773,3366,242,17757,8067,713,26536
SED25501,4009,7276,1748,181,13215,2599,597,16412,281,403,98,18,798,367,26,1195,220,555,120,13,912,115,53,1080,501,958,224,32,1714,483,76,2273,703,1132,325,45,2210,868,93,3172,62,43,24,0,126,80,16,221,52,17,20,3,83,64,3,156,110,58,50,7,220,147,26,392,3,4,0,0,3,0,0,9,929,1253,414,59,2656,1158,137,3950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0,6,0,8,0,0,0,0,0,6,3,12,5441,9487,2385,274,17585,4260,815,22657
SED25605,4663,7115,2122,281,14174,3003,556,17731,332,343,134,24,836,585,71,1491,289,432,109,27,859,187,77,1118,625,772,247,48,1684,774,146,2607,274,240,117,39,664,648,74,1388,78,20,11,0,105,111,6,226,91,0,0,0,98,162,0,256,0,0,0,0,0,0,0,0,6,5,3,0,7,9,0,23,446,262,129,42,878,932,79,1888,0,0,0,0,0,22,0,20,3,0,7,0,14,57,0,72,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,11,5,0,8,0,16,84,0,103,5,9,0,0,8,8,4,22,5742,8152,2503,374,16766,4798,786,22348
SED25704,7380,6143,2413,217,16146,5834,549,22527,285,90,136,13,527,1175,56,1750,5,0,3,0,9,16,0,26,288,92,137,13,534,1191,56,1781,64,37,29,0,136,239,18,388,0,0,0,0,3,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,10,69,41,30,0,139,240,18,395,25,5,0,0,29,67,5,106,43,8,8,4,58,95,11,158,6,0,0,0,3,0,0,8,14,4,4,0,25,20,0,38,85,17,13,4,116,177,15,312,17,9,8,0,28,24,3,59,7836,6297,2601,234,16959,7475,636,25072
SED25802,8168,8242,2969,231,19610,6020,547,26177,217,58,132,16,419,952,31,1405,6,4,5,0,15,61,0,75,227,61,136,16,432,1010,33,1476,141,35,64,9,243,599,24,865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,0,10,146,35,63,9,248,609,24,873,13,5,0,0,13,34,4,42,83,5,5,0,97,185,3,284,0,0,0,0,0,0,0,0,10,0,0,0,8,7,0,18,100,5,8,0,112,224,6,346,11,8,4,0,22,19,0,42,8647,8353,3173,254,20427,7876,608,28921
SED25905,4742,8485,2444,215,15893,3106,473,19475,306,349,145,14,822,424,31,1277,167,336,112,12,631,154,25,813,479,687,255,26,1450,581,58,2086,48,43,29,7,126,119,9,258,3,0,0,0,12,9,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,0,13,3,0,17,60,47,38,7,148,135,9,292,0,0,0,0,0,0,0,0,4,4,7,0,16,75,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,9,0,17,73,0,94,7,0,0,0,5,3,0,11,5297,9226,2751,248,17517,3894,542,21957
SED26005,4588,12684,3099,238,20610,2814,521,23948,161,324,121,16,614,206,16,839,117,219,89,10,428,101,11,542,274,541,211,16,1042,310,29,1382,22,30,6,3,62,29,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,4,0,12,25,35,11,3,71,33,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,6,0,0,4,8,0,8,0,6,0,0,9,5,0,11,4891,13268,3326,257,21739,3170,548,25455
SED26102,8461,5658,2448,196,16764,6679,523,23965,439,73,96,10,613,896,27,1538,245,105,101,0,455,192,19,670,685,179,197,9,1070,1085,48,2207,99,23,35,3,165,170,5,337,20,7,3,0,31,28,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,120,32,47,3,202,202,5,406,5,0,0,0,3,30,0,32,33,4,11,0,51,146,8,205,0,0,0,0,0,0,0,0,9,0,0,0,8,19,0,27,41,5,17,0,65,197,7,267,0,3,4,0,7,10,0,22,9314,5875,2709,210,18110,8175,581,26867
SED26207,4402,6786,1932,188,13310,3297,321,16927,459,359,262,25,1105,992,42,2142,734,1072,378,47,2225,685,100,3013,1196,1431,635,71,3334,1675,143,5161,156,108,79,17,356,316,21,693,14,4,0,0,20,23,0,38,7,0,4,0,13,38,0,53,0,0,0,0,0,0,0,0,0,0,0,0,4,11,0,16,180,120,81,14,393,392,18,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,5,0,27,22,5,52,7,12,5,0,27,22,5,52,5,5,0,0,6,6,0,18,5787,8353,2660,278,17079,5390,493,22961
SED26303,3227,5453,1311,172,10157,2605,1004,13767,805,685,256,35,1784,915,306,3002,1064,788,295,45,2195,1168,353,3722,1868,1474,552,82,3976,2088,655,6717,646,193,170,40,1045,2283,209,3537,199,47,38,9,297,499,55,850,686,177,108,21,998,1213,148,2358,44,5,7,5,64,206,18,289,4,0,0,0,11,3,0,15,1583,424,328,70,2408,4206,428,7044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,27,10,3,86,58,32,170,48,27,10,3,86,57,32,173,6,0,3,0,14,10,0,23,6740,7375,2200,323,16636,8963,2132,27729
SED26406,3253,5450,1398,230,10327,2384,763,13472,1042,944,338,64,2389,1485,256,4129,657,796,265,54,1760,459,312,2526,1698,1733,598,115,4143,1945,564,6653,976,517,197,69,1748,2247,309,4310,267,79,39,25,413,382,68,864,745,210,124,67,1142,1078,281,2498,96,20,22,14,149,147,94,383,0,4,0,0,0,3,0,10,2078,823,375,175,3458,3857,752,8068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0,18,7,3,23,9,5,0,0,18,7,3,23,3,8,0,0,10,28,0,36,7045,8020,2378,522,17962,8209,2084,28257
SED26504,7257,5556,2205,151,15169,5530,509,21208,314,89,140,17,548,1316,60,1922,28,14,4,0,46,55,6,108,338,103,145,17,597,1364,63,2026,13,3,10,0,23,38,4,70,0,0,0,0,0,0,0,4,0,0,0,0,6,4,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,4,0,7,20,7,10,0,32,52,8,85,27,5,0,0,27,49,3,81,21,3,4,0,31,55,7,90,5,0,0,0,3,0,0,7,9,5,0,0,19,9,3,35,58,16,9,3,87,117,9,211,9,14,5,0,28,14,6,45,7683,5699,2361,169,15913,7073,590,23578
SED26603,4300,6869,1940,262,13374,3642,878,17896,770,600,350,55,1772,1573,163,3508,1899,1681,614,133,4328,1548,448,6324,2669,2286,962,181,6099,3119,616,9828,264,170,113,31,578,585,85,1242,78,36,41,7,159,214,41,415,92,38,26,12,164,246,45,457,20,18,0,3,47,28,9,81,4,11,3,0,16,3,0,19,457,268,187,43,957,1084,176,2217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,11,0,31,29,5,61,13,5,11,0,25,29,5,62,4,6,3,0,18,15,0,32,7447,9441,3102,486,20479,7885,1675,30042
SED26708,7460,6908,2093,207,16664,5943,563,23170,124,53,77,15,263,706,32,1008,40,22,16,0,80,52,8,139,168,72,97,13,345,761,38,1143,18,0,3,0,18,42,5,71,0,0,0,0,3,0,0,10,4,0,0,0,4,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,10,19,3,8,0,30,57,5,90,8,3,0,0,13,23,3,38,7,4,0,0,12,28,4,44,7,3,0,0,13,7,0,18,14,8,0,0,26,13,0,41,31,20,0,0,62,69,7,136,17,9,0,0,27,20,7,51,7699,7018,2199,219,17131,6849,615,24594
SED26806,1065,1115,308,51,2546,843,295,3688,869,558,178,44,1652,851,389,2884,757,539,189,23,1508,652,238,2399,1630,1095,373,66,3155,1501,627,5285,939,320,157,62,1478,1762,394,3633,2262,509,291,132,3188,5185,947,9331,1370,267,201,73,1906,3215,435,5564,2786,710,432,162,4095,4891,647,9630,4,0,3,0,9,13,0,19,7362,1802,1080,429,10681,15068,2423,28165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,8,6,5,46,49,13,109,29,8,6,5,46,49,13,109,15,10,3,0,26,39,8,62,10103,4034,1769,552,16452,17497,3369,37314
