SED_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
SED23101,302,278,578,104,101,202,118,197,309,98,328,427,295,935,1227,286,599,883,809,435,1244,832,432,1265,971,408,1381,1129,287,1416,805,262,1063,886,222,1109,1962,353,2313,1582,68,1652,1403,90,1493,967,22,984,3051,140,3193,841,86,928,139,201,336,16567,5447,22018
SED23205,150,277,433,64,107,167,80,258,334,86,573,656,290,1468,1761,345,997,1336,938,651,1598,963,822,1785,1118,752,1873,1273,602,1879,939,456,1401,1017,349,1367,2184,486,2672,1658,66,1724,1267,93,1356,855,28,880,1791,131,1925,900,117,1021,227,301,529,16168,8532,24697
SED23308,117,279,397,74,118,197,67,314,384,76,667,748,265,1646,1909,344,1237,1585,959,795,1747,907,967,1867,1106,971,2078,1290,793,2083,896,696,1595,960,494,1453,2076,824,2898,1679,129,1812,1470,186,1657,934,64,1001,2642,259,2906,885,192,1073,198,348,546,16944,10980,27930
SED23402,202,213,415,79,58,137,73,159,236,74,285,362,247,828,1073,299,605,906,932,391,1323,924,573,1496,1299,649,1945,1650,493,2142,1241,447,1682,1491,320,1814,3332,435,3774,2757,57,2822,2020,98,2118,1297,16,1314,3200,109,3309,1252,71,1322,273,195,467,22647,6002,28642
SED23502,224,280,503,100,119,217,107,319,426,115,664,775,394,1870,2266,465,1090,1556,1756,682,2436,1408,793,2208,1511,652,2168,1674,453,2123,1010,322,1331,1164,214,1385,2025,274,2295,1306,30,1340,839,52,886,461,8,475,972,110,1082,1204,92,1297,352,421,778,17104,8443,25541
SED23602,214,300,513,114,108,225,102,269,369,105,578,684,390,1649,2030,365,949,1318,1327,565,1896,1163,729,1887,1296,616,1916,1397,413,1809,910,339,1250,1002,240,1244,1912,326,2240,1208,30,1240,984,81,1063,543,9,555,1291,127,1424,1095,58,1153,310,399,706,15732,7792,23521
SED23702,204,245,446,65,55,125,71,180,253,65,388,457,284,1144,1428,318,900,1216,1088,498,1587,977,635,1605,1256,673,1926,1379,464,1846,1104,420,1525,1231,275,1502,2803,378,3177,2235,45,2283,1645,81,1725,1050,11,1061,2131,86,2216,1139,64,1206,289,239,535,19328,6775,26102
SED23806,211,317,527,79,115,194,71,216,289,71,346,420,138,561,700,156,629,785,332,559,897,330,670,996,532,853,1390,728,856,1584,535,807,1336,659,715,1369,1545,1320,2862,1265,166,1431,1265,330,1593,926,106,1029,6473,673,7141,915,199,1115,131,148,277,16351,9590,25939
SED23901,196,283,478,78,88,169,79,248,329,89,461,548,244,1001,1241,236,710,946,652,561,1211,631,594,1226,866,684,1547,932,578,1505,796,614,1409,890,447,1332,1982,814,2799,1671,106,1780,1643,181,1825,1206,50,1255,4627,267,4894,896,114,1002,185,199,381,17899,7982,25879
SED24006,356,247,603,123,79,199,116,155,276,91,192,280,202,497,700,202,408,616,483,349,837,463,427,883,660,486,1145,754,450,1206,613,409,1020,659,320,979,1597,660,2258,1251,84,1337,1258,215,1472,924,49,976,5968,471,6435,1093,119,1210,150,144,292,16969,5759,22728
SED24105,316,284,594,89,61,148,127,172,297,130,354,479,353,915,1269,326,461,783,1113,309,1422,1019,463,1481,1252,403,1653,1478,281,1763,1214,247,1459,1211,189,1396,2549,282,2835,1932,84,2007,1463,73,1541,1027,31,1059,2260,121,2380,1025,99,1121,206,150,354,19070,4974,24037
SED24207,414,258,674,91,58,148,156,178,336,172,324,497,424,767,1196,485,351,831,1351,310,1659,1242,453,1696,1463,500,1960,1834,393,2223,1588,368,1956,1639,278,1916,3524,405,3930,2685,61,2746,2015,92,2101,1331,31,1365,2755,116,2869,1400,82,1484,302,174,480,24853,5214,30068
SED24308,191,261,455,66,95,156,92,289,380,117,613,732,384,1603,1990,464,946,1415,1341,517,1859,1146,713,1858,1352,732,2083,1455,531,1979,1140,447,1584,1031,337,1370,2395,501,2893,1600,78,1683,1270,105,1372,776,37,812,1609,137,1750,1048,108,1158,277,358,638,17750,8415,26159
SED24408,136,237,370,96,138,229,89,306,391,97,636,733,339,1769,2103,358,976,1338,1227,635,1866,1037,814,1851,1236,775,2012,1455,495,1946,957,396,1352,1044,243,1287,2020,329,2346,1392,42,1439,896,79,976,508,4,519,1177,148,1326,1002,71,1078,287,455,743,15347,8553,23904
SED24504,171,223,394,97,86,186,70,208,272,56,323,384,254,1037,1291,255,581,837,829,440,1264,770,489,1258,1033,476,1509,1222,360,1583,950,355,1301,1046,226,1274,2056,409,2470,1698,29,1722,1590,82,1670,1052,13,1063,3250,193,3448,1194,58,1250,216,205,416,17802,5788,23588
SED24606,183,376,553,60,124,182,62,175,234,60,322,384,147,656,804,138,573,714,326,461,791,367,595,968,458,769,1230,591,742,1332,467,715,1178,588,623,1210,1353,1110,2462,1163,146,1312,1155,368,1523,809,76,889,6424,778,7201,874,156,1027,144,224,371,15371,8984,24364
SED24703,654,2846,3499,173,522,697,247,1003,1248,194,1472,1666,377,1642,2022,455,1776,2238,750,1759,2507,886,2268,3156,1277,3063,4341,1616,2757,4368,1242,2424,3663,1394,2003,3400,3023,3898,6921,2250,661,2913,1959,1095,3050,1447,286,1728,5448,1819,7264,1001,1024,2025,139,397,533,24522,32716,57238
SED24808,307,308,615,95,71,162,120,215,332,149,513,666,449,1231,1683,581,786,1364,1535,509,2044,1487,754,2244,1747,826,2573,2151,618,2768,1708,501,2205,1738,335,2075,3662,439,4102,2519,60,2580,1693,86,1775,1031,12,1043,2015,91,2105,1344,78,1424,341,286,630,24670,7709,32380
SED24904,186,258,448,62,101,165,91,279,371,119,620,739,376,1541,1916,384,894,1279,1332,558,1893,1094,779,1869,1374,711,2083,1453,454,1905,1050,384,1431,1147,274,1421,2205,362,2564,1499,76,1579,1026,75,1101,576,25,604,1175,120,1292,1178,89,1274,379,490,870,16697,8101,24804
SED25003,249,196,443,73,51,127,72,111,182,103,277,378,245,687,934,328,337,666,1051,286,1327,907,432,1344,1160,470,1629,1415,439,1855,1235,333,1566,1268,230,1491,2738,314,3055,2167,55,2222,1636,77,1710,1085,14,1099,1988,74,2066,954,58,1010,232,152,382,18908,4587,23494
SED25102,125,147,272,61,54,114,52,132,185,44,224,271,164,720,883,211,435,651,602,314,915,699,405,1112,843,389,1232,1034,291,1326,792,235,1031,848,193,1038,2123,290,2409,1894,36,1933,1645,91,1730,1124,14,1138,2789,91,2880,927,54,981,149,137,280,16128,4253,20384
SED25205,173,246,420,56,90,146,64,211,275,62,394,462,194,1134,1328,241,714,959,670,506,1179,687,607,1301,887,666,1558,1011,507,1517,814,471,1280,859,392,1253,2103,586,2690,1938,54,1990,1762,161,1928,1306,18,1325,4070,184,4260,842,61,903,175,225,399,17917,7243,25163
SED25302,163,197,357,92,95,190,66,205,270,66,346,414,255,1102,1366,238,797,1032,840,552,1387,832,490,1328,1111,512,1625,1183,343,1522,788,288,1074,872,240,1117,1934,404,2338,1682,33,1716,1542,96,1637,1119,12,1128,3809,172,3979,1059,30,1087,232,268,501,17881,6183,24064
SED25402,208,322,525,76,93,175,108,330,435,120,715,839,405,1763,2165,461,969,1433,1386,589,1974,1316,769,2086,1307,709,2013,1479,499,1982,1017,411,1434,1110,323,1433,2181,414,2597,1616,54,1667,1197,117,1317,638,19,657,1674,155,1827,1167,77,1244,300,431,729,17757,8772,26536
SED25501,384,258,647,140,103,241,132,186,318,131,263,395,293,719,1009,304,450,758,753,353,1099,765,385,1143,965,410,1380,1116,318,1431,846,283,1132,851,225,1079,1914,428,2341,1557,79,1633,1494,125,1617,1019,46,1061,3760,215,3977,1006,104,1118,163,112,279,17585,5067,22657
SED25605,309,295,609,112,92,203,107,204,307,91,379,469,335,1038,1375,274,490,766,1048,373,1418,953,494,1447,1099,451,1552,1299,329,1629,932,257,1184,1029,214,1243,2099,341,2439,1539,71,1610,1289,92,1381,794,33,819,2344,148,2497,925,92,1019,195,185,382,16766,5587,22348
SED25704,207,242,453,101,112,210,65,289,355,128,630,755,422,1707,2134,417,933,1349,1455,612,2071,1221,791,2013,1315,702,2017,1569,435,2002,1088,339,1422,1144,215,1354,2260,292,2551,1499,49,1550,957,56,1016,527,17,549,1104,115,1218,1128,69,1201,362,503,864,16959,8107,25072
SED25802,216,270,487,106,117,226,98,312,409,113,641,757,422,1608,2033,459,1070,1528,1467,633,2096,1330,758,2089,1468,728,2199,1638,505,2142,1216,397,1614,1359,289,1652,2725,381,3110,1935,47,1982,1452,82,1530,792,13,798,1958,149,2101,1301,68,1362,377,408,783,20427,8487,28921
SED25905,233,180,408,77,66,144,85,120,205,114,267,379,292,723,1018,315,372,689,970,289,1257,887,394,1282,1098,482,1580,1406,361,1764,1084,286,1367,1199,183,1384,2530,297,2827,1899,60,1958,1377,56,1437,902,21,923,1823,82,1903,1015,46,1067,211,148,363,17517,4442,21957
SED26005,228,179,405,62,29,87,85,99,185,99,202,306,245,477,721,330,263,591,939,240,1177,989,365,1351,1288,390,1681,1680,359,2046,1371,250,1621,1479,191,1670,3262,274,3536,2483,48,2527,1973,73,2046,1230,23,1256,2551,78,2624,1230,71,1299,218,108,329,21739,3717,25455
SED26102,221,346,566,117,124,241,90,260,350,88,529,621,398,1577,1974,321,1123,1450,1344,686,2025,1203,766,1964,1442,737,2179,1585,541,2126,978,409,1389,1069,295,1371,2118,411,2532,1560,36,1599,1205,112,1322,672,13,686,2208,295,2505,1168,62,1237,312,432,739,18110,8759,26867
SED26207,255,281,532,90,96,189,79,228,312,82,399,480,275,1034,1307,244,507,752,1008,380,1384,787,387,1168,966,438,1407,1050,372,1419,795,348,1143,776,285,1056,1893,528,2417,1649,57,1704,1482,95,1575,1145,33,1183,3465,169,3630,797,60,858,250,178,428,17079,5879,22961
SED26303,128,299,426,48,119,168,53,275,320,69,600,667,225,1155,1376,194,680,875,581,584,1165,511,713,1224,613,926,1541,735,907,1640,646,873,1520,752,754,1506,1718,1333,3053,1525,237,1765,1571,389,1958,1226,146,1369,5173,577,5752,778,355,1135,97,174,274,16636,11091,27729
SED26406,272,586,853,101,163,256,86,293,376,75,508,587,262,1101,1364,267,804,1074,743,562,1308,688,753,1444,893,944,1840,1088,822,1910,884,773,1662,907,593,1495,2217,1007,3214,1759,200,1952,1599,286,1889,1113,84,1199,4056,355,4412,803,265,1067,149,194,340,17962,10295,28257
SED26504,190,233,422,63,86,146,79,234,318,95,565,668,356,1571,1931,368,953,1315,1398,607,2002,1166,765,1933,1227,641,1872,1429,418,1849,951,334,1286,1047,186,1230,2085,338,2418,1418,39,1460,1009,64,1073,530,14,544,1135,135,1267,1075,73,1150,288,405,689,15913,7665,23578
SED26603,252,350,597,76,124,201,77,281,354,90,553,648,305,1337,1642,310,665,977,987,496,1481,820,641,1464,1070,728,1795,1208,674,1884,1058,729,1787,1133,592,1731,2539,1052,3589,2199,174,2375,2089,268,2354,1445,90,1532,3678,299,3979,902,240,1143,248,266,512,20479,9562,30042
SED26708,190,242,426,84,115,201,73,260,336,77,528,605,339,1383,1718,337,793,1127,1120,582,1699,1090,740,1829,1233,717,1951,1408,464,1875,1049,319,1367,1138,270,1409,2248,351,2598,1605,35,1647,1205,86,1295,683,9,694,1726,159,1877,1194,77,1270,319,334,657,17131,7463,24594
SED26806,187,549,735,58,172,231,60,408,472,62,795,859,172,1141,1308,196,941,1144,371,895,1266,397,1193,1590,596,1829,2424,735,1835,2568,597,1926,2529,672,1559,2231,1855,3329,5185,1649,429,2081,1523,948,2472,1153,220,1374,5215,1903,7123,800,465,1263,137,318,458,16452,20864,37314
SED26903,243,400,642,103,129,229,104,356,457,127,711,840,278,1540,1815,323,830,1154,1021,588,1608,910,702,1612,987,809,1792,1229,824,2056,991,726,1720,1015,547,1559,2209,928,3138,1844,177,2026,1577,233,1810,1100,69,1168,2271,211,2482,822,245,1066,204,302,511,17372,10318,27690
SED27003,132,376,512,54,136,189,102,365,470,112,741,858,261,1133,1389,216,717,931,506,634,1145,535,816,1353,520,1203,1721,667,1220,1888,526,1248,1776,636,1214,1856,1686,2685,4368,1604,455,2066,1637,910,2544,1322,292,1612,6133,2021,8158,727,733,1456,117,214,328,17500,17105,34610
SED27101,244,254,497,83,93,178,90,202,292,68,429,501,221,987,1208,232,775,1006,690,518,1209,774,652,1426,966,708,1673,1199,611,1811,860,507,1372,901,413,1314,2146,697,2842,1794,102,1893,1695,142,1842,1213,50,1265,3311,159,3469,830,103,935,151,181,328,17479,7588,25065
SED27208,167,304,473,94,134,222,85,392,482,112,757,876,437,2311,2751,438,1041,1482,1718,670,2389,1379,852,2226,1506,709,2216,1639,474,2112,1090,343,1433,1186,239,1422,2159,321,2483,1433,41,1477,918,65,984,528,15,544,1061,126,1190,1182,72,1255,358,530,891,17499,9410,26908
SED27305,158,136,297,60,42,105,51,91,140,64,175,244,197,490,685,211,296,503,635,237,875,603,271,878,827,291,1121,988,207,1193,731,215,947,820,170,989,1965,248,2208,1754,33,1791,1581,50,1623,1080,21,1103,2929,77,3001,763,36,795,155,93,244,15564,3179,18743
SED27406,158,256,417,68,124,197,73,188,265,64,395,457,208,906,1106,183,726,906,514,551,1069,554,621,1176,794,696,1490,895,598,1502,642,529,1173,737,421,1161,1684,810,2495,1437,45,1482,1534,207,1732,1106,25,1129,5937,325,6264,925,58,986,138,190,330,17657,7677,25334
SED27504,226,249,472,87,101,190,77,309,388,117,630,748,399,1552,1955,439,974,1413,1421,660,2082,1278,805,2084,1422,795,2220,1673,577,2245,1157,442,1596,1294,284,1577,2487,376,2863,1767,75,1842,1167,97,1268,704,19,724,1473,178,1645,1122,99,1218,353,419,775,18686,8624,27308
SED27608,168,221,384,93,82,177,78,191,265,66,376,442,278,1123,1392,325,808,1136,1008,560,1566,1055,631,1684,1315,691,1999,1618,584,2199,1211,535,1747,1364,462,1823,3294,709,4001,2827,161,2988,2486,197,2682,1569,79,1645,4000,312,4313,1306,231,1542,215,233,446,24253,8178,32436
SED27708,159,232,397,72,109,172,72,294,369,100,575,677,341,1476,1814,385,1001,1383,1213,637,1845,1172,776,1952,1282,721,2009,1561,531,2096,1082,379,1467,1166,287,1454,2405,406,2808,1739,67,1802,1190,91,1283,708,16,729,1506,135,1637,1119,88,1212,284,373,657,17556,8195,25757
SED27807,436,394,830,113,89,201,178,300,477,212,670,883,533,1393,1931,465,616,1072,1484,442,1920,1336,551,1879,1388,543,1930,1638,433,2074,1190,354,1542,1078,276,1356,2101,388,2490,1551,111,1670,1083,137,1215,664,42,705,1280,154,1434,976,167,1143,305,250,564,18012,7315,25327
SED27907,198,260,455,63,56,120,53,168,221,96,352,444,259,1020,1281,285,594,880,912,430,1337,939,518,1460,1053,589,1639,1295,515,1814,1074,432,1508,1133,302,1432,2665,461,3127,2168,51,2225,1664,85,1751,1071,15,1088,2150,97,2250,944,65,1008,189,192,385,18227,6205,24432
SED28007,257,204,455,81,52,131,90,105,196,94,256,348,302,610,909,327,255,583,968,210,1181,825,305,1129,1058,363,1424,1391,338,1725,1138,251,1384,1266,214,1479,2936,337,3270,2399,32,2431,2046,62,2111,1375,17,1392,3078,68,3148,1150,40,1184,272,120,391,21049,3829,24875
SED28107,323,273,596,102,62,166,136,139,277,148,289,439,343,599,939,543,418,965,1185,386,1569,1398,585,1984,1950,677,2627,2499,575,3073,2281,510,2790,2301,343,2648,5221,577,5798,3784,169,3950,2864,177,3039,1804,105,1903,3632,260,3891,1684,193,1881,353,208,556,32549,6547,39093
