SED_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
SED21303,671,1872,296,182,39,5318,1759,599,2567,534,395,70,5921,240,80,635,144,104,18,1215,189,60,404,162,312,24,1146,201,61,578,157,150,126,1272,9179,2744,16897,4022,4365,658,37866
SED21401,251,941,234,164,27,2322,895,284,1787,484,415,87,3957,32,14,137,44,49,6,286,96,25,228,149,304,19,825,167,24,368,129,161,141,981,4628,1184,10367,3365,3614,714,23866
SED21503,342,1079,303,254,38,2699,712,321,1535,665,676,117,4025,27,10,135,44,89,7,314,73,17,162,158,386,13,805,121,22,249,108,210,102,809,3446,1165,7705,3598,5354,618,21881
SED21608,418,1169,336,401,37,2847,430,402,1380,841,1173,111,4331,32,17,113,57,127,11,358,32,11,92,152,577,23,883,35,12,102,92,340,108,691,1752,1218,5457,3627,8996,666,21714
SED21706,394,1308,255,145,28,3277,1095,363,2110,530,358,109,4567,82,36,206,70,55,6,441,122,46,274,135,212,17,810,224,28,454,119,135,93,1060,6432,1820,12576,3301,3123,578,27832
SED21805,331,1061,399,383,40,2673,425,298,1307,1007,1120,133,4282,19,17,107,61,124,6,336,33,26,123,199,694,17,1096,68,18,236,203,461,141,1124,1859,1068,6344,4900,9773,789,24734
SED21906,404,1423,318,231,71,3579,1192,387,2263,526,365,114,4843,95,34,299,93,76,19,615,97,44,298,164,273,28,908,221,36,564,174,154,159,1309,6232,1880,14397,3674,3431,825,30439
SED22005,234,878,255,164,26,2359,736,243,1831,682,663,123,4277,51,6,125,39,74,7,317,82,18,217,220,412,47,996,274,12,446,204,254,237,1429,5319,1015,10156,4110,4874,938,26415
SED22105,334,1147,552,451,43,3115,903,474,2986,1960,2106,227,8653,20,16,120,98,171,13,441,74,17,232,348,911,51,1627,192,25,443,374,792,286,2108,4498,1368,11376,8710,14168,1404,41517
SED22201,369,1199,318,284,36,2779,480,351,1393,771,893,104,3990,24,17,106,67,81,0,292,58,36,180,182,499,13,967,73,21,233,135,285,104,843,2459,1250,7125,3965,7040,553,22398
SED22305,163,513,227,162,30,1448,407,194,1199,759,839,111,3513,11,3,53,37,47,7,164,57,15,146,191,409,28,837,136,12,314,212,356,224,1260,2420,631,5977,3850,5623,904,19398
SED22404,333,854,374,336,40,2267,245,204,867,681,812,110,2920,32,32,115,83,122,3,382,36,19,102,160,657,22,988,30,14,103,121,389,131,785,1197,942,4328,3632,9058,738,19889
SED22501,512,1488,337,276,43,3420,669,388,1524,607,614,94,3893,54,18,175,79,92,8,429,78,29,154,150,407,16,835,79,24,225,97,211,62,700,3203,1628,8444,3699,5885,532,23382
SED22607,453,1447,289,191,39,3559,1147,499,2095,526,399,86,4753,75,47,348,110,117,11,710,104,42,234,140,298,22,830,177,30,391,133,173,117,1027,5699,2138,13130,4073,4681,686,30410
SED22704,275,713,294,345,25,1901,209,235,779,777,993,123,3116,18,9,63,68,123,10,295,29,12,78,100,580,16,808,22,8,80,102,352,150,716,1014,843,3730,3565,9267,869,19289
SED22802,319,1060,357,364,29,2516,298,252,1079,820,972,106,3527,10,9,75,75,102,10,273,47,22,137,207,757,17,1189,37,16,152,136,428,105,874,1413,944,5348,4078,9476,597,21860
SED22901,259,984,266,269,35,2353,520,283,1386,682,702,86,3655,31,14,107,43,59,9,256,72,20,165,167,428,19,870,126,24,273,146,271,93,937,3118,1008,7693,3613,5762,545,21735
SED23007,431,1240,283,195,40,3241,977,376,1956,622,637,112,4673,76,34,298,120,127,11,667,117,37,289,201,354,36,1027,207,31,458,186,268,222,1372,5762,1740,12916,4521,5535,962,31420
SED23101,297,1017,226,192,32,2593,646,271,1531,530,431,60,3477,39,14,118,57,44,5,279,116,23,218,125,266,21,770,182,27,352,146,151,89,949,4690,1205,9198,3150,3417,497,22160
SED23205,321,990,325,278,36,2398,418,309,1370,843,1029,109,4081,25,11,84,78,100,9,313,39,18,100,161,440,21,780,39,26,154,158,338,115,828,1583,1036,5515,3982,7583,640,20333
SED23308,387,1328,337,313,30,3137,870,490,2224,779,1157,116,5638,52,19,151,73,104,12,406,43,28,148,159,460,21,852,66,13,179,104,234,103,695,3230,1542,8484,3766,7509,598,25131
SED23402,430,1416,473,484,45,3486,592,348,1691,1060,1175,119,4991,20,20,117,99,141,13,403,73,24,166,259,807,27,1352,92,19,255,217,556,150,1285,2789,1293,7899,5876,11263,833,29946
SED23502,268,775,274,389,33,1944,261,236,921,830,1089,98,3433,13,8,65,49,91,12,232,18,15,68,95,525,18,749,11,6,49,81,317,117,582,813,756,3289,2884,8192,752,16681
SED23602,264,765,259,300,32,1862,306,238,919,661,949,103,3183,24,12,77,39,65,5,222,22,16,63,96,505,23,723,20,13,67,98,281,101,587,1002,825,3788,2844,7841,666,16973
SED23702,320,1130,378,460,45,2668,253,278,1096,912,1319,118,3970,15,7,100,71,161,8,360,17,15,113,188,814,30,1183,22,20,116,133,527,104,918,994,929,4715,4563,12107,727,24031
SED23806,394,1329,166,105,36,3295,1492,421,2228,389,211,100,4841,77,35,284,76,56,11,536,98,27,257,111,172,15,675,211,50,483,93,73,103,1012,7203,2030,14344,2906,2445,546,29480
SED23901,463,1324,248,207,43,3460,1293,517,2238,610,543,104,5300,72,34,228,74,68,4,474,107,32,217,132,302,13,805,139,20,327,120,174,95,883,5594,1924,11406,3454,4423,647,27442
SED24006,314,1049,171,121,25,2678,1455,366,2387,415,254,121,4994,61,18,207,67,33,14,394,91,29,193,105,144,10,574,182,36,464,109,108,104,1012,5912,1615,12106,2789,2318,590,25329
SED24105,192,688,230,184,33,1703,510,216,1427,653,687,115,3607,14,6,75,47,74,3,222,53,20,202,209,464,21,970,118,14,344,220,385,204,1294,2768,825,7900,3998,5348,854,21684
SED24207,289,1008,336,287,49,2443,593,329,2073,895,977,132,4996,24,8,151,94,99,14,393,59,12,233,243,543,54,1139,132,17,398,231,403,233,1417,3324,1096,10670,5407,7836,1079,29412
SED24308,256,812,342,351,30,2131,320,254,1036,766,1213,119,3702,12,5,57,54,98,7,234,41,12,73,126,501,21,769,62,16,103,99,355,143,776,1520,828,4805,3570,8442,715,19874
SED24408,245,793,215,302,41,1796,254,270,1075,838,1145,107,3675,3,9,50,40,79,10,183,16,14,55,89,462,11,642,10,3,41,66,247,90,464,854,776,3685,3057,8056,681,17113
SED24504,449,1087,270,339,25,2801,455,365,1180,583,609,99,3290,50,35,178,87,117,9,481,35,19,134,151,518,17,879,58,24,175,97,311,97,758,2426,1556,6679,3856,7564,663,22742
SED24606,319,1035,169,101,34,2562,1250,339,2134,413,257,106,4497,67,26,266,82,67,10,521,87,17,176,105,165,10,558,212,40,533,110,92,114,1093,5875,1663,13059,2903,2395,622,26523
SED24703,463,1999,261,164,60,5975,2306,551,3261,575,439,110,7240,275,67,747,188,152,22,1453,284,54,548,287,319,43,1544,554,57,950,271,199,281,2306,16830,2764,28403,6372,4932,1408,60702
SED24808,365,1085,466,538,50,2903,345,266,1261,988,1209,133,4207,12,10,78,69,152,10,324,45,15,118,174,772,23,1150,60,12,169,173,528,215,1165,2083,992,6122,5194,11545,1013,26955
SED24904,283,931,286,389,37,2102,305,220,1068,699,1012,101,3405,4,15,36,36,70,6,165,10,3,53,116,543,23,756,12,13,87,87,315,170,678,818,739,3889,3003,8293,906,17659
SED25003,275,868,344,365,48,2360,551,282,1481,886,973,139,4321,30,11,86,63,81,7,269,57,8,138,182,545,33,966,101,13,240,182,343,132,1004,2737,970,6872,4405,7470,837,23300
SED25102,429,1240,360,328,20,3051,430,344,1161,735,776,94,3538,29,26,122,79,116,8,380,72,24,133,153,586,19,988,54,13,185,141,318,93,814,2148,1303,6321,4037,7891,575,22272
SED25205,447,1509,378,299,37,3396,607,362,1565,607,643,84,3875,40,18,171,93,99,7,435,47,30,150,178,437,20,858,81,37,300,154,282,104,956,3089,1490,9427,4485,6537,626,25654
SED25302,369,1266,322,253,45,2765,527,337,1479,677,705,86,3809,20,44,137,89,111,16,419,33,17,123,151,431,23,779,47,22,247,142,225,79,762,2007,1282,6956,4060,6562,634,21493
SED25402,207,780,249,387,42,1961,374,277,1244,786,1265,129,4073,12,3,38,41,75,6,171,21,3,48,119,592,20,799,14,7,78,68,370,96,632,1023,762,3873,3075,9629,674,19037
SED25501,237,924,177,154,36,2523,834,263,1739,441,349,98,3716,50,14,109,37,37,0,247,102,26,217,144,196,20,695,264,27,426,120,109,134,1085,6274,1202,10640,3072,2670,657,24510
SED25605,244,798,216,174,34,2094,572,214,1416,594,533,101,3427,22,8,63,41,48,5,182,63,11,189,180,366,26,834,189,21,326,158,232,162,1089,3683,919,7906,3400,4080,735,20725
SED25704,230,839,212,343,35,1809,246,254,952,721,1166,138,3481,5,7,34,45,102,8,205,21,20,45,104,664,25,873,8,4,46,70,341,133,602,666,687,3622,2910,9000,805,17694
SED25802,354,1103,381,560,47,2856,352,308,1241,898,1236,143,4182,16,9,79,83,169,12,368,20,9,80,154,827,30,1117,18,17,98,110,476,145,865,1291,1005,4905,3968,11297,863,23329
SED25905,211,788,293,308,36,2032,416,207,1156,803,875,112,3572,19,12,67,40,62,4,207,40,19,142,185,540,22,951,100,10,294,193,374,144,1117,2145,746,6198,4136,7278,741,21239
SED26005,237,875,385,366,46,2428,567,302,1659,1109,1185,136,4950,19,9,61,74,94,10,268,55,21,165,224,642,24,1134,128,14,322,259,495,186,1400,2953,975,7789,5434,8973,958,27079
SED26102,279,1030,235,247,45,2172,363,190,993,650,785,98,3069,37,15,136,106,145,17,457,33,17,95,126,427,18,713,41,16,194,148,305,111,809,1494,872,5379,3545,7314,736,19342
SED26207,344,1185,260,227,42,2587,534,249,1224,433,414,67,2918,33,12,138,69,88,3,347,53,16,138,136,423,20,789,71,13,277,117,240,130,849,2462,1157,8041,3443,5575,626,21306
SED26303,642,1694,270,156,35,4542,1652,588,2304,509,403,90,5552,175,70,519,119,92,13,990,143,56,308,161,255,11,946,141,41,461,112,152,111,1017,7301,2728,14556,3588,3753,558,32477
SED26406,376,1543,290,209,28,3937,1060,339,2065,564,559,77,4658,55,27,216,79,74,8,460,115,28,223,161,335,23,882,287,32,510,162,176,173,1342,7128,1630,13268,4001,4316,762,31112
SED26504,275,808,234,352,30,1917,314,308,1121,821,964,89,3625,13,10,40,48,87,11,214,16,9,58,122,487,16,700,16,12,64,74,302,98,565,958,903,4010,3152,8121,716,17858
SED26603,518,1532,362,294,32,3907,1080,451,1925,758,629,126,4979,70,41,290,97,100,6,617,114,32,262,201,397,22,1025,160,32,383,182,248,154,1150,5623,1941,12310,4843,6031,831,31577
SED26708,273,887,263,302,20,2071,278,264,1018,658,1060,118,3394,21,13,93,56,87,3,275,31,15,46,97,505,14,713,32,23,109,89,320,119,697,1237,942,4785,3401,9175,809,20347
SED26806,375,1319,233,153,30,3505,1505,433,2649,473,356,110,5529,157,45,558,152,113,19,1042,144,29,352,186,343,19,1072,299,49,732,159,162,152,1552,8616,2165,19415,4507,4067,843,39618
SED26903,472,1193,286,259,36,3154,832,391,1685,685,669,92,4351,73,26,243,87,75,13,518,98,28,227,187,342,19,890,131,29,332,152,231,160,1039,4307,1539,10103,4126,5319,788,26183
SED27003,435,1572,182,138,40,4055,1834,543,2972,440,368,78,6231,238,65,699,164,98,20,1288,177,48,332,174,322,34,1092,233,51,725,153,140,148,1454,9288,2683,20632,3949,4009,725,41282
SED27101,401,1278,324,237,23,3135,732,410,1749,723,663,89,4368,45,15,145,66,69,11,348,128,40,262,188,340,21,968,141,17,310,138,183,101,886,4502,1606,10201,3989,5274,579,26151
SED27208,212,755,239,294,22,1756,288,266,1064,819,1220,129,3796,9,19,81,62,124,14,310,27,12,40,94,500,14,687,11,8,61,68,285,107,548,953,799,3676,3053,8588,765,17827
SED27305,220,902,299,241,30,2185,440,240,1263,611,608,104,3266,17,4,93,60,67,7,239,49,17,147,154,520,15,912,94,29,259,134,280,74,866,2471,888,7088,3732,6031,555,20761
SED27406,382,1236,301,185,41,2958,745,326,1577,562,424,88,3719,59,32,227,94,88,15,514,71,36,219,147,271,21,778,160,34,412,137,161,97,1001,4220,1641,11220,3876,4250,601,25804
SED27504,384,940,316,436,31,2394,500,336,1449,1047,1272,148,4749,8,4,31,27,81,0,154,30,23,79,149,682,20,981,24,9,86,112,364,134,728,1333,1030,4624,3721,9038,829,20574
SED27608,588,2272,565,477,50,4983,891,696,3019,1184,1350,136,7276,58,28,214,114,149,13,575,64,30,206,265,607,37,1213,75,17,329,160,338,119,1043,3950,2050,12362,5999,10550,790,35696
SED27708,275,1017,254,397,34,2336,460,397,1469,876,1257,138,4594,10,10,62,53,114,12,260,23,11,74,124,563,18,810,13,12,73,65,326,107,589,1266,988,4839,3294,9183,750,20317
SED27807,182,604,186,191,23,1510,372,173,1139,537,651,86,2955,16,7,100,48,65,9,254,37,17,157,207,386,30,838,117,8,277,155,317,206,1090,2306,678,6346,3370,5157,793,18652
SED27907,310,1093,356,427,43,2649,311,275,1059,623,803,104,3177,14,14,98,71,99,5,302,36,14,108,172,580,25,921,28,17,130,116,357,110,769,1572,1006,5697,4238,8927,677,22111
SED28007,331,1219,357,408,54,2797,461,233,1450,713,773,109,3747,18,12,136,71,76,11,322,35,20,147,194,557,33,984,92,16,278,177,394,156,1117,2437,1063,8756,4786,8404,902,26357
SED28107,355,1210,482,311,70,3382,1084,420,2596,1366,1214,218,6900,70,19,178,109,114,16,508,158,23,261,320,584,49,1394,468,36,660,378,502,377,2422,9749,1651,15560,8121,9355,1759,46198
SED28203,235,672,273,227,25,1899,676,235,1703,864,830,132,4443,29,12,81,54,51,8,232,72,8,126,194,446,47,901,133,21,293,199,353,205,1197,3386,849,7382,4453,6208,987,23269
SED28301,305,1043,256,190,43,2508,782,325,1620,535,434,98,3794,36,12,134,56,61,6,312,84,35,207,173,354,20,864,132,32,407,138,174,94,973,4020,1308,9465,3425,4323,595,23130
SED28408,364,1197,289,365,28,2787,733,460,1776,778,1027,106,4881,31,18,110,56,99,3,310,40,17,89,117,398,13,675,31,9,124,89,224,65,539,2202,1265,6008,3120,7080,510,20199
SED28507,313,1013,431,397,49,2792,501,273,1437,945,1103,108,4375,39,22,151,91,140,4,432,71,15,134,178,587,22,1009,153,18,288,187,461,192,1293,4120,1169,8411,5017,9280,957,28950
SED28607,541,1547,282,216,38,3669,934,433,1710,482,398,80,4041,110,43,352,122,144,16,801,103,42,272,173,352,18,955,133,33,418,154,198,102,1035,5133,2205,13069,4307,5464,643,30817
SED28704,538,1720,608,645,56,4244,741,501,2291,1339,1432,178,6483,31,33,161,118,164,9,509,81,21,191,319,947,46,1601,122,31,261,209,566,170,1361,3496,1684,9855,6970,13619,988,36619
SED28803,390,1325,498,502,66,3491,826,375,2467,1330,1298,174,6468,27,19,120,80,89,10,345,80,18,207,310,805,42,1459,211,28,415,347,559,323,1883,4923,1390,11924,7839,11293,1468,38833
SED29494,10,25,9,9,0,76,35,13,52,24,41,8,167,3,0,16,4,12,0,32,0,0,8,5,14,0,35,4,4,21,8,23,16,68,149,53,385,164,432,59,1239
SED29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,6
