SED_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SED22704,55,86,202,187,241,216,76,13,0,1076,73,113,225,209,292,264,113,54,10,1358,1726,2311,5195,5236,6505,6346,2358,425,52,30154
SED22802,72,157,356,354,308,245,69,14,0,1568,69,140,301,321,309,233,64,12,6,1453,1914,2995,6840,6740,6686,5158,1379,177,4,31903
SED22901,32,111,238,221,253,188,70,11,0,1111,44,87,280,379,311,225,71,15,0,1420,1422,2529,5966,7003,6166,4943,1548,142,3,29718
SED23007,18,110,468,358,259,166,52,5,0,1436,46,221,804,474,370,241,51,13,0,2227,1134,3982,14510,10568,7015,4307,950,68,6,42531
SED23101,29,87,176,172,243,193,53,10,0,967,31,115,288,329,274,190,63,20,4,1309,1401,2717,5214,6575,6647,4489,1309,198,14,28573
SED23205,41,97,264,196,212,163,49,11,0,1035,37,107,313,301,277,209,81,19,9,1355,1453,2445,6547,6341,6112,4670,1287,152,11,29018
SED23308,48,113,279,193,204,197,50,9,0,1097,46,127,277,216,221,174,61,17,5,1139,1686,3449,8648,6945,6490,5172,1363,156,14,33927
SED23402,65,160,461,384,351,241,70,9,0,1750,67,182,453,501,404,337,78,17,7,2042,2375,3897,9819,9856,8923,6177,1546,181,11,42787
SED23502,62,105,207,167,207,190,75,9,0,1019,78,90,177,175,204,212,102,41,10,1080,1597,1803,4471,4608,5296,5654,2010,365,47,25851
SED23602,54,88,211,191,179,187,51,9,0,968,69,69,166,177,196,226,79,37,14,1036,1563,1848,4291,4718,5720,5340,1989,340,40,25848
SED23702,71,149,359,303,303,298,80,14,3,1584,68,117,294,358,319,305,76,15,3,1558,2419,3398,7589,7251,7591,6414,1609,184,9,36460
SED23806,37,115,218,141,170,127,45,9,0,854,28,125,345,266,248,161,69,16,4,1262,1402,3928,9162,7097,6811,4921,1927,335,25,35617
SED23901,44,83,247,207,199,163,62,6,4,1014,25,106,280,307,265,189,67,13,5,1251,1385,2995,7764,8048,7218,5319,1584,198,26,34533
SED24006,40,79,152,112,168,143,64,7,0,765,68,116,252,284,320,228,75,18,3,1357,1542,3276,5523,5832,7318,5734,1990,372,30,31629
SED24105,41,130,336,376,375,215,60,13,0,1546,69,247,714,635,553,427,102,14,3,2764,1486,3570,8431,8204,7187,4941,1286,129,13,35242
SED24207,31,144,498,433,360,183,52,0,0,1698,94,274,727,746,548,316,66,4,3,2773,1969,4026,11023,12469,9119,4978,999,61,4,44643
SED24308,49,119,304,221,197,144,30,12,0,1076,60,177,399,295,289,199,68,11,0,1504,1709,3058,7685,6361,6232,4634,1096,110,12,30895
SED24408,60,89,180,156,167,189,51,7,0,890,69,63,181,142,146,181,91,61,15,943,1510,1977,4913,4611,5406,5836,2158,522,77,27007
SED24504,61,90,191,256,272,218,61,6,0,1163,64,81,183,233,290,223,90,32,7,1213,1796,1948,4378,6747,8146,6232,1919,342,27,31554
SED24606,27,88,171,134,130,115,39,8,0,715,39,119,347,273,283,197,99,30,12,1384,1193,3215,7781,6297,6512,4789,2147,472,55,32462
SED24703,41,260,828,370,184,167,54,9,0,1903,75,556,1318,496,271,176,45,22,3,2953,2127,12231,32073,13953,6933,4462,1495,259,17,73549
SED24808,80,173,435,372,278,175,78,8,0,1592,93,221,569,553,392,223,59,16,3,2121,2145,3843,10603,10761,7872,5053,1227,82,5,41595
SED24904,50,111,273,203,159,171,62,4,0,1032,89,140,355,265,318,218,71,27,7,1501,1669,2448,6323,5678,5934,5387,1659,215,35,29343
SED25003,30,132,307,284,289,212,34,0,0,1295,49,168,441,381,384,256,61,9,3,1757,1736,3435,7947,7975,7314,5458,1090,64,9,35022
SED25102,55,117,242,263,265,243,93,6,0,1287,47,83,232,275,296,216,87,11,4,1254,1780,2434,5126,6612,7236,5627,1659,190,7,30670
SED25205,35,116,185,253,237,207,70,5,0,1106,37,87,221,324,371,235,66,23,4,1372,1821,2599,6006,8241,8589,5628,1447,153,12,34496
SED25302,39,97,162,183,269,180,58,18,0,1006,55,85,132,252,336,212,88,34,6,1201,2124,2325,3480,6045,8057,5765,1980,296,27,30087
SED25402,67,129,295,225,186,166,42,3,0,1122,58,104,253,206,248,174,71,16,3,1138,1901,2604,6348,5881,5812,5082,1303,153,14,29100
SED25501,26,69,183,164,205,154,46,15,0,873,56,111,337,358,328,187,46,7,6,1442,1308,2985,5980,7161,6711,4849,1271,179,16,30470
SED25605,18,98,236,254,253,187,64,10,0,1110,37,154,476,399,387,249,82,27,3,1811,1100,2636,6708,6618,5900,4103,1351,206,14,28634
SED25704,72,133,266,211,194,236,77,9,0,1201,80,112,227,209,254,247,99,50,11,1283,1826,2360,5255,5258,5972,6017,2033,349,38,29106
SED25802,62,172,359,261,330,296,90,13,0,1582,80,113,304,289,314,268,101,37,4,1511,2080,2990,7206,6652,7189,6363,1990,361,43,34878
SED25905,39,130,277,258,296,234,65,4,0,1298,48,202,445,406,339,325,77,15,0,1870,1453,3291,7105,6599,6377,5535,1301,110,7,31779
SED26005,51,181,365,363,344,227,50,4,0,1581,90,249,534,629,567,364,73,6,0,2510,2448,4394,8080,9863,9628,5824,1042,56,4,41339
SED26102,37,88,166,149,219,203,85,13,0,960,78,84,188,203,273,288,134,61,5,1318,1468,1890,4248,4867,6314,6049,2502,436,22,27795
SED26207,23,69,203,231,260,208,53,8,0,1055,51,113,263,277,301,231,82,20,3,1338,1513,2579,5728,6797,7006,4914,1344,167,9,30060
SED26303,34,79,352,263,236,159,40,0,0,1161,26,100,415,321,256,134,58,6,0,1313,1164,2734,11441,9665,8117,4732,1144,90,8,39103
SED26406,26,116,301,224,230,159,52,5,0,1112,28,190,592,412,314,184,46,13,4,1768,1487,4619,11500,8714,7015,4647,1145,127,17,39269
SED26504,59,96,213,189,178,154,53,8,0,948,84,76,164,169,231,174,97,27,8,1032,1791,1883,4662,5052,5941,5580,1874,331,30,27146
SED26603,17,130,340,329,273,174,43,4,0,1306,51,168,531,422,263,168,35,10,4,1643,1337,3794,12164,10664,7602,4674,913,85,3,41242
SED26708,58,100,181,201,196,149,72,9,0,966,87,81,216,203,257,226,126,50,10,1244,1984,2252,5548,5898,6643,6164,2348,468,55,31367
SED26806,18,135,523,260,194,116,55,4,0,1301,17,177,810,435,241,141,76,32,0,1939,623,4204,19639,10414,5885,4047,1713,367,27,46917
SED26903,16,81,347,305,248,147,28,0,0,1181,35,166,521,398,266,177,40,12,4,1623,932,2991,10516,8833,6519,3923,823,72,5,34618
SED27003,12,109,460,312,206,147,52,17,0,1310,36,141,787,434,228,140,37,3,4,1810,767,4045,20459,10956,6462,4275,1323,186,7,48476
SED27101,31,101,275,271,281,176,59,16,0,1203,36,116,350,352,302,174,47,12,4,1389,1483,2859,7911,8595,7129,4522,1224,142,16,33878
SED27208,47,91,198,189,175,156,59,9,0,932,64,83,205,140,230,229,101,53,9,1101,1680,2157,5143,5104,6014,5732,2004,350,37,28218
SED27305,32,119,193,200,327,248,65,0,0,1186,44,119,261,303,317,279,80,9,0,1416,1776,3008,5142,5922,7041,5769,1199,83,3,29943
SED27406,44,61,172,190,251,189,60,9,0,984,55,102,239,292,340,244,89,22,5,1387,1781,2615,5332,6831,8448,6031,1949,272,16,33284
SED27504,70,152,313,261,304,230,77,13,6,1424,77,131,324,303,295,209,82,15,11,1449,2076,2840,6919,6365,6690,5773,1796,236,30,32725
SED27608,58,198,355,355,291,209,47,11,0,1528,60,139,345,373,321,181,59,19,3,1486,2910,4928,11005,11405,9376,6296,1747,176,18,47863
SED27708,76,126,250,210,230,144,73,14,0,1137,72,107,216,177,241,191,88,32,6,1121,2185,2379,5906,5994,6683,6020,1900,296,35,31391
SED27807,19,135,415,329,264,173,47,0,0,1374,52,239,685,501,417,295,62,4,4,2253,970,3413,8922,6429,5284,3963,969,67,0,30023
SED27907,56,116,355,282,237,190,48,9,0,1285,56,119,305,302,286,189,67,4,3,1328,1608,2816,7890,7268,6760,5164,1313,118,6,32936
SED28007,46,144,314,321,349,211,41,0,0,1430,99,203,458,461,445,287,58,0,0,2006,2433,4106,8276,9067,9418,5939,1038,54,0,40335
SED28107,32,208,519,503,301,194,45,0,0,1800,92,430,1209,1066,486,268,45,3,0,3591,2137,5742,17614,20480,9439,5230,917,47,3,61610
SED28203,20,116,371,354,234,147,45,4,0,1293,58,221,599,611,368,251,57,14,0,2179,1166,3408,9870,9846,5720,3552,861,75,6,34515
SED28301,25,69,149,222,307,244,64,9,5,1098,48,119,250,312,306,240,78,21,5,1375,1752,2927,4560,6471,7405,5715,1675,255,22,30778
SED28408,39,120,219,196,169,140,52,6,0,936,51,100,209,148,196,168,46,15,9,942,1861,2845,6457,5854,5896,4756,1255,128,18,29079
SED28507,47,153,376,316,243,186,44,0,0,1372,55,233,662,561,378,196,47,10,5,2146,1772,3842,11331,11361,7267,4926,1104,96,10,41710
SED28607,26,84,269,288,265,190,54,7,0,1187,34,104,343,397,300,187,63,11,3,1440,1427,2542,8852,10587,8999,5614,1167,106,7,39304
SED28704,80,151,537,544,426,244,52,9,0,2041,73,182,549,617,445,253,65,17,0,2209,2795,4447,11705,13899,10835,6536,1482,174,15,51874
SED28803,47,228,584,516,369,242,47,5,0,2039,118,340,980,866,589,358,55,0,0,3304,2589,5880,16005,15708,9729,6243,1121,64,0,57338
SED29494,3,8,12,13,11,3,0,0,0,56,4,13,33,35,23,9,4,4,0,126,82,217,600,341,277,227,47,11,0,1797
SED29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,15
