SED_CODE_2021,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_North_Macedonia_0_4,F_North_Macedonia_5_14,F_North_Macedonia_15_24,F_North_Macedonia_25_44,F_North_Macedonia_45_54,F_North_Macedonia_55_64,F_North_Macedonia_65_74,F_North_Macedonia_75_84,F_North_Macedonia_85ov,F_North_Macedonia_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Samoa_0_4,F_Samoa_5_14,F_Samoa_15_24,F_Samoa_25_44,F_Samoa_45_54,F_Samoa_55_64,F_Samoa_65_74,F_Samoa_75_84,F_Samoa_85ov,F_Samoa_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
SED21106,0,0,0,0,0,0,7,7,3,19,0,0,0,12,4,7,4,3,0,34,0,0,0,3,6,6,0,0,0,13,0,0,0,4,0,0,0,0,0,10,0,8,3,18,18,4,17,13,0,93,0,21,32,179,132,112,66,27,13,578,0,0,0,3,13,6,0,3,0,23,0,0,0,6,0,0,0,0,0,14,0,0,0,3,11,7,3,0,0,22,0,4,9,51,25,13,14,6,0,121,0,0,4,37,27,37,68,26,17,216,0,0,0,0,0,0,0,0,0,3,0,3,4,57,36,30,38,23,14,206,5,27,19,31,12,19,13,3,0,122,0,12,23,102,93,61,56,21,8,379,0,0,3,24,15,23,18,12,3,92,0,0,0,20,5,6,3,0,0,31,0,12,11,51,10,12,5,4,0,90,0,0,5,19,11,11,11,0,0,54,9,47,37,109,46,46,10,7,4,329
SED21203,0,0,0,8,3,13,79,82,43,232,0,0,0,6,3,3,4,0,0,22,0,4,3,12,7,5,4,0,0,33,3,19,182,520,11,12,0,0,0,744,0,0,7,5,0,8,19,3,0,33,6,40,84,147,40,30,9,6,4,372,0,0,0,7,8,13,13,13,3,61,32,156,89,617,101,20,12,0,0,1029,0,0,0,6,4,0,0,0,0,10,4,12,41,195,96,140,80,23,0,588,0,0,0,9,7,15,16,8,8,67,0,3,18,25,33,36,14,0,0,138,0,0,0,3,0,14,16,10,3,52,0,4,8,20,13,3,6,0,0,49,0,0,0,10,4,4,3,0,0,25,5,10,25,112,45,57,23,10,11,307,0,0,0,17,0,0,0,0,0,19,4,9,6,68,21,10,3,0,0,120,3,36,43,417,569,558,377,187,29,2218,0,9,11,19,9,3,0,0,0,49
SED21303,0,0,0,0,3,14,10,29,14,68,0,0,0,14,0,9,3,5,0,32,0,0,0,4,0,0,0,0,0,11,0,0,76,133,0,0,0,0,0,215,0,0,3,42,3,7,6,5,0,72,3,8,87,610,124,56,40,5,0,938,0,0,0,13,9,3,3,3,0,34,4,5,8,46,3,4,0,0,0,71,0,7,0,12,10,4,0,0,0,24,0,3,26,162,28,24,30,10,0,282,0,0,5,36,10,3,5,3,7,71,0,0,0,0,0,0,0,0,0,0,0,0,10,86,26,18,13,7,0,157,0,9,19,91,17,9,3,0,0,146,0,0,22,68,17,13,9,3,0,127,0,0,3,69,15,15,10,0,0,126,0,0,3,70,6,0,3,0,0,85,0,3,6,75,23,9,6,0,0,124,0,0,0,35,44,51,30,20,3,191,8,14,44,282,33,25,9,11,0,435
SED21401,0,0,0,0,0,7,26,19,5,61,0,0,0,16,3,8,9,5,4,32,0,0,0,3,0,0,3,3,0,12,0,0,3,10,4,0,0,0,0,15,0,3,0,7,3,7,6,18,7,52,13,17,34,88,53,45,27,19,8,302,0,0,0,10,16,22,18,27,8,96,0,10,5,60,10,10,9,0,0,108,0,0,0,3,4,7,4,0,0,12,0,16,11,89,50,37,32,8,4,243,0,0,0,11,7,8,19,13,8,63,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,7,12,14,22,73,0,17,30,94,32,38,41,14,0,276,5,11,27,79,49,48,35,16,0,279,0,5,14,77,54,47,41,22,5,272,0,13,0,117,40,38,50,3,0,259,0,0,8,70,22,6,0,0,3,114,0,0,3,12,17,30,3,9,4,73,6,27,22,32,16,12,3,5,0,125
SED21503,0,0,0,3,3,13,24,25,7,69,0,0,3,8,6,8,10,5,6,38,0,0,0,6,0,0,0,0,0,7,0,0,5,41,4,0,0,0,0,54,0,0,4,8,0,0,13,7,11,43,3,19,26,83,53,44,23,5,0,261,0,0,3,42,61,90,97,45,20,361,0,3,4,38,0,8,4,0,0,61,0,0,0,9,5,0,0,0,0,18,0,9,26,118,49,56,49,8,3,330,0,0,0,9,12,12,23,10,3,72,0,0,0,4,5,0,0,0,0,9,0,0,0,10,10,17,23,22,8,88,0,8,11,38,13,10,4,0,0,93,0,4,13,42,21,12,7,3,0,110,0,13,54,165,76,100,53,31,9,501,0,4,0,38,10,8,0,0,0,66,0,4,12,39,30,23,3,3,0,115,0,0,0,8,9,3,9,5,0,32,3,13,13,33,15,3,10,0,0,92
SED21608,0,0,0,0,3,16,14,4,0,45,0,0,0,3,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,4,0,0,11,33,0,0,0,0,0,45,0,0,0,11,15,13,64,66,17,182,3,14,15,99,59,65,53,12,9,325,0,0,0,0,0,5,0,0,0,6,0,4,6,25,0,0,0,0,0,32,0,0,0,8,9,0,0,0,0,19,0,10,12,88,28,25,18,0,0,186,0,0,0,9,4,5,5,4,0,22,0,0,0,3,0,0,0,0,0,7,0,4,0,12,15,25,44,36,8,137,0,0,3,8,15,4,3,0,0,33,0,0,8,21,16,11,6,0,0,62,0,6,0,26,6,6,5,0,0,51,0,0,0,9,6,0,0,0,0,13,0,5,5,17,16,6,4,0,0,51,0,0,0,0,0,0,0,0,0,9,0,9,8,19,13,15,22,3,0,90
SED21706,0,0,0,0,0,5,6,9,0,15,0,0,8,18,12,10,14,4,8,65,0,0,7,10,0,3,4,0,0,23,0,0,14,19,0,0,0,0,0,42,0,5,11,3,5,0,8,16,4,47,3,34,64,110,94,62,42,18,16,436,0,0,0,0,4,5,9,0,3,15,0,0,5,21,6,4,0,0,0,38,0,0,0,0,8,3,0,0,0,15,0,9,21,163,43,35,27,7,0,300,0,0,0,24,6,18,35,11,10,108,0,0,0,5,0,6,4,0,0,9,0,0,8,15,17,23,23,18,14,120,5,16,28,72,28,34,33,10,0,219,0,14,13,72,37,27,24,7,6,213,0,12,97,232,81,79,66,49,13,624,0,3,4,75,22,13,11,0,0,138,0,4,16,71,33,11,7,5,0,142,0,0,0,10,9,0,8,0,0,33,6,37,18,40,23,14,15,4,0,161
SED21805,0,0,0,0,5,6,14,9,3,44,0,0,4,48,19,32,30,7,3,146,0,0,0,9,0,5,0,3,0,17,0,0,0,13,3,4,0,0,0,21,0,0,0,7,7,18,34,36,55,159,4,42,63,304,145,149,83,32,4,828,0,0,0,3,0,3,0,4,0,17,0,3,4,9,8,0,0,0,0,30,0,0,0,0,14,7,4,0,0,22,0,22,42,192,115,94,67,12,0,546,0,0,0,31,24,20,29,12,5,122,0,4,0,3,11,7,8,4,0,33,3,0,14,44,31,69,65,42,21,289,3,7,4,17,5,11,0,0,0,44,0,21,33,97,83,47,32,6,7,336,0,0,5,59,42,50,40,16,9,227,0,0,0,17,6,9,4,0,0,30,0,8,9,113,40,9,4,0,0,190,0,0,0,15,14,20,4,5,0,59,3,12,14,41,19,21,14,4,0,131
SED21906,0,0,0,0,0,0,4,3,0,10,0,0,4,25,4,4,4,3,0,57,0,0,0,0,3,3,0,0,5,15,0,0,42,77,0,0,0,0,0,126,0,3,4,10,4,3,10,5,0,49,0,21,48,282,89,87,64,21,8,621,0,0,0,5,4,0,0,0,0,14,0,0,3,12,0,5,0,0,0,16,0,0,0,5,10,4,4,0,0,19,0,11,17,170,34,24,14,3,0,277,0,0,0,31,12,29,113,62,162,414,0,0,0,0,0,0,0,0,0,0,0,7,6,58,23,9,24,13,6,143,0,7,13,46,12,12,12,4,0,101,5,23,58,351,237,197,150,77,44,1146,0,3,7,68,19,20,17,7,3,147,0,3,8,61,4,0,3,0,0,83,0,8,12,64,16,13,3,0,0,113,0,0,0,19,7,3,3,0,0,28,13,48,28,164,71,55,28,5,0,411
SED22005,0,0,0,7,0,5,10,25,5,50,0,0,17,46,21,46,37,35,12,215,0,5,11,105,27,20,12,6,4,192,0,4,69,114,8,0,0,0,0,196,0,0,5,3,3,0,14,7,8,38,5,24,49,130,51,52,26,8,3,357,0,0,0,0,0,4,8,5,0,26,0,13,14,61,15,6,3,0,0,120,0,0,0,4,4,0,0,0,0,13,0,25,43,295,110,113,84,15,11,697,0,0,3,22,16,26,44,23,12,146,0,0,4,4,0,6,0,0,0,20,0,3,3,9,13,12,19,11,11,78,0,13,17,64,25,5,13,5,0,136,3,10,23,56,50,29,25,16,5,216,0,14,46,283,54,98,125,52,29,706,0,0,4,119,6,5,4,0,0,137,3,33,55,156,62,35,15,4,0,361,0,0,5,14,20,23,17,14,3,99,6,11,17,32,5,8,0,3,0,94
SED22105,0,0,0,0,0,9,16,12,0,45,0,7,47,225,88,95,76,26,16,567,0,0,0,23,13,3,3,5,0,49,3,5,25,151,15,10,3,0,0,212,0,5,0,6,6,22,54,47,23,162,35,233,353,664,203,145,60,26,3,1732,0,0,4,22,13,16,10,0,0,66,11,120,141,355,52,23,15,0,0,722,0,0,0,5,4,4,0,0,0,11,4,124,224,757,379,200,83,24,5,1803,0,0,10,26,27,24,28,6,0,127,4,13,54,111,90,66,19,5,0,369,0,3,15,27,29,66,53,46,8,249,0,21,20,50,24,18,8,5,0,144,0,13,39,110,68,35,29,16,10,326,3,96,215,1058,386,211,146,48,14,2182,0,0,5,39,9,9,0,0,0,55,0,7,19,152,59,23,3,4,0,272,6,3,4,28,37,25,15,0,0,120,0,22,33,38,14,10,8,0,0,133
SED22201,0,0,0,0,3,4,11,16,4,41,0,0,3,17,4,6,9,0,0,37,4,46,145,382,86,31,23,3,0,717,0,0,5,20,0,0,0,0,0,25,0,5,0,4,4,14,51,78,30,184,0,11,14,103,68,73,37,21,7,334,0,0,0,0,0,0,6,3,0,12,0,0,0,12,0,3,3,0,0,21,0,0,0,0,5,12,0,0,0,23,0,6,3,79,41,55,18,6,5,212,0,0,0,8,7,8,13,3,0,46,0,0,0,6,0,0,0,0,0,0,0,3,0,14,18,35,46,44,25,189,0,9,5,21,15,12,11,0,0,76,4,10,20,61,54,38,37,14,7,246,0,0,3,70,26,18,20,10,7,156,0,0,0,32,11,3,0,0,0,48,0,9,20,68,20,13,7,0,0,138,0,0,0,5,4,0,0,0,0,7,0,3,12,34,17,11,17,0,0,98
SED22305,0,0,0,0,0,4,17,9,5,43,0,0,10,54,15,50,70,58,28,287,0,0,10,49,27,11,4,3,0,110,0,0,17,29,0,0,0,0,0,48,0,0,8,6,7,0,37,48,39,137,6,71,108,211,70,55,33,12,0,561,0,0,5,107,105,110,75,50,18,472,14,180,192,415,42,23,10,0,0,885,0,0,0,3,0,0,0,0,0,5,3,33,59,312,123,116,77,28,9,767,0,0,5,34,17,64,71,39,26,254,0,6,18,22,32,37,10,9,3,135,0,0,0,0,7,18,32,30,18,108,0,9,6,23,10,10,15,0,0,70,0,6,4,27,17,12,28,19,6,133,17,74,149,862,231,243,181,106,49,1901,0,0,0,37,0,3,0,3,0,48,0,7,35,91,29,11,7,0,0,174,0,3,0,19,43,34,42,15,3,154,0,3,3,15,3,8,0,4,0,37
