SED_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SED21906,619,530,851,617,501,385,403,233,150,4275,11059,7877,12322,9926,8297,6851,6493,3213,1750,67787
SED22005,734,662,1027,629,575,464,437,343,245,5126,11601,9626,14124,10642,8922,7805,6521,4410,2321,75965
SED22105,2433,1160,1519,1408,999,691,395,229,99,8941,32571,15738,21200,22726,14512,10081,6619,3257,1176,127892
SED22201,661,443,493,439,438,433,292,222,151,3563,11217,6754,8420,8789,7762,7265,6132,3914,1585,61836
SED22305,1403,841,1390,1107,853,677,545,320,148,7285,14020,9248,13787,11366,8594,7847,6252,3696,1513,76335
SED22404,1039,718,580,712,906,939,727,366,100,6090,10303,6425,6184,6857,8612,9900,8564,4203,1315,62365
SED22501,625,393,268,383,464,460,361,246,131,3340,11320,6840,5349,7976,8792,8222,6946,3341,1039,59815
SED22607,693,607,858,678,702,594,359,182,88,4757,10765,8435,12442,10475,9619,8087,5834,2896,1454,70008
SED22704,1282,756,799,830,974,1048,880,540,255,7367,10811,6912,7028,7076,8883,10570,9819,5343,1940,68383
SED22802,770,499,469,472,516,452,300,200,62,3738,11537,7472,8136,8064,8045,7379,5906,3341,964,60851
SED22901,549,397,422,404,403,377,303,242,130,3230,10229,6865,7388,8577,7628,7470,6731,3606,1608,60096
SED23007,1006,828,1607,1073,835,633,458,277,162,6877,12411,9590,19000,13860,10025,8154,5960,3323,1455,83789
SED23101,431,373,293,371,377,288,329,273,222,2952,10081,7481,6610,8147,8352,7037,6446,4991,2256,61409
SED23205,1053,672,854,755,747,625,414,282,153,5551,10928,7003,8640,8418,8325,7627,6352,3922,1776,62994
SED23308,858,652,710,631,600,581,436,275,165,4911,11006,7989,10653,8718,8322,8118,6745,3832,1688,67063
SED23402,1374,844,825,829,798,638,441,295,139,6179,17970,10394,12192,12138,10902,9074,6636,3701,1303,84305
SED23502,1086,617,620,615,768,892,932,559,265,6356,10091,5720,6056,6177,7336,9968,10844,5880,1826,63901
SED23602,994,621,882,915,746,785,732,392,198,6273,9939,5824,6031,6534,7669,9169,8946,4528,1574,60218
SED23702,1125,706,635,741,784,690,503,274,105,5555,13382,8765,9194,8995,9468,9472,7533,4036,1298,72135
SED23806,460,499,607,471,468,378,318,193,101,3510,9494,9268,10758,8485,8343,7146,5835,3547,1543,64418
SED23901,667,491,596,581,535,460,362,196,105,4005,11637,7691,9412,9754,8915,8053,6312,3835,2023,67639
SED24006,491,482,359,317,493,423,292,211,128,3195,10507,9487,6737,7266,9401,8524,6196,3884,2027,64029
SED24105,900,533,694,683,533,523,358,253,106,4574,13536,9984,11199,10941,9696,8444,6809,3846,1479,75941
SED24207,1738,1270,2107,1815,1229,743,483,233,96,9711,22765,12842,16173,17500,12948,9186,6827,2812,735,101777
SED24308,1223,917,1276,1078,918,668,474,269,127,6953,12399,8802,10785,8915,8954,8210,6927,3887,1635,70504
SED24408,900,554,515,506,569,653,646,467,264,5069,9881,5895,6260,5959,7038,8784,7869,4705,2075,58458
SED24504,921,596,455,606,795,756,667,348,123,5252,12054,6443,5500,8155,9964,9502,8241,3984,1202,65038
SED24606,510,454,552,428,471,402,334,280,203,3633,8642,7855,9166,7567,8091,6899,5983,4053,1891,60148
SED24703,782,2282,3759,1796,986,719,490,214,83,11103,8698,28167,43021,18338,9660,7578,5368,2489,890,124206
SED24808,2435,1132,1357,1275,993,718,537,244,75,8777,23705,11484,15318,14965,11193,9022,7657,3321,1020,97680
SED24904,1412,865,921,908,879,904,729,435,291,7347,12169,7352,8886,7895,8212,8908,7397,4111,1833,66771
SED25003,957,649,660,644,656,529,362,374,335,5170,13691,9265,10462,10458,9600,8690,5574,2568,1128,71427
SED25102,727,486,463,458,530,518,353,159,82,3778,11006,6737,6231,7852,8643,7942,6255,2821,900,58387
SED25205,712,445,464,514,609,484,317,222,123,3885,12233,7231,7118,9567,10143,8183,5936,3655,1736,65798
SED25302,791,499,286,451,650,513,527,448,322,4489,11662,7098,4230,7160,9688,8324,8456,6138,2509,65261
SED25402,1435,849,868,817,789,839,663,438,332,7022,12293,7737,8706,7961,8216,9346,7990,4307,1690,68256
SED25501,490,503,479,431,466,382,258,222,152,3381,11071,8877,7779,9066,8785,7606,5784,4457,2230,65663
SED25605,622,481,587,500,483,452,411,357,254,4149,10173,7306,8765,8550,7990,6995,6714,4903,2241,63639
SED25704,1286,685,636,682,767,897,778,502,317,6553,11334,6796,6890,6759,7841,9321,8420,5196,2206,64766
SED25802,1451,725,792,785,849,869,730,468,204,6877,14419,8289,9381,8708,9458,10382,9485,5246,1795,77157
SED25905,1032,757,820,673,667,570,376,165,110,5179,12724,8991,9721,8897,8735,8885,5917,2843,1273,67990
SED26005,1389,933,833,837,811,540,315,137,45,5838,19489,13161,11304,13074,12469,9090,5100,2210,596,86498
SED26102,944,589,529,619,830,902,993,673,300,6370,9350,5606,5487,6421,8423,10134,11544,7279,2714,66960
SED26207,630,449,479,496,536,425,348,308,134,3802,10463,6872,7034,8215,8613,7317,6307,4851,2133,61796
SED26303,585,430,795,660,593,405,246,155,73,3943,10105,6727,13292,11395,9848,7065,4553,2858,1441,67269
SED26406,567,790,998,597,515,375,286,225,170,4520,10371,11376,14750,10525,8717,7033,5061,3470,1820,73129
SED26504,952,577,525,563,621,692,664,470,225,5281,9981,5789,5921,6389,7548,8547,8402,5161,1980,59712
SED26603,891,649,1039,809,729,481,323,270,226,5419,13496,8844,15241,13229,9924,7585,4975,3618,2584,79479
SED26708,1069,620,599,640,788,803,727,381,183,5806,11604,6621,6942,7364,8393,9568,8571,4524,1709,65296
SED26806,465,645,1795,1038,713,579,466,402,380,6483,5817,7628,23016,12710,7908,6487,5208,3325,1452,73559
SED26903,777,546,914,714,700,506,414,309,333,5198,10683,7134,13486,11328,8996,6997,5016,3596,2099,69342
SED27003,644,607,1644,964,693,595,381,185,96,5816,7769,7384,23498,13098,8524,6923,4941,2533,1005,75675
SED27101,605,389,489,542,473,393,273,205,107,3479,11875,7203,9565,10496,8846,7005,5492,3567,1496,65551
SED27208,1140,681,806,914,1089,1046,936,604,315,7526,11067,6497,7083,7038,8740,10176,9886,5433,2034,67957
SED27305,461,409,328,342,427,434,222,155,56,2825,9433,7655,6196,7096,8367,8179,5012,2726,786,55451
SED27406,607,373,370,445,604,472,384,265,189,3715,10704,7190,6262,8091,10046,8565,6919,4195,1942,63903
SED27504,1595,958,953,904,904,887,668,486,197,7553,14327,8656,9540,8762,9151,9370,8048,4806,1928,74598
SED27608,1168,942,798,766,737,582,577,288,177,6039,18599,11945,13138,13213,11110,9370,8322,4700,2053,92460
SED27708,1126,710,597,719,728,691,654,405,220,5845,11497,7002,7420,7558,8534,9277,8449,4345,1819,65902
SED27807,1383,946,1375,1094,890,818,573,424,302,7819,12210,9289,13150,10067,8773,8610,7350,4148,1791,75388
SED27907,910,577,752,621,622,542,340,220,105,4682,12148,7564,9905,9129,8596,8004,6482,3374,1114,66327
SED28007,1088,760,733,739,694,574,299,119,40,5048,16047,11519,10639,11686,11947,9396,5625,2451,806,80110
SED28107,2933,1509,2373,2167,1077,679,375,131,47,11290,35288,15873,25679,27005,12774,9270,5707,2185,521,134306
SED28203,1340,739,1033,901,721,559,426,256,107,6084,17191,9307,13777,13582,8881,7338,6607,4260,1573,82511
SED28301,536,439,281,371,472,400,339,249,117,3206,11197,8092,5722,8024,9172,8477,6501,4335,1769,63284
SED28408,988,646,639,538,608,543,433,281,173,4842,11298,7786,8380,7534,7706,7580,6765,3994,1815,62869
SED28507,1854,938,1297,1092,852,605,417,266,196,7514,20533,10832,15945,15139,10066,8420,5962,2891,1111,90901
SED28607,925,485,767,769,658,502,329,217,106,4758,14455,7016,10708,12528,11011,8301,5380,3247,1663,74303
SED28704,1769,883,925,1040,868,689,433,212,66,6886,24682,12340,14745,16900,13257,9787,6868,2994,834,102403
SED28803,2503,1258,1600,1519,1076,788,411,173,76,9415,32948,17276,23009,22253,14727,11578,6514,2486,674,131466
SED29494,501,403,707,880,652,410,198,23,9,3785,1143,1131,1819,1736,1393,1074,613,152,29,9089
SED29797,0,0,0,11,3,9,0,0,0,29,0,0,6,16,3,14,4,0,0,38
