SED_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
SED25402,0,14,0,0,0,12,29,31,75,839,843,130,1812,95,83,180,1986,1400,58,3450
SED25501,3,5,0,0,0,5,7,15,27,677,549,79,1307,26,47,74,1374,1047,21,2442
SED25605,0,6,0,0,0,10,17,11,41,698,518,66,1284,32,52,91,1369,1207,31,2602
SED25704,5,14,0,0,0,14,27,28,74,663,651,131,1445,49,39,85,1530,1072,47,2645
SED25802,11,18,0,0,0,18,22,26,74,831,868,156,1857,72,65,142,1995,1210,48,3252
SED25905,6,11,0,0,0,11,7,28,46,825,616,105,1550,58,64,121,1672,1148,50,2866
SED26005,3,10,0,0,0,15,21,16,53,1198,759,124,2086,73,53,130,2213,1299,39,3545
SED26102,5,13,0,0,0,13,21,20,55,701,735,160,1596,37,46,87,1676,1048,38,2769
SED26207,0,8,0,0,0,8,11,10,34,884,597,103,1584,46,35,76,1660,1018,32,2711
SED26303,0,4,0,0,0,5,9,7,18,733,519,71,1316,26,27,53,1375,840,19,2227
SED26406,4,5,0,0,0,4,6,3,22,802,510,83,1395,31,37,71,1471,921,24,2417
SED26504,0,7,0,0,0,7,14,12,36,637,669,100,1398,39,48,88,1493,906,27,2419
SED26603,6,10,0,0,0,10,20,9,38,925,593,123,1637,52,53,104,1737,1384,34,3154
SED26708,0,12,0,0,0,7,14,22,40,575,680,88,1350,11,26,44,1387,811,39,2240
SED26806,4,10,0,0,0,10,4,7,23,598,347,60,1012,30,27,53,1068,687,17,1775
SED26903,5,15,0,3,3,11,23,27,54,728,617,84,1433,54,53,107,1541,1475,50,3065
SED27003,0,0,0,0,0,5,15,18,36,583,392,52,1027,45,53,99,1128,1019,37,2185
SED27101,0,8,0,0,0,8,23,6,35,867,580,87,1527,38,37,79,1605,912,19,2539
SED27208,0,10,0,0,0,9,16,29,61,636,665,109,1415,61,44,104,1515,1207,49,2772
SED27305,5,8,0,0,0,8,5,9,21,748,481,71,1304,35,31,65,1364,635,14,2013
SED27406,0,9,0,0,0,9,11,8,26,872,514,81,1469,47,26,71,1540,695,14,2250
SED27504,4,16,0,4,4,21,40,36,95,886,830,130,1844,58,64,117,1957,1340,71,3369
SED27608,3,7,0,0,0,7,3,11,24,1128,905,124,2159,41,37,75,2235,802,16,3054
SED27708,0,14,0,0,0,14,15,21,57,764,809,130,1705,42,60,100,1808,957,50,2818
SED27807,5,10,0,0,0,15,41,50,101,871,774,158,1802,143,137,278,2077,2210,90,4377
SED27907,4,12,0,0,0,12,11,15,37,1115,684,141,1943,59,51,102,2047,1120,34,3196
SED28007,7,14,4,0,5,19,14,16,50,1166,698,164,2030,75,71,147,2173,1108,34,3318
SED28107,7,18,0,0,0,18,18,48,86,1367,865,199,2424,127,114,244,2664,1544,69,4285
SED28203,7,14,0,0,0,20,23,32,73,828,664,122,1610,84,80,161,1770,1995,52,3821
SED28301,4,7,0,0,0,7,5,11,19,653,536,78,1262,33,44,77,1339,792,14,2146
SED28408,5,6,5,0,5,11,24,25,65,851,862,117,1829,61,69,132,1965,1233,49,3243
SED28507,10,24,4,0,3,27,22,46,90,1251,872,172,2296,103,103,213,2503,1845,67,4417
SED28607,6,5,0,0,0,5,13,9,26,987,551,81,1620,54,42,93,1720,1020,22,2766
SED28704,4,12,0,0,3,13,20,33,63,1536,1078,171,2789,61,82,145,2933,1346,42,4325
SED28803,8,10,0,0,0,10,23,39,75,1367,940,199,2510,96,97,193,2699,2101,71,4874
SED29494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
