SED_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
SED24408,10888,169,74,58,16,11206,6628,45,19,9,3,6717,1786,280,257,11,3,2340,341,115,70,0,0,529,48,39,32,0,0,115,1248,55,47,5,3,1353,249,26,17,21,0,312,28,14,6,0,0,49,3697,532,430,39,3,4701,755,49,19,4,8,832,403,27,17,6,0,450,22366,819,562,122,40,23904
SED24504,9188,367,10,49,7,9620,9924,163,19,41,4,10154,1403,323,22,13,4,1761,116,79,5,0,0,196,38,72,4,0,0,113,815,102,5,19,4,943,75,4,0,13,0,103,16,5,0,0,0,17,2463,583,27,39,11,3132,340,24,5,7,8,379,282,19,0,5,4,308,22193,1157,64,136,30,23588
SED24606,5071,1844,1789,60,9,8779,3599,1303,1922,35,3,6861,858,1155,4394,120,9,6532,7,64,98,0,0,171,5,20,156,0,0,181,240,216,544,19,4,1029,26,9,43,3,6,84,3,3,17,0,0,22,1135,1475,5251,148,12,8024,95,87,162,38,0,390,103,58,139,9,0,309,10002,4763,9264,297,25,24364
SED24703,580,2561,4751,25,16,7939,509,2222,6213,17,11,8970,384,3319,27421,77,97,31296,14,315,1714,0,0,2046,3,81,387,8,5,475,103,893,3061,31,18,4106,4,47,428,4,7,494,0,10,82,0,5,97,507,4662,33095,121,133,38516,36,169,927,4,8,1137,11,91,556,0,16,675,1642,9704,45539,172,186,57238
SED24808,7054,634,26,21,3,7731,14412,560,28,5,9,15017,5511,937,31,0,10,6493,322,150,38,0,0,504,77,102,4,0,0,181,1118,145,19,4,0,1288,130,55,10,16,0,215,40,21,0,0,0,62,7199,1406,102,26,9,8747,307,49,3,3,0,359,470,58,3,0,0,530,29441,2704,160,48,31,32380
SED24904,8134,371,153,158,23,8840,7272,170,59,10,5,7511,2500,625,486,12,11,3628,455,220,132,0,0,810,97,39,84,0,0,221,1490,155,100,21,13,1779,407,37,33,97,24,601,56,15,17,16,3,111,5014,1087,855,153,48,7154,558,49,63,20,11,698,470,52,40,23,9,594,21451,1730,1169,355,92,24804
SED25003,6217,701,55,0,0,6970,9316,1073,89,0,0,10481,3088,994,222,0,5,4310,187,34,6,0,0,225,27,13,0,0,0,49,508,111,26,0,0,634,118,22,0,0,0,137,16,10,0,0,0,32,3946,1183,251,0,5,5380,164,121,23,0,0,306,293,55,10,0,0,357,19934,3130,424,0,4,23494
SED25102,7210,112,47,10,3,7383,10259,89,32,4,5,10391,1155,106,19,3,6,1293,54,34,7,0,0,93,19,5,7,0,0,32,604,26,14,0,7,648,54,0,6,0,0,60,8,0,4,0,0,10,1890,174,57,6,11,2139,179,47,48,3,0,279,174,6,6,0,4,193,19713,431,195,20,18,20384
SED25205,5731,1831,1046,9,0,8617,6559,2219,1410,17,3,10202,1396,1401,1504,27,3,4336,116,128,189,0,0,424,21,48,23,0,0,91,285,240,228,14,4,772,20,12,13,0,0,48,5,6,10,0,0,20,1846,1847,1953,37,11,5700,155,68,151,0,0,373,134,68,68,0,0,274,14425,6023,4634,67,17,25163
SED25302,8445,1179,561,91,10,10279,8519,448,222,0,4,9194,1779,406,338,0,3,2523,185,48,102,0,0,331,18,0,4,0,0,19,484,82,81,0,0,653,48,6,3,30,0,82,15,4,3,0,0,19,2518,549,528,24,3,3627,341,256,66,3,0,670,205,57,20,5,3,297,20027,2494,1400,129,17,24064
SED25402,9283,267,342,57,13,9965,9060,124,91,6,6,9294,2848,411,625,4,6,3899,538,178,171,0,0,885,118,44,39,0,0,194,1068,69,72,5,3,1213,96,10,26,11,0,154,32,9,13,0,0,56,4701,723,943,18,14,6403,225,87,41,3,0,355,429,42,49,0,0,528,23705,1244,1464,89,36,26536
SED25501,7503,666,1112,0,0,9283,4976,740,975,0,0,6684,2718,616,1411,5,7,4750,82,10,51,0,0,142,23,0,23,0,0,44,631,114,204,0,0,949,72,8,18,0,0,104,12,9,5,0,0,23,3524,761,1711,4,6,6010,228,87,110,0,4,427,181,28,40,0,0,246,16412,2273,3950,8,12,22657
SED25605,7691,478,329,12,3,8514,5974,796,318,0,4,7086,2584,889,611,4,6,4093,240,46,93,0,0,379,27,4,11,0,0,41,632,139,79,4,0,848,94,26,20,68,3,218,19,3,0,0,0,20,3594,1111,818,79,9,5607,205,177,376,0,0,758,275,50,48,8,3,384,17731,2607,1888,103,22,22348
SED25704,9976,415,44,141,14,10584,7386,107,16,26,8,7543,1930,619,206,3,5,2765,480,252,67,0,0,805,59,52,20,0,0,140,1352,158,20,10,6,1555,290,29,4,89,0,416,35,16,4,0,0,58,4149,1131,323,107,24,5728,561,54,3,9,7,632,457,72,14,29,6,580,22527,1781,395,312,59,25072
SED25802,10221,420,221,233,13,11102,10633,173,96,5,11,10927,2791,478,295,11,6,3576,347,163,88,0,0,597,60,24,16,0,0,94,1101,101,65,3,3,1283,143,13,3,49,0,205,23,13,8,0,0,48,4459,793,479,62,12,5809,415,42,54,27,0,544,444,46,28,17,4,542,26177,1476,873,346,42,28921
SED25905,6138,542,51,5,0,6743,8764,803,85,0,3,9660,2917,516,81,7,8,3522,345,36,25,0,0,404,17,9,0,0,0,25,667,87,20,0,0,776,122,6,3,73,0,202,18,3,0,0,0,26,4093,651,131,83,3,4967,185,51,10,0,0,243,294,47,10,0,0,349,19475,2086,292,94,11,21957
SED26005,5362,253,10,0,3,5633,12647,646,46,6,5,13345,4221,333,43,0,0,4596,219,27,7,0,0,253,31,3,0,0,0,36,784,45,10,0,0,839,143,10,0,0,0,155,29,0,0,0,0,30,5434,416,52,4,4,5909,180,35,0,0,0,218,318,32,0,0,0,350,23948,1382,107,8,11,25455
SED26102,11253,742,139,160,5,12303,7133,331,58,10,0,7529,3299,534,131,27,3,3993,133,53,13,0,0,202,27,9,0,0,0,37,1020,86,24,14,5,1149,92,16,3,52,4,161,44,5,0,4,0,46,4610,706,170,95,11,5592,509,343,30,7,0,883,460,81,12,0,5,554,23965,2207,406,267,22,26867
SED26207,8335,1440,216,16,4,10012,5596,1721,170,10,8,7498,1933,1474,298,17,5,3735,53,75,26,0,0,155,8,16,0,0,0,30,447,187,64,8,0,709,42,17,3,0,0,65,10,11,0,0,0,21,2500,1774,399,30,5,4708,249,153,9,0,0,419,247,69,6,3,0,321,16927,5161,800,52,18,22961
SED26303,5927,1282,629,17,5,7866,4731,1992,1684,29,5,8436,2040,2567,3722,88,6,8423,116,283,383,0,0,776,56,62,70,0,0,192,550,379,386,28,4,1350,42,10,24,3,0,83,3,9,17,0,0,34,2812,3317,4605,119,16,10858,165,86,64,3,3,317,137,46,63,0,0,258,13767,6717,7044,173,23,27729
SED26406,5687,1483,799,0,5,7977,4573,1933,1865,9,3,8382,2166,2330,4501,13,10,9019,75,158,162,0,0,401,23,56,55,0,5,135,537,425,434,0,5,1399,56,43,52,0,0,153,15,9,14,0,0,42,2870,3023,5218,19,23,11151,170,125,100,0,0,400,169,94,83,0,0,349,13472,6653,8068,23,36,28257
SED26504,9567,423,16,111,12,10133,6980,160,13,16,15,7182,2086,733,19,13,5,2851,412,219,8,0,0,633,47,76,0,0,0,127,1091,171,12,8,3,1282,140,26,10,35,6,213,17,14,0,0,0,35,3793,1232,52,53,14,5145,421,36,4,8,3,474,445,171,3,13,7,640,21208,2026,85,211,45,23578
SED26603,7253,1476,267,11,7,9011,6385,3336,541,12,9,10284,2756,3967,1102,20,12,7855,200,279,74,0,0,556,21,40,22,0,0,75,704,454,139,13,4,1309,84,73,15,3,0,181,19,17,3,0,0,38,3784,4823,1360,33,17,10017,214,67,22,3,0,319,254,131,25,0,0,407,17896,9828,2217,62,32,30042
SED26708,10249,269,28,41,12,10602,8347,109,8,19,15,8500,1593,359,13,10,6,1981,237,138,4,0,0,373,39,39,17,0,0,96,1253,94,11,9,7,1379,303,34,4,37,11,389,33,10,0,0,0,43,3453,677,52,59,20,4258,719,32,5,10,4,773,408,54,3,9,0,467,23170,1143,90,136,51,24594
SED26806,1642,1586,3870,16,18,7131,1087,1406,5450,24,7,7970,664,1607,14966,44,19,17307,4,112,1094,0,0,1210,3,16,168,5,3,193,168,375,1782,22,8,2355,8,8,96,3,0,118,7,3,47,0,0,60,852,2136,18158,69,33,21248,70,97,403,4,0,574,36,58,294,0,14,396,3688,5285,28165,109,62,37314
