SED_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
SED23402,1444,1458,729,441,553,332,177,5146,431,415,208,144,205,113,57,1572,355,368,193,132,148,95,48,1342,2937,2711,1549,969,1310,575,248,10292,27,21,11,6,8,0,0,75,5186,4973,2687,1694,2226,1113,535,18419,81,151,95,61,87,52,34,550,77,100,69,46,61,34,14,404,28,64,40,39,49,20,7,253,393,596,361,264,355,147,84,2201,17,14,12,7,10,6,0,65,597,928,572,419,564,258,140,3475,5783,5901,3256,2113,2789,1372,675,21893
SED23502,111,143,77,40,55,11,12,449,110,108,67,42,70,7,5,409,131,134,86,57,44,5,9,459,1940,2039,1246,812,955,206,44,7248,5,17,9,3,6,0,0,49,2303,2437,1484,958,1133,232,67,8608,7,18,5,5,9,5,0,51,20,43,24,23,21,4,0,141,9,19,20,18,15,3,4,84,408,598,399,321,344,49,8,2129,15,26,16,14,6,0,0,86,456,707,471,378,396,65,16,2489,2760,3141,1954,1339,1525,292,84,11100
SED23602,124,130,97,41,71,19,3,486,122,160,102,63,81,13,0,544,164,150,91,58,68,15,0,553,1872,2003,1260,849,1068,282,75,7404,17,23,10,9,8,0,0,57,2303,2468,1552,1017,1295,322,89,9049,8,17,10,15,14,7,5,72,11,45,33,32,29,3,0,159,9,25,15,15,14,3,0,82,353,528,349,267,297,70,27,1895,12,19,9,4,14,6,0,68,397,639,421,334,368,94,38,2288,2700,3105,1978,1353,1661,416,119,11329
SED23702,142,217,126,107,150,72,37,853,294,291,174,122,172,57,30,1138,283,270,160,117,128,48,23,1025,2894,2667,1514,980,1177,402,203,9842,15,14,9,7,3,0,0,45,3622,3459,1982,1332,1627,582,291,12901,20,32,30,29,30,23,3,165,48,68,52,40,62,26,8,296,19,48,38,37,36,13,4,195,400,635,408,320,388,136,49,2344,27,13,12,12,4,0,0,63,516,800,532,428,521,197,66,3068,4142,4258,2516,1759,2152,779,356,15970
SED23806,680,874,427,282,325,229,141,2964,238,286,198,116,180,134,75,1226,288,348,232,148,190,135,66,1411,1147,1204,926,690,1055,793,430,6250,0,7,5,6,0,0,0,18,2359,2730,1789,1240,1756,1286,716,11878,42,133,79,52,105,67,53,530,27,40,40,20,36,35,25,222,18,37,19,22,28,20,9,158,47,112,111,97,133,109,67,677,19,10,0,4,0,0,0,27,145,323,254,197,309,242,161,1619,2504,3057,2035,1431,2064,1523,875,13493
SED23901,896,1047,533,277,349,255,156,3524,301,357,187,136,190,111,71,1351,375,389,168,117,126,77,49,1300,1600,1663,1017,709,980,582,314,6865,16,13,10,0,0,0,0,41,3190,3470,1909,1244,1646,1031,587,13078,58,116,93,65,116,73,64,593,41,47,40,37,45,34,16,257,12,35,20,16,30,21,17,163,137,226,161,170,213,124,61,1091,7,9,6,5,4,0,0,27,263,436,322,295,407,257,165,2137,3454,3906,2235,1537,2058,1282,753,15213
SED24006,869,1405,908,647,800,558,353,5535,240,233,190,131,188,129,66,1165,260,299,206,152,198,134,88,1331,734,980,834,705,1084,816,423,5571,12,12,8,8,3,0,0,42,2115,2918,2139,1639,2272,1633,927,13643,77,203,211,184,258,212,117,1264,21,33,28,25,30,43,16,205,7,30,32,27,48,30,19,184,37,96,123,117,179,129,70,758,9,3,8,0,0,8,5,27,160,364,401,353,518,411,231,2440,2276,3285,2540,1989,2790,2048,1160,16082
SED24105,2350,2621,1444,994,1281,1002,600,10274,250,217,150,90,114,46,26,891,354,298,130,71,104,50,24,1019,651,605,384,273,330,184,91,2512,34,13,7,9,6,0,0,65,3632,3749,2110,1429,1833,1278,734,14761,269,455,302,231,378,270,161,2066,50,58,43,30,24,15,18,242,36,69,24,20,38,13,13,210,90,144,108,68,107,49,30,584,24,34,18,9,6,4,4,101,469,770,498,359,549,344,228,3207,4097,4516,2601,1791,2381,1623,958,17969
SED24207,3832,4387,2257,1336,1767,1212,719,15507,507,454,242,143,177,81,38,1645,472,425,190,109,129,72,27,1426,1332,1339,763,491,556,216,101,4798,35,35,21,14,8,5,0,108,6168,6634,3471,2097,2639,1580,889,23481,340,643,420,306,434,306,196,2647,82,125,72,54,62,24,8,424,77,92,63,53,55,22,10,369,222,296,201,157,207,71,31,1180,41,46,22,18,22,10,4,160,757,1205,768,587,779,432,250,4779,6929,7845,4237,2684,3418,2012,1133,28261
SED24308,652,566,320,247,282,169,88,2320,197,188,113,81,99,47,17,751,249,180,125,60,70,36,21,737,1886,1816,1035,728,882,314,135,6813,18,10,8,6,6,0,0,47,3002,2765,1605,1129,1337,565,270,10669,70,113,77,71,102,65,44,538,59,73,48,43,55,26,5,297,26,39,35,27,36,11,5,172,572,752,498,367,444,107,54,2789,37,39,20,15,5,3,0,122,764,1011,681,512,631,208,102,3912,3767,3772,2281,1639,1966,776,370,14574
