SED_CODE_2021,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Samoa_0_4,P_Samoa_5_14,P_Samoa_15_24,P_Samoa_25_44,P_Samoa_45_54,P_Samoa_55_64,P_Samoa_65_74,P_Samoa_75_84,P_Samoa_85ov,P_Samoa_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SED21106,0,5,0,17,7,8,6,0,0,35,0,0,0,3,18,11,3,0,0,27,0,5,18,72,34,12,18,9,0,161,0,3,4,53,40,63,121,48,25,363,0,0,0,0,0,0,0,0,0,6,3,11,14,96,77,76,85,45,20,421,7,54,43,55,22,18,19,5,0,223,5,30,51,202,175,137,108,40,17,760,0,3,6,55,34,29,38,14,4,187,0,6,0,34,6,0,3,0,0,52,3,19,22,61,12,12,3,4,0,124,0,6,10,28,18,20,13,3,0,108,25,117,87,160,96,82,29,16,7,629,0,15,24,66,53,23,13,5,0,202,0,0,0,21,22,16,19,14,0,90,0,0,0,20,12,12,7,0,0,49,18,124,104,874,494,419,377,301,139,2850,87,269,194,673,383,263,239,190,132,2430,2611,7459,7079,14658,9907,8397,6281,3892,1930,62206
SED21203,49,293,417,1792,236,77,27,3,0,2904,0,5,5,11,3,0,5,0,0,25,7,19,66,328,153,200,124,37,3,943,0,0,0,16,12,23,37,16,16,117,0,17,31,57,62,61,28,6,0,264,0,0,0,12,3,31,23,20,11,99,4,5,11,36,21,17,3,0,0,98,0,0,5,15,10,0,8,4,0,47,5,20,69,281,93,126,60,19,11,690,0,0,0,22,0,0,0,0,0,23,3,11,15,91,28,13,3,0,0,173,9,67,113,852,1046,1135,643,386,52,4293,0,11,21,32,12,8,0,3,0,90,0,29,37,286,241,288,134,46,13,1072,0,0,0,0,0,0,0,0,0,10,0,0,0,10,6,0,0,0,0,20,34,474,499,1585,751,658,477,296,123,4900,371,818,685,1838,646,566,364,285,116,5690,5203,10294,10213,22376,8487,7743,5074,3476,1506,74380
SED21303,6,9,20,142,19,8,0,0,0,197,0,0,0,17,15,5,3,0,0,47,0,13,44,274,47,30,34,12,6,448,0,0,4,51,17,18,16,8,6,121,0,0,0,0,0,0,0,0,0,3,0,0,9,149,56,41,30,6,0,306,6,13,32,147,41,19,9,0,0,256,0,0,31,150,31,16,10,6,0,257,0,0,18,148,28,29,22,6,5,251,0,4,5,114,4,0,5,3,0,140,3,6,14,106,28,9,3,0,0,168,0,3,5,102,75,95,64,36,6,391,17,38,69,481,85,44,21,16,0,764,6,11,49,188,76,93,61,26,6,516,0,0,4,25,10,4,0,3,0,48,0,0,10,37,3,4,3,0,0,56,14,66,164,1521,268,205,194,132,52,2609,84,112,253,1086,265,227,197,129,76,2424,3218,5733,8780,32436,8825,6521,4457,2848,1476,74300
SED21401,0,28,36,165,28,13,12,5,7,289,0,6,0,4,11,5,4,0,3,26,0,27,26,144,70,53,44,7,6,375,0,0,0,18,8,14,37,19,15,106,0,0,0,0,0,0,0,0,0,0,0,4,0,15,13,18,28,38,27,140,3,33,55,164,67,65,64,30,4,479,5,24,60,134,96,84,67,37,4,526,0,20,38,178,86,93,76,41,13,543,3,18,16,227,57,63,77,11,0,468,3,6,13,93,22,11,3,5,3,159,0,0,3,22,35,48,17,10,6,147,5,43,44,64,36,29,14,9,5,246,0,7,39,148,167,195,125,32,11,723,0,0,0,10,7,12,8,5,0,44,0,0,3,24,15,15,8,3,0,68,16,85,130,508,274,308,281,288,158,2051,91,152,169,536,248,221,233,233,156,2046,3047,7023,7563,16646,8605,8350,7052,6010,2811,67111
SED21503,0,14,27,121,7,12,4,0,0,186,0,0,4,9,9,5,0,0,0,27,0,17,39,211,78,86,81,18,3,533,0,3,0,29,26,14,41,11,8,129,0,0,0,0,10,8,4,0,0,28,0,0,0,14,16,35,46,48,6,172,0,10,23,76,21,25,16,4,0,179,0,11,30,78,41,22,19,7,0,205,0,25,110,356,145,183,106,49,12,999,0,6,9,61,11,12,5,0,0,107,4,14,19,58,35,23,3,3,0,164,0,0,0,21,18,10,10,4,0,73,3,18,19,61,32,12,15,0,0,167,5,37,112,297,142,139,81,15,3,824,0,0,0,6,7,0,9,8,4,39,0,0,13,21,9,5,3,0,0,50,19,108,159,664,291,257,238,140,74,1941,99,167,387,648,230,226,203,187,89,2224,3249,6495,8117,17388,8100,6821,5654,3621,1477,60935
SED21608,0,14,5,53,7,0,0,0,0,88,0,0,0,12,11,0,0,0,0,22,5,21,31,145,44,25,17,0,0,287,0,0,0,17,3,6,5,3,0,44,0,0,0,6,0,0,0,0,0,11,0,6,0,29,30,58,85,59,10,287,0,5,3,12,19,6,3,0,0,54,0,10,16,40,37,24,12,3,0,142,0,6,5,63,12,12,8,0,0,110,0,0,0,15,6,0,0,0,0,21,0,8,16,20,19,6,5,0,0,76,0,0,0,5,4,0,0,0,0,4,0,18,15,44,29,22,32,13,0,175,0,0,10,30,9,11,0,0,0,64,0,0,0,5,9,18,14,8,3,52,0,0,7,17,8,4,5,0,0,42,6,28,39,214,113,121,124,84,32,770,179,410,452,923,508,470,474,317,139,3865,3897,9075,7983,17118,8797,8458,7281,3554,1266,67425
SED21706,0,5,42,73,11,5,5,0,0,143,0,0,0,0,14,9,4,0,0,26,4,21,37,261,63,53,34,8,0,468,0,0,4,34,17,31,56,24,21,187,0,0,0,5,0,6,6,0,0,10,0,7,14,30,36,49,33,39,17,226,4,38,55,138,56,57,48,10,0,401,0,30,35,136,75,54,54,23,16,417,4,25,202,548,150,141,116,77,29,1297,0,15,18,127,42,19,25,4,0,240,0,11,24,98,46,9,12,6,0,208,4,3,0,36,18,12,9,3,5,82,14,64,45,71,53,38,33,9,0,324,0,32,97,249,210,141,148,43,22,934,0,0,3,9,10,8,4,5,4,45,0,0,17,33,8,6,7,0,0,65,11,87,167,596,266,264,204,174,98,1867,85,194,363,794,256,220,226,160,129,2418,3187,8188,10300,18251,9474,7897,5877,3599,2091,68864
SED21805,0,0,8,29,8,6,0,0,0,62,0,0,0,3,20,7,5,0,0,33,3,46,77,288,170,128,93,16,4,829,0,0,3,44,41,35,58,20,5,208,0,4,10,14,14,16,9,4,0,58,3,3,22,102,67,121,122,75,32,549,3,12,3,22,14,17,6,0,0,84,0,48,64,201,164,102,69,20,7,676,0,3,6,125,83,98,72,33,14,441,0,0,0,30,5,8,3,0,0,53,9,23,19,131,50,14,4,0,0,245,0,4,3,31,29,33,11,7,0,129,0,14,23,73,40,40,33,4,0,234,0,4,8,94,62,32,16,3,0,221,0,4,0,24,12,27,24,21,0,119,0,0,3,25,23,6,4,0,0,67,3,61,116,617,402,335,269,164,57,2029,160,312,253,816,392,340,270,248,125,2923,4627,8502,7389,19998,10031,8795,6645,3498,1360,70841
SED21906,0,5,9,53,0,9,0,0,0,78,0,0,0,9,9,5,4,0,0,25,4,18,24,270,50,31,21,9,0,429,0,6,5,59,18,59,242,121,232,734,0,0,0,0,0,0,0,0,0,0,0,8,7,98,41,26,46,31,7,268,5,20,13,87,16,13,20,16,3,198,8,51,132,659,441,402,297,152,61,2205,0,4,15,135,30,32,35,20,16,291,0,7,8,90,10,8,6,0,0,126,0,6,22,104,11,13,3,0,0,170,0,0,0,38,13,7,3,0,0,61,30,111,75,306,116,94,61,18,4,817,0,8,49,142,33,37,31,6,0,300,0,0,0,22,4,6,5,0,0,47,0,0,4,35,18,20,15,13,0,99,32,199,212,1576,739,730,1102,607,353,5550,102,199,310,991,275,211,308,189,125,2710,3615,7439,7877,22242,8297,6851,6493,3213,1750,67787
SED22005,3,23,52,189,32,14,16,3,0,335,0,0,0,4,5,8,0,0,0,18,7,48,89,506,194,164,143,25,12,1192,0,0,9,39,34,43,72,33,15,249,0,0,4,8,8,8,6,0,0,32,0,4,4,25,26,23,38,17,16,165,3,22,50,115,37,15,13,5,0,267,10,19,36,110,105,62,47,16,9,409,6,31,135,632,120,173,245,94,43,1476,0,4,12,201,10,4,7,0,0,239,8,68,93,266,91,46,18,4,0,585,0,4,5,33,31,47,35,34,9,191,12,34,26,75,17,14,6,7,0,192,14,97,342,1269,908,975,722,234,103,4652,0,0,3,8,0,0,3,4,0,20,0,0,12,24,6,0,4,0,0,55,27,197,225,1162,583,563,549,392,153,3854,146,241,399,1087,295,277,262,233,160,3096,4063,7537,9626,24762,8922,7805,6521,4410,2321,75965
SED22105,17,245,304,675,113,63,26,8,0,1451,0,0,0,4,5,8,0,0,0,22,5,214,463,1339,680,322,122,35,4,3183,0,0,15,49,45,45,49,19,4,227,8,31,109,210,165,144,47,8,5,735,0,3,22,57,57,131,100,75,23,469,0,35,38,79,45,36,19,3,0,255,0,27,72,223,138,79,57,32,10,640,12,209,443,2086,829,437,285,79,23,4403,0,0,6,64,9,7,0,0,0,86,7,30,36,236,67,21,6,9,0,404,5,3,13,85,69,48,23,11,0,252,7,44,52,78,32,20,12,0,0,242,3,20,30,252,115,61,31,0,4,527,0,0,0,21,11,15,15,9,7,89,4,15,54,173,61,17,10,0,0,333,25,230,554,1685,801,593,378,205,59,4530,447,943,674,1876,566,447,325,170,99,5551,11490,21080,15738,43923,14512,10081,6619,3257,1176,127892
SED22201,0,0,3,29,3,7,5,0,0,56,0,0,0,7,11,17,5,0,0,38,3,7,15,128,66,61,30,12,5,321,0,0,0,17,12,16,26,10,0,82,0,0,0,4,0,0,0,0,0,6,0,5,10,27,44,78,91,75,33,365,0,15,11,44,22,26,20,4,5,152,8,19,36,121,96,83,65,29,13,469,0,11,9,154,40,35,38,16,10,313,0,3,0,38,18,6,0,0,0,76,0,21,32,90,30,15,3,0,0,189,0,0,0,3,4,6,0,0,0,20,7,9,30,62,30,20,30,4,0,198,0,3,12,74,42,30,28,3,0,192,0,0,0,8,9,14,22,9,5,69,0,0,0,20,8,13,0,0,0,43,3,41,74,308,179,155,174,152,59,1141,79,188,177,516,211,207,177,173,105,1829,3797,7414,6754,17206,7762,7265,6132,3914,1585,61836
SED22305,47,382,375,1022,141,65,29,4,0,2063,0,0,6,11,0,0,0,0,0,12,11,76,115,521,209,184,101,32,8,1250,0,0,8,66,37,111,129,61,41,456,0,11,29,53,44,62,23,12,3,237,0,0,0,4,14,37,50,63,28,201,0,18,23,47,18,14,24,0,0,155,0,9,14,60,39,29,46,39,16,246,26,143,340,2021,551,469,367,195,67,4183,0,0,0,52,8,8,3,3,0,73,0,18,55,140,34,10,5,0,0,265,4,5,9,56,74,77,61,30,3,316,3,5,12,34,8,15,4,4,0,82,4,36,94,644,359,365,187,48,30,1772,0,0,0,7,4,9,5,8,3,28,0,3,6,24,8,3,6,0,0,43,22,164,367,1538,758,815,682,418,152,4922,364,579,596,1928,617,530,386,237,102,5352,5089,8933,9248,25153,8594,7847,6252,3696,1513,76335
SED22404,0,3,0,13,0,0,0,0,0,22,0,0,0,6,14,13,0,0,0,35,0,8,11,70,15,19,13,0,0,130,0,0,4,15,9,10,17,15,3,72,0,0,0,0,0,0,0,0,0,0,0,3,11,32,27,75,90,46,19,295,0,3,0,10,9,13,3,0,0,41,0,5,17,41,44,37,44,11,0,205,0,0,3,14,6,9,12,6,0,59,5,0,0,24,0,0,0,0,0,30,0,4,16,32,20,10,3,0,0,84,0,0,0,3,0,4,0,0,0,9,0,8,15,41,32,41,33,15,0,186,0,0,7,20,6,4,0,0,0,38,0,0,0,3,8,11,18,13,5,57,0,0,0,4,7,17,5,0,0,26,0,11,16,137,101,152,132,114,40,709,144,485,488,990,769,817,683,365,112,4857,2933,7373,6425,13037,8612,9900,8564,4203,1315,62365
