SED_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
SED21106,29617,32589,62206,1275,1331,2611,3920,3537,7459,2030,1860,3891,1626,1565,3186,3134,3584,6717,3644,4297,7941,4584,5318,9907,4022,4377,8397,2956,3326,6281,1728,2161,3892,698,1237,1930,28373,31188,59560,1245,1402,2650,74,71,142,3,0,4,0,3,6,75,72,152,20403,22140,42540,8069,9161,17233,23773,25581,49358,4610,5599,10209,25607,28022,53632,422,485,907,3724,3384,7108,1859,1734,3596,1004,932,1934,851,1480,2333,18499,20860,39359,1958,2266,4219,1582,1848,3426,686,676,1362,463,579,1040,95,97,189,27630,30143,57769,1346,1778,3123
SED21203,37760,36618,74380,2673,2532,5203,5327,4962,10294,2393,2240,4628,3009,2579,5586,6528,5748,12275,5227,4873,10099,4220,4273,8487,3922,3821,7743,2347,2732,5074,1521,1951,3476,598,912,1506,37084,35992,73073,677,632,1304,246,251,499,14,16,33,9,4,10,269,271,538,17384,17155,34538,17424,16728,34147,11322,10780,22106,23055,22814,45865,28018,28401,56419,643,560,1197,4703,4394,9092,1772,1844,3623,1231,1140,2373,1698,1956,3655,15514,14644,30160,2416,2201,4619,3284,2858,6141,1865,1774,3639,2731,3514,6242,1104,1661,2764,34863,34002,68870,2878,2501,5375
SED21303,35576,38723,74300,1654,1567,3218,2915,2815,5733,1281,1307,2589,2827,3367,6191,9349,10264,19609,6332,6503,12828,4315,4508,8825,3097,3430,6521,2029,2430,4457,1232,1621,2848,558,918,1476,34308,37183,71498,1263,1535,2805,234,273,507,3,8,17,13,18,27,253,297,550,23984,25610,49595,10392,11892,22275,25319,27021,52337,9005,10416,19423,29816,32331,62150,526,460,989,2820,2715,5534,1106,1163,2271,1496,1864,3359,2536,3619,6155,23673,27006,50679,1992,1635,3627,1858,1468,3322,705,705,1410,1165,1639,2808,329,565,893,33626,36492,70118,1642,1593,3233
SED21401,32367,34747,67111,1521,1523,3047,3626,3399,7023,1922,1751,3675,2070,1821,3888,4004,4034,8038,4129,4483,8607,4077,4532,8605,3950,4402,8350,3129,3923,7052,2737,3275,6010,1195,1614,2811,31624,33989,65617,738,756,1495,82,65,149,0,0,0,4,4,4,85,69,154,16914,17129,34043,14468,16565,31032,15457,15554,31010,15907,18062,33971,26381,27942,54321,538,495,1033,3471,3270,6743,1731,1606,3340,1157,1085,2245,1194,1592,2785,18977,20081,39059,2201,2379,4583,2168,2425,4593,1041,1259,2304,1391,1956,3353,320,456,780,31084,33131,64210,1060,1360,2422
SED21503,30385,30547,60935,1679,1575,3249,3426,3071,6495,1810,1663,3468,2492,2156,4644,4784,4361,9138,4112,4136,8248,3963,4134,8100,3265,3555,6821,2628,3025,5654,1650,1973,3621,576,903,1477,29655,29781,59432,729,773,1501,250,252,498,15,14,22,9,16,22,271,273,543,19508,19721,39223,9704,9773,19476,19230,19326,38561,9922,10125,20047,25111,25755,50875,551,483,1038,3273,2952,6224,1520,1464,2986,1270,1231,2497,1343,1596,2934,15633,16394,32028,2742,2491,5230,2837,2679,5515,1345,1285,2632,1162,1571,2726,340,371,714,28818,28915,57738,1531,1645,3177
SED21608,33246,34177,67425,1976,1919,3897,4688,4389,9075,2056,1958,4019,2064,1896,3969,4228,4370,8598,4138,4377,8516,4253,4544,8797,4104,4357,8458,3543,3736,7281,1693,1858,3554,491,777,1266,31949,33046,64991,1295,1137,2433,573,634,1202,24,27,49,20,15,39,619,671,1290,27457,28454,55907,3791,3854,7650,29406,30386,59790,1921,1990,3911,29782,30862,60641,577,609,1186,4362,4136,8499,1428,1481,2919,609,715,1317,827,1608,2436,11610,14303,25912,3999,4042,8043,5427,4389,9821,2317,1985,4305,1258,1224,2484,103,85,183,30720,31878,62594,2124,2054,4175
SED21706,33317,35543,68864,1631,1561,3187,4109,4079,8188,2213,2359,4577,2994,2736,5726,4898,4463,9361,4302,4586,8892,4412,5069,9474,3755,4140,7897,2738,3140,5877,1531,2065,3599,742,1346,2091,32408,34574,66987,907,973,1881,130,104,236,0,0,4,0,8,6,138,107,242,20112,21102,41213,11950,13279,25231,21315,21957,43269,10711,12357,23070,26599,28605,55203,588,571,1167,3943,3943,7886,2022,2214,4234,1822,1754,3581,1604,1856,3458,20600,22195,42797,2064,2117,4183,1764,1994,3759,923,1009,1934,738,1015,1755,217,279,495,31183,33106,64294,1773,2073,3846
SED21805,34514,36329,70841,2342,2289,4627,4376,4125,8502,1963,1754,3720,1844,1830,3667,4599,4940,9544,5079,5375,10452,4913,5120,10031,4252,4541,8795,3063,3582,6645,1601,1896,3498,478,881,1360,33512,35341,68849,1002,983,1989,397,402,797,25,21,46,8,4,11,426,425,854,25201,26014,51206,7846,8863,16712,28342,29472,57818,4658,5369,10024,30347,31830,62187,724,717,1440,4140,3897,8038,1522,1455,2976,599,703,1307,906,1574,2478,14107,17033,31135,4233,3745,7978,4914,4455,9367,1934,1717,3646,1033,1200,2235,139,181,314,32816,34489,67302,1341,1449,2791
SED21906,32795,34989,67787,1810,1809,3615,3745,3695,7439,1633,1697,3323,2221,2331,4551,6068,6250,12322,4892,5031,9926,3988,4308,8297,3303,3550,6851,3082,3416,6493,1448,1763,3213,613,1141,1750,31825,33859,65680,977,1127,2103,88,90,174,4,0,5,8,0,4,101,90,190,19816,20904,40720,11655,12701,24355,23044,24203,47252,8308,9287,17591,26727,28675,55407,645,648,1292,3559,3521,7079,1491,1522,3006,1263,1405,2668,1609,2056,3667,21188,23123,44316,1709,1863,3577,1536,1478,3015,737,674,1415,536,671,1203,122,158,273,30777,32628,63407,1653,1895,3551
SED22005,38329,37637,75965,2101,1959,4063,3904,3633,7537,1823,1726,3549,3359,2709,6074,7750,6368,14124,5418,5224,10642,4376,4545,8922,3737,4070,7805,2991,3529,6521,1958,2450,4410,905,1419,2321,37588,36896,74480,744,741,1483,99,90,194,12,5,16,3,0,10,114,98,207,16556,15697,32257,20201,20408,40611,15166,14336,29505,21373,21524,42901,27265,27469,54734,632,583,1214,3686,3430,7120,1582,1507,3087,1879,1543,3424,2152,2284,4434,21126,20547,41680,2381,2053,4440,2784,2488,5267,1290,1283,2569,1869,2547,4419,960,1235,2196,36360,35558,71921,2078,2241,4326
SED22105,63570,64320,127892,5928,5558,11490,10886,10193,21080,3802,3768,7571,4143,4025,8169,10004,11194,21200,11499,11224,22726,7308,7204,14512,5010,5070,10081,3068,3555,6619,1483,1774,3257,428,748,1176,62395,63266,125662,1183,1046,2229,494,457,958,13,11,25,13,7,21,522,481,1002,34286,34451,68739,26472,27126,53603,33461,33807,67267,26823,27160,53982,50563,50592,101156,1606,1454,3056,10112,9505,19620,2970,3116,6082,1481,1702,3183,2190,3520,5708,26461,29042,55503,5087,4747,9837,7051,6245,13305,2929,2653,5580,1826,2184,4008,917,1157,2076,60627,61445,122076,2569,2686,5256
SED22201,29615,32221,61836,1978,1818,3797,3819,3595,7414,1702,1573,3277,1769,1705,3473,4023,4400,8420,4272,4516,8789,3656,4106,7762,3405,3862,7265,2727,3403,6132,1681,2231,3914,578,1018,1585,28768,31278,60046,850,941,1790,197,190,389,17,6,21,4,3,7,221,203,426,21879,23438,45316,6876,7817,14689,23621,25454,49078,5061,5709,10770,26015,28191,54202,633,592,1223,3685,3448,7132,1386,1342,2731,711,710,1423,909,1441,2349,13313,15993,29306,3397,3405,6805,3627,3431,7058,1427,1445,2879,913,1160,2074,239,252,491,28269,30622,58885,1000,1162,2162
SED22305,39470,36861,76335,2618,2477,5089,4585,4351,8933,2088,1999,4094,2716,2446,5158,7528,6260,13787,6110,5259,11366,4599,3996,8594,3916,3938,7847,2997,3248,6252,1742,1953,3696,577,930,1513,38643,36088,74732,831,774,1601,207,227,436,14,9,20,3,4,10,228,242,471,14704,13977,28681,21802,20499,42301,12573,11802,24380,23565,22134,45695,26879,26503,53382,546,517,1061,4113,3947,8058,1619,1639,3252,1136,1188,2321,1730,2323,4054,17054,16552,33607,2684,2206,4885,3708,3095,6809,1639,1510,3147,2406,2608,5012,1844,1604,3440,36127,34194,70320,3624,2821,6450
SED22404,31220,31143,62365,1525,1408,2933,3795,3581,7373,1877,1698,3577,1508,1345,2853,3066,3116,6184,3314,3540,6857,4268,4349,8612,4879,5022,9900,4281,4279,8564,2160,2047,4203,551,761,1315,29674,29767,59441,1544,1377,2920,458,488,951,22,22,40,7,5,13,485,516,1005,25012,24784,49802,3702,4007,7708,27825,27811,55644,1101,1235,2341,27778,27782,55555,456,418,871,3470,3294,6766,1320,1291,2610,368,447,820,510,1156,1670,10115,13270,23388,4251,3905,8151,5574,4098,9671,2432,1660,4089,1188,1001,2192,85,72,157,27939,28100,56038,3553,3669,7222
SED22501,29110,30703,59815,1675,1583,3262,4090,3969,8061,1966,1797,3765,1590,1480,3073,2620,2726,5349,3784,4197,7976,4228,4568,8792,3862,4361,8222,3299,3652,6946,1590,1751,3341,406,632,1039,28239,29877,58115,875,827,1703,169,153,313,9,4,10,3,0,4,181,156,337,23157,24266,47415,5279,5732,11011,25103,26080,51184,3267,3872,7139,26932,28264,55202,625,585,1212,3976,3872,7841,1701,1604,3301,785,781,1569,720,1162,1888,14722,16777,31498,3117,3060,6174,2924,2551,5468,1159,1133,2292,631,771,1400,103,87,187,27970,29499,57474,741,872,1610
SED22607,34007,36000,70008,1732,1665,3401,3819,3547,7371,1844,1711,3554,2362,2529,4887,6017,6425,12442,5079,5393,10475,4642,4979,9619,3899,4195,8087,2809,3021,5834,1302,1600,2896,523,935,1454,32868,34838,67703,1144,1162,2302,155,165,321,10,4,19,3,10,14,175,174,352,23590,24477,48065,8992,10081,19070,24259,24984,49243,8271,9485,17757,28976,30557,59532,546,577,1125,3641,3389,7033,1619,1515,3138,1223,1306,2526,1578,2159,3737,20169,21993,42163,2587,2411,4996,2242,2161,4404,917,919,1836,917,1336,2250,230,476,705,31919,33822,65737,1725,1664,3398
SED22704,34375,34011,68383,1701,1607,3300,3861,3645,7509,1986,1665,3649,1813,1447,3265,3537,3485,7028,3431,3650,7076,4326,4550,8883,5220,5346,10570,5046,4766,9819,2684,2662,5343,763,1180,1940,32893,32775,65663,1487,1237,2723,677,684,1365,15,21,36,17,18,36,710,725,1438,27845,27506,55360,3397,3585,6983,29834,29720,59555,1536,1636,3173,30247,30134,60375,451,435,891,3451,3253,6706,1292,1219,2509,387,398,784,536,1170,1708,10088,12553,22642,4710,4470,9174,6304,5098,11399,2889,2244,5132,1849,1607,3451,126,93,225,30632,30863,61491,3710,2989,6699
SED22802,29955,30894,60851,1987,1917,3903,3926,3704,7636,1958,1844,3810,1892,1773,3664,4052,4085,8136,3981,4083,8064,3847,4204,8045,3568,3813,7379,2750,3157,5906,1609,1735,3341,386,573,964,28993,29996,58990,959,904,1863,313,272,584,20,11,30,9,8,18,346,291,636,23917,24526,48442,5104,5517,10624,26192,26995,53185,2834,3071,5904,27312,28100,55408,603,609,1213,3763,3561,7327,1575,1525,3102,636,707,1333,658,1261,1912,11398,14132,25534,4080,3795,7871,4567,3801,8371,1962,1569,3532,953,955,1911,182,152,327,28708,29674,58383,859,864,1721
SED22901,29232,30865,60096,1603,1578,3182,3696,3353,7048,1799,1647,3441,1781,1642,3420,3706,3678,7388,4155,4421,8577,3698,3929,7628,3461,4009,7470,3154,3575,6731,1599,2004,3606,579,1027,1608,28627,30214,58837,612,650,1260,171,177,346,6,3,10,7,6,14,181,186,369,18158,18413,36572,10243,11535,21777,19013,19552,38568,9316,10291,19613,24777,25796,50568,524,508,1024,3535,3218,6754,1529,1440,2961,805,819,1625,917,1349,2268,14587,16179,30762,2895,2907,5800,3265,3152,6417,1313,1321,2633,800,1032,1830,166,260,423,28089,29488,57574,1139,1340,2485
SED23007,42436,41349,83789,2360,2236,4600,4158,3660,7815,1800,1818,3624,3077,2893,5968,9904,9097,19000,7147,6712,13860,5018,5015,10025,4067,4087,8154,2825,3133,5960,1520,1796,3323,547,908,1455,41357,40314,81668,1083,1035,2119,265,262,523,7,10,18,13,7,16,284,280,560,21159,20200,41359,18702,18922,37621,19414,18222,37635,20272,20738,41006,31973,32094,64070,638,622,1261,3831,3390,7221,1470,1566,3031,1504,1466,2970,2732,3116,5846,23718,23237,46953,2529,2159,4681,2931,2681,5614,1263,1361,2623,1847,2407,4255,842,1127,1972,39390,38582,77976,2901,2543,5443
SED23101,29839,31570,61409,1459,1245,2707,3778,3592,7370,1925,1733,3657,2074,1750,3819,3349,3264,6610,3928,4225,8147,3986,4366,8352,3358,3680,7037,2877,3573,6446,2201,2790,4991,906,1355,2256,29231,30873,60100,610,697,1306,75,67,142,0,4,0,4,4,10,75,72,151,16062,16346,32414,12987,14417,27409,15707,16120,31821,13279,14471,27751,23707,24947,48654,556,488,1047,3654,3466,7119,1735,1617,3355,1171,1031,2195,1112,1454,2562,16919,17993,34911,2213,2305,4518,2235,2473,4706,1050,1158,2210,934,1316,2249,276,400,676,28671,30162,58829,1042,1265,2309
SED23205,30680,32310,62994,1769,1738,3513,3782,3632,7412,1841,1648,3489,1778,1735,3514,4284,4356,8640,4055,4365,8418,4055,4269,8325,3728,3903,7627,2983,3369,6352,1755,2169,3922,652,1126,1776,29697,31318,61015,989,988,1979,390,399,784,15,20,35,16,19,34,418,432,859,22168,23062,45228,6526,7334,13860,25471,26448,51918,3147,3867,7015,26316,27669,53986,542,525,1063,3493,3371,6859,1398,1279,2678,587,748,1332,805,1545,2351,12448,14665,27108,3617,3342,6959,4208,3902,8109,1758,1627,3385,988,1181,2170,113,116,229,28074,29644,57724,2492,2591,5083
SED23308,32320,34746,67063,1916,1797,3719,3771,3511,7281,1760,1618,3381,2306,2300,4608,5259,5396,10653,4215,4499,8718,3961,4364,8322,3806,4309,8118,3097,3650,6745,1603,2223,3832,612,1068,1688,31071,33521,64589,1250,1224,2472,408,421,829,15,21,33,10,8,17,431,450,882,25546,27679,53226,5206,5546,10751,27319,29719,57040,3421,3539,6963,28098,30728,58829,600,532,1133,3546,3327,6876,1378,1330,2707,887,1063,1952,1331,1846,3179,14696,17291,31988,3829,3675,7502,3606,3503,7108,1638,1763,3398,1119,1347,2457,145,166,307,30057,32432,62488,2267,2291,4559
