SED_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
SED23205,..,7668,7668,7445,701,8145,3749,115,3867,3270,21,3290,1230,15,1246,470,3,477,16168,8532,24697
SED23308,..,9591,9591,8302,874,9181,3683,312,3996,3306,144,3451,1271,35,1303,386,20,408,16944,10980,27930
SED23402,..,5431,5431,8448,461,8913,5038,70,5110,5789,18,5812,2325,6,2328,1049,0,1047,22647,6002,28642
SED23502,..,7831,7831,9805,510,10314,2903,68,2966,2603,16,2616,1261,4,1259,543,9,553,17104,8443,25541
SED23602,..,7254,7254,8542,474,9014,2814,50,2867,2552,7,2561,1265,0,1264,564,3,569,15732,7792,23521
SED23702,..,6274,6274,8245,437,8686,4171,46,4221,4303,7,4316,1815,6,1819,785,4,791,19328,6775,26102
SED23806,..,8125,8125,7793,1005,8796,3104,308,3407,3760,105,3860,1366,35,1396,337,15,351,16351,9590,25939
SED23901,..,7020,7020,7772,628,8403,3985,216,4203,4289,86,4377,1382,17,1400,466,12,477,17899,7982,25879
SED24006,..,4970,4970,6481,446,6929,3768,175,3947,4461,105,4573,1708,39,1747,546,17,562,16969,5759,22728
SED24105,..,4204,4204,6008,434,6438,4470,174,4639,4780,101,4879,2234,36,2277,1582,32,1608,19070,4974,24037
SED24207,..,4504,4504,6847,458,7303,5804,148,5950,6909,71,6977,3128,25,3153,2168,14,2179,24853,5214,30068
SED24308,..,7472,7472,7848,669,8522,4112,184,4295,3515,63,3577,1472,23,1493,802,7,807,17750,8415,26159
SED24408,..,7966,7966,8299,507,8799,2849,63,2915,2462,17,2481,1266,4,1274,470,0,465,15347,8553,23904
SED24504,..,5325,5325,8298,391,8685,3374,53,3426,3911,4,3918,1635,6,1638,586,9,595,17802,5788,23588
SED24606,..,7756,7756,7424,801,8220,3029,269,3300,3370,113,3487,1284,37,1320,276,3,283,15371,8984,24364
SED24703,..,24332,24332,16475,5682,22159,4703,1776,6479,2523,686,3207,589,179,766,236,59,299,24522,32716,57238
SED24808,..,6933,6933,8753,653,9410,5782,90,5868,5669,26,5695,2662,12,2671,1805,5,1808,24670,7709,32380
SED24904,..,7226,7226,8076,582,8662,3304,146,3452,2983,71,3051,1528,38,1566,812,38,849,16697,8101,24804
SED25003,..,4067,4067,6209,378,6591,4594,83,4673,5125,44,5175,2038,11,2049,937,6,945,18908,4587,23494
SED25102,..,3838,3838,6464,331,6799,3567,55,3624,3910,13,3926,1544,5,1546,641,4,648,16128,4253,20384
SED25205,..,6711,6711,7283,421,7702,4054,82,4135,4709,15,4729,1500,10,1506,367,6,367,17917,7243,25163
SED25302,..,5852,5852,8233,267,8501,3328,42,3365,4149,15,4164,1675,9,1679,492,0,492,17881,6183,24064
SED25402,..,8067,8067,8824,590,9413,3615,79,3690,3301,19,3324,1394,14,1408,618,6,629,17757,8772,26536
SED25501,..,4260,4260,6388,348,6735,4141,216,4358,4889,145,5040,1534,64,1598,633,42,676,17585,5067,22657
SED25605,..,4798,4798,6599,469,7069,3935,152,4088,3940,94,4033,1496,48,1539,795,26,825,16766,5587,22348
SED25704,..,7475,7475,8918,515,9430,3120,78,3203,2776,37,2815,1463,4,1468,677,4,682,16959,8107,25072
SED25802,..,7876,7876,9847,510,10354,3927,59,3991,3919,19,3946,1836,10,1846,894,9,906,20427,8487,28921
SED25905,..,3894,3894,6150,394,6544,4068,78,4148,4211,46,4253,1860,12,1877,1233,6,1237,17517,4442,21957
SED26005,..,3170,3170,5727,363,6093,5040,112,5150,6123,60,6176,2802,8,2814,2048,5,2052,21739,3717,25455
SED26102,..,8175,8175,10498,499,10996,3182,58,3238,2916,17,2930,1135,6,1142,378,0,380,18110,8759,26867
SED26207,..,5390,5390,7018,365,7390,3926,84,4015,4213,23,4234,1471,7,1481,448,9,455,17079,5879,22961
SED26303,..,8963,8963,7734,1108,8837,3744,663,4407,3859,267,4121,1036,68,1104,271,18,292,16636,11091,27729
SED26406,..,8209,8209,8126,1181,9307,4232,490,4722,4004,273,4268,1248,89,1334,356,54,410,17962,10295,28257
SED26504,..,7073,7073,8694,477,9168,2755,68,2826,2647,25,2670,1306,5,1316,509,18,528,15913,7665,23578
SED26603,..,7885,7885,8642,951,9587,4848,430,5277,4838,179,5015,1514,82,1597,636,33,673,20479,9562,30042
SED26708,..,6849,6849,8637,489,9128,3072,78,3151,3127,27,3159,1614,17,1625,678,8,685,17131,7463,24594
SED26806,..,17497,17497,11337,2473,13814,2833,716,3544,1728,148,1873,424,26,448,126,8,136,16452,20864,37314
SED26903,..,8474,8474,7913,1130,9045,4104,410,4514,3627,201,3826,1165,64,1229,563,41,606,17372,10318,27690
SED27003,..,13107,13107,10840,2192,13033,3388,1271,4657,2412,422,2839,651,92,746,208,16,227,17500,17105,34610
SED27101,..,6678,6678,7227,629,7859,4101,168,4265,4148,70,4210,1499,30,1532,507,14,516,17479,7588,25065
SED27208,..,8684,8684,9458,585,10041,3119,86,3203,2933,33,2961,1374,14,1385,615,11,627,17499,9410,26908
SED27305,..,2852,2852,5461,252,5713,3651,45,3700,4345,12,4360,1548,3,1550,561,0,566,15564,3179,18743
SED27406,..,7196,7196,8082,398,8483,3655,56,3707,4211,22,4233,1447,3,1451,264,0,267,17657,7677,25334
SED27504,..,7787,7787,8645,589,9233,3728,161,3886,3616,48,3665,1716,24,1736,983,19,1001,18686,8624,27308
SED27608,..,6809,6809,10215,664,10880,5018,351,5372,5961,234,6195,2335,74,2405,723,46,775,24253,8178,32436
SED27708,..,7499,7499,8971,537,9509,3440,109,3546,3185,35,3218,1426,9,1435,535,9,540,17556,8195,25757
SED27807,..,6050,6050,6712,666,7383,4271,299,4569,3823,181,4004,1760,84,1844,1440,32,1477,18012,7315,25327
SED27907,..,5664,5664,7567,453,8018,4290,64,4356,4154,13,4166,1588,6,1594,633,0,638,18227,6205,24432
SED28007,..,3474,3474,5974,268,6242,4916,51,4962,6301,20,6320,2669,11,2680,1197,3,1198,21049,3829,24875
SED28107,..,5073,5073,8055,721,8775,8370,324,8692,9278,249,9531,3914,120,4028,2933,54,2985,32549,6547,39093
SED28203,..,5349,5349,7368,493,7856,4980,165,5145,5110,78,5187,2321,29,2346,1489,24,1512,21260,6132,27393
SED28301,..,3650,3650,6389,218,6600,3803,59,3856,4752,29,4777,1835,13,1846,667,5,669,17442,3959,21403
SED28408,..,8045,8045,7930,710,8638,3390,183,3574,3087,63,3152,1338,8,1346,466,5,474,16209,9015,25225
SED28507,..,6360,6360,8132,731,8863,5890,141,6030,5541,55,5592,2266,14,2286,1431,22,1451,23261,7325,30587
SED28607,..,7316,7316,8466,713,9182,4500,229,4731,4998,61,5067,1509,27,1526,458,10,470,19934,8354,28288
SED28704,..,4993,4993,8928,406,9332,6309,66,6374,7697,21,7715,3322,3,3322,1333,6,1336,27587,5492,33080
SED28803,..,4691,4691,8138,493,8630,7598,125,7730,9238,68,9309,4479,25,4507,3214,14,3226,32667,5421,38092
SED29494,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED29797,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
